순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-24,1168105686,대덕전설(주),,분석,407416520,89.966,91.103,0.6129 (100.6129),10 8,2022/05/03 08:36:53,심사제외
-25,2018634956,주식회사 신성전자통신,,분석,407410009,89.964,91.101,0.6113 (100.6113),5 12,2022/04/30 05:07:43,심사제외
-26,1198637085,(주) 하이네트워크,,분석,407366170,89.954,91.091,0.6004 (100.6004),12 13,2022/04/29 17:01:35,심사제외
-27,1188114949,이주씨스템(주),,분석,407360560,89.953,91.09,0.5991 (100.5991),9 4,2022/05/03 09:22:57,심사제외
-28,2138641595,주식회사 브랜드텍,,분석,407350841,89.951,91.088,0.5967 (100.5967),10 14,2022/05/02 09:30:32,심사제외
-29,2148724941,한빛시스템주식회사,,분석,407341346,89.948,91.086,0.5943 (100.5943),5 7,2022/04/29 10:56:57,심사제외
-30,2148811443,(주)우신지엘에스,,분석,407325740,89.945,91.082,0.5905 (100.5905),7 15,2022/05/02 10:13:03,심사제외
-31,2148792435,주식회사케이이씨디바이스,,분석,407310347,89.941,91.079,0.5867 (100.5867),5 15,2022/05/02 19:55:54,심사제외
-32,1148137654,(주)미동이엔씨,,분석,407307861,89.941,91.078,0.5860 (100.586),3 4,2022/05/02 10:00:58,심사제외
-33,4108607408,주식회사 천운정보통신,,분석,407306100,89.94,91.078,0.5856 (100.5856),11 9,2022/05/02 09:05:58,심사제외
-34,2208106252,주식회사 중선아이티씨,,분석,407303000,89.94,91.077,0.5848 (100.5848),1 11,2022/05/02 09:40:06,심사제외
-35,1078162397,신용통신 주식회사,,분석,407297390,89.938,91.076,0.5835 (100.5835),10 7,2022/05/01 16:11:35,심사제외
-36,1138175034,(주)윈플러스정보기술,,분석,407263685,89.93,91.068,0.5751 (100.5751),6 10,2022/05/02 17:32:48,심사제외
-37,1298627304,주식회사 진네트웍스,,분석,407262985,89.93,91.068,0.5750 (100.575),11 14,2022/05/03 10:18:08,심사제외
-38,2048610496,주식회사 김스애드,,분석,407256492,89.929,91.067,0.5734 (100.5734),14 8,2022/05/02 09:52:37,심사제외
-39,1358145603,한라인포넷(주),,분석,407241509,89.925,91.063,0.5697 (100.5697),1 11,2022/05/03 00:00:39,심사제외
-40,2158623647,시공전설(주),,분석,407234518,89.924,91.062,0.5679 (100.5679),10 6,2022/05/02 09:50:35,심사제외
-41,2118716350,(주)비엔인더스트리,,분석,407198180,89.915,91.054,0.5589 (100.5589),7 11,2022/05/02 16:54:51,심사제외
-42,2048182660,동원오비텍(주),,분석,407189780,89.913,91.052,0.5569 (100.5569),1 13,2022/05/02 14:57:14,심사제외
-43,1098185343,주식회사 오티에스씨,,분석,407185399,89.912,91.051,0.5558 (100.5558),9 4,2022/05/03 09:01:23,심사제외
-44,2068125141,주식회사 스테이지넷,,분석,407179192,89.911,91.049,0.5543 (100.5543),4 6,2022/05/02 11:00:50,심사제외
-45,1074870357,영진정보통신,,분석,407175910,89.91,91.049,0.5535 (100.5535),7 12,2022/04/29 15:09:33,심사제외
-46,2148770450,주식회사 아리시스,,분석,407154753,89.905,91.044,0.5482 (100.5482),15 10,2022/05/02 10:30:15,심사제외
-47,1058686587,(주)참슬테크,,분석,407148374,89.904,91.043,0.5467 (100.5467),9 13,2022/05/02 10:10:00,심사제외
-48,1018154598,씨엔에스코리아(주),,분석,407147592,89.904,91.042,0.5465 (100.5465),11 15,2022/04/29 11:13:13,심사제외
-49,1108190166,(주)페타네트워크,,분석,407145134,89.903,91.042,0.5459 (100.5459),12 8,2022/05/03 09:37:48,심사제외
-50,2150786744,영진전기통신공사,,분석,407134340,89.9,91.039,0.5432 (100.5432),4 14,2022/05/02 09:44:53,심사제외
-51,2148104884,두원이에프씨 주식회사,,분석,407132198,89.9,91.039,0.5427 (100.5427),4 1,2022/04/29 11:17:18,심사제외
-52,4098163161,(주)동우커뮤니케이션,,분석,407128440,89.899,91.038,0.5417 (100.5417),12 15,2022/05/03 09:24:06,심사제외
-53,2068196840,주식회사 혜성이티에스,,분석,407118616,89.897,91.036,0.5393 (100.5393),10 15,2022/05/02 18:30:21,심사제외
-54,1098153822,서울텔엔지니어링(주),,분석,407107880,89.894,91.034,0.5367 (100.5367),4 11,2022/05/02 16:44:50,심사제외
-55,1188117816,(주)영원정보통신,,분석,407105939,89.894,91.033,0.5362 (100.5362),7 10,2022/05/02 14:27:29,심사제외
-56,1208163439,(주)아이엘에스씨,,분석,407094518,89.891,91.031,0.5334 (100.5334),6 12,2022/05/02 17:01:00,심사제외
-57,5518100318,주식회사 씨스테크,,분석,407065360,89.884,91.024,0.5261 (100.5261),13 2,2022/05/02 23:54:53,심사제외
-58,1138151895,주식회사 온리정보통신,,분석,407056138,89.882,91.022,0.5239 (100.5239),6 4,2022/05/02 18:18:01,심사제외
-59,1098172945,(주)마커스코리아,,분석,407055250,89.882,91.022,0.5237 (100.5237),2 11,2022/05/02 16:07:30,심사제외
-60,1180565240,성보전자통신,,분석,407054430,89.882,91.022,0.5235 (100.5235),6 12,2022/05/03 08:13:02,심사제외
-61,2118603519,에쓰이씨 주식회사,,분석,407050784,89.881,91.021,0.5226 (100.5226),3 6,2022/05/02 14:51:31,심사제외
-62,2108130492,명신정보통신(주),,분석,407044367,89.88,91.019,0.5210 (100.521),15 2,2022/05/02 10:01:48,심사제외
-63,1198175027,(주)케이웍스,,분석,407038637,89.878,91.018,0.5196 (100.5196),4 12,2022/05/02 09:01:38,심사제외
-63,2158197106,주식회사통해,,분석,407038637,89.878,91.018,0.5196 (100.5196),2 8,2022/05/02 11:08:13,심사제외
-65,4318600057,주식회사 엘제이텍,,분석,407028974,89.876,91.016,0.5172 (100.5172),9 12,2022/05/02 15:02:45,심사제외
-66,2158197601,주식회사 알파시큐넷,,분석,407026893,89.875,91.015,0.5167 (100.5167),15 13,2022/05/02 17:46:25,심사제외
-67,2308103607,주식회사 디케이앤트,,분석,407003620,89.87,91.01,0.5109 (100.5109),11 14,2022/04/29 17:27:29,심사제외
-68,2158171237,(주)모빌텍,,분석,407001500,89.87,91.01,0.5104 (100.5104),13 4,2022/05/02 14:44:56,심사제외
-69,2128169519,세진시스콤주식회사,,분석,406981136,89.865,91.005,0.5054 (100.5054),12 2,2022/05/02 08:44:18,심사제외
-70,1188120761,(주)동화이엔씨,,분석,406975062,89.863,91.004,0.5039 (100.5039),9 1,2022/05/02 16:24:54,심사제외
-71,1138645971,주식회사 포딕스시스템,,분석,406957200,89.859,91.0,0.4994 (100.4994),15 4,2022/04/29 17:27:08,심사제외
-72,2148115227,대상전설(주),,분석,406930715,89.853,90.994,0.4929 (100.4929),2 3,2022/05/02 18:36:58,심사제외
-73,1088154468,(주)이젠정보통신,,분석,406888010,89.843,90.984,0.4824 (100.4824),10 5,2022/04/30 05:59:39,심사제외
-74,1348182624,(주)이앤에스알앤디,,분석,406888000,89.843,90.984,0.4823 (100.4823),7 10,2022/05/01 23:11:41,심사제외
-75,1208117027,세안이엔씨 주식회사,,분석,406852367,89.835,90.976,0.4736 (100.4736),15 8,2022/05/03 08:12:51,심사제외
-76,1098143872,보은전자방송통신(주),,분석,406851962,89.835,90.976,0.4735 (100.4735),14 5,2022/04/29 10:21:41,심사제외
-77,1138189770,인콤아이에스(주),,분석,406850340,89.834,90.976,0.4730 (100.473),10 6,2022/04/29 15:11:27,심사제외
-78,1328127945,부민통신 주식회사,,분석,406818902,89.827,90.969,0.4653 (100.4653),6 12,2022/04/29 10:55:49,심사제외
-79,2148847295,티에스퓨처 주식회사,,분석,406818808,89.827,90.969,0.4653 (100.4653),6 5,2022/04/29 20:02:57,심사제외
-80,1168144224,제일정보건설 주식회사,,분석,406807131,89.824,90.966,0.4624 (100.4624),6 3,2022/05/03 08:33:04,심사제외
-81,2098132812,주식회사 피치테크,,분석,406803679,89.824,90.966,0.4615 (100.4615),4 15,2022/04/29 20:39:22,심사제외
-82,2338109463,주식회사 아이티에스서비스,,분석,406787170,89.82,90.962,0.4574 (100.4574),15 1,2022/05/02 09:17:21,심사제외
-83,2098113590,(주)통광,,분석,406776644,89.817,90.959,0.4549 (100.4549),5 4,2022/05/02 09:11:48,심사제외
-84,1198611746,(주)지트인,,분석,406770976,89.816,90.958,0.4535 (100.4535),7 4,2022/04/29 13:31:58,심사제외
-85,2018182230,주식회사 본네트시큐,,분석,406766530,89.815,90.957,0.4524 (100.4524),15 11,2022/05/02 12:39:03,심사제외
-86,1148714240,주식회사 유진21,,분석,406765480,89.815,90.957,0.4521 (100.4521),6 5,2022/05/02 18:15:16,심사제외
-87,7978100097,주식회사 신동아이앤지,,분석,406762876,89.814,90.956,0.4515 (100.4515),8 12,2022/04/30 16:25:19,심사제외
-88,2068124123,(주)세양텔레콤,,분석,406743747,89.81,90.952,0.4467 (100.4467),7 3,2022/05/02 09:02:32,심사제외
-89,1168161465,(주)솔루텍시스템,,분석,406741031,89.809,90.952,0.4461 (100.4461),9 6,2022/04/29 10:30:28,심사제외
-90,2298134599,(주)시에나텔레콤,,분석,406734530,89.808,90.95,0.4445 (100.4445),12 14,2022/05/02 09:46:57,심사제외
-91,2198114499,(주)이레에너지테크,,분석,406730000,89.807,90.949,0.4433 (100.4433),11 13,2022/04/29 16:42:42,심사제외
-92,1168135502,(주)비엠더코리아,,분석,406712664,89.803,90.945,0.4391 (100.4391),9 15,2022/05/03 00:06:02,심사제외
-93,1198623733,주식회사 케이비티정보통신,,분석,406695657,89.799,90.941,0.4349 (100.4349),10 1,2022/05/02 09:53:14,심사제외
-94,5568600996,주영전자통신 주식회사,,분석,406676624,89.794,90.937,0.4301 (100.4301),3 6,2022/05/02 16:54:29,심사제외
-95,1058191993,링크정보통신주식회사,,분석,406671308,89.793,90.936,0.4288 (100.4288),13 2,2022/05/02 10:16:57,심사제외
-96,1198153493,(주)경성네트웍,,분석,406667516,89.792,90.935,0.4279 (100.4279),7 14,2022/05/02 09:21:17,심사제외
-97,1138157550,뉴코리아전자통신 주식회사,,분석,406666097,89.792,90.935,0.4276 (100.4276),3 5,2022/05/02 14:52:23,심사제외
-98,1178186611,주식회사 에프에이일렉콤,,분석,406662858,89.791,90.934,0.4268 (100.4268),11 3,2022/05/03 06:42:54,심사제외
-99,1198153402,고현건설(주),,분석,406657700,89.79,90.933,0.4255 (100.4255),1 4,2022/05/02 14:42:39,심사제외
-100,2208108546,경림전기(주),,분석,406645040,89.787,90.93,0.4224 (100.4224),5 15,2022/05/02 09:16:43,심사제외
-101,1018663767,비케이전기통신 주식회사,,분석,406617505,89.78,90.924,0.4156 (100.4156),6 3,2022/05/02 13:19:08,심사제외
-102,3578800544,디와이아이앤씨주식회사,,분석,406616695,89.78,90.924,0.4154 (100.4154),11 5,2022/05/01 16:37:49,심사제외
-103,1198187498,성원씨엔씨주식회사,,분석,406615885,89.78,90.924,0.4152 (100.4152),15 10,2022/05/01 17:49:26,심사제외
-104,1058683498,주식회사 일동전력,,분석,406593310,89.775,90.918,0.4096 (100.4096),7 13,2022/05/02 21:07:35,심사제외
-105,1058601287,(주)성산정보시스템,,분석,406583490,89.773,90.916,0.4072 (100.4072),15 3,2022/05/03 12:42:12,심사제외
-106,1058746506,(주)파워일렉,,분석,406582570,89.772,90.916,0.4069 (100.4069),12 4,2022/05/02 16:44:17,심사제외
-107,2148626637,(주)아이엔지시스템,,분석,406572500,89.77,90.914,0.4044 (100.4044),7 14,2022/04/29 16:47:50,심사제외
-108,1068642995,(주)비엠시스솔루션,,분석,406567890,89.769,90.913,0.4033 (100.4033),10 14,2022/05/02 17:55:51,심사제외
-109,1058192352,한아름정보통신(주),,분석,406561750,89.768,90.911,0.4018 (100.4018),4 15,2022/04/29 13:29:42,심사제외
