순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-6,5148150594,주식회사하나에스아이,김창규,분석,8521211945,85.475,86.956,0.65650 (100.6565),3 8,2022/10/25 10:00:12,
-7,1068669669,(주)일광통신,이병일,분석,8520471500,85.467,86.948,0.64766 (100.64766),10 2,2022/10/24 09:35:53,
-8,1281366542,영화엔지니어링,이필신,분석,8519934500,85.462,86.943,0.64125 (100.64125),1 9,2022/10/25 09:35:38,
-9,1278195155,주식회사 대흥디씨티,박준석,분석,8519569850,85.458,86.939,0.63690 (100.6369),10 11,2022/10/24 17:44:23,
-10,3018611438,(주)두원이엔지,이병순,분석,8519567335,85.458,86.939,0.63687 (100.63687),12 6,2022/10/26 07:29:59,
-11,1138175669,(주)용상전기통신,권혁기,분석,8519360390,85.455,86.937,0.63439 (100.63439),3 7,2022/10/20 16:56:12,
-12,1218191414,주식회사 유리네트웍스,박창호,분석,8519301751,85.455,86.936,0.63370 (100.6337),14 15,2022/10/20 21:19:54,
-13,2278119724,주식회사 누리넷,안정례,분석,8519245200,85.454,86.935,0.63302 (100.63302),2 9,2022/10/25 17:48:56,
-14,1328101794,주식회사 남양이앤씨,원용선,분석,8519217970,85.454,86.935,0.63269 (100.63269),5 8,2022/10/25 14:19:41,
-15,4488100569,주식회사 엔에스테크,박현수,분석,8517626143,85.437,86.919,0.61369 (100.61369),4 8,2022/10/20 12:59:15,
-16,1228166223,(주)홀리랜드테크놀러지,고춘자,분석,8514635184,85.404,86.888,0.57800 (100.578),3 9,2022/10/25 14:04:42,
-17,5028616259,주식회사 은창아이티,권경숙,분석,8514274930,85.401,86.885,0.57370 (100.5737),1 9,2022/10/22 12:22:42,
-18,1388126833,주식회사 컴피아,고석만,분석,8512844380,85.385,86.87,0.55662 (100.55662),1 7,2022/10/26 09:39:40,
-19,2228106302,동남전기통신(주),최승효,분석,8512580900,85.382,86.867,0.55348 (100.55348),6 8,2022/10/25 10:09:11,
-20,1328127945,부민통신 주식회사,박창욱,분석,8512163662,85.378,86.863,0.54849 (100.54849),1 12,2022/10/20 11:24:22,
-21,7448700377,광영정보통신주식회사,이광모,분석,8511853675,85.374,86.86,0.54480 (100.5448),4 7,2022/10/24 09:39:13,
-22,8268102035,주식회사 더블유엔에스,박현준,분석,8511459280,85.37,86.856,0.54009 (100.54009),15 2,2022/10/20 17:27:25,
-23,5022461061,경북통신,정해덕,분석,8511267000,85.368,86.854,0.53779 (100.53779),15 7,2022/10/24 15:04:11,
-24,1288602824,주식회사 우성텔레콤,송상의,분석,8510697000,85.362,86.848,0.53099 (100.53099),1 3,2022/10/25 14:16:53,
-25,6158144677,(주)동명커뮤니케이션,허정국,분석,8509901592,85.353,86.84,0.52150 (100.5215),11 6,2022/10/24 17:19:07,
-26,1408105132,원플러스이엔씨주식회사,이길섭,분석,8508393540,85.337,86.825,0.50349 (100.50349),14 2,2022/10/24 10:57:33,
-27,1088107572,세빈테크(주),박재영,분석,8508021979,85.333,86.821,0.49906 (100.49906),13 14,2022/10/25 16:53:25,
-28,6058143235,(주)알이시스,하부원,분석,8507529769,85.328,86.816,0.49318 (100.49318),11 4,2022/10/19 12:13:41,
-29,4168184276,대한정보통신(주),강철호,분석,8506885500,85.321,86.809,0.48550 (100.4855),12 7,2022/10/25 17:37:39,
-30,7228700455,주식회사신성정보기술,최대영,분석,8506784963,85.32,86.808,0.48430 (100.4843),14 2,2022/10/21 10:24:16,
-31,6078142872,주식회사 한스콤정보통신,노진호,분석,8506087780,85.312,86.801,0.47597 (100.47597),11 13,2022/10/24 13:49:00,
-32,2100412872,유광미디어,김유성,분석,8504489379,85.295,86.785,0.45689 (100.45689),12 15,2022/10/24 09:38:18,
-33,1298163829,(주)시원코리아,임희득,분석,8504011200,85.29,86.78,0.45119 (100.45119),15 7,2022/10/21 13:54:35,
-34,4088104214,(주)광영이엠씨,심판구,분석,8503167800,85.281,86.771,0.44112 (100.44112),10 14,2022/10/26 08:39:53,
