순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2368701351,주식회사 한빛티엔에스,이광열,분석,2080114112,86.337,86.597,-0.61185 (99.38815),14 15,2022/10/05 15:27:14,낙찰
2,6091665683,시스엔,정보근,분석,2080144000,86.339,86.598,-0.61041 (99.38959),15 9,2022/10/07 14:03:12,
3,5038175799,주식회사 유엔텔,이창수,분석,2080150250,86.339,86.598,-0.61011 (99.38989),3 9,2022/10/07 16:52:00,
4,2128153400,일렉파워주식회사,김성호,분석,2080188361,86.341,86.6,-0.60827 (99.39173),7 9,2022/10/06 17:19:57,
5,3118117318,주식회사 시온,조영호,분석,2080252320,86.343,86.602,-0.60518 (99.39482),10 8,2022/10/11 08:47:55,
6,4178124500,(주)케이이엔티,이현자,분석,2080320307,86.346,86.605,-0.60190 (99.3981),6 7,2022/10/06 09:16:45,
7,3128110813,(합)대우전기통신공사,최정근,분석,2080411560,86.351,86.609,-0.59750 (99.4025),15 6,2022/10/06 11:20:55,
8,5028178115,주식회사 현진이앤씨,이미현,분석,2080577460,86.358,86.616,-0.58950 (99.4105),14 5,2022/10/07 18:34:49,
9,2278104556,(합)진광전기소방,김관식,분석,2080581313,86.358,86.616,-0.58932 (99.41068),1 5,2022/10/11 08:55:33,
10,3108116960,주식회사 덕산정보통신,김동백,분석,2080598198,86.359,86.617,-0.58850 (99.4115),10 2,2022/10/11 09:21:45,
11,5028155882,한세정보통신(주),한재성,분석,2081229860,86.387,86.643,-0.55805 (99.44195),2 3,2022/10/06 15:54:44,
12,4118179365,주식회사 나눔넷,서정만,분석,2081449310,86.397,86.652,-0.54746 (99.45254),10 4,2022/10/04 14:33:59,
13,2068179706,(주)씨엠유니버샬,전재용,분석,2081511198,86.399,86.655,-0.54448 (99.45552),2 9,2022/10/11 09:14:26,
14,1078614153,알에스전기통신(주),양홍철,분석,2081698578,86.408,86.663,-0.53544 (99.46456),7 9,2022/10/11 08:57:16,
15,6068643965,(주)무진산업기술,남윤정,분석,2081788900,86.412,86.666,-0.53109 (99.46891),13 8,2022/10/06 11:01:15,
16,1668700091,주식회사 태원텍,김진경,분석,2081790000,86.412,86.666,-0.53104 (99.46896),6 8,2022/10/04 12:52:13,
17,3068126116,마이크로닉시스템(주),김홍래,분석,2082120382,86.427,86.68,-0.51510 (99.4849),11 8,2022/10/11 08:38:10,
18,1281366542,영화엔지니어링,이필신,분석,2082154800,86.428,86.682,-0.51345 (99.48655),2 5,2022/10/07 17:52:45,
19,1198180947,(주)다온누리,허경만,분석,2082325689,86.436,86.689,-0.50521 (99.49479),11 5,2022/10/07 10:16:18,
20,5668100187,주식회사 건대,이종석,분석,2082363000,86.437,86.69,-0.50341 (99.49659),15 9,2022/10/06 13:01:09,
21,3078129741,을지정보통신주식회사,오태균,분석,2082399700,86.439,86.692,-0.50164 (99.49836),1 3,2022/10/06 10:29:21,
22,3018611438,(주)두원이엔지,이병순,분석,2082622245,86.449,86.701,-0.49091 (99.50909),6 8,2022/10/10 11:41:06,
23,4158126972,(주)승주정보,김영식,분석,2082672000,86.451,86.703,-0.48851 (99.51149),12 9,2022/10/06 10:23:18,
24,2128606988,원강정보통신 주식회사,우강원,분석,2082676100,86.451,86.703,-0.48831 (99.51169),13 7,2022/10/07 13:06:24,
25,3058129861,주식회사 캔텔,백우현,분석,2082678579,86.451,86.703,-0.48819 (99.51181),15 9,2022/10/07 13:27:17,
26,1088107572,세빈테크(주),박재영,분석,2082932967,86.463,86.714,-0.47592 (99.52408),13 3,2022/10/09 16:13:25,
27,1308611160,대광정보시스템(주),김미영,분석,2082958205,86.464,86.715,-0.47470 (99.5253),13 6,2022/10/06 09:32:56,
28,5148146407,참조은정보통신주식회사,차중은,분석,2083449700,86.486,86.735,-0.45100 (99.549),5 9,2022/10/11 08:45:49,
29,6158119727,株式會社 錦湖이.티.시,김두현,분석,2083464220,86.486,86.736,-0.45030 (99.5497),13 8,2022/10/06 14:37:18,
