순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2208709343,유텔레콤주식회사,,분석,1339239015,90.76,90.465,-0.6848 (99.3152),3 2,2022/06/22 18:23:46,심사중
2,1198130210,(주)와이드넷엔지니어링,,분석,1339260590,90.762,90.466,-0.6832 (99.3168),6 1,2022/06/22 13:08:50,미심사
3,1228199613,주식회사 대건시스템즈,,분석,1339266700,90.762,90.467,-0.6828 (99.3172),11 12,2022/06/24 07:26:27,미심사
4,2108170441,주식회사 에이원아이티,,분석,1339311832,90.765,90.47,-0.6794 (99.3206),3 2,2022/06/24 09:06:47,미심사
5,1228181544,주식회사 윌테크,,분석,1339324381,90.766,90.47,-0.6785 (99.3215),9 14,2022/06/23 16:19:29,미심사
6,2068196840,주식회사 혜성이티에스,,분석,1339345095,90.768,90.472,-0.6770 (99.323),6 13,2022/06/23 15:07:31,미심사
7,2098113590,(주)통광,,분석,1339447351,90.775,90.479,-0.6694 (99.3306),15 14,2022/06/22 16:10:00,미심사
8,2158774589,주식회사 스카이코어,,분석,1339448028,90.775,90.479,-0.6693 (99.3307),13 14,2022/06/24 09:14:07,미심사
9,6058626186,화성티이씨주식회사,,분석,1339455550,90.775,90.479,-0.6688 (99.3312),3 1,2022/06/23 13:39:24,미심사
10,4158151355,청명주식회사,,분석,1339483790,90.777,90.481,-0.6667 (99.3333),15 10,2022/06/22 14:49:08,미심사
11,1048142446,주식회사 디에스 이앤티,,분석,1339495629,90.778,90.482,-0.6658 (99.3342),13 9,2022/06/23 09:27:23,미심사
12,3058138619,(주)사이버텔브릿지,,분석,1339544107,90.782,90.485,-0.6622 (99.3378),13 15,2022/06/22 10:28:32,미심사
13,2068685955,주식회사 스마트웍스,,분석,1339631421,90.788,90.491,-0.6557 (99.3443),8 11,2022/06/23 09:32:48,미심사
14,3108130526,주식회사에스마루,,분석,1339686100,90.792,90.495,-0.6517 (99.3483),13 11,2022/06/23 14:10:15,미심사
15,7088800946,주식회사 아이티아이비전,,분석,1339756828,90.797,90.5,-0.6464 (99.3536),2 9,2022/06/24 10:14:14,미심사
16,1208166080,(주)기산텔레콤,,분석,1339779840,90.798,90.501,-0.6447 (99.3553),14 3,2022/06/23 15:41:54,미심사
17,1288194561,(주)석원시엔씨,,분석,1339800777,90.8,90.503,-0.6432 (99.3568),4 13,2022/06/23 12:48:37,미심사
18,2048137258,대신엔에스(주),,분석,1339812100,90.801,90.503,-0.6424 (99.3576),10 3,2022/06/23 14:23:36,미심사
19,1138618789,이노뎁(주),,분석,1339812116,90.801,90.503,-0.6423 (99.3577),11 8,2022/06/22 16:25:41,미심사
20,1198164802,주식회사 비아이넷,,분석,1339814593,90.801,90.504,-0.6422 (99.3578),15 6,2022/06/23 11:33:32,미심사
21,2018147460,태성전기통신(주),,분석,1339828104,90.802,90.505,-0.6412 (99.3588),8 15,2022/06/23 12:47:45,미심사
22,7188100420,주식회사 오투정보통신,,분석,1339848000,90.803,90.506,-0.6397 (99.3603),10 3,2022/06/22 16:53:52,미심사
23,2208725440,(주) 매그넷,,분석,1339865450,90.804,90.507,-0.6384 (99.3616),14 3,2022/06/22 14:27:22,미심사
24,3058123509,중앙통신 주식회사,,분석,1339945610,90.81,90.512,-0.6325 (99.3675),4 12,2022/06/23 11:14:23,미심사
25,2148772161,주식회사 비에스아이시스템,,분석,1339962000,90.811,90.514,-0.6312 (99.3688),1 3,2022/06/23 08:39:09,미심사
26,2068157319,주식회사 에스엘정보통신,,분석,1339963475,90.811,90.514,-0.6311 (99.3689),3 5,2022/06/22 17:59:53,미심사
27,1198179983,(주)에이피텔,,분석,1339980670,90.812,90.515,-0.6299 (99.3701),9 8,2022/06/23 09:55:02,미심사
28,4938700580,주식회사 원,,분석,1339981133,90.812,90.515,-0.6298 (99.3702),12 1,2022/06/22 10:02:55,미심사
29,2118145912,영남스퀘어 주식회사,,분석,1339998440,90.814,90.516,-0.6285 (99.3715),3 9,2022/06/23 08:14:06,미심사
30,1138163445,주식회사 삼도통신,,분석,1340023100,90.815,90.518,-0.6267 (99.3733),13 12,2022/06/22 17:43:39,미심사
31,1068615668,(주)솔로몬기술단기술사사무소,,분석,1340037311,90.816,90.519,-0.6256 (99.3744),8 7,2022/06/22 15:56:47,미심사
32,1298142746,주식회사 하이브시스템,,분석,1340059470,90.818,90.52,-0.6240 (99.376),15 10,2022/06/23 09:18:55,미심사
33,1288141176,주식회사 와이씨스템,,분석,1340077766,90.819,90.521,-0.6226 (99.3774),5 15,2022/06/24 08:47:30,미심사
34,1318183508,주식회사 와이엘테크,,분석,1340095295,90.821,90.523,-0.6213 (99.3787),4 1,2022/06/22 10:54:36,미심사
35,5178101428,주식회사 율이앤씨,,분석,1340113212,90.822,90.524,-0.6200 (99.38),8 10,2022/06/24 08:03:27,미심사
36,1188114949,이주씨스템(주),,분석,1340155640,90.825,90.527,-0.6169 (99.3831),14 13,2022/06/24 09:14:44,미심사
