,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
43,44,2040371641,한서전자,김영옥,분석,38358236.0,87.825,88.585,0.02320 (100.0232),7 3,2024/10/14 10:34:35,
44,45,4778800659,더파트주식회사,강현준,분석,38358800.0,87.826,88.586,0.02468 (100.02468),9 13,2024/10/14 17:11:06,
45,46,1708601068,주식회사 와이비정보시스템,정영배,분석,38359600.0,87.828,88.588,0.02679 (100.02679),4 3,2024/10/15 15:08:00,
46,47,3218602097,(주)태연정보,김영태,분석,38360170.0,87.83,88.589,0.02829 (100.02829),2 15,2024/10/15 02:33:08,
47,48,1198656229,주식회사 경진네트워크,김응환,분석,38360410.0,87.83,88.59,0.02892 (100.02892),6 13,2024/10/15 15:00:15,
48,49,2038164825,(주)스피드정보통신,선의석,분석,38360470.0,87.831,88.59,0.02908 (100.02908),8 7,2024/10/14 16:19:51,
49,50,1128148359,(주)펜타콤씨엔씨,최상록,분석,38361674.0,87.834,88.593,0.03225 (100.03225),9 11,2024/10/16 09:21:20,
0,51,2118668579,(주)아이정보기술,이훈희,분석,38362034.0,87.834,88.594,0.03319 (100.03319),7 5,2024/10/14 00:32:20,
1,52,2118620935,주식회사 한양티이씨,조형국,분석,38362909.0,87.837,88.596,0.03550 (100.0355),3 15,2024/10/16 08:24:15,
2,53,1078824918,주식회사 칸정보기술,정상훈,분석,38363060.0,87.837,88.596,0.03589 (100.03589),9 4,2024/10/16 09:31:43,
3,54,2068685955,주식회사 스마트웍스,정훈,분석,38365037.0,87.842,88.601,0.04110 (100.0411),3 5,2024/10/15 09:25:15,
4,55,6358700388,(주)예본아이디,김정민,분석,38365200.0,87.842,88.601,0.04153 (100.04153),6 14,2024/10/14 10:04:14,
5,56,2028138682,협진통신(주),이승훈,분석,38365682.0,87.843,88.602,0.04280 (100.0428),3 2,2024/10/14 10:23:04,
6,57,5088137937,(주)벨류데이터,정영두,분석,38366822.0,87.846,88.605,0.04580 (100.0458),4 15,2024/10/14 13:35:35,
7,58,6458702345,거산테크 주식회사,김태남,분석,38367241.0,87.847,88.606,0.04690 (100.0469),15 12,2024/10/15 11:01:07,
8,59,2120549052,태성통신,최재석,분석,38367878.0,87.849,88.607,0.04858 (100.04858),8 9,2024/10/14 10:21:10,
9,60,2208100563,경창계전 주식회사,이성욱,분석,38369210.0,87.852,88.61,0.05208 (100.05208),6 9,2024/10/11 13:45:10,
10,61,1068644033,(주)코맥스디에스씨,안병호,분석,38370849.0,87.856,88.614,0.05639 (100.05639),12 10,2024/10/14 18:13:59,
11,62,1018642326,한우이앤에스(주),변준석,분석,38370888.0,87.856,88.614,0.05650 (100.0565),5 11,2024/10/15 16:10:42,
12,63,1178185645,무원이엔씨 주식회사,염규주,분석,38371229.0,87.857,88.615,0.05739 (100.05739),11 3,2024/10/11 17:02:51,
13,64,1041890207,삼정정보통신,이순봉,분석,38371870.0,87.859,88.617,0.05908 (100.05908),12 14,2024/10/11 15:11:17,
14,65,1058693453,주식회사태융정보통신,문성준,분석,38373010.0,87.862,88.619,0.06208 (100.06208),1 11,2024/10/16 02:18:59,
15,66,4908801461,주식회사 긱스퍼,이정아,분석,38373092.0,87.862,88.619,0.06230 (100.0623),13 3,2024/10/15 09:53:26,
16,67,2048137258,대신엔에스(주),정동진,분석,38373920.0,87.864,88.621,0.06448 (100.06448),15 1,2024/10/14 10:12:13,
17,68,1138148366,주식회사 레이어스,조인선,분석,38374232.0,87.865,88.622,0.06530 (100.0653),10 6,2024/10/14 11:23:44,
18,69,1058773833,시큐솔루션 주식회사,남병창,분석,38374400.0,87.865,88.622,0.06574 (100.06574),3 2,2024/10/11 12:34:46,
19,70,1050296111,중앙전자통신,김용수,분석,38374725.0,87.866,88.623,0.06660 (100.0666),11 5,2024/10/15 11:12:56,
20,71,2198114499,(주)이레에너지테크,강래원,분석,38375600.0,87.868,88.625,0.06890 (100.0689),1 12,2024/10/14 14:35:29,
21,72,1208802896,주식회사 라임에스엔씨,김종훈,분석,38375820.0,87.869,88.626,0.06948 (100.06948),14 11,2024/10/15 10:00:17,
22,73,1068631595,솔라윈시스템(주),허성미,분석,38375941.0,87.869,88.626,0.06980 (100.0698),5 4,2024/10/14 14:25:37,
23,74,2178141893,주식회사대웅텔레콤,전진숙,분석,38377347.0,87.872,88.629,0.07350 (100.0735),7 14,2024/10/15 09:19:15,
24,75,2150786744,영진전기통신공사,정재인,분석,38378068.0,87.874,88.631,0.07539 (100.07539),4 2,2024/10/15 09:40:51,
25,76,2018176136,(주)휴넷시스템,김초영,분석,38378600.0,87.875,88.632,0.07680 (100.0768),10 2,2024/10/14 14:02:48,
26,77,2128196243,신광씨앤티 주식회사,박광선,분석,38379170.0,87.877,88.633,0.07830 (100.0783),4 13,2024/10/11 14:11:33,
