,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
44,45,2148710582,모던웨이브(주),원회광,분석,84771130,88.006,87.684,-0.64075 (99.35925),7 6,2024/04/22 10:27:42,
45,46,1138683368,주식회사 에스엠시스템즈,이승환,분석,84775500,88.011,87.689,-0.63560 (99.3644),7 14,2024/04/22 09:30:04,
46,47,1088182120,(주) 포스콤 에스아이,양병기,분석,84777110,88.012,87.691,-0.63370 (99.3663),10 1,2024/04/22 09:36:42,
47,48,2208727579,주식회사 벡트,유창수,분석,84777872,88.013,87.691,-0.63281 (99.36719),14 4,2024/04/24 09:11:43,
48,49,1108604272,소리콤 주식회사,정재홍,분석,84777960,88.013,87.691,-0.63270 (99.3673),13 3,2024/04/24 02:06:45,
49,50,2298121250,(주)동곡기정,이주언,분석,84779230,88.015,87.693,-0.63120 (99.3688),1 9,2024/04/24 09:15:44,
0,51,1098154781,(주)공항엔지니어링,박필립,분석,84781770,88.018,87.695,-0.62821 (99.37179),3 6,2024/04/23 17:53:51,
1,52,2208197511,(주)다산지앤지,유철종,분석,84781770,88.018,87.695,-0.62821 (99.37179),11 4,2024/04/22 08:50:46,
2,53,1068669669,(주)일광통신,이병일,분석,84781800,88.018,87.695,-0.62818 (99.37182),1 4,2024/04/21 16:11:36,
3,54,1098630066,주식회사 태양전기,홍석봉,분석,84784151,88.02,87.698,-0.62540 (99.3746),9 10,2024/04/23 17:32:48,
4,55,2178145434,주식회사 한양전자피에이,여동도,분석,84784780,88.021,87.699,-0.62466 (99.37534),11 6,2024/04/22 16:27:18,
5,56,2068625393,주식회사 성림전설,박상동,분석,84785600,88.022,87.699,-0.62370 (99.3763),6 12,2024/04/19 10:09:31,
6,57,1198130210,(주)와이드넷엔지니어링,이맹훈,분석,84786110,88.022,87.7,-0.62309 (99.37691),11 14,2024/04/22 16:59:42,
7,58,3628700817,씨큐리티 주식회사,공승길,분석,84787469,88.024,87.701,-0.62149 (99.37851),5 2,2024/04/23 08:22:49,
8,59,1178164451,(주)지엠디텔레콤,김창윤,분석,84787628,88.024,87.701,-0.62130 (99.3787),10 15,2024/04/23 14:44:01,
9,60,1408138536,주)파인솔라,이태동,분석,84789320,88.026,87.703,-0.61931 (99.38069),13 12,2024/04/23 15:24:53,
10,61,2118716350,(주)비엔인더스트리,이재혁,분석,84790260,88.027,87.704,-0.61820 (99.3818),12 15,2024/04/22 13:35:18,
11,62,1198165586,제이케이앤티텔레콤(주),전찬화,분석,84790760,88.027,87.705,-0.61761 (99.38239),9 12,2024/04/22 12:55:31,
12,63,3018634386,주식회사 아이티엔에스,김향여,분석,84791780,88.028,87.706,-0.61641 (99.38359),2 9,2024/04/22 23:15:42,
13,64,2118620935,주식회사 한양티이씨,조형국,분석,84792000,88.029,87.706,-0.61615 (99.38385),4 10,2024/04/23 18:11:10,
14,65,1148600716,유티모스트아이엔에스(주),박흥태,분석,84798740,88.036,87.713,-0.60821 (99.39179),8 3,2024/04/22 14:40:22,
15,66,2078155629,씨티아이앤아이(주),김덕제,분석,84800608,88.038,87.715,-0.60600 (99.394),14 7,2024/04/19 11:17:06,
16,67,2118145912,영남스퀘어 주식회사,장재모,분석,84806770,88.045,87.721,-0.59874 (99.40126),12 3,2024/04/22 09:51:34,
17,68,1058682164,(주)울트라텔레콤,김성철,분석,84817743,88.057,87.733,-0.58580 (99.4142),7 14,2024/04/22 13:11:05,
18,69,2078147814,(주)대호엔지니어링,윤용상,분석,84818430,88.057,87.733,-0.58499 (99.41501),7 9,2024/04/23 12:11:15,
19,70,1078756640,주식회사 링크씨앤아이,김대훈,분석,84825038,88.065,87.74,-0.57720 (99.4228),3 2,2024/04/23 17:15:01,
20,71,2118774990,(주)제이에프텍,김중규,분석,84825500,88.065,87.741,-0.57666 (99.42334),8 6,2024/04/19 13:13:25,
21,72,1068612230,(주)사강통신,정일영,분석,84827580,88.067,87.743,-0.57421 (99.42579),14 1,2024/04/22 09:41:23,
22,73,2018643926,두전네트웍스 주식회사,김병현,분석,84830130,88.07,87.745,-0.57120 (99.4288),8 14,2024/04/22 13:13:39,
