,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
43,44,1138165967,주식회사 다솔이앤씨,김선경,분석,46138310.0,87.789,87.727,-0.02041 (99.97959),15 12,2024/05/21 12:18:38,
44,45,1198635243,(주)다룸정보기술,이혜경,분석,46138900.0,87.79,87.728,-0.01913 (99.98087),4 10,2024/05/22 19:37:46,
45,46,1708601068,주식회사 와이비정보시스템,정영배,분석,46139080.0,87.79,87.728,-0.01874 (99.98126),12 2,2024/05/21 15:52:18,
46,47,2048129194,위성이앤씨(주),이양숙,분석,46139098.0,87.79,87.728,-0.01871 (99.98129),9 11,2024/05/21 13:08:40,
47,48,1138148861,선진인포텍(주),김인구,분석,46139200.0,87.791,87.728,-0.01848 (99.98152),4 11,2024/05/23 09:31:17,
48,49,2178114305,주식회사 광문정보통신,서정만,분석,46139500.0,87.791,87.729,-0.01783 (99.98217),13 9,2024/05/21 21:09:58,
49,50,2158602337,지엔네텔(주),고시영,분석,46139884.0,87.792,87.73,-0.01700 (99.983),1 15,2024/05/23 09:03:04,
0,51,4568800195,주식회사 동부코리아통신,윤미옥,분석,46140119.0,87.792,87.73,-0.01649 (99.98351),15 1,2024/05/23 09:38:38,
1,52,1188120761,(주)동화이엔씨,이재원,분석,46140620.0,87.793,87.731,-0.01541 (99.98459),12 6,2024/05/21 18:00:57,
2,53,2138610414,(주)성창기전,지광섭,분석,46140897.0,87.794,87.732,-0.01481 (99.98519),10 6,2024/05/21 16:14:26,
3,54,2068182837,경안이엔지(주),금동중,분석,46141630.0,87.795,87.733,-0.01322 (99.98678),7 12,2024/05/22 10:20:44,
4,55,2148705513,주식회사 케이이에스 전기공사,강성진,분석,46142236.0,87.796,87.734,-0.01191 (99.98809),1 5,2024/05/23 08:57:54,
5,56,2148620797,(주)세인씨앤씨,조정화,분석,46142500.0,87.797,87.735,-0.01133 (99.98867),2 13,2024/05/21 16:55:07,
6,57,1848801998,주식회사 기어,강호왕,분석,46142699.0,87.797,87.735,-0.01090 (99.9891),14 3,2024/05/21 10:15:56,
7,58,1298126260,현대아이티에스전자(주),정영자,분석,46142737.0,87.797,87.735,-0.01082 (99.98918),5 9,2024/05/22 08:17:24,
8,59,1178152367,(주)브레인컨설팅,박수영,분석,46142930.0,87.798,87.735,-0.01040 (99.9896),15 13,2024/05/22 09:41:32,
9,60,1258180919,(주)경일전공,정요진,분석,46143068.0,87.798,87.736,-0.01010 (99.9899),5 2,2024/05/22 10:07:02,
10,61,1288196628,코마정보통신(주),이경수,분석,46143620.0,87.799,87.737,-0.00891 (99.99109),2 15,2024/05/21 15:41:42,
11,62,2068632045,주식회사 티볼리씨앤씨,박주흠,분석,46144454.0,87.801,87.738,-0.00710 (99.9929),1 5,2024/05/22 09:26:53,
12,63,1058649262,주식회사 노하우전기통신,임창배,분석,46145200.0,87.802,87.74,-0.00548 (99.99452),13 15,2024/05/22 09:29:42,
13,64,1928702481,주식회사 크랜베리,이은혜,분석,46145240.0,87.802,87.74,-0.00540 (99.9946),3 10,2024/05/21 12:57:49,
14,65,3738701418,주식회사 에스비넷,허훈,분석,46145710.0,87.803,87.741,-0.00438 (99.99562),4 10,2024/05/21 15:23:48,
15,66,2130230588,태극정보통신,이상호,분석,46145993.0,87.803,87.741,-0.00376 (99.99624),3 6,2024/05/22 20:08:07,
16,67,2108124739,(주)한성기술개발,서창식,분석,46146544.0,87.805,87.742,-0.00257 (99.99743),15 1,2024/05/21 22:55:32,
17,68,1188115778,대신통신기술(주),김지영,분석,46147540.0,87.806,87.744,-0.00041 (99.99959),7 8,2024/05/22 15:29:52,
18,69,1138649133,빅썬시스템즈 주식회사,권태일,분석,46147990.0,87.807,87.745,0.00056 (100.00056),2 3,2024/05/21 13:23:09,
19,70,1068690366,(주)윈투스시스템,신경익,분석,46149344.0,87.81,87.748,0.00350 (100.0035),9 12,2024/05/21 12:43:09,
20,71,2128144463,동양비엠에스(주),김태수,분석,46150220.0,87.812,87.749,0.00540 (100.0054),7 9,2024/05/22 09:56:14,
21,72,1188111165,주식회사 세원이엔피디,이왕종,분석,46150221.0,87.812,87.749,0.00540 (100.0054),12 14,2024/05/21 18:40:50,
22,73,1108131570,(주)조은시스템,김창윤,분석,46151650.0,87.814,87.752,0.00849 (100.00849),10 12,2024/05/21 10:41:18,
23,74,1188110211,(주)텔레텍코리아,윤광수,분석,46152436.0,87.816,87.753,0.01020 (100.0102),7 1,2024/05/23 01:13:27,
24,75,7968702264,주식회사 케이티엔에스티,정관숙,분석,46153635.0,87.818,87.756,0.01280 (100.0128),7 5,2024/05/22 19:30:09,
25,76,2048162437,다남전기(주),이병근,분석,46153710.0,87.818,87.756,0.01296 (100.01296),10 13,2024/05/22 16:06:47,
26,77,1068648117,주식회사 티원엘에스,김영규,분석,46155187.0,87.821,87.759,0.01616 (100.01616),1 4,2024/05/21 18:00:47,
27,78,2098119463,(주)두레정보통신,김시영,분석,46155240.0,87.821,87.759,0.01627 (100.01627),10 6,2024/05/23 08:19:58,
28,79,6748701612,쓰리아이퓨처 주식회사,고훈석,분석,46155816.0,87.822,87.76,0.01752 (100.01752),13 5,2024/05/22 12:23:56,
29,80,1018139321,(주)세웅정보통신,장우진,분석,46156200.0,87.823,87.761,0.01835 (100.01835),4 10,2024/05/21 11:16:37,
30,81,1058162163,주식회사대한종합산전,이섭,분석,46157700.0,87.826,87.763,0.02160 (100.0216),1 14,2024/05/21 16:50:50,
31,82,7088800946,주식회사 아이티아이비전,정준호,분석,46158966.0,87.828,87.766,0.02435 (100.02435),15 14,2024/05/21 10:27:46,
32,83,2118101156,(주)인스틴솔루션,박세준,분석,46159300.0,87.829,87.767,0.02507 (100.02507),2 8,2024/05/21 16:53:45,
33,84,1068619761,(주) 한걸음정보통신,정진원,분석,46160540.0,87.831,87.769,0.02776 (100.02776),6 2,2024/05/22 15:26:21,
34,85,1068687634,(주)엠폴시스템,송승찬,분석,46160610.0,87.831,87.769,0.02791 (100.02791),9 5,2024/05/23 09:56:55,
35,86,2148862812,(주)위드컴,서민석,분석,46161000.0,87.832,87.77,0.02876 (100.02876),2 1,2024/05/21 14:50:04,
36,87,1048120291,청음통신 주식회사,임광희,분석,46161600.0,87.833,87.771,0.03006 (100.03006),9 13,2024/05/23 09:22:52,
37,88,8608100283,주식회사 테크인스,전재현,분석,46162540.0,87.835,87.773,0.03209 (100.03209),10 13,2024/05/21 10:30:10,
38,89,1098197140,(주)코맥스시큐리티,김종정,분석,46162542.0,87.835,87.773,0.03210 (100.0321),14 3,2024/05/23 09:45:35,
39,90,2068126626,주식회사 동부전기,형남길,분석,46162999.0,87.836,87.774,0.03309 (100.03309),10 11,2024/05/23 09:22:52,
40,91,2118668579,(주)아이정보기술,이훈희,분석,46163049.0,87.836,87.774,0.03320 (100.0332),8 11,2024/05/22 07:24:39,
41,92,1138658592,위너시스텍 주식회사,조용걸,분석,46163100.0,87.836,87.774,0.03331 (100.03331),10 7,2024/05/22 10:35:34,
42,93,2208719934,주식회사 지제이전기통신,김진수,분석,46164387.0,87.838,87.776,0.03609 (100.03609),7 2,2024/05/22 10:22:04,
43,94,3238600741,주식회사 극동이에프씨,심정보,분석,46165320.0,87.84,87.778,0.03812 (100.03812),4 7,2024/05/22 17:48:39,
44,95,8038600460,주식회사 파르이앤씨,김종훈,분석,46165990.0,87.842,87.779,0.03957 (100.03957),4 6,2024/05/23 08:32:35,
45,96,1288138083,주식회사 유앤후레쉬,우재명,분석,46167390.0,87.844,87.782,0.04260 (100.0426),2 4,2024/05/22 21:19:16,
46,97,4908801461,주식회사 긱스퍼,이정아,분석,46168080.0,87.845,87.783,0.04410 (100.0441),14 8,2024/05/22 09:34:22,
47,98,1078649711,주식회사 백선통신,황선호,분석,46169510.0,87.848,87.786,0.04720 (100.0472),3 13,2024/05/22 15:04:03,
48,99,1198173261,주식회사 현대네트웍기술,조성익,분석,46169790.0,87.849,87.786,0.04780 (100.0478),3 9,2024/05/21 13:54:14,
49,100,2098139213,(주)뉴타운전력,박형우,분석,46170295.0,87.85,87.787,0.04890 (100.0489),12 15,2024/05/21 18:13:49,
0,101,1048142446,주식회사 디에스 이앤티,양종만,분석,46170470.0,87.85,87.788,0.04928 (100.04928),8 1,2024/05/22 10:04:36,
1,102,1138635212,(주)아이제이일렉트론,김도형,분석,46170618.0,87.85,87.788,0.04960 (100.0496),2 7,2024/05/22 15:34:05,
2,103,6068665713,주식회사 디비알,김왕섭,분석,46171678.0,87.852,87.79,0.05189 (100.05189),8 4,2024/05/21 11:26:27,
3,104,1128118909,(주)한일종합산업,박응석,분석,46171820.0,87.853,87.79,0.05220 (100.0522),12 11,2024/05/21 14:20:08,
4,105,7418801210,주식회사 한국에이브이산업,이재숙,분석,46171900.0,87.853,87.79,0.05237 (100.05237),1 3,2024/05/22 07:03:00,
5,106,1078212647,사단법인 한국장애인미래정책포럼,배영환,분석,46172000.0,87.853,87.791,0.05259 (100.05259),9 3,2024/05/21 15:28:10,
6,107,1198655462,지티에스솔루션즈 주식회사,김민수,분석,46173400.0,87.856,87.793,0.05563 (100.05563),1 4,2024/05/23 07:12:01,
7,108,6078616291,케이시스 주식회사,김중섭,분석,46173940.0,87.857,87.794,0.05680 (100.0568),15 7,2024/05/22 09:46:35,
8,109,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,46174720.0,87.858,87.796,0.05849 (100.05849),5 13,2024/05/22 15:04:11,
9,110,2098133747,(주)한국에스알테크,이재호,분석,46174800.0,87.858,87.796,0.05866 (100.05866),7 9,2024/05/23 09:34:22,
10,111,1018639665,(주)한양인프라넷,김주호,분석,46175600.0,87.86,87.797,0.06039 (100.06039),6 3,2024/05/21 15:24:55,
11,112,2188103742,피에스텍(주),황재용,분석,46176761.0,87.862,87.8,0.06291 (100.06291),1 15,2024/05/23 07:52:29,
12,113,2058139910,우현전기(주),채광식,분석,46176940.0,87.862,87.8,0.06330 (100.0633),8 13,2024/05/23 00:10:39,
13,114,2158661490,(주)이베이테크,황경구,분석,46177170.0,87.863,87.8,0.06379 (100.06379),4 5,2024/05/22 09:32:58,
14,115,2068165221,유니슨전기(주),유창진,분석,46177263.0,87.863,87.801,0.06400 (100.064),12 7,2024/05/21 10:14:57,
15,116,1098603050,(주)이루기술,박지현,분석,46177780.0,87.864,87.802,0.06512 (100.06512),7 14,2024/05/22 09:07:05,
16,117,6188134896,주식회사 동신정보통신,임춘섭,분석,46177900.0,87.864,87.802,0.06538 (100.06538),6 15,2024/05/21 15:43:01,
17,118,5598700333,주식회사 제이투디앤티,김세환,분석,46178601.0,87.866,87.803,0.06690 (100.0669),6 8,2024/05/22 10:54:50,
18,119,1198118405,우광기전(주),이기진,분석,46178910.0,87.866,87.804,0.06757 (100.06757),1 10,2024/05/23 08:31:51,
19,120,1208149780,장학건설(주),정세학,분석,46179247.0,87.867,87.804,0.06830 (100.0683),13 14,2024/05/22 13:19:41,
20,121,5878102687,주식회사 에스디아이씨티,이수헌,분석,46179460.0,87.867,87.805,0.06876 (100.06876),15 9,2024/05/22 15:40:57,
21,122,2198128106,우선이엔씨(주),김광수,분석,46180000.0,87.868,87.806,0.06993 (100.06993),8 11,2024/05/23 08:06:36,
22,123,2068611905,(주)한포넷,이현우,분석,46180106.0,87.868,87.806,0.07016 (100.07016),11 1,2024/05/22 10:04:51,
23,124,1198137042,(주)진명연합전설,엄재준,분석,46181786.0,87.872,87.809,0.07380 (100.0738),4 9,2024/05/23 09:21:12,
24,125,1138148411,(주)풍천정보네트웍,김학봉,분석,46181970.0,87.872,87.81,0.07420 (100.0742),9 11,2024/05/23 09:35:16,
25,126,2148840477,주식회사 알비에스테크,김동헌,분석,46182430.0,87.873,87.81,0.07519 (100.07519),6 13,2024/05/23 08:43:38,
