,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,6218602134,(주)플러스전력  [최종낙찰],이하일,분석,249536920.0,85.0,87.746,89.136,0.59539 (100.59539),6 8,2024/08/30 16:17:55,
1,2,2048160050,(주)신화데이타,최용준,분석,249537420.0,85.0,87.746,89.136,0.59560 (100.5956),11 9,2024/09/02 08:43:13,
2,3,2128169519,세진시스콤주식회사,박수환,분석,249539140.0,85.0,87.746,89.137,0.59630 (100.5963),9 3,2024/09/02 08:16:34,
3,4,1258180919,(주)경일전공,정요진,분석,249548227.0,85.0,87.75,89.14,0.60000 (100.6),12 6,2024/08/30 14:45:11,
4,5,2068706603,주식회사 온품,김유혁,분석,249556710.0,85.0,87.753,89.143,0.60345 (100.60345),15 8,2024/08/30 16:20:39,
5,6,1088193869,(주)동명텔레콤,김경은,분석,249559530.0,85.0,87.754,89.144,0.60460 (100.6046),10 2,2024/08/30 13:52:06,
6,7,2128604113,주식회사 아리아,장시진,분석,249571810.0,85.2,87.759,89.148,0.60960 (100.6096),11 5,2024/08/30 16:41:00,
7,8,2208892965,주식회사 코너스,김동오,분석,249575700.0,85.2,87.76,89.15,0.61118 (100.61118),13 2,2024/09/02 16:15:13,
8,9,1098185343,주식회사 오티에스씨,이승환,분석,249578687.0,85.2,87.762,89.151,0.61240 (100.6124),2 1,2024/09/03 09:06:24,
9,10,1188115778,대신통신기술(주),김지영,분석,249584090.0,85.2,87.764,89.153,0.61459 (100.61459),2 9,2024/08/30 14:36:44,
10,11,2120549052,태성통신,최재석,분석,249594949.0,85.4,87.768,89.156,0.61902 (100.61902),7 13,2024/09/02 06:22:23,
11,12,1068604157,주식회사 넥시스정보,오세후,분석,249596130.0,85.4,87.768,89.157,0.61950 (100.6195),14 1,2024/09/02 08:31:29,
12,13,2158620617,미디어텔레콤(주),김용대,분석,249596370.0,85.4,87.768,89.157,0.61959 (100.61959),6 3,2024/08/31 10:09:44,
13,14,1188117437,탑인더스트리(주),최정현,분석,249601040.0,85.4,87.77,89.159,0.62150 (100.6215),5 2,2024/09/02 08:45:19,
14,15,1178128886,(주)미라클산업,김영철,분석,249604720.0,85.4,87.771,89.16,0.62299 (100.62299),5 10,2024/09/02 10:48:37,
15,16,4088168391,금상디엔씨주식회사,박길중,분석,249605953.0,85.4,87.772,89.16,0.62350 (100.6235),9 3,2024/09/02 08:17:04,
16,17,2048610496,주식회사 김스애드,김진희,분석,249611110.0,85.4,87.774,89.162,0.62559 (100.62559),7 10,2024/09/03 09:38:42,
17,18,2148107988,(주)서울정보시스템,이문현,분석,249613900.0,85.6,87.775,89.163,0.62673 (100.62673),3 11,2024/08/31 05:52:40,
18,19,2058140829,원앤원산업개발(주),배애순,분석,249620940.0,85.6,87.778,89.166,0.62960 (100.6296),7 13,2024/08/30 15:24:04,
19,20,1058192352,한아름정보통신(주),손경선,분석,249621620.0,85.6,87.778,89.166,0.62987 (100.62987),1 7,2024/08/30 10:18:41,
20,21,1118124994,오리엔트주식회사,이경호,분석,249626350.0,85.6,87.78,89.168,0.63180 (100.6318),10 5,2024/09/02 17:12:59,
21,22,2158704216,아임스통신주식회사,김종길,분석,249633220.0,85.6,87.782,89.17,0.63460 (100.6346),1 14,2024/09/02 16:41:17,
22,23,1198658528,진솔이앤에스 주식회사,김정현,분석,249634694.0,85.6,87.783,89.171,0.63520 (100.6352),3 4,2024/09/02 09:38:00,
23,24,1088180573,다올정보기술주식회사,한숙기,분석,249636412.0,85.6,87.784,89.171,0.63589 (100.63589),5 12,2024/09/02 12:20:31,
24,25,2068694508,주식회사 웰정보기술,강희춘,분석,249636782.0,85.6,87.784,89.171,0.63605 (100.63605),4 9,2024/09/02 09:27:54,
25,26,1078738017,(주)애린테크,박을순,분석,249645256.0,85.8,87.787,89.174,0.63950 (100.6395),11 1,2024/09/03 09:24:04,
26,27,4018600546,주식회사 케이투시스템즈,강병준,분석,249645500.0,85.8,87.787,89.175,0.63959 (100.63959),8 1,2024/09/02 16:58:03,
27,28,2158168275,천마정보통신(주),황범만,분석,249646829.0,85.8,87.788,89.175,0.64014 (100.64014),9 10,2024/09/03 00:30:36,
28,29,1098603593,주식회사 완일이씨에스,김경창,분석,249650907.0,85.8,87.789,89.176,0.64180 (100.6418),13 15,2024/09/02 08:15:49,
29,30,1138645971,주식회사 포딕스시스템,정재호,분석,249654947.0,85.8,87.791,89.178,0.64344 (100.64344),13 3,2024/08/30 15:50:44,
30,31,2208735083,주식회사 강남전기공사,나중안,분석,249655081.0,85.8,87.791,89.178,0.64349 (100.64349),7 8,2024/08/30 10:09:32,
31,32,1171187825,신원전자,안희덕,분석,249656740.0,85.8,87.791,89.179,0.64417 (100.64417),11 9,2024/09/02 10:18:18,
32,33,2148847295,티에스퓨처 주식회사,김명성,분석,249664171.0,85.8,87.794,89.181,0.64720 (100.6472),9 3,2024/09/02 19:50:11,
33,34,1078197386,(주)아리네트웍스,성동식,분석,249664416.0,85.8,87.794,89.181,0.64730 (100.6473),3 8,2024/09/03 09:05:54,
34,35,1088165228,(주)콤텍피엔씨,송기영,분석,249670070.0,86.0,87.796,89.183,0.64960 (100.6496),4 6,2024/09/02 15:29:58,
35,36,1298137942,주식회사 자이온티앤에스,예용기,분석,249670557.0,86.0,87.797,89.183,0.64980 (100.6498),15 4,2024/08/30 13:32:51,
36,37,2098132812,주식회사 피치테크,이현철,분석,249674241.0,86.0,87.798,89.185,0.65129 (100.65129),1 3,2024/08/30 15:03:15,
37,38,2028138682,협진통신(주),이승훈,분석,249679891.0,86.0,87.8,89.187,0.65359 (100.65359),9 15,2024/08/30 11:02:15,
38,39,2618126604,주식회사 래오시스,윤경,분석,249682350.0,86.0,87.801,89.188,0.65460 (100.6546),12 13,2024/08/30 17:50:41,
39,40,2208197511,(주)다산지앤지,유철종,분석,249694630.0,86.2,87.806,89.192,0.65960 (100.6596),5 12,2024/08/30 10:24:10,
40,41,2148612657,주식회사 와이어블(Wiable Corp.),김문환,분석,249706910.0,86.2,87.811,89.196,0.66459 (100.66459),6 8,2024/08/30 18:03:25,
41,42,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,249707649.0,86.2,87.811,89.197,0.66490 (100.6649),1 3,2024/09/02 13:01:55,
42,43,1178186611,주식회사 에프에이일렉콤,박인숙,분석,249712070.0,86.2,87.812,89.198,0.66669 (100.66669),1 3,2024/09/02 08:42:36,
43,44,1208742606,주식회사 테눅스,전석순,분석,249716246.0,86.2,87.814,89.2,0.66839 (100.66839),7 2,2024/09/02 10:27:33,
44,45,1078682044,명승파워넷 주식회사,공건식,분석,249719190.0,86.4,87.815,89.201,0.66959 (100.66959),15 2,2024/08/30 10:46:03,
45,46,1198123174,주식회사 도래정보시스템,이은숙,분석,249722430.0,86.4,87.816,89.202,0.67091 (100.67091),14 5,2024/09/02 09:18:01,
46,47,2118606665,주식회사 아라랏,황지홍,분석,249723312.0,86.4,87.817,89.202,0.67127 (100.67127),14 11,2024/09/02 20:59:12,
47,48,1088179663,주식회사 시큐뱅크,심재춘,분석,249727540.0,86.4,87.818,89.204,0.67299 (100.67299),10 4,2024/08/30 17:51:37,
48,49,1148611926,(주)동진이앤티,김미화,분석,249730494.0,86.4,87.82,89.205,0.67420 (100.6742),12 9,2024/09/02 11:34:20,
49,50,5528801885,주식회사 정도아이넷,장일석,분석,249732200.0,86.4,87.82,89.206,0.67489 (100.67489),7 10,2024/09/03 09:35:31,
0,51,1198125041,옥성정보통신(주),황석,분석,249735161.0,86.4,87.821,89.207,0.67610 (100.6761),8 4,2024/08/30 13:40:29,
1,52,1188120761,(주)동화이엔씨,이재원,분석,249743760.0,86.6,87.825,89.21,0.67960 (100.6796),3 5,2024/09/02 10:07:33,
2,53,1138622662,퍼스트아이앤씨 주식회사,박상호,분석,249748425.0,86.6,87.826,89.211,0.68149 (100.68149),1 9,2024/09/03 09:06:04,
3,54,1198668254,대신인포시스 주식회사,최혜경,분석,249749041.0,86.6,87.827,89.212,0.68175 (100.68175),2 10,2024/08/30 15:38:28,
4,55,1298155066,일조텔레콤(주),김문섭,분석,249756040.0,86.6,87.829,89.214,0.68459 (100.68459),9 7,2024/09/02 11:07:17,
5,56,2098119463,(주)두레정보통신,김시영,분석,249765000.0,86.6,87.833,89.217,0.68824 (100.68824),15 8,2024/09/03 08:36:47,
6,57,1098172945,(주)마커스코리아,이헌철,분석,249767100.0,86.6,87.833,89.218,0.68910 (100.6891),9 6,2024/09/02 14:51:43,
7,58,1180565240,성보전자통신,양행천,분석,249768320.0,86.6,87.834,89.218,0.68959 (100.68959),12 11,2024/09/03 04:13:13,
8,59,4978802495,주식회사 에이치엔링크,김남훈,분석,249771271.0,86.8,87.835,89.219,0.69080 (100.6908),11 9,2024/09/02 16:08:08,
9,60,1188109975,(주)부광네트워크,박경진,분석,249780600.0,86.8,87.839,89.223,0.69459 (100.69459),4 1,2024/09/02 11:34:24,
10,61,2118716350,(주)비엔인더스트리,이재혁,분석,249792890.0,86.8,87.843,89.227,0.69960 (100.6996),7 4,2024/09/02 13:05:38,
11,62,1208117027,세안이엔씨 주식회사,이은상,분석,249821381.0,87.0,87.854,89.237,0.71120 (100.7112),13 7,2024/09/03 08:34:25,
12,63,1098613335,주식회사 스마트씨앤아이,임요웅,분석,249827770.0,87.2,87.857,89.24,0.71380 (100.7138),11 8,2024/08/30 16:12:48,
13,64,1068674084,주식회사월드아이,신영구,분석,249838470.0,87.2,87.861,89.243,0.71815 (100.71815),1 8,2024/09/02 16:53:46,
14,65,1198606485,주식회사 에이치엠솔루션,이상진,분석,249861500.0,87.4,87.87,89.252,0.72753 (100.72753),3 4,2024/09/03 09:32:08,
15,66,1138132447,태진정보통신(주),정태수,분석,249863877.0,87.4,87.87,89.253,0.72849 (100.72849),8 5,2024/09/02 09:16:20,
16,67,2198116973,건아정보기술 주식회사,심광호,분석,249871874.0,87.4,87.874,89.255,0.73175 (100.73175),14 10,2024/08/30 15:56:38,
17,68,2208624819,(주)종성테크,임성규,분석,249875668.0,87.6,87.875,89.257,0.73330 (100.7333),13 7,2024/09/03 09:12:07,
18,69,1138175034,(주)윈플러스정보기술,정재원,분석,249886538.0,87.6,87.879,89.261,0.73772 (100.73772),7 9,2024/09/03 08:53:40,
19,70,1198637557,주식회사제이케이데이터시스템즈,윤재근,분석,249888000.0,87.6,87.88,89.261,0.73832 (100.73832),3 15,2024/09/02 09:10:57,
20,71,1068608755,(주)디제이티,차시환,분석,249900723.0,87.8,87.885,89.266,0.74349 (100.74349),13 9,2024/09/03 08:59:08,
21,72,1138615856,(주)서원티에스,김안수,분석,249922500.0,87.8,87.893,89.273,0.75236 (100.75236),4 14,2024/08/30 15:36:58,
22,73,1198632979,성민전기 주식회사,김미영,분석,249946170.0,88.0,87.902,89.282,0.76200 (100.762),11 3,2024/09/02 23:53:54,
23,74,2068625393,주식회사 성림전설,박상동,분석,249954772.0,88.2,87.905,89.285,0.76550 (100.7655),14 1,2024/08/30 10:45:31,
24,75,1108175767,(주)에스에이치전기,김성태,분석,249955260.0,88.2,87.905,89.285,0.76570 (100.7657),9 12,2024/09/02 15:55:33,
25,76,3128196859,주식회사 가델,김정민,분석,249965100.0,88.2,87.909,89.289,0.76970 (100.7697),9 3,2024/09/02 13:06:07,
26,77,1108130339,(주)기양상사,조효진,분석,249965350.0,88.2,87.909,89.289,0.76980 (100.7698),5 6,2024/08/30 10:41:14,
27,78,1138629821,동문이엔티 주식회사,송요일,분석,249966300.0,88.2,87.91,89.289,0.77019 (100.77019),14 11,2024/08/30 10:01:15,
28,79,1088189685,주식회사 태산정보기술,채연옥,분석,249966555.0,88.2,87.91,89.289,0.77029 (100.77029),7 4,2024/08/31 07:30:25,
29,80,2108160017,(주)누리온정보통신,박종수,분석,249968000.0,88.2,87.91,89.29,0.77088 (100.77088),6 4,2024/08/30 16:13:25,
30,81,1138170266,(주)리빙콘트롤,김병진,분석,249968766.0,88.2,87.911,89.29,0.77119 (100.77119),14 6,2024/09/02 10:58:12,
31,82,2548800191,신용전기통신 주식회사,정원재,분석,249979830.0,88.4,87.915,89.294,0.77570 (100.7757),10 1,2024/09/02 10:34:47,
32,83,2208604531,주식회사 월드린시스템즈,류준열,분석,249987500.0,88.4,87.918,89.297,0.77882 (100.77882),11 5,2024/09/03 09:29:45,
33,84,5298100062,주식회사 알에프코리아,신현성,분석,250045640.0,88.8,87.94,89.317,0.80249 (100.80249),10 9,2024/09/02 09:26:36,
34,85,2068685955,주식회사 스마트웍스,정훈,분석,250048847.0,88.8,87.941,89.319,0.80380 (100.8038),3 15,2024/09/01 09:48:33,
35,86,1238154375,주식회사 씨케이테크피아,이동수,분석,250055232.0,88.8,87.944,89.321,0.80639 (100.80639),6 3,2024/09/02 16:14:04,
36,87,6048111797,주식회사글로벌엔씨,임채익,분석,250074639.0,89.0,87.951,89.328,0.81430 (100.8143),7 14,2024/09/03 08:49:38,
37,88,2158686429,주식회사 비엔솔루트,김진형,분석,250079453.0,89.0,87.953,89.33,0.81626 (100.81626),5 2,2024/09/03 07:36:59,
38,89,1198703753,구루멘토링 주식회사,최동양,분석,250083200.0,89.0,87.954,89.331,0.81778 (100.81778),13 1,2024/09/01 20:36:06,
39,90,2298134599,(주)시에나텔레콤,임종태,분석,250099694.0,89.2,87.961,89.337,0.82450 (100.8245),4 10,2024/09/03 08:32:54,
40,91,1168169996,세리정보기술 주식회사,이금모,분석,250105850.0,89.2,87.963,89.339,0.82700 (100.827),6 12,2024/08/30 13:28:53,
41,92,2068184529,(주)네오티엔씨,조정현,분석,250177810.0,89.8,87.99,89.365,0.85630 (100.8563),13 14,2024/09/02 16:28:03,
42,93,2098113590,(주)통광,박용준,분석,250184957.0,89.8,87.993,89.367,0.85921 (100.85921),13 8,2024/09/02 16:14:32,
43,94,2098127963,상승종합통신 주식회사,조남각,분석,250188616.0,90.0,87.995,89.369,0.86070 (100.8607),9 2,2024/09/02 09:53:34,
44,95,1198684157,(주)이제이정보시스템,정광열,분석,250200161.0,90.0,87.999,89.373,0.86539 (100.86539),12 15,2024/09/03 09:02:33,
45,96,1098630066,주식회사 태양전기,홍석봉,분석,250201096.0,90.0,87.999,89.373,0.86578 (100.86578),9 2,2024/09/03 09:39:20,
