id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
542,20160400401-00,광진소방서 안전체험실 설치 통신공사,서울특별시,서울,14732000,14731450,+3% ~ -3%,0,87.745,714,기,-0.00374
543,E01-16-02479,전력자동화 네트워크용 광케이블 시설공사,한국전력공사,서울,37326573,36135496,0% ~ -8%,0,87.745,659,,-3.19097
544,20160345320-00,분당선 선릉역외 4역 영상감시장치 개량공사,한국철도공사,서울/경기,723394000,708671200,+0% ~ -4%,0,86.745,1644,기,-2.03524
545,20160346695-00,화성직업훈련교도소 영상계호 디지털CCTV 설치공사 소액수의 견적서 제출공고,법무부,서울/인천/경기,30602710,30633425,+2% ~ -2%,0,87.745,1089,기,0.10036
546,20160340588-00,16년도 1차 TIPS타운 BI 공간조성공사(통신),서울지방조달청/사단법인,서울,96709000,96688250,+2% ~ -2%,0,87.745,857,기/협정,-0.02146
547,20160344465-00,종로문화체육센터 고화질 CCTV 카메라 교체 및 신설 공사,서울시,서울,21980000,21939225,+3% ~ -3%,0,87.745,428,기,-0.18551
548,20160339767-00,서울대학교 사범대학 부설고등학교 교사 신축 통신공사 (긴급공고),서울대학교,전국/서울,1029160000,1034897600,+2% ~ -2%,0,86.745,919,기/의무,0.55750
549,20160335425-00,서울대학교 관악수목원 교육관리동 신축 통신공사 (긴급공고),서울대학교,서울/인천/경기,103474000,103805125,+2% ~ -2%,0,87.745,2024,기,0.32000
550,20160340793-00,민방위경보사이렌 이전 설치 공사,서울특별시,서울,9270000,9304975,+3% ~ -3%,0,87.745,318,기,0.37729
551,20160336948-00,세운상가 활성화를 위한 공공공간 조성 통신공사(장계속),서울특별시/서울특별시,서울,506390000,500188050,+3% ~ -3%,0,86.745,892,기,-1.22474
552,20160329024-00,2016년 CCTV 카메라 이설공사,서울특별시,서울/인천,19441920,19453025,+3% ~ -3%,0,87.745,919,기,0.05711
553,20160332026-00,"서울성원초등학교 다목적강당 및 급식실, 강당 증축 통신 공사",서울특별시교육청,서울,83410000,83036375,+3% ~ -3%,0,87.745,1011,기,-0.44794
554,20160328851-00,서울월촌초등학교 다목적강당 및 급식시설 증축 통신공사,서울특별시교육청,서울,115401000,114424450,+3% ~ -3%,0,87.745,939,기,-0.84623
555,20160319448-01,성심사회복지법인성심원신축공사(정보통신)입찰공고(긴급) (정정공고),성심,서울/경기,887040000,879626625,+3% ~ -3%,0,86.745,1604,기/정,-0.83575
556,20160328248-00,재난안전안내 방송시스템 구축 통신공사(소액),서울과학기술대학교,서울,42372000,42333375,+2% ~ -2%,0,87.745,912,,-0.09116
557,20160329548-00,무인과속단속카메라 설치 공사,서울특별시,서울,34496000,33969800,+3% ~ -3%,0,87.745,30,기,-1.52540
558,20160328794-00,서울등촌초등학교 다목적강당 및 급식시설 증축 통신공사,서울특별시교육청,서울,64832000,63885675,+3% ~ -3%,0,87.745,976,기,-1.45966
559,20160320874-00,통합관제센터 자가통신망 이중화 공사,서울특별시,서울,44935000,44539175,+3% ~ -3%,0,87.745,874,기,-0.88089
560,KRA2016030690,외국인 전용 장외발매소 정보통신 공사,한국마사회,서울,139456000,137597250,3% ~ -3%,0,87.745,372,,-1.33286
561,E01-16-01981,연대변전소 외 3개소 무인보안시스템 교체공사,한국전력공사,서울,138690703,129341224,0% ~ -8%,0,87.745,704,,-6.74125
562,20160315860-03,마곡광장 조성 정보통신공사 (정정공고),서울주택도시공사,전국/서울,1062046000,1058350125,+3% ~ -3%,0,86.745,985,기/정/의무,-0.34800
563,20160318473-00,한국건강증진개발원 시설공사(정보통신) (긴급공고),한국건강증진개발원,서울,20000000,19904400,+2% ~ -2%,0,87.745,743,,-0.47800
