id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%)
22,20161212242-00,분당선 대모산입구역외 1역 승강장안전문 설치 영상설비 개량 타공사,한국철도공사,서울/경기,358025000,350873500,+0% ~ -4%,0,86.745,1723,기,-1.99749
23,20161212124-00,분당선 구룡역외 1역 승강장안전문 설치 영상설비 개량 타공사,한국철도공사,서울,412935000,403278575,+0% ~ -4%,0,86.745,876,기,-2.33849
24,20161212737-00,2017년 서울시 서소문청사 통신시스템 유지관리용역,서울특별시,서울,151537000,151843175,+3% ~ -3%,0,87.745,42,기/협정,0.20204
25,20161217637-00,신연중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,38229000,38433575,+3% ~ -3%,0,87.745,958,,0.53513
26,20161217617-00,신수중 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,36504000,36534075,+3% ~ -3%,0,87.745,956,,0.08238
27,20161217603-00,서울안산초등학교 급식실 및 학생식당 증축 통신 공사,서울특별시교육청,서울,27720000,28013600,+3% ~ -3%,0,87.745,897,,1.05916
28,20161217435-00,길음역 신호계실 비상출입문 설치에 따른 PSD제어반(TIP) 이설공사,서울교통공사,서울,11342210,11149475,+3% ~ -3%,0,87.745,517,기,-1.69928
29,20161215855-00,올림픽공원 몽촌해자 CCTV 설치공사 견적제출(기업대상) 공고,서울올림픽기념국민체육진흥공단,서울,37122400,37242650,+2% ~ -2%,0,87.745,61,여성,0.32392
30,2016-18939,00부대 종교센터 통신공사(16-2074),국군재정관리단,서울,51149000,50061730,0.0% ~ -3.0%,0,87.745,728,,-2.12570
31,20161212342-00,2017년도 서울과학수사연구소 통신(전화)시설 유지보수 용역,행정안전부,서울/경기,3450000,3453150,+2% ~ -2%,0,88,22,,0.09130
32,20161213095-00,2017년 정보화시스템 유지보수 용역 (긴급공고),서울특별시,서울,98260000,97796025,+3% ~ -3%,0,87.745,11,기,-0.47220
33,20161212682-00,2017년 가로등 점소등제어시스템 유지보수 용역,서울특별시,서울/인천/경기,43200000,43224025,+3% ~ -3%,0,87.745,19,기,0.05561
34,20161211530-00,망우경로복지관 신축 통신공사,서울지방조달청/서울특별시,서울,66443000,65702700,+3% ~ -3%,0,87.745,958,기/협정,-1.11419
35,20161210983-00,경부선 금천구청~수원간 광케이블 보수 타공사,한국철도공사,서울/경기,132220000,130924625,0% ~ -4%,0,87.745,1766,기,-0.97972
36,20161213137-00,흑석체육센터 개보수 정보통신공사,서울특별시,서울,27390000,27044875,+3% ~ -3%,0,87.745,853,,-1.26005
37,20161211706-00,영등포 인공암벽장 건립 통신공사,서울특별시,서울,14223000,14230850,+3% ~ -3%,0,87.745,716,기,0.05519
38,20161208754-00,경원선 광운대역 승강장 개량에 따른 지장 통신설비 이설공사,한국철도공사,서울,42882000,42094725,+0% ~ -4%,0,87.745,919,기,-1.83592
39,20161207512-00,2017년도 터널 및 지하차도 CCTV시스템 유지관리용역,서울특별시,서울,21615000,21803250,+3% ~ -3%,0,90,208,기/협정,0.87092
40,20161206300-00,2017년 무선인터넷(WiFi)시스템 유지보수 용역,서울특별시,서울,255076000,253682700,+3% ~ -3%,0,86.745,37,기/협정,-0.54623
41,20161126305-01,FITI시험연구원 마곡 신사옥 신축공사(통신) (공고),재단법인FITI시험연구원,서울,2748600800,2704623187,+3% ~ -3%,0,86.745,31,정,-
42,20161211340-00,강동구청 제2청사 친환경 리모델링 통신공사 (긴급공고),서울특별시,서울,353650000,351745625,+3% ~ -3%,0,86.745,945,기,-0.53850
43,20161211318-00,2016년 양녕대군 이제묘역 방범시설(cctv) 설치공사,서울특별시,서울,36630000,36142925,+3% ~ -3%,0,87.745,920,기,-1.32972
44,20161212104-00,2016년 생활권 공원녹지 조성사업관련 CCTV 설치공사(긴급) (긴급공고),서울특별시,서울,34800700,34472925,+3% ~ -3%,0,87.745,154,기,-0.94187
45,20161204190-00,강서시장 유통시설 증축 및 방음벽 건립공사(정보통신),서울특별시농수산식품공사,서울,320310000,318911100,+3% ~ -3%,0,87.745,970,,-0.43674
46,20161205291-01,서울혁신파크 1단계 조성 정보통신공사(장기계속)-도기본 (긴급공고) (정정공고),서울특별시/서울특별시,전국/서울,1390230000,1367426775,+3% ~ -3%,0,86.745,834,기/정/의무,-1.64025
47,E011622057,154kV 강남S/S 무인보안시스템 시설공사,한국전력공사,서울,82863000,80156415,0% ~ -8%,0,87.745,694,,-3.26634
48,20161208090-00,서림동 제3구립경로당 신축공사(통신) (긴급공고),서울특별시,서울,8987000,9050500,+3% ~ -3%,0,87.745,449,,0.70657
49,20161207169-00,"마곡8,10,11,12단지 내 국공립어린이집 리모델링 공사-통신",서울특별시,서울,23962000,23836200,+3% ~ -3%,0,87.745,871,,-0.52500
50,20161204541-00,2017년 공영주차장 주차관제 및 CCTV시스템 유지보수(연간단가),서울특별시,서울,26901000,26772800,+3% ~ -3%,0,87.745,50,기,-0.47657
51,2016-18998,00부대 취사장/합주실 통신공사(16-2079),국군재정관리단,서울,305834000,301546818,0.0% ~ -3.0%,0,87.745,684,,-1.40181
52,20161203092-00,2017년 한강교량 CCTV 영상감시출동시스템 유지관리 용역,서울특별시,서울,164241000,165656000,+3% ~ -3%,0,87.745,74,기,0.86153
53,20161208617-00,2016년 조직개편(신정기지)정보통신공사-철도장비사업소,서울교통공사,서울,19315820,19321500,+3% ~ -3%,0,87.745,753,,0.02940
54,20161208576-00,안전관리관 운영에 따른 정보통신공사,서울교통공사,서울,5569740,5550525,+3% ~ -3%,0,87.745,392,,-0.34499
55,20161208515-00,군자차량기지 정비공장 시설개량 정보통신공사,서울교통공사,서울,76436000,76615675,+3% ~ -3%,0,87.745,1001,,0.23506
56,20161207051-00,용역(수의)견적제출 안내공고(2017년 인터넷전화(IPT)시스템 유지보수 용역,경기도,서울/경기,51010000,50354925,+3% ~ -3%,0,87.745,14,기,-1.28421
57,20161202558-00,서울의료원 전문병동 시설보강 통신공사 입찰공고,서울특별시,서울,26268000,26122400,+3% ~ -3%,0,87.745,823,,-0.55429
58,20161205220-00,사당1동 어르신복합시설 신축 정보통신공사,서울특별시,서울,24090000,24181175,+3% ~ -3%,0,87.745,848,기,0.37847
59,20161201525-00,2017년 교통정보용 CCTV카메라 유지보수공사 단가계약,서울특별시,서울,170000000,170410125,+3% ~ -3%,0,87.745,446,기,0.24125
60,20161201346-00,2017년 불법 주정차 고정형 무인단속 CCTV 유지보수 용역,서울특별시,서울/경기,112904000,112543900,+3% ~ -3%,0,87.745,146,기,-0.31895
61,20161133553-00,창덕궁 매표소 주변 철거 정비 공사(통신) (긴급공고),화재청,서울,21754040,21945075,+2% ~ -2%,0,87.745,809,기,0.87815
62,20161133226-00,서울관악초등학교 복합화시설 증축 통신공사,서울특별시교육청,서울,170592000,169112575,+3% ~ -3%,0,87.745,1003,기,-0.86723
63,20161201731-00,무학여고 선로정비 통신공사 (긴급공고),서울특별시교육청,서울,97522000,97255325,+3% ~ -3%,0,87.745,922,,-0.27346
64,20161201153-00,지하철 종로3가역 외부 승강편의시설(1단계) 설치 전자공사,서울교통공사,서울,76940400,77596750,+3% ~ -3%,0,87.745,991,기,0.85306
65,20161133220-00,서울신봉초등학교 강당겸체육관 증축 통신공사,서울특별시교육청,서울,49071000,49296675,+3% ~ -3%,0,87.745,1029,기,0.45989
66,20161118699-00,서울녹원초등학교 교사 신축 통신 공사,서울지방조달청/서울특별시서부교육청,전국/서울,545437000,545482050,+3% ~ -3%,0,86.745,1039,기/의무,0.00825
67,20161133510-00,중곡1동주민센터 리모델링공사 통신공사,서울특별시,서울,169015000,169558850,+3% ~ -3%,0,87.745,1009,,0.32177
68,20161134436-00,서애 대학문화거리 cctv 이설공사,서울특별시,서울,24992000,24849475,+3% ~ -3%,0,87.745,857,기,-0.57029
69,20161201563-00,서북병원 BL3실험실 구축 정보통신공사 시행,서울특별시,서울,67056000,66826050,+3% ~ -3%,0,87.745,1042,,-0.34293
70,20161133956-00,모두의학교 리모델링 정보통신공사,서울특별시,서울,229940000,231089750,+3% ~ -3%,0,87.745,988,,0.50002
71,20161122359-00,중앙보훈병원 보훈의학연구소 건립 및 장례식장 증축 통신공사,서울지방조달청/한국보훈복지의료공단,서울,664112000,667064050,+2% ~ -2%,0,86.745,850,기/협정,0.44451
72,20161203010-00,수위모니터링시스템 설치 공사 (긴급공고),서울특별시,서울,18953000,19054225,+3% ~ -3%,0,87.745,15,,0.53408
73,20161133534-00,답십리청솔우성 인터폰설비 교체공사,서울주택도시공사,서울,56826000,56783150,+3% ~ -3%,0,87.745,944,기,-0.07541
74,E011621828,154kV 구공-독산변전소 광케이블 시설공사(전자제어부),한국전력공사,서울,47759190,45424565,0% ~ -8%,0,87.745,651,,-4.88833
75,20161120132-00,금천경찰서 신축 통신 공사,서울지방조달청/경찰청,전국/서울,1287656000,1289787125,+2% ~ -2%,0,86.745,846,기/의무,0.16550
76,2016-18404,00사업 통신공사(16-2067),국군재정관리단,서울,646168000,638097903,0.0% ~ -3.0%,0,86.745,689,,-1.24892
77,2016-18428,16-공-아파트리모델링 통신공사(4144),국군재정관리단,서울,346412000,342247046,0.8% ~ -3.0%,0,86.745,726,,-1.20232
78,20161133144-00,TV중계방송시스템 유지관리 용역,서울특별시,서울,43705200,44127875,+3% ~ -3%,0,87.745,31,기,0.96710
79,20161133121-00,원지동 다목적체육관 건립공사(통신)-장계속공사 (긴급공고),서울특별시,서울,364760000,362897025,+3% ~ -3%,0,86.745,930,기,-0.51074
80,20161132845-00,돌샘행복마을 복합시설 신축공사(통신) (긴급공고),서울특별시,서울,27720000,27941750,+3% ~ -3%,0,87.745,884,,0.79996
81,20161131226-00,2017년 은평병원 정보통신 및 회선 유지보수 용역,서울특별시,서울,95929000,96778500,+3% ~ -3%,0,87.745,35,,0.88555
82,2016-18598,화랑 사열대 관람석 통신 공사,육군사관학교,서울,26776888,26552979,3.0% ~ -3.0%,0,87.745,573,,-0.83621
83,20161132233-00,보건소 시민건강관리센터 리모델링 공사(통신),서울특별시,서울,30690000,30664500,+3% ~ -3%,0,87.745,928,,-0.08309
84,20161134561-00,2016년 여성안전 확보를 위한 비상벨 설치공사(긴급) (긴급공고),서울특별시,서울,34200000,34205075,+3% ~ -3%,0,87.745,419,기,0.01483
85,20161128922-00,신림중학교 강당겸체육관 증축 및 타 통신공사,서울특별시교육청,서울,54604000,54998300,+3% ~ -3%,0,87.745,985,기,0.72210
86,20161101333-00,광케이블 교체 및 증설공사,서울교통공사,전국/서울,0,6285765870,+3% ~ -3%,0,1,447,기/의무,85.495
87,20161129839-00,구립 구의1동 아이터어린이집 신축 통신공사,서울특별시,서울,35134000,34883125,+3% ~ -3%,0,87.745,990,,-0.71406
88,20161121197-00,서울대학교 2016년 하반 노후 통신케이블(UTP) 교체 공사,서울대학교,서울,202289000,204393350,+2% ~ -2%,0,87.745,946,기,1.04026
89,E011621729,2016년 동서울P/O 보호계전기 데이터 원격취득시스템(PDAS) 포트 증설공사,한국전력공사,서울/경기,19950117,19244802,0% ~ -8%,0,87.745,977,,-3.53540
90,20161130410-00,창4동 주민센터 신축 통신공사 (긴급) (긴급공고),서울특별시,서울,60390000,59396025,+3% ~ -3%,0,87.745,1011,,-1.64593
91,20161128268-00,예술의전당 음악당주차장 공작물 축조 및 노후시설개선공사(정보통신공사),예술의전당,서울,240867000,241073600,+2% ~ -2%,0,87.745,955,,0.08577
92,20161127346-00,영등포노인케어센터 증축 통신공사(장계속),서울특별시,서울,158389000,159222550,+3% ~ -3%,0,87.745,985,기,0.52626
93,20161129898-00,서울안전통합센터 충무시설 영상음향시스템 유지관리 용역,서울특별시,서울,32644560,32523900,+3% ~ -3%,0,87.745,53,기,-0.36962
94,E011621680,2016년 강남P/O 보호계전기 데이터 원격취득시스템(PDAS) 포트 증설공사,한국전력공사,서울,19553585,18605480,0% ~ -8%,0,87.745,404,,-4.84876
95,20161129239-00,서울정심초등학교 체육관 및 급식시설 증축 통신공사,서울특별시교육청,서울,72016000,72809650,+3% ~ -3%,0,87.745,1049,기,1.10204
96,20161129975-00,2017년 정보통신시스템 통합 유지보수 용역 (긴급공고),서울특별시,서울,427713000,422436150,+3% ~ -3%,0,86.745,43,기,-1.23374
97,20161126176-00,봉제박물관 건립 정보통신공사,서울특별시,서울,113608000,112926675,+3% ~ -3%,0,87.745,1003,,-0.59972
98,20161123532-00,대전차방호시설 예술창작공간 조성 통신공사,서울특별시,서울,94140000,93258650,+3% ~ -3%,0,87.745,1003,기,-0.93622
99,20161127650-00,디지털 시민 시장실 정보통신공사 (긴급공고),서울특별시,서울,119149000,118843725,+3% ~ -3%,0,87.745,590,기,-0.25622
100,20161124874-01,육사 태릉체육관 리모델링 통신공사 (정정공고),서울특별시,서울,28600000,28801100,+3% ~ -3%,0,87.745,942,기/정,0.70314
101,20161124031-00,경춘선 폐선부지 공원조성 통신공사(3단계)(연간단가)-도본 (긴급공고),서울특별시/서울특별시,서울,540980000,542355475,+3% ~ -3%,0,86.745,928,기,0.25425
102,20161127621-00,도서관 퍼포먼스홀 설치 정보통신공사,서울과학기술대학교,서울,33589000,33626425,+2% ~ -2%,0,87.745,937,,0.11142
103,2016-18246,국방대 재경학습관 리모델링 통신공사,국방대학교,서울,42249000,42333384,3.0% ~ -3.0%,0,87.745,614,,0.19973
104,20161123155-00,가칭)금천한울문화예술학교 리모델링 통신공사 (긴급공고),서울특별시교육청,서울,293000000,292527575,+3% ~ -3%,0,87.745,967,기,-0.16124
105,20161128982-00,자전거도로 불법주정차단속 CCTV 설치 공사,서울특별시,서울,83890000,84035400,+3% ~ -3%,0,87.745,513,기,0.17332
106,20161128122-00,여성승무원 침실조성 정보통신공사,서울교통공사,서울/경기,48141100,48037400,+3% ~ -3%,0,87.745,1927,,-0.21541
107,20161128098-00,강변역 방송장치 이설 정보통신공사,서울교통공사,서울,19206000,19280400,+3% ~ -3%,0,87.745,775,기,0.38737
108,20161126679-00,서울은빛초등학교 특별교실 증축 통신 공사(장계속),서울특별시교육청,서울,80773000,81250625,+3% ~ -3%,0,87.745,1046,기,0.59131
109,20161122422-00,마포구 보훈회관 정보통신공사(장기계속공사),서울특별시,서울,65881000,65726050,+3% ~ -3%,0,87.745,994,,-0.23520
110,20161120962-00,서울창업허브 별관 리모델링 정보통신공사(장계속)-도본,서울특별시/서울특별시,서울,484712000,490391650,+3% ~ -3%,0,86.745,933,기,1.17175
111,20161124936-00,경부선 용산역 리뉴얼사업 관련 정보통신설비 이설공사,한국철도공사,서울,68519000,67085125,+0% ~ -4%,0,87.745,980,기,-2.09267
112,20161124932-00,역무자동화설비 무인충전 등 이설 및 철거 타공사,한국철도공사,서울/인천/경기/충남,43470000,42437750,0% ~ -4%,0,87.745,2003,기,-2.37463
113,20161124644-00,철도교통관제센터 TETRA 무선지국 보수공사,한국철도공사,서울,75108000,74117550,0% ~ -4%,0,87.745,892,기,-1.31871
114,20161123321-00,성북승무사업소 방송설비 보수 타공사,한국철도공사,서울,69959000,68898475,+0% ~ -4%,0,87.745,970,기,-1.51593
115,20161119471-01,2016년도 은평고등학교 CCTV설비 시설개선 통신공사 소액수의 견적 공고 (공고),서울특별시교육청,서울,64460000,64146275,+3% ~ -3%,0,87.745,1048,정,-0.48670
116,20161121835-00,전쟁기념관 CCTV 관제설비 구매설치 공사 입찰공고(긴급) (긴급공고),국방부,서울,134000000,134294175,+2% ~ -2%,0,87.745,170,,0.21953
117,20161118840-00,서울의료원 국가지정 음압입원치료병상확충 통신공사 입찰공고,서울특별시,서울,23494000,23554475,+3% ~ -3%,0,87.745,807,,0.25740
118,20161116682-00,신사중학교 체육관 증축 통신공사,서울특별시강남서초교육지원청,서울,48413000,48566150,+3% ~ -3%,0,87.745,1002,,0.31634
119,20161116042-00,서울우암초등학교 급식실 및 체육관 증축 통신공사,서울특별시강남서초교육지원청,서울,38830000,38664925,+3% ~ -3%,0,87.745,974,,-0.42513
120,20161117941-00,사회적경제-마을공동체센터 설치공사(통신),서울특별시,서울,60060000,60520400,+3% ~ -3%,0,87.745,1050,기,0.76656
121,20161122899-00,방배본동 국공립어린이집 신축공사(통신),서울특별시,서울,42350000,42314700,+3% ~ -3%,0,87.745,989,기,-0.08336
122,20161119120-00,일산선 주엽역 등 115역 역무자동화설비 이설 타공사,한국철도공사,서울/인천/경기/충남,278045000,273357200,0% ~ -4%,0,87.745,2108,기,-1.68599
123,20161104899-00,전쟁기념관 광통신망 구축 공사,서울지방조달청/국방부,서울,368298000,367824775,+2% ~ -2%,0,86.745,889,기/협정,-0.12849
124,20161114066-01,가산동 32번지 일대 도시경관 개선사업 방범용 CCTV 설치공사 (공고),서울특별시,서울,106550000,106844150,+3% ~ -3%,0,87.745,551,정,0.27606
125,20161121064-00,대림3동 제2어린이집 신축 통신공사,서울특별시,서울,32956000,33264100,+3% ~ -3%,0,87.745,911,기,0.93488
126,20161117376-00,경원선 외대앞역 등 9역 승강장안전문 설치에 따른 정보통신설비 이설공사,한국철도공사,서울/경기,376746000,371800300,+0% ~ -4%,0,86.745,1779,기,-1.31275
127,20161118132-00,양천구청역(신정차량기지)출입통제게이트 설치 전자공사,서울교통공사,서울,20955880,21070550,+3% ~ -3%,0,87.745,735,,0.54719
128,20161113463-00,마곡엠밸리7단지 주차관제설비 추가 공사,서울주택도시공사,서울,227712000,228419675,+3% ~ -3%,0,87.745,312,,0.31077
129,20161108732-00,국립고궁박물관 노후 CCTV정비(1차),문화재청,서울,68045510,67216050,+2% ~ -2%,0,87.745,936,기,-1.21898
130,20161117361-00,서초1동 국공립어린이집 리모델링공사(통신),서울특별시,서울,34980000,35206900,+3% ~ -3%,0,87.745,959,기,0.64865
131,20161114166-00,양평2동 공공복합시설 건립 통신공사-장계속 (긴급공고),서울특별시,서울,302705000,299436575,+3% ~ -3%,0,87.745,929,기,-1.07974
132,20161112555-00,방배3동주민센터 이전을 위한 여성회관 리모델링공사(통신),서울특별시,서울,210870000,213369900,+3% ~ -3%,0,87.745,963,,1.18551
133,20161110953-00,시지정문화재 용강동 정구중가옥 방법방재시설 설치공사,서울특별시,서울,99957000,100737700,+3% ~ -3%,0,87.745,107,기/협정,0.78103
134,20161112316-00,지방공기업평가원,지방공기업평가원,서울,134420000,134534300,+2% ~ -2%,0,87.745,848,,0.08503
135,20161108841-02,부천지청 구치감 전자잠금설비 구축 공사 (긴급공고) (정정공고),대검찰청,서울/인천/경기,45000000,44869750,+2% ~ -2%,0,87.745,440,기/정,-0.28945
136,20161113279-00,영등포역 맞이방 개량에 따른 역무지원설비 이설타공사,한국철도공사,서울,33462000,32820650,+0% ~ -4%,0,87.745,862,기,-1.91666
137,20161108763-00,구 본청 지하종합상황실 내진 보강공사,서울특별시,서울,32956000,32931925,+3% ~ -3%,0,87.745,879,,-0.07306
138,20161106793-00,나라키움 신사동빌딩 개발사업 정보통신공사,한국자산관리공사,서울,297891000,296727050,+2% ~ -2%,0,87.745,888,기/협정,-0.39074
139,20161112543-00,경인선 오류~온수역간 지장통신선로 이설공사,한국철도공사,서울,50935000,49908350,0% ~ -4%,0,87.745,945,기,-2.01561
140,20161112381-00,2017년 인터넷전화(IPT)시스템 유지보수 용역,경기도,서울/경기,48300000,48339525,+3% ~ -3%,0,87.745,13,기,0.08183
141,20161110503-00,삼성역 16신호 진로추가에 따른 신호설비공사,서울교통공사,서울,21529150,21470475,+3% ~ -3%,0,87.745,172,기,-0.27254
142,20161110031-00,세종대로 일대 역사문화 특화공간 조성 통신공사,서울특별시,서울,128313000,129044425,+3% ~ -3%,0,87.745,989,기,0.57003
143,20161107727-00,광화문외 2역 승강편의시설 설치 통신공사(29공구),서울특별시,서울,84755840,85065250,+3% ~ -3%,0,87.745,943,기,0.36506
144,20161107691-00,2016년 7호선 연장구간 능실조성 통신공사,서울특별시,서울/인천/경기,8178880,8068200,+3% ~ -3%,0,87.745,922,기,-1.35325
145,20161107659-00,중화 등 2역 승강장안전문설비(PSD) 케이블 이설공사,서울특별시,서울,49765264,49576100,+3% ~ -3%,0,87.745,875,기,-0.38012
146,20161107598-00,차량기지 시설방호 CCTV 신설 및 개량 정보통신공사,서울교통공사,전국/서울,585589000,582144325,+3% ~ -3%,0,86.745,1039,기/의무,-0.58825
147,20161106925-00,분당선 이매역 등 4역 영상감시장치 개량공사,한국철도공사,서울/경기,387305000,380568850,+0% ~ -4%,0,86.745,1793,기,-1.73924
148,20161104613-01,덕수궁 사무실 이전에 따른 기반시설 정비공사(통신) (긴급공고) (정정공고),문화재청,서울,10693760,10703700,+2% ~ -2%,0,87.745,568,기/정,0.09295
149,2016-16666,생물독소감시기 통신공사,제1596부대,서울,105193000,104536019,0.0% ~ -3.0%,0,87.745,644,,-0.62455
150,20161107183-00,영신여자고등학교 강담 겸 체육관 정보통신 증축공사 (긴급공고),서울특별시교육청,서울,66916000,66272500,+2% ~ -2%,0,87.745,976,,-0.96166
151,20161107132-00,독산고등학교 탁구전용관 증축 통신공사,서울특별시교육청,서울,62458000,63076050,+3% ~ -3%,0,87.745,1031,기,0.98954
152,20161105956-00,디지털미디어시티역 노조사무실 전산네트워크(LAN) 공사,서울특별시,서울,12958352,12913675,+3% ~ -3%,0,87.745,639,기,-0.34478
153,2016-16633,00지역 시설 통신공사,국방부근무지원단,서울,27000000,26935973,3.0% ~ -3.0%,0,87.745,615,,-0.23714
154,20161107706-00,덕산중학교 급식실 및 식당 증축 통신 공사,서울특별시교육청,서울,41096000,41399450,+3% ~ -3%,0,87.745,945,기,0.73839
155,20161102778-00,2016 영등포구 책이음서비스 구축용역 입찰 공고,재단법인,서울/경기,150245000,151461650,+3% ~ -3%,0,87.745,13,,0.80977
156,20161100085-00,전파종합관제센터 구축(정보통신공사),서울지방조달청/미래창조과학부,서울,142315000,142481900,+2% ~ -2%,0,87.745,919,기/협정,0.11727
157,20161103055-00,DMC역 노조사무실 조성에 따른 정보통신공사,서울특별시,서울,25358432,25630000,+3% ~ -3%,0,87.745,827,,1.07091
158,2016-16410,00지역 시설보수 통신공사,국방부근무지원단,서울,96000000,96648988,3.0% ~ -3.0%,0,87.745,731,,0.67602
159,20161103523-00,행당한진외 1개단지 전관 방송설비 교체공사,서울주택도시공사,서울,48000000,48149675,+3% ~ -3%,0,87.745,914,기,0.31182
160,20161028507-00,사물인터넷 실증지역 무선인프라 구축,서울특별시,서울,330088000,331358075,+3% ~ -3%,0,86.745,851,기,0.38476
161,20161104722-00,경부선 영등포역 맞이방 개량에 따른통신설비 신설 타공사,한국철도공사,서울,45300000,44827125,0% ~ -4%,0,87.745,932,기,-1.04388
162,20161102871-00,성동구립도서관 CCTV 추가 설치공사 소액수의 견적제출,재단법인,서울/경기,13000000,13014650,+3% ~ -3%,0,87.745,1120,기,0.11269
163,20161102850-00,강남어린이집 대수선 정보통신공사,서울특별시,서울,41008000,41220750,+3% ~ -3%,0,87.745,987,기,0.51880
164,20161030415-00,신사동 공공도서관 건립 통신공사,서울특별시,서울,102740000,102567700,+3% ~ -3%,0,87.745,989,,-0.16771
165,20161029015-00,서울영중초등학교 체육관 및 특별교실 타증축 통신공사,서울특별시교육청,서울,116552000,116955600,+3% ~ -3%,0,87.745,1009,기,0.34628
166,20161102993-00,구립삼전2어린이집 신축 공사(정보통신),서울특별시,서울,35063000,35263925,+3% ~ -3%,0,87.745,947,기,0.57303
167,20161100937-00,신공덕삼성 세대 인터폰설비 교체공사,서울주택도시공사,서울,33437000,33644375,+3% ~ -3%,0,87.745,866,기,0.62019
168,20161029029-00,화랑야구장 전광판 제작 설치(화랑야구장 조성공사),서울특별시,서울,56540000,57138950,+3% ~ -3%,0,87.745,100,기,1.05933
169,20161027340-01,"동일중 급식실 및 동광초 특별교실, 체육관 증축공사(통신) (긴급공고) (정정공고)",서울특별시교육청,서울,70994000,71371550,+2% ~ -2%,0,87.745,1042,기/정,0.53180
170,20161100834-00,신정기지 전자수선반 환경개선 정보통신공사,서울교통공사,서울,8303200,8296350,+3% ~ -3%,0,87.745,466,,-0.08250
171,20161100620-00,강변역 정보통신기계실 환경개선 정보통신공사,서울교통공사,서울,24638000,24680375,+3% ~ -3%,0,87.745,864,,0.17199
172,20161028007-00,화곡 등 6개역 서비스지원사업소 조성 정보통신공사,서울특별시,서울/경기,48604800,48219675,+3% ~ -3%,0,87.745,1806,기,-0.79237
173,2016-16432,영내 광 케이블 설치공사,제1596부대,서울,26655503,26119434,0.0% ~ -3.0%,0,87.745,554,,-2.01111
174,20161018226-01,경부선 대방역 및 경인선 인천역 고승강장 접이식 안전발판설치공사 (정정공고),한국철도공사,전국/서울/인천,1493368000,1460842500,0% ~ -4%,0,86.745,752,기/정/의무/특허,-2.17800
175,20161028421-00,무단투 단속장비(영상감시장치) 설치 공사 시행(긴급) (긴급공고),서울특별시,서울,38741000,38819600,+3% ~ -3%,0,87.745,151,기,0.20288
176,20161028714-00,서울시설공단 직장어린이집 건립 통신공사,서울시설공단,서울,38718000,38078250,+3% ~ -3%,0,87.745,971,기,-1.65234
177,20161025789-00,응암 외 5역 여직원침실 및 타 통신공사,서울특별시,서울/경기,27240160,27153100,+3% ~ -3%,0,87.745,1655,기,-0.31961
178,20161012050-00,한국고전번역원 청사이전 신축사업(통신),서울지방조달청/한국고전번역원,서울,494626000,494154900,+2% ~ -2%,0,86.745,864,기/협정,-0.09525
179,2016-16021,화방사연구소 경계력보강 정보통신공사,제8090부대,서울,86960000,85822581,3.0% ~ -3.0%,0,87.745,623,,-1.30798
180,20161024590-00,경부선 노량진역 승강장안전문 설치에 따른 통신설비 신설타공사,한국철도공사,서울,509911000,500883075,0% ~ -4%,0,86.745,873,기,-1.77050
181,20161024219-00,2016년 5호선 김포공항 등 10역 전자설비 이설공사,서울특별시,서울,43649640,44217025,+3% ~ -3%,0,87.745,871,기,1.29986
182,20161021561-00,2016년 CCTV 성능개선 공사(긴급) (긴급공고),서울특별시,서울,89290300,88566450,+3% ~ -3%,0,87.745,158,,-0.81068
183,20161018100-00,김포공항 항공지원센터 영상감시장치(CCTV) 설치 정보통신공사,한국공항공사,서울,134481000,133195400,+2% ~ -2%,0,87.745,957,기,-0.95598
184,20161022613-00,서비스지원사업소 조성공사(전자분야 전산네트워크),서울특별시,서울/경기,21786270,21768525,+3% ~ -3%,0,87.745,1478,기,-0.08146
185,20161020208-00,2016년 임대아파트 CCTV 교체 공사(4권역),서울주택도시공사,서울,243662000,243108950,+3% ~ -3%,0,87.745,936,,-0.22698
186,20161020199-00,2016년 임대아파트 CCTV 교체 공사(3권역),서울주택도시공사,서울,261942000,261858875,+3% ~ -3%,0,87.745,941,,-0.03174
187,20161020189-00,2016년 임대아파트 CCTV 교체 공사(2권역),서울주택도시공사,서울,262933000,258525000,+3% ~ -3%,0,87.745,941,,-1.67648
188,20161020166-00,2016년 임대아파트 CCTV 교체 공사(1권역),서울주택도시공사,서울,256326000,258099825,+3% ~ -3%,0,87.745,938,,0.69201
189,20161022577-00,2016년 PSD 사무실 조성 정보통신공사,서울교통공사,서울,83914700,84078825,+3% ~ -3%,0,87.745,1045,기,0.19558
190,20161022969-00,서울교대 내 국공립어린이집 설치공사(통신),서울특별시,서울,59290000,58942600,+3% ~ -3%,0,87.745,1023,기,-0.58594
191,20161019013-00,2016년도 역구내 통신케이블 수선 및 타공사,서울교통공사,서울,168383270,167569200,+3% ~ -3%,0,87.745,962,기,-0.48347
192,20161005812-00,국립중앙도서관 본관 노후설비 교체공사(통신),서울지방조달청/문화체육관광부,서울,530732000,529478175,+2% ~ -2%,0,86.745,850,기/협정,-0.23625
193,20161008924-04,워커힐실버타운 증축 통신공사 (정정공고),워커힐실버타운,서울,49489000,49080025,+3% ~ -3%,0,87.745,25,기/정/현필,-0.82640
