순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,3148608337,주식회사 원테크,,분석,1005171447,89.813,90.462,0.3025 (100.3025),3 12,2020/11/03 09:52:01,미심사
2,1428800582,엘제이테크 주식회사,,분석,1005201510,89.816,90.465,0.3055 (100.3055),13 1,2020/11/02 13:30:22,미심사
3,1178107843,선명전자통신주식회사,,분석,1005203670,89.816,90.465,0.3057 (100.3057),4 12,2020/10/30 20:16:09,미심사
4,6075178688,하이눈정보통신,,분석,1005213537,89.817,90.466,0.3067 (100.3067),12 15,2020/11/01 19:50:44,미심사
5,1358101930,한동건설(주),,분석,1005217000,89.818,90.466,0.3070 (100.307),12 14,2020/10/30 10:36:05,미심사
6,1018148698,(주)석산텔레콤,,분석,1005220551,89.818,90.466,0.3074 (100.3074),15 5,2020/10/30 17:00:00,미심사
7,4028163632,주식회사 예원엔지니어링,,분석,1005224780,89.818,90.467,0.3078 (100.3078),6 4,2020/11/03 09:01:41,미심사
8,1288647952,주식회사 기산이앤씨,,분석,1005225561,89.818,90.467,0.3079 (100.3079),15 2,2020/10/30 15:15:17,미심사
9,1198649126,태광에스엠주식회사,,분석,1005229672,89.819,90.467,0.3083 (100.3083),7 15,2020/11/02 10:41:22,미심사
10,1288165066,(주)지구정보기술,,분석,1005235590,89.819,90.468,0.3089 (100.3089),8 1,2020/10/30 10:00:20,미심사
11,3058199713,태웅미디어(주),,분석,1005246885,89.82,90.469,0.3100 (100.31),1 15,2020/11/02 10:27:01,미심사
12,1358144225,(주)형제파워텔,,분석,1005255626,89.821,90.47,0.3109 (100.3109),7 10,2020/11/02 16:44:26,미심사
13,4098606490,서경정보통신 주식회사,,분석,1005257600,89.821,90.47,0.3110 (100.311),4 3,2020/11/02 14:31:20,미심사
14,2038149028,대륭중공건설(주),,분석,1005261428,89.822,90.47,0.3114 (100.3114),13 4,2020/11/03 12:03:35,미심사
15,1238184001,주식회사 삼도텔레콤,,분석,1005266650,89.822,90.471,0.3120 (100.312),5 8,2020/11/02 09:49:04,미심사
16,2178145434,주식회사 한양전자피에이,,분석,1005271700,89.823,90.471,0.3125 (100.3125),13 12,2020/11/02 17:12:59,미심사
17,2208615417,마인드원 주식회사,,분석,1005280670,89.823,90.472,0.3133 (100.3133),2 14,2020/11/03 11:33:20,미심사
18,1358157661,(주)삼흥정보통신,,분석,1005283690,89.824,90.472,0.3137 (100.3137),3 4,2020/10/30 09:31:53,미심사
19,2148752525,(주)엘티네트워크,,분석,1005284635,89.824,90.472,0.3137 (100.3137),9 4,2020/10/30 15:57:55,미심사
20,1308630323,(주)오앤씨테크,,분석,1005285690,89.824,90.472,0.3139 (100.3139),10 8,2020/11/02 16:12:41,미심사
21,4108687848,주식회사 위즈씨엔아이,,분석,1005293700,89.825,90.473,0.3146 (100.3146),3 6,2020/11/03 09:05:14,미심사
22,1351088320,승민전자통신,,분석,1005295237,89.825,90.473,0.3148 (100.3148),8 3,2020/11/02 10:03:08,미심사
23,1218620796,(주)엠에스시스템,,분석,1005304721,89.826,90.474,0.3157 (100.3157),2 1,2020/10/30 09:12:23,미심사
24,1198182149,유지텔레컴 주식회사,,분석,1005309741,89.826,90.474,0.3163 (100.3163),4 10,2020/10/30 10:43:43,미심사
25,1328131639,(주)동보안전,,분석,1005313750,89.827,90.475,0.3167 (100.3167),7 15,2020/10/30 11:30:05,미심사
26,1098620103,(주)삼원홀딩스,,분석,1005314752,89.827,90.475,0.3168 (100.3168),10 4,2020/11/03 06:56:27,미심사
27,4538100144,주식회사 파란아이티,,분석,1005316800,89.827,90.475,0.3170 (100.317),6 12,2020/11/03 10:05:00,미심사
28,2218146413,(주)강원네트웍스,,분석,1005319770,89.827,90.475,0.3173 (100.3173),15 7,2020/11/02 23:48:23,미심사
29,1300742921,태진네트웍스,,분석,1005326777,89.828,90.476,0.3180 (100.318),8 5,2020/10/30 17:14:18,미심사
30,1258104793,광성전업 주식회사,,분석,1005335800,89.829,90.477,0.3189 (100.3189),15 2,2020/11/03 12:24:44,미심사
31,1258167333,호산이앤씨 주식회사,,분석,1005370572,89.832,90.48,0.3223 (100.3223),1 12,2020/11/03 14:35:03,미심사
32,2588101039,재리강정보기술 주식회사,,분석,1005385910,89.833,90.481,0.3239 (100.3239),7 12,2020/11/02 18:33:34,미심사
33,2158691790,에이브이에스텍(주),,분석,1005394920,89.834,90.482,0.3247 (100.3247),12 4,2020/11/02 11:22:59,미심사
34,2198104744,주식회사 맥서브,,분석,1005400940,89.835,90.483,0.3254 (100.3254),6 4,2020/11/02 12:34:54,미심사
35,2268127293,주식회사일광,,분석,1005401940,89.835,90.483,0.3255 (100.3255),11 7,2020/11/03 08:10:59,미심사
36,1238138865,동광전자 주식회사,,분석,1005420979,89.837,90.484,0.3274 (100.3274),2 14,2020/11/02 10:03:08,미심사
37,2158603525,주식회사 아이넷,,분석,1005423233,89.837,90.485,0.3276 (100.3276),4 1,2020/11/02 12:58:11,미심사
38,2158736493,주식회사 한북통신기술,,분석,1005434007,89.838,90.486,0.3287 (100.3287),4 6,2020/11/02 19:46:29,미심사
39,1238164140,주식회사 테크빌,,분석,1005436020,89.838,90.486,0.3289 (100.3289),14 15,2020/10/30 10:55:16,미심사
40,1368130272,(주)다남정보통신,,분석,1005436100,89.838,90.486,0.3289 (100.3289),11 7,2020/11/02 16:07:42,미심사
41,1328148974,태광텔레콤(주),,분석,1005444030,89.839,90.487,0.3297 (100.3297),15 1,2020/11/02 18:02:05,미심사
42,1328132206,주식회사 백율,,분석,1005445000,89.839,90.487,0.3297 (100.3297),13 5,2020/11/03 09:54:46,미심사
43,1268120137,흥진통신(주),,분석,1005445300,89.839,90.487,0.3298 (100.3298),8 10,2020/11/02 15:50:35,미심사
44,2158637817,(주)스마트비전,,분석,1005447034,89.839,90.487,0.3300 (100.33),7 11,2020/10/30 21:27:08,미심사
45,1198633833,주식회사 에이치엘시스템,,분석,1005456000,89.84,90.488,0.3308 (100.3308),1 8,2020/11/02 17:24:54,미심사
46,1308625441,화영일렉콤 주식회사,,분석,1005456054,89.84,90.488,0.3309 (100.3309),5 4,2020/10/30 16:55:20,미심사
47,2208122460,한일건설 주식회사,,분석,1005457200,89.84,90.488,0.3310 (100.331),8 1,2020/11/02 13:49:44,미심사
48,2148613923,(주)영국전자,,분석,1005462000,89.84,90.488,0.3314 (100.3314),3 8,2020/11/02 15:14:42,미심사
49,5021873057,동우정보통신,,분석,1005473080,89.841,90.489,0.3325 (100.3325),1 7,2020/10/30 13:04:57,미심사
50,2198111833,주식회사 대영아이오티,,분석,1005475480,89.842,90.489,0.3328 (100.3328),14 13,2020/11/02 10:08:51,미심사
51,1258151919,주식회사씨엠비젼전기통신,,분석,1005481103,89.842,90.49,0.3333 (100.3333),3 2,2020/11/02 12:57:10,미심사
52,2018178513,주식회사 엔텍스,,분석,1005481608,89.842,90.49,0.3334 (100.3334),11 1,2020/11/02 09:05:14,미심사
53,1198603630,유에프엠시스템즈 주식회사,,분석,1005483202,89.842,90.49,0.3336 (100.3336),8 9,2020/11/02 10:47:33,미심사
54,1078712394,주식회사 원일포스,,분석,1005486120,89.843,90.49,0.3339 (100.3339),13 3,2020/11/02 05:52:54,미심사
55,1290978097,아미정보통신,,분석,1005490130,89.843,90.491,0.3343 (100.3343),13 12,2020/10/30 15:52:09,미심사
56,2208180951,엘지정보기술(주),,분석,1005506323,89.844,90.492,0.3359 (100.3359),7 4,2020/11/02 09:46:09,미심사
57,1058199938,삼호전자통신(주),,분석,1005514830,89.845,90.493,0.3367 (100.3367),11 12,2020/11/02 10:02:16,미심사
58,2068164028,주식회사 이지아이앤씨,,분석,1005549500,89.848,90.496,0.3402 (100.3402),14 2,2020/11/02 09:39:33,미심사
59,1108175433,승림이앤씨(주),,분석,1005559280,89.849,90.497,0.3412 (100.3412),12 15,2020/10/31 00:07:16,미심사
60,1198130210,(주)와이드넷엔지니어링,,분석,1005563280,89.85,90.497,0.3415 (100.3415),4 9,2020/11/02 17:11:52,미심사
61,1298623254,주식회사 제노시스,,분석,1005577913,89.851,90.499,0.3430 (100.343),2 13,2020/10/30 13:44:00,미심사
62,2011497895,정우이앤씨,,분석,1005582735,89.852,90.499,0.3435 (100.3435),13 14,2020/11/02 14:12:03,미심사
63,6138138112,주식회사 굿링크,,분석,1005586340,89.852,90.499,0.3439 (100.3439),3 13,2020/11/02 09:37:27,미심사
64,2118603519,에쓰이씨 주식회사,,분석,1005588335,89.852,90.5,0.3440 (100.344),10 7,2020/11/02 16:41:31,미심사
65,1328168344,주식회사 아시아정보기술,,분석,1005588818,89.852,90.5,0.3441 (100.3441),10 13,2020/10/30 14:49:26,미심사
66,2208175308,아이크래프트 주식회사,,분석,1005592350,89.852,90.5,0.3445 (100.3445),14 15,2020/11/03 10:23:29,미심사
67,2108138572,주식회사 디와이엔텍,,분석,1005593347,89.853,90.5,0.3446 (100.3446),14 11,2020/11/02 14:29:53,미심사
68,3118800494,주식회사 케이제이텔레콤,,분석,1005594080,89.853,90.5,0.3446 (100.3446),12 14,2020/11/02 11:08:41,미심사
69,2138634018,(주)비트정보통신,,분석,1005605370,89.854,90.501,0.3457 (100.3457),15 7,2020/11/02 10:27:49,미심사
70,1448125289,주식회사 에이샛,,분석,1005608668,89.854,90.501,0.3461 (100.3461),6 7,2020/10/30 14:58:38,미심사
71,1308615657,주식회사 비젼,,분석,1005612349,89.854,90.502,0.3464 (100.3464),7 6,2020/10/30 18:17:43,미심사
