id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
452,20170640010-00,친환경 자연형 어린이놀이터 조성사업 정보통신공사 (긴급공고),서울특별시,서울,42900000,42523600.0,+3% ~ -3%,0,87.745,970,기,-0.87739,1,2,47,120,324,327,117,26,1,0,0,1,0,2,12,35,52,68,130,194,190,137,62,55,19,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4,7,6,16,14,19,22,26,20,33,32,59,108,73,52,67,84,68,71,37,39,19,14,21,24,14,3,2,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,6,1,5,8,8,9,5,8,11,7,15,11,15,9,11,17,16,20,12,24,35,39,69,33,40,35,17,33,34,46,38,39,29,30,41,22,15,21,18,6,13,4,10,13,8,15,9,10,4,1,2,2,0,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,20170638207-00,은평구청 직장어린이집 증축(통신공사),서울특별시,서울,25278000,25318475.0,+3% ~ -3%,0,87.745,912,,0.16011,0,1,40,128,256,362,88,31,2,0,0,0,0,1,11,29,50,78,132,124,228,134,53,35,22,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,6,7,6,19,19,22,20,27,40,46,52,56,53,49,98,87,68,63,46,23,21,16,15,13,15,4,6,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,3,4,2,4,7,12,7,12,11,11,9,11,11,16,18,22,29,17,22,30,34,22,23,30,30,19,44,54,50,37,43,25,38,25,17,29,12,11,12,9,9,7,7,8,3,10,6,9,2,2,3,3,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
454,20170638185-00,구립 신사2어린이집 신축 통신공사,서울특별시,서울,24200000,24032225.0,+3% ~ -3%,0,87.745,916,,-0.69329,0,2,41,125,242,346,100,40,2,1,0,0,0,2,11,30,53,72,125,117,228,118,60,40,29,11,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,6,8,8,17,19,24,21,24,37,43,59,41,55,44,95,88,70,55,38,33,17,21,18,11,19,5,9,2,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,3,5,4,4,6,11,7,12,11,13,10,11,10,14,17,20,27,16,32,27,23,18,20,35,26,18,43,52,48,40,45,25,31,24,17,21,13,20,12,5,10,11,9,9,5,6,11,8,2,3,5,4,1,1,3,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
455,20170638298-00,성일중학교 교육환경 개선사업 통신공사(시청각실 음향 및 기타 통신공사),서울특별시동부교육청,서울,79420000,80588125.0,+3% ~ -3%,0,87.745,1044,,1.47081,0,0,49,175,326,356,102,31,1,0,0,0,0,0,11,38,62,113,146,180,194,162,60,42,19,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,11,24,21,28,30,49,47,36,71,68,89,62,80,87,81,62,46,27,20,23,18,14,12,4,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3,3,4,7,9,15,9,12,14,14,13,17,25,24,22,25,22,14,31,40,39,29,36,53,39,23,38,42,48,39,27,54,39,23,18,28,16,11,11,9,13,10,10,8,8,6,6,6,2,2,3,5,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,20170633635-00,서울대곡초등학교 다목적강당 증축 통신공사 (긴급공고),서울특별시강남서초교육지원청,서울,56965000,56746325.0,+3% ~ -3%,0,87.745,1025,,-0.38388,0,1,51,168,322,333,114,31,1,0,0,0,0,1,11,40,59,109,180,142,172,161,60,54,19,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,4,13,25,16,29,24,39,60,39,90,91,53,49,62,70,81,77,43,27,20,24,26,17,10,6,6,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2,2,6,7,13,12,7,9,15,14,14,10,11,28,28,32,22,17,44,46,51,40,29,24,33,16,32,30,33,37,40,41,38,39,24,19,13,14,11,9,13,11,18,8,8,9,5,5,4,2,3,3,3,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,20170634714-00,도산근린공원 내 음향시설 설치사업,서울특별시,서울,69274000,69196275.0,+3% ~ -3%,0,87.745,960,,-0.11220,1,1,40,145,295,291,137,35,3,2,1,0,0,1,7,33,69,76,121,174,133,158,77,60,27,8,3,0,1,1,1,0,0,0,0,0,0,0,1,0,1,4,7,8,20,27,30,24,33,31,40,55,65,61,74,41,67,52,73,58,38,27,25,26,21,21,5,3,2,4,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,2,5,5,3,11,9,10,17,16,14,12,12,12,21,11,20,14,26,28,27,26,39,33,28,38,36,22,19,32,35,25,27,27,46,26,32,20,18,12,15,12,13,14,12,12,9,13,8,4,1,1,2,2,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
458,20170631630-00,남산예장자락 재생사업 통신공사,서울특별시/서울특별시,서울,278919000,276309750.0,+3% ~ -3%,0,87.745,1000,기,-0.93549,0,3,44,155,333,286,143,28,2,3,0,0,1,2,8,36,82,73,151,182,142,144,82,61,23,5,1,1,2,1,0,0,0,0,0,0,1,0,1,1,3,4,8,9,20,34,34,26,27,34,40,75,71,81,66,54,60,57,72,43,31,31,29,34,18,14,7,3,2,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,2,2,1,7,6,3,6,14,14,20,13,21,14,12,10,17,16,18,14,26,42,33,36,35,38,43,33,33,29,25,25,35,28,29,40,32,20,23,21,10,20,11,20,9,12,22,11,7,8,6,4,3,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
460,20170632245-00,서울신구로초 키폰주장치 및 전화선로 교체공사,서울특별시교육청,서울,104338000,104365700.0,+3% ~ -3%,0,87.745,959,,0.02654,0,1,41,127,297,325,140,19,2,1,0,0,0,1,8,33,62,65,150,147,167,158,84,56,15,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,4,9,8,18,24,26,22,22,33,48,65,60,60,64,57,82,64,82,40,34,31,29,28,18,10,3,3,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,1,2,7,6,2,10,8,9,15,12,14,12,10,9,13,15,18,25,23,40,25,37,23,28,32,39,25,30,27,43,39,28,36,41,41,26,14,17,17,15,16,19,10,11,17,8,10,6,4,2,1,2,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
461,20170631597-00,2017년 임대아파트 CCTV 교체공사(3권역),서울주택도시공사,서울,336460000,336320400.0,+3% ~ -3%,0,86.745,940,기,-0.04150,0,2,35,150,259,311,142,30,2,1,0,0,0,2,9,26,64,86,100,159,161,150,94,48,22,8,2,0,1,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,17,22,28,31,44,25,27,35,79,62,56,53,66,91,60,41,42,37,25,20,18,13,7,3,3,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,2,1,4,3,2,9,8,12,10,12,16,14,17,19,25,11,14,11,16,14,21,38,41,33,29,25,31,24,29,25,41,42,49,30,30,16,25,19,23,23,14,15,10,9,11,5,13,7,6,2,5,2,1,3,0,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
462,20170631563-00,2017년 임대아파트 CCTV 교체공사(2권역),서울주택도시공사,서울,308841000,307959300.0,+3% ~ -3%,0,87.745,964,기,-0.28549,0,1,48,169,250,321,147,20,2,1,0,0,0,1,15,33,73,96,106,144,169,152,105,42,16,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,6,6,8,10,18,27,30,32,41,39,31,36,72,54,57,58,65,94,64,40,55,39,17,17,19,11,4,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,2,3,5,6,4,7,11,14,13,14,16,16,16,23,18,20,19,14,17,13,23,39,33,28,26,29,28,30,28,25,40,46,48,33,31,16,24,27,28,27,12,11,6,8,9,9,10,7,4,1,3,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
