,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
47,48,2158735193,주식회사 시너젠,윤금란,분석,186977245,87.806,88.407,-0.16710 (99.8329),,2024/03/05 16:59:29,
48,49,2098211809,사단법인 해오름장애인협회,노영주,분석,186980465,87.807,88.409,-0.16537 (99.83463),,2024/03/07 09:04:16,
49,50,2108157604,주식회사 유니원이엔지,장소영,분석,186982390,87.808,88.41,-0.16433 (99.83567),,2024/03/05 14:31:35,
0,51,1058740405,(주)화성이엔지,김택환,분석,186983554,87.809,88.41,-0.16370 (99.8363),,2024/03/05 17:36:52,
1,52,1188117437,탑인더스트리(주),최정현,분석,186996360,87.815,88.416,-0.15680 (99.8432),,2024/03/06 09:17:49,
2,53,2118193336,(주)국제비엠에스,윤도선,분석,186997286,87.816,88.417,-0.15630 (99.8437),,2024/03/06 10:33:29,
3,54,1138157550,뉴코리아전자통신 주식회사,조영순,분석,186999513,87.817,88.418,-0.15510 (99.8449),,2024/03/05 11:47:12,
4,55,2148669048,보라정보통신 주식회사,송석상,분석,187000051,87.817,88.418,-0.15481 (99.84519),,2024/03/04 14:02:55,
5,56,2048190516,주식회사동훈전설,정준모,분석,187008050,87.821,88.422,-0.15050 (99.8495),,2024/03/06 14:36:12,
6,57,7298600518,주식회사 킴스앤,김동선,분석,187009534,87.822,88.423,-0.14970 (99.8503),,2024/03/04 23:25:55,
7,58,1198653668,에코아이넷(주),박은희,분석,187009720,87.822,88.423,-0.14960 (99.8504),,2024/03/05 08:58:51,
8,59,2188103742,피에스텍(주),황재용,분석,187011211,87.823,88.424,-0.14880 (99.8512),,2024/03/06 10:51:30,
9,60,2148891087,세경네트웍스 주식회사,장중석,분석,187011389,87.823,88.424,-0.14871 (99.85129),,2024/03/05 17:33:08,
10,61,1098651964,셀코정보기술 주식회사,권영용,분석,187014340,87.824,88.425,-0.14712 (99.85288),,2024/03/07 09:23:25,
11,62,5138100034,주식회사 엠젠솔루션,조상환,분석,187017000,87.826,88.426,-0.14568 (99.85432),,2024/03/05 17:09:19,
12,63,1208802896,주식회사 라임에스엔씨,김종훈,분석,187022710,87.829,88.429,-0.14260 (99.8574),,2024/03/06 10:06:19,
13,64,1188109785,주식회사 안세기술,이용안,분석,187027100,87.831,88.431,-0.14024 (99.85976),,2024/03/06 16:47:25,
14,65,1128139637,(주)씨엘에이에스,윤호중,분석,187029947,87.832,88.432,-0.13870 (99.8613),,2024/03/04 08:30:55,
15,66,1098154781,(주)공항엔지니어링,박필립,분석,187030320,87.832,88.433,-0.13850 (99.8615),,2024/03/06 19:17:44,
16,67,8568800361,주식회사 우선기술,정우영,분석,187030782,87.833,88.433,-0.13826 (99.86174),,2024/03/05 09:14:53,
17,68,1118114477,주식회사 대흥데이타통신,박일준,분석,187031240,87.833,88.433,-0.13801 (99.86199),,2024/03/05 15:53:06,
18,69,2128169519,세진시스콤주식회사,박수환,분석,187033470,87.834,88.434,-0.13681 (99.86319),,2024/03/05 09:01:45,
19,70,1138618417,(주)씨에스플러스,장준영,분석,187040526,87.838,88.437,-0.13300 (99.867),,2024/03/05 15:19:26,
