,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
44,45,1058628520,유테크(주),최윤영,분석,40506504,87.896,87.821,-0.62960 (99.3704),3 2,2024/03/28 17:19:15,
45,46,1858100770,(주)에이치엔와이,한정목,분석,40506660,87.896,87.822,-0.62922 (99.37078),14 13,2024/04/01 10:03:26,
46,47,2068606891,수미디어통신 주식회사,하학수,분석,40506990,87.897,87.822,-0.62840 (99.3716),14 11,2024/04/01 13:52:49,
47,48,1208711248,(주)리얼아이씨티,변성암,분석,40507070,87.897,87.823,-0.62821 (99.37179),3 8,2024/04/02 09:05:44,
48,49,2048642168,(주)비케이정보시스템,이용섭,분석,40508041,87.899,87.825,-0.62581 (99.37419),14 4,2024/03/28 14:27:40,
49,50,1148131820,(주)대한전광,김재을,분석,40508160,87.899,87.825,-0.62551 (99.37449),1 10,2024/04/01 11:50:19,
0,51,1058221062,사단법인 대한장애인복지협회,박재환,분석,40508410,87.9,87.825,-0.62489 (99.37511),3 8,2024/04/02 08:59:41,
1,52,1108139892,(주)이화텔레콤,윤영배,분석,40509100,87.902,87.827,-0.62319 (99.37681),1 3,2024/03/29 10:20:56,
2,53,1098166803,(주)아이앤씨파트너스,곽준철,분석,40510065,87.904,87.829,-0.62080 (99.3792),4 10,2024/04/02 09:40:29,
3,54,1078662029,주식회사 아이티트레인,주영일,분석,40511160,87.906,87.831,-0.61810 (99.3819),8 2,2024/03/29 15:02:55,
4,55,1288196628,코마정보통신(주),이경수,분석,40512490,87.909,87.834,-0.61481 (99.38519),3 5,2024/03/30 16:50:03,
5,56,2108168358,주식회사 영호전기통신,조소연,분석,40513344,87.911,87.836,-0.61270 (99.3873),13 9,2024/04/01 17:40:36,
6,57,1138658592,위너시스텍 주식회사,조용걸,분석,40514100,87.913,87.838,-0.61083 (99.38917),4 9,2024/04/01 10:13:49,
7,58,1068651233,(주)나사씨엔에스,신희태,분석,40515043,87.915,87.84,-0.60850 (99.3915),10 9,2024/04/01 22:15:42,
8,59,1298627304,주식회사 진네트웍스,이호진,분석,40516864,87.92,87.844,-0.60401 (99.39599),14 2,2024/04/01 12:32:36,
9,60,1078211162,사회복지법인한국노인생활지원재단,이주희,분석,40519818,87.926,87.85,-0.59671 (99.40329),7 12,2024/04/02 08:57:56,
10,61,1208149780,장학건설(주),정세학,분석,40520144,87.927,87.851,-0.59590 (99.4041),10 3,2024/04/01 13:21:09,
11,62,7218601565,주식회사 라인전기,이호동,분석,40520380,87.928,87.851,-0.59532 (99.40468),13 9,2024/04/01 17:04:57,
12,63,2208727337,주식회사주니파워네트웍스,노병준,분석,40521230,87.93,87.853,-0.59322 (99.40678),8 4,2024/03/29 09:16:29,
13,64,8268102035,주식회사 더블유엔에스,박현준,분석,40522100,87.932,87.855,-0.59107 (99.40893),3 9,2024/03/29 21:29:02,
14,65,1168166913,주식회사케이엠데이타,이강섭,분석,40524432,87.937,87.86,-0.58531 (99.41469),9 5,2024/04/01 09:02:23,
15,66,2068165615,(주)아이커머,조상현,분석,40526496,87.942,87.865,-0.58021 (99.41979),14 2,2024/04/01 09:37:03,
16,67,2108150348,승호시스템(주),이계승,분석,40527340,87.944,87.867,-0.57812 (99.42188),5 13,2024/04/01 19:38:24,
17,68,2198106704,유복전기(주),유정식,분석,40528110,87.945,87.868,-0.57622 (99.42378),12 8,2024/03/29 09:22:35,
18,69,5028131745,(주)에즈웰플러스,이기호,분석,40528350,87.946,87.869,-0.57562 (99.42438),5 12,2024/03/29 13:56:19,
19,70,1188109975,(주)부광네트워크,박경진,분석,40528521,87.946,87.869,-0.57520 (99.4248),2 8,2024/04/01 13:26:19,
20,71,1078606385,대선아이넷(주),신일자,분석,40529120,87.948,87.87,-0.57372 (99.42628),8 12,2024/04/01 16:36:44,
21,72,2128155922,(주)티에스엠이앤씨,박원택,분석,40530314,87.951,87.873,-0.57077 (99.42923),7 13,2024/04/01 11:37:14,
22,73,1138123972,(주)일광테크,임기철,분석,40530576,87.951,87.874,-0.57012 (99.42988),7 14,2024/03/29 14:38:51,
23,74,2338109463,주식회사 아이티에스서비스,지영일,분석,40530623,87.951,87.874,-0.57001 (99.42999),2 9,2024/03/28 12:35:08,
24,75,1018178116,(주)오경컴텍,김종근,분석,40531110,87.952,87.875,-0.56880 (99.4312),12 13,2024/03/28 10:53:15,
25,76,2088115241,한애전자(주),최용경,분석,40531300,87.953,87.875,-0.56834 (99.43166),3 7,2024/03/29 09:21:14,
26,77,2628802128,주식회사 성우일렉콤,최종국,분석,40532080,87.955,87.877,-0.56641 (99.43359),11 12,2024/03/28 08:45:03,
27,78,2120549052,태성통신,최재석,분석,40532402,87.955,87.877,-0.56561 (99.43439),11 1,2024/04/02 06:43:28,
28,79,2058140076,(주)제일첨단테크,김성수,분석,40532527,87.956,87.878,-0.56530 (99.4347),2 15,2024/04/01 09:59:58,
29,80,2148724941,한빛시스템주식회사,윤명호,분석,40535278,87.962,87.884,-0.55851 (99.44149),14 1,2024/03/29 14:00:04,
30,81,2188101953,주식회사 비츠로시스,이기재,분석,40536000,87.964,87.885,-0.55672 (99.44328),13 2,2024/03/28 17:27:09,
31,82,2208660663,주식회사 데이타렉스,김정국,분석,40536100,87.964,87.886,-0.55647 (99.44353),11 2,2024/04/01 15:49:33,
32,83,3058701977,주식회사 다옴아이티,문정희,분석,40538476,87.969,87.891,-0.55060 (99.4494),4 12,2024/03/29 10:10:52,
33,84,1068606683,로버무트 주식회사,송태하,분석,40540557,87.974,87.895,-0.54546 (99.45454),5 3,2024/04/01 14:22:03,
34,85,4048800118,주식회사 앙츠,박창진,분석,40541630,87.977,87.897,-0.54281 (99.45719),13 2,2024/03/28 14:33:59,
35,86,1118101759,신원전설(주),심한섭,분석,40543292,87.98,87.901,-0.53870 (99.4613),5 1,2024/04/01 09:56:27,
36,87,1198192370,(주)신관산업,이철재,분석,40543487,87.981,87.902,-0.53822 (99.46178),4 15,2024/04/01 17:17:04,
37,88,2068184529,(주)네오티엔씨,조정현,분석,40546130,87.987,87.907,-0.53169 (99.46831),9 14,2024/04/02 09:55:15,
38,89,1178167894,(주)동우이에프씨,이동술,분석,40548110,87.992,87.912,-0.52680 (99.4732),13 3,2024/04/01 15:26:14,
39,90,1078155407,(주)윤익계전,안용준,분석,40549323,87.994,87.914,-0.52380 (99.4762),15 8,2024/03/28 11:14:59,
40,91,1118126196,(주)광성통신,김성철,분석,40549572,87.995,87.915,-0.52319 (99.47681),3 7,2024/04/01 13:30:22,
41,92,1078162397,신용통신 주식회사,김형종,분석,40551400,87.999,87.919,-0.51867 (99.48133),14 2,2024/03/29 09:36:04,
42,93,1198609084,주식회사 유니씨엔에스,박경임,분석,40551548,87.999,87.919,-0.51830 (99.4817),5 11,2024/03/29 07:40:00,
43,94,2108108684,주식회사 대금이앤아이,김종우,분석,40551630,88.0,87.919,-0.51810 (99.4819),5 1,2024/03/28 15:37:37,
44,95,4468801407,(주)큐엔큐,장나미,분석,40551910,88.0,87.92,-0.51741 (99.48259),1 7,2024/03/28 15:50:00,
45,96,1068603240,태경이엘피 주식회사,김평석,분석,40552303,88.001,87.921,-0.51644 (99.48356),4 8,2024/04/01 19:59:48,
46,97,1198800016,주식회사 태영정보통신공사,김석주,분석,40554028,88.005,87.924,-0.51218 (99.48782),4 13,2024/03/28 13:37:40,
47,98,1068147942,태양이엠씨(주),선오규,분석,40557370,88.013,87.932,-0.50392 (99.49608),14 10,2024/04/01 15:56:13,
48,99,1148661445,주식회사 아이티콘,이준형,분석,40558900,88.016,87.935,-0.50014 (99.49986),4 1,2024/03/29 11:42:27,
49,100,2158687767,(주)에스앤디비즈,정성호,분석,40559000,88.017,87.935,-0.49989 (99.50011),11 1,2024/03/29 17:02:15,
0,101,1138193726,(주)성진에스에스,강신범,분석,40559622,88.018,87.936,-0.49835 (99.50165),7 8,2024/04/01 09:50:54,
1,102,1508700266,주식회사 씨에쓰정보기술,박충순,분석,40561560,88.023,87.941,-0.49357 (99.50643),4 7,2024/04/02 09:29:13,
2,103,1058164176,(주)신보파워텍,공민우,분석,40561900,88.023,87.941,-0.49273 (99.50727),9 8,2024/04/01 20:47:28,
3,104,2117299696,성원전자통신,성기신,분석,40564940,88.03,87.948,-0.48521 (99.51479),1 9,2024/04/01 09:49:44,
4,105,1018197466,주식회사콤위즈,정윤권,분석,40567420,88.036,87.953,-0.47909 (99.52091),9 6,2024/03/29 15:28:44,
5,106,1168147309,문엔지니어링(주),김성만,분석,40567750,88.037,87.954,-0.47827 (99.52173),7 9,2024/04/02 09:36:39,
6,107,1858801633,삼보종합이앤씨주식회사,공갑배,분석,40567858,88.037,87.954,-0.47800 (99.522),11 8,2024/04/01 10:44:11,
7,108,2208144955,드림라인 주식회사,유지창,분석,40568990,88.04,87.957,-0.47521 (99.52479),11 13,2024/04/01 10:14:13,
8,109,1088193869,(주)동명텔레콤,김경은,분석,40569390,88.041,87.958,-0.47422 (99.52578),8 13,2024/03/28 09:18:00,
9,110,2148711728,에이에이씨케이(주),주수양,분석,40569841,88.042,87.959,-0.47310 (99.5269),7 2,2024/04/01 13:13:58,
10,111,1138649133,빅썬시스템즈 주식회사,권태일,분석,40572149,88.047,87.964,-0.46740 (99.5326),3 8,2024/03/29 10:03:45,
11,112,2208726454,한국랜트로비젼(주),조병진,분석,40574253,88.052,87.968,-0.46220 (99.5378),6 7,2024/03/29 09:08:08,
12,113,2068125404,(주)대경인트라넷,이강열,분석,40577070,88.058,87.974,-0.45524 (99.54476),1 4,2024/04/01 16:03:49,
13,114,1178168836,(주)유한이엔씨,신정식,분석,40577891,88.06,87.976,-0.45321 (99.54679),14 10,2024/04/02 08:38:48,
14,115,2037683508,우리통신네트워크,김만수,분석,40578137,88.061,87.977,-0.45261 (99.54739),9 5,2024/04/01 18:42:20,
15,116,1108175622,동해아이앤티(주),이기봉,분석,40580200,88.066,87.981,-0.44751 (99.55249),13 3,2024/03/29 12:35:44,
16,117,8128800740,주식회사 대일시스템,이승일,분석,40580891,88.067,87.983,-0.44580 (99.5542),1 15,2024/03/29 09:45:26,
17,118,1138169250,코리아이지텔주식회사,임규학,분석,40581160,88.068,87.983,-0.44514 (99.55486),5 7,2024/03/29 17:21:55,
18,119,5908102247,주식회사 넥스톤,이용택,분석,40581900,88.069,87.985,-0.44331 (99.55669),6 9,2024/04/01 10:56:53,
19,120,1068601863,유엔넷 주식회사,김주섭,분석,40584010,88.074,87.989,-0.43809 (99.56191),14 9,2024/04/02 09:57:29,
20,121,2118606665,주식회사 아라랏,황지홍,분석,40584450,88.075,87.99,-0.43701 (99.56299),9 7,2024/04/01 21:48:24,
21,122,1198118405,우광기전(주),이기진,분석,40586400,88.08,87.995,-0.43219 (99.56781),9 12,2024/04/01 14:04:48,
22,123,2148667152,주식회사 어니언소프트웨어,조창희,분석,40587650,88.083,87.997,-0.42910 (99.5709),6 11,2024/03/28 16:52:15,
23,124,7338600614,시스테크솔루션 주식회사,최종문,분석,40587972,88.083,87.998,-0.42830 (99.5717),15 10,2024/04/01 10:03:03,
24,125,1078749469,주식회사 에이엠네트웍스,서정희,분석,40588010,88.084,87.998,-0.42821 (99.57179),13 15,2024/03/28 21:33:39,
25,126,6618702691,(주)대창일렉스,송효양,분석,40588680,88.085,88.0,-0.42655 (99.57345),14 4,2024/04/02 07:22:23,
26,127,1138613391,주식회사 지에스씨앤씨,석덕림,분석,40589260,88.086,88.001,-0.42512 (99.57488),10 12,2024/03/29 15:41:45,
27,128,1068681756,주식회사 융창,이재진,분석,40589800,88.088,88.002,-0.42379 (99.57621),8 4,2024/03/29 13:26:11,
28,129,1138185570,(주)승일전력산업,박광수,분석,40590401,88.089,88.003,-0.42230 (99.5777),10 9,2024/03/29 10:58:46,
29,130,7148800617,주식회사 성진정보통신,문계철,분석,40590562,88.089,88.004,-0.42190 (99.5781),6 1,2024/04/01 13:33:21,
30,131,2748800123,중앙씨앤티 주식회사,윤영진,분석,40590710,88.09,88.004,-0.42154 (99.57846),15 8,2024/04/02 09:24:08,
31,132,1078193207,주식회사 주광전기,이승훈,분석,40591130,88.091,88.005,-0.42050 (99.5795),3 8,2024/03/29 13:25:25,
32,133,1098647062,주식회사 조아정보통신,박민응,분석,40591886,88.092,88.006,-0.41863 (99.58137),12 6,2024/04/01 14:17:56,
33,134,2208763065,주식회사 넷세이프코리아,김봉수,분석,40592000,88.093,88.007,-0.41835 (99.58165),12 4,2024/04/02 09:17:02,
34,135,1138680513,주식회사연수이앤씨,조운호,분석,40592140,88.093,88.007,-0.41801 (99.58199),14 4,2024/03/29 11:04:43,
35,136,1098154781,(주)공항엔지니어링,박필립,분석,40594400,88.098,88.012,-0.41242 (99.58758),3 9,2024/04/01 18:28:28,
36,137,1058660665,(주)일신전업,김한경,분석,40595197,88.1,88.014,-0.41045 (99.58955),7 10,2024/04/02 06:32:24,
37,138,2298109203,(주)테스콤엔지니어링,박영복,분석,40595300,88.1,88.014,-0.41020 (99.5898),13 5,2024/03/29 16:55:25,
38,139,8608100283,주식회사 테크인스,전재현,분석,40595580,88.101,88.014,-0.40951 (99.59049),13 4,2024/03/28 11:41:59,
39,140,2208892965,주식회사 코너스,김동오,분석,40597200,88.105,88.018,-0.40550 (99.5945),9 14,2024/04/01 16:21:35,
40,141,2208771717,트라이오넷 주식회사,하상철,분석,40598013,88.107,88.02,-0.40349 (99.59651),9 8,2024/03/28 19:01:58,
41,142,1138653369,(주)제이앤비이노베이션,오명숙,분석,40598040,88.107,88.02,-0.40343 (99.59657),15 9,2024/03/29 17:40:49,
42,143,1138632587,지성정보 주식회사,이수호,분석,40598292,88.107,88.02,-0.40280 (99.5972),9 13,2024/04/02 08:31:20,
43,144,2148180640,(주)남인정보통신,김남호,분석,40598495,88.108,88.021,-0.40230 (99.5977),6 9,2024/04/01 14:45:45,
44,145,2178125840,(주)에이디엠,정채옥,분석,40599061,88.109,88.022,-0.40090 (99.5991),10 4,2024/04/01 16:21:05,
45,146,1168155492,주식회사 코콤텍,고성춘,분석,40600840,88.113,88.026,-0.39651 (99.60349),3 12,2024/03/29 10:24:00,
46,147,1208663604,주식회사 한은씨앤씨,김기현,분석,40602870,88.118,88.03,-0.39149 (99.60851),8 4,2024/03/29 10:01:35,
47,148,2088702355,주식회사 수운,김치래,분석,40603433,88.119,88.031,-0.39010 (99.6099),4 10,2024/04/01 15:33:55,
48,149,2018643926,두전네트웍스 주식회사,김병현,분석,40603960,88.12,88.033,-0.38880 (99.6112),15 11,2024/04/01 09:42:47,
49,150,1198616251,주식회사 누리인프라,정성우,분석,40606340,88.126,88.038,-0.38292 (99.61708),6 9,2024/04/01 11:29:24,
0,151,1100668347,민성정보통신,김영익,분석,40606428,88.126,88.038,-0.38270 (99.6173),10 13,2024/04/01 13:03:33,
1,152,1018642796,주식회사 나이스포유,노길상,분석,40606910,88.127,88.039,-0.38151 (99.61849),4 15,2024/04/01 17:53:56,
2,153,2148687288,(주)포어링크,송기봉,분석,40607280,88.128,88.04,-0.38060 (99.6194),2 11,2024/04/01 08:44:24,
3,154,2078147814,(주)대호엔지니어링,윤용상,분석,40607910,88.129,88.041,-0.37904 (99.62096),13 10,2024/04/01 15:21:20,
4,155,1058601287,(주)성산정보시스템,김기주,분석,40608940,88.132,88.043,-0.37649 (99.62351),6 12,2024/04/01 16:59:32,
5,156,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,40609423,88.133,88.044,-0.37530 (99.6247),10 9,2024/03/28 16:22:22,
6,157,6078616291,케이시스 주식회사,김중섭,분석,40610670,88.136,88.047,-0.37222 (99.62778),13 11,2024/03/29 09:49:15,
7,158,4178802112,주식회사 팬택씨앤아이엔지니어링,신광식,분석,40610880,88.136,88.048,-0.37170 (99.6283),11 10,2024/03/28 14:39:11,
8,159,1068684748,주식회사고도기술,고동현,분석,40610896,88.136,88.048,-0.37166 (99.62834),8 15,2024/03/29 21:19:43,
9,160,8018600805,세인트로그 주식회사,김세연,분석,40610920,88.136,88.048,-0.37160 (99.6284),2 12,2024/03/30 12:29:20,
10,161,6338200301,사단법인 행복일자리운동본부,정덕환,분석,40612296,88.139,88.051,-0.36820 (99.6318),3 8,2024/03/28 10:56:44,
11,162,1138611622,(주)이담에스티,최명순,분석,40612340,88.14,88.051,-0.36809 (99.63191),8 1,2024/04/02 08:11:25,
12,163,2208604531,주식회사 월드린시스템즈,류준열,분석,40612400,88.14,88.051,-0.36795 (99.63205),6 13,2024/04/01 16:20:27,
13,164,2140562973,대산정보통신공사,오도균,분석,40612980,88.141,88.052,-0.36651 (99.63349),4 11,2024/04/01 07:43:39,
14,165,1208791771,(주)유니정보,주규식,분석,40613551,88.142,88.053,-0.36510 (99.6349),12 9,2024/03/29 16:17:16,
15,166,2021295047,협진전기통신공사,최종운,분석,40613790,88.143,88.054,-0.36451 (99.63549),12 4,2024/04/02 07:00:57,
16,167,5728702483,주식회사 케이제이에스랩,나봉채,분석,40614050,88.144,88.055,-0.36387 (99.63613),12 1,2024/03/29 09:58:12,
17,168,1068180219,(주)네트웍리더,권철영,분석,40614764,88.145,88.056,-0.36210 (99.6379),4 14,2024/04/02 08:17:30,
18,169,2298117246,투빅스(주),김정란,분석,40615010,88.146,88.057,-0.36150 (99.6385),8 11,2024/03/29 09:50:48,
19,170,1068616518,(주)애니씨앤에스,이일규,분석,40615470,88.147,88.058,-0.36036 (99.63964),4 9,2024/04/02 09:31:39,
20,171,1118114477,주식회사 대흥데이타통신,박일준,분석,40616220,88.149,88.059,-0.35851 (99.64149),7 14,2024/03/29 10:04:10,
21,172,6448700081,알바이오텍 주식회사,김영국,분석,40616380,88.149,88.06,-0.35811 (99.64189),3 14,2024/03/28 15:16:21,
22,173,1088153848,(주)신지전설,황경옥,분석,40617233,88.151,88.061,-0.35600 (99.644),4 10,2024/04/02 08:58:03,
23,174,1068654453,주식회사 티엔에스솔루션,박종수,분석,40617350,88.151,88.062,-0.35571 (99.64429),15 5,2024/03/29 09:09:48,
24,175,1268159398,주식회사 파이런텍,이병길,분석,40618650,88.154,88.064,-0.35250 (99.6475),2 15,2024/04/01 09:48:11,
25,176,1138163917,백두전기통신(주),장철,분석,40618892,88.155,88.065,-0.35190 (99.6481),8 2,2024/03/31 18:45:18,
26,177,1108604272,소리콤 주식회사,정재홍,분석,40618980,88.155,88.065,-0.35169 (99.64831),15 12,2024/03/31 00:58:14,
