,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
45,46,1148190678,주식회사 에드원,김춘걸,분석,776872000,88.103,87.978,-0.61089 (99.38911),15 5,2024/01/18 16:27:28,
46,47,3148180203,주식회사 우성테크,이윤정,분석,776886659,88.105,87.98,-0.60899 (99.39101),2 8,2024/01/20 11:13:30,
47,48,1218623930,주식회사 도빈,정오성,분석,776916295,88.108,87.983,-0.60517 (99.39483),13 14,2024/01/19 17:19:59,
48,49,1268150951,주식회사 오아이티,이필웅,분석,776939260,88.111,87.986,-0.60221 (99.39779),5 8,2024/01/23 09:14:41,
49,50,4078600433,주식회사 강성티이씨,이기양,분석,776956315,88.113,87.988,-0.60000 (99.4),13 5,2024/01/21 18:15:11,
0,51,5038153719,(주)넷코디,정재억,분석,777014420,88.12,87.994,-0.59251 (99.40749),15 4,2024/01/18 12:24:36,
1,52,4098639860,(주)대성전력,정세진,분석,777031470,88.122,87.996,-0.59031 (99.40969),13 9,2024/01/21 21:56:31,
2,53,2278104556,(합)진광전기소방,김관식,분석,777046831,88.124,87.998,-0.58832 (99.41168),12 15,2024/01/18 14:26:07,
3,54,2148194561,주식회사 해오름이엔씨,김길수,분석,777103683,88.131,88.004,-0.58098 (99.41902),4 8,2024/01/19 16:52:57,
4,55,1288602824,주식회사 우성텔레콤,송상의,분석,777105000,88.131,88.004,-0.58081 (99.41919),15 4,2024/01/18 16:22:17,
5,56,6178104991,(주)우성통신,우순현,분석,777114220,88.132,88.006,-0.57962 (99.42038),15 8,2024/01/22 13:35:33,
6,57,5028115764,(합)삼우전자통신,박래석,분석,777136800,88.135,88.008,-0.57671 (99.42329),14 2,2024/01/23 09:04:32,
7,58,3118117318,주식회사 시온,조영호,분석,777151270,88.137,88.01,-0.57484 (99.42516),1 2,2024/01/22 14:25:17,
8,59,6128112050,주식회사 유일정보통신,조응록,분석,777174810,88.14,88.012,-0.57180 (99.4282),3 6,2024/01/23 09:29:03,
9,60,4838600612,명신씨엔에스(주),노정희,분석,777198050,88.143,88.015,-0.56881 (99.43119),1 3,2024/01/22 09:39:33,
10,61,4118124915,(주)부원정보통신,이인중,분석,777248417,88.149,88.021,-0.56230 (99.4377),10 7,2024/01/22 10:10:54,
11,62,2158190006,광명인터컴(주),오광세,분석,777282246,88.153,88.025,-0.55794 (99.44206),10 15,2024/01/18 12:17:11,
12,63,4108187159,주식회사 지디이엔티,고미정,분석,777337985,88.16,88.031,-0.55074 (99.44926),3 9,2024/01/22 11:07:16,
13,64,1048157634,쿠도커뮤니케이션(주),김용식,분석,777350920,88.161,88.032,-0.54908 (99.45092),10 15,2024/01/23 09:14:32,
14,65,2158133077,오티씨 주식회사,김희언,분석,777419727,88.17,88.04,-0.54020 (99.4598),4 6,2024/01/19 09:01:08,
15,66,1298665195,주식회사 솔루윈,박부삼,분석,777422841,88.17,88.04,-0.53979 (99.46021),4 9,2024/01/18 09:40:58,
16,67,3148129657,(주)금강정보,백승부,분석,777484000,88.178,88.047,-0.53190 (99.4681),3 9,2024/01/22 10:02:02,
17,68,1088165460,(주)성보인프라넷,이성춘,분석,777487900,88.178,88.048,-0.53140 (99.4686),10 13,2024/01/22 13:46:46,
18,69,5130567026,공단네트웍스,김영희,분석,777527000,88.183,88.052,-0.52635 (99.47365),5 8,2024/01/20 18:29:09,
19,70,1288121980,원일통신(주),이규명,분석,777608600,88.193,88.062,-0.51582 (99.48418),13 4,2024/01/18 16:41:41,
20,71,4048130059,주식회사대유통신,이수곤,분석,777630390,88.195,88.064,-0.51301 (99.48699),10 4,2024/01/18 11:25:20,
21,72,5158121277,(주)세계로,박찬후,분석,777717800,88.206,88.074,-0.50172 (99.49828),11 3,2024/01/22 14:57:18,
22,73,5028602134,(주)성신통신,권태근,분석,777752680,88.21,88.078,-0.49722 (99.50278),12 5,2024/01/18 09:53:29,
23,74,5828602902,(주) 천지정보통신,김재현,분석,777770020,88.213,88.08,-0.49498 (99.50502),5 7,2024/01/22 13:03:25,
24,75,6098186876,주식회사 태영텔레콤,강미현,분석,777775520,88.213,88.08,-0.49427 (99.50573),3 9,2024/01/19 17:50:11,
25,76,1298177060,주식회사 피코씨엔아이,신민수,분석,777777000,88.213,88.081,-0.49408 (99.50592),12 14,2024/01/18 10:12:49,
26,77,3078139254,주식회사 다승텔레콤,오세좌,분석,777779000,88.214,88.081,-0.49383 (99.50617),11 4,2024/01/22 13:12:58,
27,78,3118149009,드림솔루션 주식회사,안찬기,분석,777895380,88.228,88.094,-0.47881 (99.52119),1 2,2024/01/19 14:17:48,
28,79,3128142071,선원건설 주식회사,맹학열,분석,777953300,88.235,88.101,-0.47133 (99.52867),13 3,2024/01/18 10:15:54,
29,80,2978801542,주식회사 로아,김진민,분석,777980770,88.238,88.104,-0.46778 (99.53222),10 5,2024/01/22 10:17:05,
30,81,3058177155,(주)지엘정보통신,주종인,분석,778005955,88.241,88.106,-0.46453 (99.53547),3 8,2024/01/18 09:03:06,
31,82,4028128523,(유)황우엔지니어링,양규송,분석,778125780,88.256,88.12,-0.44907 (99.55093),12 2,2024/01/22 09:07:29,
32,83,1258138992,주식회사 인남,한현희,분석,778127825,88.256,88.12,-0.44881 (99.55119),12 14,2024/01/18 11:06:30,
33,84,3068126116,마이크로닉시스템(주),김환배,분석,778157269,88.26,88.124,-0.44500 (99.555),1 9,2024/01/23 09:02:02,
34,85,4038136744,주식회사영산시스템,이수성,분석,778188726,88.264,88.127,-0.44094 (99.55906),11 5,2024/01/18 11:57:29,
35,86,1138663611,주식회사 엠브이씨앤에스,오남림,분석,778243000,88.27,88.133,-0.43394 (99.56606),11 2,2024/01/19 15:59:07,
36,87,1408179804,주식회사 에스엠네트웍스,박상준,분석,778244051,88.27,88.133,-0.43380 (99.5662),1 14,2024/01/23 08:49:02,
37,88,3148165629,(주)충청넷,최종출,분석,778282420,88.275,88.138,-0.42885 (99.57115),14 4,2024/01/19 10:11:02,
38,89,6098161822,평산정보통신주식회사,황해용,분석,778296700,88.277,88.139,-0.42701 (99.57299),2 3,2024/01/19 17:51:28,
39,90,1348139151,성우정보통신(주),장병호,분석,778309100,88.278,88.141,-0.42541 (99.57459),1 9,2024/01/19 08:53:11,
40,91,4108621792,(주)기성산업,서성희,분석,778361040,88.285,88.147,-0.41871 (99.58129),1 7,2024/01/22 10:21:56,
41,92,2298131888,세운씨앤텍 (주),이미경,분석,778369240,88.286,88.148,-0.41765 (99.58235),10 15,2024/01/19 10:43:13,
42,93,2048188475,주식회사 오파스넷,장수현,분석,778390480,88.288,88.15,-0.41491 (99.58509),10 4,2024/01/23 09:19:46,
43,94,3158133912,(주)광운정보,이강석,분석,778403430,88.29,88.152,-0.41323 (99.58677),5 9,2024/01/22 09:49:06,
44,95,5088138066,주식회사 유엔텍,윤현애,분석,778459860,88.297,88.158,-0.40595 (99.59405),11 13,2024/01/18 14:36:13,
45,96,4028185863,(유)유성통신건설,김유현,분석,778564040,88.309,88.17,-0.39251 (99.60749),1 9,2024/01/18 10:51:34,
46,97,4158147754,(주)정토건설,손영준,분석,778626000,88.317,88.177,-0.38451 (99.61549),1 13,2024/01/19 00:38:54,
47,98,1358135916,태화정보통신 주식회사,김동현,분석,778639200,88.319,88.178,-0.38280 (99.6172),15 6,2024/01/22 12:54:35,
48,99,1180673427,한마음정보시스템,정인숙,분석,778685688,88.324,88.183,-0.37681 (99.62319),1 8,2024/01/22 10:46:02,
49,100,1298163829,(주)시원코리아,임희득,분석,778690780,88.325,88.184,-0.37615 (99.62385),1 4,2024/01/22 12:30:44,
0,101,1288708320,주식회사 도경,정길호,분석,778691810,88.325,88.184,-0.37601 (99.62399),14 7,2024/01/19 10:27:07,
1,102,3108116960,주식회사 덕산정보통신,김동백,분석,778695528,88.326,88.185,-0.37554 (99.62446),10 3,2024/01/23 09:36:43,
2,103,6068607431,(주)광일정보시스템,박은주,분석,778717765,88.328,88.187,-0.37267 (99.62733),13 3,2024/01/19 17:41:48,
3,104,5028170243,주식회사태영정보,배인상,분석,778726000,88.329,88.188,-0.37160 (99.6284),11 13,2024/01/19 13:26:58,
4,105,5338800890,주식회사 구주전력,오현택,분석,778751500,88.332,88.191,-0.36831 (99.63169),15 9,2024/01/23 09:29:46,
5,106,1318612556,주식회사 현이엔지,김석구,분석,778777200,88.336,88.194,-0.36499 (99.63501),8 9,2024/01/23 08:48:04,
6,107,2278119724,주식회사 누리넷,안정례,분석,778780990,88.336,88.194,-0.36450 (99.6355),15 7,2024/01/22 22:39:46,
7,108,2338108902,주식회사 빛이라,임영기,분석,778832000,88.342,88.2,-0.35792 (99.64208),11 4,2024/01/23 09:05:27,
8,109,1218620796,(주)엠에스시스템,조희진,분석,778833100,88.342,88.2,-0.35778 (99.64222),1 7,2024/01/19 15:37:18,
9,110,1308665841,(주)스페이스인터,고창식,분석,778839102,88.343,88.201,-0.35700 (99.643),6 7,2024/01/18 11:54:11,
10,111,3058132876,(주)금탑전기통신,방성준,분석,778869320,88.347,88.204,-0.35310 (99.6469),3 8,2024/01/22 14:25:05,
11,112,3018634386,주식회사 아이티엔에스,김향여,분석,778875050,88.347,88.205,-0.35237 (99.64763),12 7,2024/01/22 13:15:44,
12,113,1058606899,이화티티씨(주),이선정,분석,778997938,88.362,88.219,-0.33650 (99.6635),4 7,2024/01/19 17:35:31,
13,114,6068643965,(주)무진산업기술,남윤정,분석,779044800,88.368,88.224,-0.33046 (99.66954),15 5,2024/01/22 09:28:39,
14,115,1058106123,주식회사 나우스넷,오승탁,분석,779086250,88.373,88.229,-0.32511 (99.67489),3 7,2024/01/23 08:41:51,
15,116,3848700549,주식회사 길네트웍스,박상길,분석,779091680,88.374,88.229,-0.32441 (99.67559),14 3,2024/01/23 09:08:02,
16,117,3148180668,주식회사한넷텍,임승묵,분석,779119582,88.377,88.233,-0.32080 (99.6792),12 5,2024/01/23 01:13:01,
17,118,6218601891,(주)온누리텔레콤,이지혜,분석,779162680,88.383,88.237,-0.31524 (99.68476),12 2,2024/01/22 09:09:17,
18,119,3078129741,을지정보통신주식회사,오태균,분석,779188600,88.386,88.24,-0.31190 (99.6881),12 3,2024/01/22 08:56:58,
19,120,2158148186,시스텍전기통신 주식회사,전진우,분석,779206826,88.388,88.242,-0.30954 (99.69046),14 8,2024/01/19 15:09:40,
20,121,1138196534,주식회사 하나이엔디,장명진,분석,779215110,88.389,88.243,-0.30848 (99.69152),14 8,2024/01/22 10:05:08,
21,122,8268102035,주식회사 더블유엔에스,박현준,분석,779221000,88.39,88.244,-0.30772 (99.69228),15 4,2024/01/18 09:13:26,
22,123,2098122288,하나로넷주식회사,성기옥,분석,779222632,88.39,88.244,-0.30750 (99.6925),15 3,2024/01/18 11:06:11,
