,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,2048626080,주식회사 엘제이이엔지,임성희,분석,42183600,88.32,87.882,-0.13353 (99.86647),8 3,2024/02/21 17:02:03,
1,2,1188114949,이주씨스템(주),이복균,분석,42367110,88.705,88.264,0.30092 (100.30092),1 9,2024/02/22 16:56:27,
2,3,1058173369,(주)신한개발,이종순,분석,42400512,88.775,88.334,0.38000 (100.38),5 15,2024/02/22 17:07:55,
3,4,1188113673,동해정보통신 주식회사  [최종낙찰],이창원,분석,43282800,90.622,90.172,2.46875 (102.46875),13 4,2024/02/22 14:09:22,
4,5,1148676763,유토피아정보기술(주),안종섭,분석,43296000,90.65,90.2,2.50000 (102.5),1 4,2024/02/21 10:15:18,
5,6,1018116968,(주)넥슨정보통신,신양인,분석,43300000,90.658,90.208,2.50946 (102.50946),14 9,2024/02/21 11:25:12,
6,-1,1068681756,주식회사 융창,이재진,분석,42002900,87.942,87.506,-0.56132 (99.43868),8 2,2024/02/22 11:27:00,낙찰하한선 미달
7,-2,5628602359,주식회사 건영정보기술,김재곤,분석,41996360,87.928,87.492,-0.57680 (99.4232),6 7,2024/02/22 09:16:42,낙찰하한선 미달
8,-3,4208600611,주식회사 클라모스,김용택,분석,41914500,87.757,87.321,-0.77060 (99.2294),15 8,2024/02/21 18:28:49,낙찰하한선 미달
9,-4,1078151890,주식회사유진솔루션,이훈희,분석,41656987,87.218,86.785,-1.38024 (98.61976),3 10,2024/02/22 16:09:30,낙찰하한선 미달
