,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,2208727337,주식회사주니파워네트웍스  [최종낙찰],노병준,분석,306691470,85.0,87.747,87.688,-0.93020 (99.0698),12 10,2024/08/05 10:15:53,
1,2,1148199927,주식회사 인텔리빅스,최은수,분석,306735880,85.2,87.761,87.701,-0.91573 (99.08427),2 10,2024/08/05 09:32:20,
2,3,1068690366,(주)윈투스시스템,신경익,분석,306736580,85.2,87.761,87.701,-0.91550 (99.0845),9 1,2024/08/02 15:09:47,
3,4,7948100026,주식회사 아성엠,전세희,분석,306809930,85.6,87.784,87.722,-0.89160 (99.1084),6 3,2024/08/06 06:33:53,
4,5,1198172336,정보와기술 주식회사,이충근,분석,306863020,86.0,87.8,87.737,-0.87430 (99.1257),9 13,2024/08/02 16:27:59,
5,6,2298125412,스크린정보통신(주),조승제,분석,306878600,86.2,87.805,87.742,-0.86923 (99.13077),2 12,2024/08/02 09:49:21,
6,7,1308179388,(주)원우이엔지,서병일,분석,306889100,86.2,87.808,87.745,-0.86581 (99.13419),2 1,2024/08/06 09:39:39,
7,8,3628700817,씨큐리티 주식회사,공승길,분석,306973499,86.6,87.834,87.769,-0.83830 (99.1617),4 1,2024/08/05 08:30:12,
8,9,4168128895,(주)비아이씨스템,방인식,분석,306985260,86.8,87.838,87.772,-0.83447 (99.16553),1 9,2024/08/02 16:49:42,
9,10,1138649133,빅썬시스템즈 주식회사,권태일,분석,306986635,86.8,87.838,87.772,-0.83402 (99.16598),8 5,2024/08/01 12:02:00,
10,11,1018642326,한우이앤에스(주),변준석,분석,306990684,86.8,87.839,87.774,-0.83270 (99.1673),7 8,2024/08/05 15:34:39,
11,12,2048174554,주식회사 창흥텔레콤,진경미,분석,307004500,86.8,87.844,87.778,-0.82820 (99.1718),6 14,2024/08/02 10:24:28,
12,13,2148667152,주식회사 어니언소프트웨어,조창희,분석,307016470,87.0,87.847,87.781,-0.82430 (99.1757),12 11,2024/08/01 16:51:03,
13,14,4178802112,주식회사 팬택씨앤아이엔지니어링,신광식,분석,307018310,87.0,87.848,87.781,-0.82370 (99.1763),6 5,2024/08/02 11:16:29,
14,15,1388150425,주식회사 유니와이드,김창환,분석,307018918,87.0,87.848,87.782,-0.82350 (99.1765),13 8,2024/08/01 12:31:07,
15,16,1068638093,(주)엘케이시스코,이기일,분석,307025490,87.0,87.85,87.784,-0.82136 (99.17864),3 6,2024/08/05 10:09:20,
16,17,2188103742,피에스텍(주),황재용,분석,307050531,87.2,87.858,87.791,-0.81320 (99.1868),1 4,2024/08/01 10:55:29,
17,18,2158192566,(주)열림정보기술,고동민,분석,307055638,87.2,87.859,87.792,-0.81154 (99.18846),4 5,2024/08/02 09:05:08,
18,19,1148676763,유토피아정보기술(주),안종섭,분석,307073545,87.4,87.865,87.797,-0.80570 (99.1943),11 10,2024/08/05 07:38:50,
19,20,1208137120,(주)지티일렉콘,고광열,분석,307118540,87.6,87.879,87.81,-0.79104 (99.20896),4 2,2024/08/06 07:15:43,
20,21,1148711262,주식회사 제이제이에스티,김형중,분석,307137990,87.8,87.885,87.816,-0.78470 (99.2153),1 6,2024/08/01 13:44:53,
21,22,1198646212,주식회사 에프에스네트웍스,이화수,분석,307215440,88.2,87.909,87.838,-0.75947 (99.24053),14 10,2024/08/05 10:06:01,
22,23,1018151140,(주)사운드솔루션,이홍,분석,307222890,88.2,87.911,87.84,-0.75704 (99.24296),2 1,2024/08/05 09:16:59,
23,24,1178119238,주식회사 동양네트워크,김종렬,분석,307234970,88.4,87.915,87.843,-0.75310 (99.2469),11 8,2024/08/06 09:05:35,
24,25,1138139080,(주)성강통신기술사사무소,안치영,분석,307267730,88.6,87.925,87.853,-0.74243 (99.25757),5 4,2024/08/06 09:16:21,
25,26,1068180183,보람정보통신서비스(주),정승원,분석,307302800,88.8,87.936,87.863,-0.73100 (99.269),5 12,2024/08/04 01:01:25,
26,27,1078805018,주식회사 지엔아이테크,박우정,분석,307332680,89.0,87.945,87.871,-0.72127 (99.27873),3 4,2024/08/02 13:07:08,
27,28,1198153402,고현건설(주),이화선,분석,307405000,89.4,87.967,87.892,-0.69770 (99.3023),8 11,2024/08/02 10:56:39,
28,29,1918801109,지디엘테크 주식회사,김완중,분석,307415400,89.4,87.97,87.895,-0.69431 (99.30569),7 10,2024/08/03 16:48:20,
29,30,1170233690,화진정보통신,김병철,분석,307415418,89.4,87.97,87.895,-0.69430 (99.3057),13 2,2024/08/05 15:11:54,
30,31,3588803184,주식회사 인터포스트,김선옥,분석,307452120,89.6,87.982,87.906,-0.68235 (99.31765),6 2,2024/07/31 11:26:31,
31,32,2088100603,(주)전우사,김한재,분석,307455630,89.6,87.983,87.907,-0.68120 (99.3188),14 15,2024/08/05 14:36:53,
32,33,2198116973,건아정보기술 주식회사,심광호,분석,307484109,89.8,87.991,87.915,-0.67192 (99.32808),10 5,2024/08/05 10:44:37,
33,34,2158706984,도드람정보기술 주식회사,이명석,분석,307489990,89.8,87.993,87.916,-0.67001 (99.32999),10 12,2024/08/02 10:07:54,
34,35,1288618438,주식회사 엔지스웨이,최영재,분석,307499505,90.0,87.996,87.919,-0.66691 (99.33309),11 2,2024/08/02 09:17:06,
35,36,1188108054,대한신호(주),안지수,분석,307530501,89.8,88.006,87.928,-0.65681 (99.34319),2 8,2024/08/05 10:02:45,
36,37,2118603519,에쓰이씨 주식회사,이명규,분석,307535473,89.8,88.007,87.929,-0.65518 (99.34482),1 11,2024/08/05 16:28:06,
37,38,2068706603,주식회사 온품,김유혁,분석,307563740,89.6,88.016,87.937,-0.64597 (99.35403),11 3,2024/08/02 15:38:00,
38,39,8028800189,주식회사 아이앤서브,박광열,분석,307588670,89.6,88.024,87.945,-0.63785 (99.36215),12 5,2024/08/05 17:57:30,
39,40,1138132447,태진정보통신(주),정태수,분석,307594028,89.4,88.025,87.946,-0.63610 (99.3639),15 6,2024/08/02 17:04:21,
40,41,1198174839,(주)선진솔루션,송성재,분석,307603240,89.4,88.028,87.949,-0.63310 (99.3669),2 6,2024/08/02 16:23:21,
41,42,2048635411,주식회사 화산에스티아이,이명재,분석,307605997,89.4,88.029,87.949,-0.63220 (99.3678),13 6,2024/08/05 10:04:45,
42,43,2158768879,주식회사 에이치씨인포,김경운,분석,307606000,89.4,88.029,87.949,-0.63220 (99.3678),9 12,2024/08/02 10:25:08,
43,44,2148781807,(주)창리정보통신,정종호,분석,307632696,89.2,88.037,87.957,-0.62350 (99.3765),11 2,2024/08/06 08:44:29,
44,45,1098150316,(주)건우통신,노형환,분석,307639141,89.2,88.039,87.959,-0.62140 (99.3786),10 11,2024/08/05 09:17:06,
45,46,2068685955,주식회사 스마트웍스,정훈,분석,307647427,89.2,88.042,87.961,-0.61870 (99.3813),6 9,2024/08/06 08:03:54,
46,47,1098643839,주식회사 케이비정보통신,지인현,분석,307660008,89.0,88.046,87.965,-0.61461 (99.38539),1 12,2024/08/06 08:58:28,
47,48,2048197877,주식회사 그린주의,김현미,분석,307661268,89.0,88.046,87.965,-0.61419 (99.38581),1 7,2024/08/06 08:25:52,
48,49,1068674084,주식회사월드아이,신영구,분석,307665470,89.0,88.047,87.967,-0.61283 (99.38717),14 4,2024/08/05 15:42:19,
49,50,1208753234,디스플레이허브 주식회사,김동협,분석,307693760,88.8,88.056,87.975,-0.60361 (99.39639),1 2,2024/08/06 08:04:44,
0,51,1018197466,주식회사콤위즈,정윤권,분석,307707028,88.8,88.06,87.978,-0.59928 (99.40072),7 8,2024/08/05 16:31:45,
1,52,2118899396,주식회사 피에스콤,최정환,분석,307708650,88.8,88.061,87.979,-0.59876 (99.40124),4 6,2024/08/02 17:29:47,
2,53,2048639509,주식회사 대한유비텍,이우영,분석,307712950,88.8,88.062,87.98,-0.59735 (99.40265),13 2,2024/08/05 08:57:45,
3,54,1098166803,(주)아이앤씨파트너스,곽준철,분석,307758520,88.4,88.076,87.993,-0.58250 (99.4175),13 10,2024/08/06 08:40:45,
4,55,8128800740,주식회사 대일시스템,이승일,분석,307773046,88.4,88.08,87.997,-0.57777 (99.42223),4 2,2024/08/01 11:50:58,
5,56,2148711728,에이에이씨케이(주),주수양,분석,307776680,88.4,88.081,87.998,-0.57659 (99.42341),6 2,2024/08/05 10:46:55,
6,57,1198174315,주식회사 다솜이엔씨,송인주,분석,307783992,88.4,88.084,88.0,-0.57420 (99.4258),3 10,2024/08/05 07:59:38,
7,58,2068682619,주식회사 엠플러스통신,신동수,분석,307786140,88.4,88.084,88.001,-0.57350 (99.4265),13 10,2024/08/02 13:29:58,
8,59,2018176136,(주)휴넷시스템,김초영,분석,307789208,88.2,88.085,88.002,-0.57251 (99.42749),12 9,2024/08/02 16:00:36,
