,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
46,47,1298148041,주식회사 경원,안귀영,분석,29363075,89.184,88.979,1.22000 (101.22),5 6,2024/08/30 08:57:51,
47,48,1378165788,폴그린테크 주식회사,정윤범,분석,29417000,89.35,89.142,1.40623 (101.40623),1 5,2024/08/30 08:58:06,
48,49,1278187918,(주)가인지엔티,김낙종,분석,29504380,89.62,89.407,1.70800 (101.708),14 10,2024/08/29 18:02:24,
49,50,1358187791,주식회사 연홍개발,서정훈,분석,29550861,89.763,89.548,1.86852 (101.86852),1 15,2024/08/27 09:12:42,
0,51,1278168793,주식회사 경기방재,최대현,분석,32340000,98.364,98.0,11.50091 (111.50091),3 8,2024/08/29 14:11:00,
1,-1,2848603045,주식회사 유림전기통신,김효성,분석,28875500,87.681,87.501,-0.46386 (99.53614),13 10,2024/08/29 10:23:56,낙찰하한선 미달
2,-2,1358127809,주식회사 삼보엔지니어링,심규일,분석,28870000,87.664,87.484,-0.48285 (99.51715),5 13,2024/08/28 08:47:05,낙찰하한선 미달
3,-3,1338128627,주식회사일렉콤,이용회,분석,28810910,87.481,87.305,-0.68692 (99.31308),10 5,2024/08/28 17:39:01,낙찰하한선 미달
4,-4,1338137048,주식회사 도아(到我),박기덕,분석,28755890,87.312,87.139,-0.87694 (99.12306),2 10,2024/08/29 15:37:25,낙찰하한선 미달
5,-5,1188119624,탑정보통신 주식회사,오영권,분석,28732271,87.239,87.067,-0.95851 (99.04149),3 5,2024/08/29 08:38:57,낙찰하한선 미달
6,-6,1188117437,탑인더스트리(주),최정현,분석,28668568,87.043,86.874,-1.17851 (98.82149),9 12,2024/08/29 10:02:08,낙찰하한선 미달
