,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
44,45,6208119689,(주)하진테크,이재홍,분석,4723563960,85.721,85.808,-0.61380 (99.3862),10 14,2024/07/22 17:24:03,
45,46,6108118378,주식회사 웅진통신,장은환,분석,4723577330,85.722,85.808,-0.61351 (99.38649),1 15,2024/07/24 15:03:35,
46,47,1218623930,주식회사 도빈,정오성,분석,4723955952,85.729,85.815,-0.60547 (99.39453),11 9,2024/07/22 17:04:30,
47,48,5028155882,한세정보통신(주),한재성,분석,4724137980,85.733,85.818,-0.60160 (99.3984),14 9,2024/07/22 14:39:48,
48,49,4098639860,(주)대성전력,정세진,분석,4724170800,85.733,85.819,-0.60090 (99.3991),13 4,2024/07/24 20:34:45,
49,50,4120554062,천연테크놀러지,이미자,분석,4724264000,85.735,85.821,-0.59892 (99.40108),12 8,2024/07/25 09:02:09,
0,51,3078140391,주식회사 아튼,강희준,분석,4724620130,85.742,85.827,-0.59136 (99.40864),3 7,2024/07/24 13:34:36,
1,52,3068126116,마이크로닉시스템(주),김환배,분석,4725107349,85.751,85.836,-0.58100 (99.419),12 14,2024/07/24 16:53:40,
2,53,2130249995,에스에스브이,박정선,분석,4725557978,85.76,85.844,-0.57143 (99.42857),13 9,2024/07/18 09:49:02,
3,54,4388601038,(주)유피,이선재,분석,4725561977,85.76,85.844,-0.57135 (99.42865),4 9,2024/07/23 20:29:01,
4,55,6028800594,삼연정보통신(주),이수진,분석,4726121670,85.771,85.855,-0.55945 (99.44055),10 15,2024/07/18 12:54:25,
5,56,2158190006,광명인터컴(주),오광세,분석,4726707493,85.783,85.865,-0.54700 (99.453),12 8,2024/07/22 17:27:23,
6,57,6898801402,주식회사 씨엔에스전기통신,고석철,분석,4727258129,85.793,85.875,-0.53531 (99.46469),14 15,2024/07/24 14:56:22,
7,58,1358119406,대보정보통신 주식회사,김상욱,분석,4727477914,85.798,85.879,-0.53063 (99.46937),1 11,2024/07/25 08:02:10,
8,59,5878600398,주식회사 엑사엔시스,나정환,분석,4727616200,85.8,85.882,-0.52770 (99.4723),5 9,2024/07/24 12:54:26,
9,60,2148752525,(주)엘티네트워크,조완식,분석,4727692851,85.802,85.883,-0.52607 (99.47393),12 13,2024/07/19 14:17:49,
10,61,1138640864,주식회사 지앤씨씨,정연진,분석,4727973488,85.807,85.888,-0.52010 (99.4799),10 3,2024/07/24 14:19:41,
11,62,5068161237,(주)비아이티,이창훈,분석,4728292222,85.813,85.894,-0.51333 (99.48667),3 9,2024/07/22 15:41:24,
12,63,1148190678,주식회사 에드원,김춘걸,분석,4728412000,85.816,85.896,-0.51079 (99.48921),14 15,2024/07/22 15:50:15,
13,64,2158603049,유니넷텍(주),김한호,분석,4728688850,85.821,85.901,-0.50490 (99.4951),1 13,2024/07/23 17:48:52,
14,65,2108130492,명신정보통신(주),서철,분석,4729392438,85.835,85.914,-0.48995 (99.51005),11 8,2024/07/24 10:01:56,
15,66,4028147350,렉스젠 주식회사,안순현,분석,4729658340,85.84,85.919,-0.48431 (99.51569),1 6,2024/07/24 18:32:18,
16,67,4078600433,주식회사 강성티이씨,이기양,분석,4729860715,85.844,85.922,-0.48000 (99.52),3 7,2024/07/22 20:10:28,
17,68,1178159259,금일정보기술주식회사,박청아,분석,4729894600,85.845,85.923,-0.47929 (99.52071),2 5,2024/07/19 10:52:37,
18,69,1138658592,위너시스텍 주식회사,조용걸,분석,4729904100,85.845,85.923,-0.47908 (99.52092),12 9,2024/07/24 12:11:27,
19,70,1668700091,주식회사 태원텍,강신택,분석,4730067000,85.848,85.926,-0.47562 (99.52438),14 2,2024/07/19 17:07:25,
20,71,1348712509,신우정보통신 주식회사,심원용,분석,4730180750,85.85,85.928,-0.47320 (99.5268),12 13,2024/07/24 10:23:36,
21,72,5151460190,홍성기업사,정하현,분석,4730420970,85.855,85.933,-0.46810 (99.5319),1 15,2024/07/24 09:50:49,
22,73,3018198032,일송건설(주),이덕표,분석,4730599600,85.858,85.936,-0.46431 (99.53569),11 5,2024/07/22 15:47:27,
23,74,3118131154,주식회사 유어스시스템,장경익,분석,4730604310,85.858,85.936,-0.46421 (99.53579),1 15,2024/07/22 09:52:49,
24,75,1218191414,주식회사 유리네트웍스,박창호,분석,4730660786,85.859,85.937,-0.46301 (99.53699),11 2,2024/07/22 15:04:27,
25,76,2158138510,신신이앤씨주식회사,하상청,분석,4731286726,85.872,85.948,-0.44970 (99.5503),10 13,2024/07/23 08:36:12,
26,77,1258138992,주식회사 인남,한현희,분석,4731329081,85.872,85.949,-0.44881 (99.55119),7 8,2024/07/23 09:05:37,
27,78,6108184747,주식회사 나경,손상문,분석,4731404382,85.874,85.95,-0.44721 (99.55279),4 9,2024/07/23 13:31:50,
28,79,3018611438,(주)두원이엔지,이병순,분석,4731422502,85.874,85.951,-0.44682 (99.55318),2 5,2024/07/24 00:06:14,
29,80,1308665841,(주)스페이스인터,고창식,분석,4731440622,85.875,85.951,-0.44643 (99.55357),2 3,2024/07/23 17:54:02,
30,81,4098606490,서경정보통신 주식회사,김연화,분석,4731534600,85.876,85.953,-0.44444 (99.55556),13 2,2024/07/23 13:56:55,
31,82,1138141835,주식회사 고려티에스아이,이중석,분석,4731540860,85.877,85.953,-0.44431 (99.55569),7 9,2024/07/22 13:31:03,
32,83,1298177060,주식회사 피코씨엔아이,신민수,분석,4731829000,85.882,85.958,-0.43818 (99.56182),13 6,2024/07/19 10:39:47,
33,84,1228630865,주식회사 금산,유기선,분석,4732025614,85.886,85.962,-0.43401 (99.56599),14 4,2024/07/24 14:23:30,
34,85,3428101799,주식회사 비앤에스,신경인,분석,4732378590,85.893,85.968,-0.42650 (99.5735),10 3,2024/07/22 10:01:54,
35,86,5142206830,광명전기,이정희,분석,4732390352,85.893,85.968,-0.42626 (99.57374),1 4,2024/07/23 17:16:56,
36,87,1358188621,(주)플러스원정보통신,최원복,분석,4732646847,85.898,85.973,-0.42080 (99.5792),1 3,2024/07/23 18:24:38,
37,88,1308611160,대광정보시스템(주),김미영,분석,4732660966,85.898,85.973,-0.42050 (99.5795),13 2,2024/07/24 14:06:05,
38,89,1348148193,(주)삼보전자통신,유수형,분석,4732712000,85.899,85.974,-0.41942 (99.58058),10 14,2024/07/23 09:29:28,
39,90,1281366542,영화엔지니어링,이필신,분석,4732746700,85.9,85.975,-0.41868 (99.58132),10 12,2024/07/24 15:39:55,
40,91,3148161661,(주)이오정보통신,이관우,분석,4733203000,85.909,85.983,-0.40899 (99.59101),14 6,2024/07/22 18:11:06,
41,92,5148146407,참조은정보통신주식회사,차중은,분석,4733432800,85.913,85.987,-0.40410 (99.5959),11 13,2024/07/24 13:52:23,
42,93,1198178757,주식회사우신아이앤씨,이화세,분석,4733498690,85.915,85.989,-0.40270 (99.5973),15 4,2024/07/24 11:09:05,
43,94,1218802598,주식회사 민경통신,김민철,분석,4733881000,85.922,85.995,-0.39458 (99.60542),1 5,2024/07/24 12:09:51,
44,95,5018114869,남영통신(주),김영록,분석,4734472900,85.934,86.006,-0.38200 (99.618),1 11,2024/07/23 17:49:17,
45,96,3058177155,(주)지엘정보통신,주종인,분석,4734762772,85.939,86.011,-0.37585 (99.62415),10 15,2024/07/18 22:32:12,
46,97,5478601711,주식회사 에이치제이엠(HJM),문희정,분석,4734807040,85.94,86.012,-0.37490 (99.6251),6 8,2024/07/24 09:15:49,
47,98,1228605202,(주)에스엠티엔씨,이용래,분석,4734849390,85.941,86.013,-0.37401 (99.62599),2 4,2024/07/24 14:44:59,
48,99,7088600845,주식회사 드림아트,조복희,분석,4735018820,85.944,86.016,-0.37041 (99.62959),3 7,2024/07/23 15:16:09,
49,100,2148663189,주식회사 케이더블유엠산업기술,이동건,분석,4735587460,85.955,86.026,-0.35832 (99.64168),12 4,2024/07/23 14:53:09,
0,101,4088164852,(주)해림테크,김화순,분석,4735889490,85.961,86.032,-0.35190 (99.6481),8 9,2024/07/24 12:26:30,
1,102,2208104161,대신정보기술 주식회사,이광호,분석,4736134200,85.966,86.036,-0.34671 (99.65329),11 6,2024/07/24 16:49:59,
2,103,1118126196,(주)광성통신,김성철,분석,4736203635,85.967,86.038,-0.34523 (99.65477),1 3,2024/07/23 11:15:56,
3,104,1218620796,(주)엠에스시스템,조희진,분석,4736240700,85.968,86.038,-0.34444 (99.65556),5 9,2024/07/23 09:39:12,
4,105,5048168817,(주)동진,오광숙,분석,4736243285,85.968,86.038,-0.34439 (99.65561),15 6,2024/07/21 10:15:19,
5,106,3108116960,주식회사 덕산정보통신,김동백,분석,4736418007,85.972,86.042,-0.34067 (99.65933),14 2,2024/07/25 09:14:35,
6,107,2158196636,주식회사 화산엔지니어링,김정완,분석,4736481400,85.973,86.043,-0.33933 (99.66067),3 8,2024/07/23 08:51:39,
7,108,1348139151,성우정보통신(주),장병호,분석,4737070200,85.984,86.053,-0.32682 (99.67318),1 13,2024/07/18 09:55:58,
8,109,2148828148,지안넥스주식회사,정구원,분석,4737080180,85.984,86.054,-0.32661 (99.67339),5 7,2024/07/24 11:49:45,
9,110,1408110372,(주)지성하이텍,송혜선,분석,4737096000,85.985,86.054,-0.32627 (99.67373),6 8,2024/07/19 17:45:20,
10,111,4108600083,(주)세움미디어,김영심,분석,4737117900,85.985,86.054,-0.32580 (99.6742),8 9,2024/07/18 09:46:49,
11,112,1138663611,주식회사 엠브이씨앤에스,오남림,분석,4737180285,85.986,86.055,-0.32448 (99.67552),10 8,2024/07/23 11:39:28,
12,113,6158122391,주식회사 우진이앤씨,최진섭,분석,4737315000,85.989,86.058,-0.32162 (99.67838),2 3,2024/07/24 16:11:14,
13,114,1248725569,(주)지호,김미라,분석,4737569636,85.994,86.062,-0.31621 (99.68379),14 8,2024/07/25 08:44:37,
14,115,2158753003,주식회사 이예스피,민은정,분석,4737668470,85.996,86.064,-0.31411 (99.68589),5 9,2024/07/24 18:40:34,
15,116,1288708320,주식회사 도경,정길호,분석,4737774840,85.998,86.066,-0.31184 (99.68816),11 6,2024/07/22 14:14:21,
16,117,1288692398,주식회사 올댓이엔티,이은애,분석,4737818844,85.999,86.067,-0.31091 (99.68909),3 5,2024/07/25 08:25:49,
