순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,4118146506,케이엠티시스템 주식회사,,분석,348329081,87.128,87.432,-0.6281 (99.3719),10 2,2021/01/20 09:20:00,미심사
2,1868701018,주식회사 소담정보통신,,분석,348348455,87.133,87.437,-0.6225 (99.3775),4 12,2021/01/18 13:19:46,미심사
3,2188117964,(주)투윈스컴,,분석,348353621,87.135,87.438,-0.6210 (99.379),11 6,2021/01/19 07:07:55,미심사
4,1248691271,주식회사 티팩토리,,분석,348358820,87.136,87.439,-0.6196 (99.3804),1 13,2021/01/19 09:27:11,미심사
5,1018144159,주식회사 넥선,,분석,348359475,87.136,87.44,-0.6194 (99.3806),5 15,2021/01/18 14:47:03,미심사
6,1048610901,이룸유비쿼터스주식회사,,분석,348369536,87.139,87.442,-0.6165 (99.3835),15 13,2021/01/19 14:50:34,미심사
7,1128126393,주식회사 승도이엔씨,,분석,348384000,87.143,87.446,-0.6124 (99.3876),11 1,2021/01/19 18:15:07,미심사
8,1148683959,제이엔에스텍주식회사,,분석,348395590,87.146,87.449,-0.6091 (99.3909),10 15,2021/01/20 09:28:15,미심사
9,1068619761,(주) 한걸음정보통신,,분석,348399260,87.147,87.45,-0.6080 (99.392),4 2,2021/01/19 09:35:36,미심사
10,1148642486,주식회사 큐브정보통신,,분석,348430036,87.156,87.457,-0.5992 (99.4008),9 13,2021/01/18 10:33:59,미심사
11,2118640396,주식회사 선진콘트롤 엔 엑세스,,분석,348434161,87.157,87.458,-0.5981 (99.4019),2 3,2021/01/19 15:21:24,미심사
12,2148798098,주식회사 에이스뷰테크,,분석,348435900,87.157,87.459,-0.5976 (99.4024),15 14,2021/01/19 10:21:27,미심사
13,2018634956,주식회사 신성전자통신,,분석,348437272,87.158,87.459,-0.5972 (99.4028),6 12,2021/01/18 10:55:53,미심사
14,1058133654,백상기업(주),,분석,348437400,87.158,87.459,-0.5971 (99.4029),12 14,2021/01/19 17:21:53,미심사
15,2058126448,주식회사 순성이엔씨,,분석,348438969,87.158,87.46,-0.5967 (99.4033),7 11,2021/01/18 13:39:57,미심사
16,2158673619,오다엔지니어링(주),,분석,348446900,87.16,87.462,-0.5944 (99.4056),13 1,2021/01/19 16:37:54,미심사
17,1088159691,(주)다우텔레콤,,분석,348455977,87.163,87.464,-0.5918 (99.4082),7 13,2021/01/19 18:30:03,미심사
18,1188111452,동화전자산업(주),,분석,348458430,87.163,87.464,-0.5911 (99.4089),9 12,2021/01/20 10:10:57,미심사
19,1058199938,삼호전자통신(주),,분석,348466840,87.166,87.467,-0.5888 (99.4112),7 9,2021/01/19 09:50:25,미심사
20,2048644152,신해공영주식회사,,분석,348466900,87.166,87.467,-0.5887 (99.4113),4 3,2021/01/19 13:23:24,미심사
21,2068184285,주식회사 진명파워택,,분석,348468587,87.166,87.467,-0.5883 (99.4117),9 12,2021/01/20 09:51:39,미심사
22,2128145574,콤시스(주),,분석,348470350,87.166,87.467,-0.5877 (99.4123),14 10,2021/01/18 15:51:48,미심사
23,2068165615,(주)아이커머,,분석,348472176,87.167,87.468,-0.5872 (99.4128),5 1,2021/01/19 17:56:59,미심사
24,2118716291,(주)유토닉스,,분석,348473748,87.167,87.468,-0.5868 (99.4132),2 4,2021/01/20 10:03:33,미심사
25,2148104884,두원이에프씨주식회사,,분석,348501545,87.175,87.475,-0.5788 (99.4212),1 13,2021/01/18 16:41:19,미심사
26,1338113707,(주)대보통신,,분석,348502200,87.175,87.475,-0.5787 (99.4213),1 15,2021/01/18 17:08:14,미심사
27,2128169519,세진시스콤주식회사,,분석,348502947,87.175,87.476,-0.5784 (99.4216),10 9,2021/01/19 08:36:24,미심사
28,1078756640,주식회사 링크씨앤아이,,분석,348509846,87.177,87.477,-0.5765 (99.4235),15 7,2021/01/18 17:49:23,미심사
29,1078651497,모바일파킹 유한회사,,분석,348524329,87.181,87.481,-0.5723 (99.4277),3 15,2021/01/20 08:50:04,미심사
30,2068666263,세움기술 주식회사,,분석,348533443,87.184,87.483,-0.5697 (99.4303),14 8,2021/01/19 17:52:50,미심사
31,2148854189,(주)태원전기,,분석,348545096,87.187,87.486,-0.5664 (99.4336),10 15,2021/01/18 10:44:49,미심사
32,1018151776,(주)지디시,,분석,348558677,87.19,87.49,-0.5626 (99.4374),9 15,2021/01/19 18:01:42,미심사
33,1288154026,(주)니트로시스템,,분석,348573054,87.194,87.493,-0.5584 (99.4416),2 11,2021/01/19 10:05:11,미심사
34,1178164451,(주)지엠디텔레콤,,분석,348580000,87.196,87.495,-0.5565 (99.4435),10 13,2021/01/19 09:23:07,미심사
35,2018179526,중앙케이블네트워크(주),,분석,348580692,87.196,87.495,-0.5563 (99.4437),7 1,2021/01/18 18:09:20,미심사
36,1078197386,(주)아리네트웍스,,분석,348587258,87.198,87.497,-0.5544 (99.4456),5 13,2021/01/20 09:35:30,미심사
37,2040371641,한서전자,,분석,348596540,87.201,87.499,-0.5517 (99.4483),3 8,2021/01/18 15:02:58,미심사
38,2208798467,주식회사 태산이에이지,,분석,348610559,87.204,87.503,-0.5478 (99.4522),12 6,2021/01/18 11:07:23,미심사
39,2178127061,주식회사 칸씨앤에스,,분석,348637700,87.212,87.509,-0.5400 (99.46),14 1,2021/01/19 17:36:20,미심사
40,1058619564,주식회사 다상테크,,분석,348641407,87.213,87.51,-0.5389 (99.4611),15 12,2021/01/19 16:38:48,미심사
41,1088182120,(주) 포스콤 에스아이,,분석,348643159,87.213,87.511,-0.5384 (99.4616),9 2,2021/01/20 09:23:56,미심사
42,2108131394,(주)안나시스템,,분석,348645317,87.214,87.511,-0.5378 (99.4622),7 5,2021/01/19 15:36:56,미심사
43,2068164028,주식회사 이지비앤티,,분석,348652500,87.216,87.513,-0.5358 (99.4642),1 2,2021/01/18 09:40:29,미심사
44,1138635212,(주)아이제이일렉트론,,분석,348656470,87.217,87.514,-0.5347 (99.4653),15 13,2021/01/18 15:02:48,미심사
45,1138137229,두복산전(주),,분석,348667090,87.22,87.517,-0.5316 (99.4684),1 7,2021/01/19 10:07:45,미심사
46,1198635165,오성정보통신 주식회사,,분석,348672160,87.221,87.518,-0.5302 (99.4698),8 10,2021/01/19 11:42:04,미심사
47,1088179663,주식회사 시큐뱅크,,분석,348679250,87.223,87.52,-0.5282 (99.4718),13 3,2021/01/19 15:36:53,미심사
48,2118193336,(주)국제비엠에스,,분석,348685751,87.225,87.521,-0.5263 (99.4737),9 5,2021/01/19 09:30:35,미심사
49,1138658592,위너시스텍 주식회사,,분석,348687100,87.225,87.522,-0.5259 (99.4741),13 14,2021/01/19 11:35:01,미심사
50,1138653995,주식회사 아이티에스엠,,분석,348689553,87.226,87.522,-0.5252 (99.4748),9 7,2021/01/18 17:37:10,미심사
51,2158682840,차일정보통신(주),,분석,348707657,87.231,87.527,-0.5200 (99.48),14 11,2021/01/20 09:53:07,미심사
52,1068615367,대성아이넷(주),,분석,348715947,87.233,87.529,-0.5177 (99.4823),5 12,2021/01/18 11:59:20,미심사
53,1138148366,주식회사 레이어스,,분석,348719965,87.234,87.53,-0.5165 (99.4835),3 11,2021/01/18 18:58:23,미심사
54,1068603240,태경이엘피 주식회사,,분석,348724629,87.235,87.531,-0.5152 (99.4848),15 4,2021/01/19 11:23:53,미심사
55,1208612783,주식회사 나오디지탈,,분석,348732700,87.237,87.533,-0.5129 (99.4871),13 4,2021/01/19 10:01:33,미심사
56,1078162397,신용통신 주식회사,,분석,348740842,87.24,87.535,-0.5106 (99.4894),5 9,2021/01/19 09:57:43,미심사
57,1208637260,사운드파이프코리아(주),,분석,348742359,87.24,87.536,-0.5101 (99.4899),8 15,2021/01/18 16:03:21,미심사
58,1198158412,애드넷정보통신(주),,분석,348746100,87.241,87.537,-0.5091 (99.4909),11 13,2021/01/18 16:21:09,미심사
59,2148792435,주식회사케이이씨디바이스,,분석,348751473,87.243,87.538,-0.5075 (99.4925),1 10,2021/01/19 14:39:30,미심사
60,1018151140,(주)사운드솔루션,,분석,348756990,87.244,87.539,-0.5060 (99.494),5 2,2021/01/19 11:09:42,미심사
61,1168147309,문엔지니어링(주),,분석,348760700,87.245,87.54,-0.5049 (99.4951),2 15,2021/01/20 09:42:12,미심사
62,1118124994,오리엔트주식회사,,분석,348766195,87.247,87.542,-0.5033 (99.4967),1 13,2021/01/20 13:18:36,미심사
63,2118606665,주식회사 아라랏,,분석,348771804,87.248,87.543,-0.5017 (99.4983),4 5,2021/01/19 20:43:31,미심사
64,2148823314,화인정보기술주식회사,,분석,348785100,87.252,87.546,-0.4980 (99.502),14 7,2021/01/19 09:05:53,미심사
65,2158693084,주식회사 온파워아이앤티,,분석,348786500,87.252,87.547,-0.4976 (99.5024),8 13,2021/01/19 17:25:20,미심사
66,2078155629,씨티아이앤아이(주),,분석,348790070,87.253,87.548,-0.4965 (99.5035),9 13,2021/01/19 08:05:25,미심사
67,1098603050,(주)이루기술,,분석,348809311,87.258,87.552,-0.4910 (99.509),14 12,2021/01/19 10:43:02,미심사
68,2068196840,주식회사 혜성이티에스,,분석,348811970,87.259,87.553,-0.4903 (99.5097),6 5,2021/01/18 22:48:57,미심사
69,1078726452,벽산파워 주식회사,,분석,348848179,87.269,87.562,-0.4800 (99.52),12 7,2021/01/18 15:54:41,미심사
70,1028132281,현대씨앤알 주식회사,,분석,348858000,87.271,87.565,-0.4772 (99.5228),8 3,2021/01/18 13:55:52,미심사
71,2068650742,한선씨앤씨 주식회사,,분석,348858385,87.271,87.565,-0.4770 (99.523),2 9,2021/01/18 15:05:26,미심사
72,2208719934,주식회사 지제이전기통신,,분석,348862348,87.273,87.566,-0.4759 (99.5241),8 14,2021/01/18 13:45:29,미심사
73,1068648117,주식회사 티원엘에스,,분석,348886570,87.279,87.572,-0.4690 (99.531),12 4,2021/01/19 19:32:06,미심사
74,2048188475,주식회사 오파스넷,,분석,348907108,87.285,87.577,-0.4631 (99.5369),8 11,2021/01/18 09:51:43,미심사
75,1088149704,이엔트컴(주),,분석,348910030,87.285,87.578,-0.4623 (99.5377),4 6,2021/01/19 06:15:15,미심사
76,1098120807,(주)케이비에스비즈니스,,분석,348917625,87.288,87.58,-0.4601 (99.5399),9 12,2021/01/20 09:18:46,미심사
77,1148189360,(주)지오,,분석,348921096,87.288,87.581,-0.4592 (99.5408),1 14,2021/01/19 09:26:42,미심사
78,2148673033,대일전기통신(주),,분석,348924986,87.29,87.582,-0.4580 (99.542),4 13,2021/01/20 07:47:41,미심사
79,2148805903,리조이스통신주식회사,,분석,348927088,87.29,87.582,-0.4574 (99.5426),7 3,2021/01/19 09:23:22,미심사
80,2158602337,지엔네텔(주),,분석,348927328,87.29,87.582,-0.4574 (99.5426),9 6,2021/01/20 13:27:57,미심사
81,2148710582,모던웨이브(주),,분석,348930836,87.291,87.583,-0.4564 (99.5436),15 4,2021/01/18 11:16:53,미심사
82,1078616772,노드링크주식회사,,분석,348931294,87.291,87.583,-0.4563 (99.5437),5 13,2021/01/18 10:30:31,미심사
83,1138150993,주식회사 우진정보,,분석,348933000,87.292,87.584,-0.4558 (99.5442),15 5,2021/01/19 09:55:09,미심사
84,1138106099,기전통신(주),,분석,348944100,87.295,87.586,-0.4526 (99.5474),13 9,2021/01/19 13:21:58,미심사
85,2178114305,주식회사 케이엠씨앤아이,,분석,348957400,87.298,87.59,-0.4488 (99.5512),1 9,2021/01/19 17:06:41,미심사
86,2208104161,대신정보기술(주),,분석,348960000,87.299,87.59,-0.4481 (99.5519),10 9,2021/01/19 17:50:15,미심사
87,2068193673,지에스네트웍스(주),,분석,348976860,87.304,87.595,-0.4433 (99.5567),14 1,2021/01/19 12:43:42,미심사
88,1068128718,서광통신 주식회사,,분석,348995443,87.309,87.599,-0.4379 (99.5621),2 6,2021/01/19 14:55:02,미심사
89,1208166080,(주)기산텔레콤,,분석,349017900,87.315,87.605,-0.4315 (99.5685),9 14,2021/01/18 13:55:17,미심사
90,1058645500,태지종합건설(주),,분석,349025900,87.317,87.607,-0.4293 (99.5707),9 13,2021/01/20 08:49:56,미심사
91,2158168275,천마정보통신(주),,분석,349026000,87.317,87.607,-0.4292 (99.5708),13 6,2021/01/19 21:02:34,미심사
92,2048626080,주식회사 엘제이이엔지,,분석,349026230,87.317,87.607,-0.4292 (99.5708),11 13,2021/01/18 10:47:58,미심사
93,1098172945,(주)마커스코리아,,분석,349038200,87.32,87.61,-0.4258 (99.5742),2 15,2021/01/19 14:42:51,미심사
94,1138177594,지엘에스이(주),,분석,349042750,87.321,87.611,-0.4245 (99.5755),15 14,2021/01/18 09:28:28,미심사
95,7188100420,주식회사 오투정보통신,,분석,349059300,87.326,87.615,-0.4197 (99.5803),1 13,2021/01/18 18:23:57,미심사
96,2148690274,주식회사 유니콤넷,,분석,349067225,87.328,87.617,-0.4175 (99.5825),7 2,2021/01/18 15:57:21,미심사
97,2148132740,(주)융시스템,,분석,349089690,87.334,87.623,-0.4111 (99.5889),4 5,2021/01/20 06:22:54,미심사
98,2018170734,아이디비넷(주),,분석,349091487,87.335,87.623,-0.4105 (99.5895),13 7,2021/01/19 11:18:38,미심사
99,1058747280,주식회사 하이디,,분석,349091861,87.335,87.623,-0.4104 (99.5896),5 11,2021/01/18 20:19:25,미심사
100,1178113423,주식회사 엘지헬로비전,,분석,349097440,87.336,87.625,-0.4089 (99.5911),7 13,2021/01/18 09:08:52,미심사
