순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
47,2208895263,주식회사 필립이엔씨,임혜란,분석,59181175,87.916,88.883,0.99999 (100.99999),12 6,2021/09/30 08:21:54,
48,1148676763,유토피아정보기술(주),안종섭,분석,59182630,87.918,88.885,1.00249 (101.00249),14 7,2021/09/29 10:37:45,
49,2208657396,(주)가온네트,오장환,분석,59183980,87.921,88.887,1.00480 (101.0048),4 15,2021/09/28 10:56:44,
50,1088122724,영진정보통신주식회사,김영식,분석,59187952,87.927,88.893,1.01159 (101.01159),9 3,2021/09/24 11:39:13,
51,1198605337,(주)신한이엔아이,유순자,분석,59190231,87.93,88.896,1.01550 (101.0155),15 1,2021/09/29 07:16:05,
52,1348182624,(주)이앤에스알앤디,이봉희,분석,59194000,87.936,88.902,1.02195 (101.02195),6 3,2021/09/28 12:00:06,
53,2098134940,주식회사윤송이엔씨,정윤계,분석,59197590,87.941,88.907,1.02809 (101.02809),13 7,2021/09/28 11:19:35,
54,1108194463,주식회사 에스디앤제이,신동석,분석,59199870,87.945,88.911,1.03199 (101.03199),14 4,2021/09/28 09:23:02,
55,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,59199980,87.945,88.911,1.03218 (101.03218),7 11,2021/09/27 10:26:21,
56,4108633207,(유)대원엔지니어링,박윤규,분석,59201230,87.947,88.913,1.03432 (101.03432),4 6,2021/09/29 09:54:18,
57,8118800465,주식회사 티에스컴넷,김종술,분석,59201537,87.947,88.913,1.03485 (101.03485),2 11,2021/09/23 10:23:58,
58,2208180951,엘지정보기술(주),엄태원,분석,59202090,87.948,88.914,1.03579 (101.03579),6 3,2021/09/23 10:23:04,
59,1078713433,(주)스마트게이트,김민우,분석,59205479,87.953,88.919,1.04159 (101.04159),1 4,2021/09/27 16:13:42,
60,1108175113,이에스콘트롤스 (주),김영준,분석,59206880,87.955,88.921,1.04399 (101.04399),8 13,2021/09/30 09:13:17,
61,1128107625,(주)삼정전기통신,김상민,분석,59211585,87.963,88.928,1.05205 (101.05205),6 13,2021/09/30 07:54:34,
62,2018634956,주식회사 신성전자통신,전용한,분석,59211906,87.963,88.929,1.05260 (101.0526),6 15,2021/09/27 18:08:14,
63,1138668654,주식회사코리아아이씨티,장규호,분석,59213133,87.965,88.931,1.05470 (101.0547),14 12,2021/09/27 15:34:39,
64,1198611746,(주)지트인,김재환,분석,59216873,87.971,88.936,1.06110 (101.0611),5 2,2021/09/28 09:37:48,
65,8568800361,주식회사 우선기술,정우영,분석,59217748,87.972,88.938,1.06260 (101.0626),7 12,2021/09/28 10:18:25,
66,5568600996,주영전자통신 주식회사,임채열,분석,59218270,87.973,88.939,1.06349 (101.06349),13 4,2021/09/29 17:17:17,
67,1068619761,(주) 한걸음정보통신,정진원,분석,59223590,87.981,88.947,1.07259 (101.07259),9 8,2021/09/29 08:21:21,
68,2048129194,위성이앤씨(주),이양숙,분석,59224116,87.982,88.947,1.07349 (101.07349),1 9,2021/09/28 17:28:06,
69,1488100811,주식회사 세명테크,박정필,분석,59224230,87.982,88.947,1.07369 (101.07369),15 13,2021/09/28 09:10:06,
70,1068617410,(주) 한성,한동열,분석,59229082,87.989,88.955,1.08199 (101.08199),6 11,2021/09/28 11:51:31,
71,1068608755,(주)디제이티,차시환,분석,59241409,88.008,88.973,1.10309 (101.10309),4 12,2021/09/29 11:21:57,
72,2148734721,(주)다모아테크,장용일,분석,59245442,88.014,88.979,1.11000 (101.11),3 5,2021/09/24 17:03:37,
73,1198609084,주식회사 유니씨엔에스,박경임,분석,59246025,88.015,88.98,1.11100 (101.111),6 11,2021/09/28 09:03:48,
74,1048140865,다이아몬드전자(주),이건,분석,59246350,88.015,88.981,1.11155 (101.11155),5 11,2021/09/28 09:41:28,
75,1058622531,건웅신호산전(주),박정현,분석,59246430,88.016,88.981,1.11169 (101.11169),6 8,2021/09/29 15:02:44,
76,4108709228,(주)실로아이앤씨,서정호,분석,59253152,88.026,88.991,1.12319 (101.12319),12 9,2021/09/27 09:22:13,
77,1198179983,(주)에이피텔,정용명,분석,59257760,88.033,88.998,1.13108 (101.13108),14 6,2021/09/30 09:14:12,
