순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
-3,1098647062,주식회사 조아정보통신,,분석,501119877,87.259,88.666,0.6756 (100.6756),3 14,2021/04/28 10:11:15,심사제외
-4,1068143494,합자회사 화인에스앤컴퍼니,,분석,501107590,87.257,88.663,0.6731 (100.6731),9 11,2021/04/29 10:08:01,심사제외
-5,2128140491,(주)벧엘정보통신,,분석,501041397,87.244,88.652,0.6599 (100.6599),14 8,2021/04/30 07:28:47,심사제외
-6,4208600611,주식회사 클라모스,,분석,500982663,87.233,88.641,0.6481 (100.6481),3 8,2021/04/29 09:54:03,심사제외
-7,2068165221,유니슨전기(주),,분석,500978070,87.232,88.641,0.6471 (100.6471),3 6,2021/04/28 15:10:00,심사제외
-8,1058178229,아마노코리아(주),,분석,500953188,87.228,88.636,0.6421 (100.6421),14 2,2021/04/29 09:44:41,심사제외
-9,2148752525,(주)엘티네트워크,,분석,500931617,87.224,88.632,0.6378 (100.6378),7 15,2021/04/28 16:08:19,심사제외
-10,1058162163,주식회사대한종합산전,,분석,500921936,87.222,88.631,0.6359 (100.6359),14 15,2021/04/28 12:31:53,심사제외
-11,3738701418,주식회사 에스비넷,,분석,500890260,87.216,88.625,0.6295 (100.6295),5 13,2021/04/28 10:04:07,심사제외
-12,1408177811,주식회사 네오비젼,,분석,500860213,87.21,88.62,0.6234 (100.6234),9 1,2021/04/28 13:38:29,심사제외
-13,2148722924,주식회사 다음정보기술,,분석,500858600,87.21,88.619,0.6231 (100.6231),10 15,2021/04/28 17:18:42,심사제외
-14,1148676763,유토피아정보기술(주),,분석,500857725,87.21,88.619,0.6230 (100.623),4 11,2021/04/29 16:05:40,심사제외
-15,1198184278,주식회사엠디네트워크,,분석,500851254,87.209,88.618,0.6217 (100.6217),2 4,2021/04/29 17:34:46,심사제외
-16,2048651425,주식회사 메이사운드,,분석,500805460,87.2,88.61,0.6125 (100.6125),2 6,2021/04/29 17:33:52,심사제외
-17,1148637590,(주) 어빌리티시스템즈,,분석,500801207,87.199,88.609,0.6116 (100.6116),15 8,2021/04/28 10:23:24,심사제외
-18,2158148186,시스텍전기통신(주),,분석,500797500,87.199,88.609,0.6109 (100.6109),15 14,2021/04/29 15:35:31,심사제외
-19,2068663169,(주)지엠케이정보통신,,분석,500783062,87.196,88.606,0.6080 (100.608),5 12,2021/04/28 16:27:52,심사제외
-20,1268159398,(주)파이런텍,,분석,500739260,87.188,88.598,0.5992 (100.5992),11 14,2021/04/29 09:40:29,심사제외
-21,1048800071,주식회사 대광사업단,,분석,500732290,87.186,88.597,0.5978 (100.5978),2 13,2021/04/29 18:37:13,심사제외
-22,1198658528,진솔이앤에스 주식회사,,분석,500700995,87.181,88.592,0.5915 (100.5915),13 15,2021/04/28 22:41:08,심사제외
-23,2078127900,합동전자통신(주),,분석,500682514,87.177,88.588,0.5878 (100.5878),3 8,2021/04/30 11:09:21,심사제외
-24,2148668087,주식회사 네오티스,,분석,500654129,87.172,88.583,0.5820 (100.582),4 1,2021/04/28 10:11:32,심사제외
-25,1171187825,신원전자,,분석,500653590,87.172,88.583,0.5819 (100.5819),1 7,2021/04/29 09:37:03,심사제외
-26,1148190678,주식회사 에드원,,분석,500645690,87.17,88.582,0.5804 (100.5804),3 1,2021/04/29 17:58:49,심사제외
-27,2048105154,우일정보기술 주식회사,,분석,500643689,87.17,88.581,0.5800 (100.58),2 6,2021/04/29 17:38:57,심사제외
-28,8178800099,(주)대성오토텍,,분석,500632739,87.168,88.579,0.5778 (100.5778),6 9,2021/04/29 08:25:08,심사제외
-29,1088180573,다올정보기술주식회사,,분석,500619470,87.165,88.577,0.5751 (100.5751),6 10,2021/04/29 10:12:43,심사제외
-30,1138637772,(주)헤로스테크,,분석,500610340,87.164,88.576,0.5733 (100.5733),13 3,2021/04/28 11:11:31,심사제외
-31,1068619761,(주) 한걸음정보통신,,분석,500604120,87.162,88.574,0.5720 (100.572),15 11,2021/04/29 17:33:20,심사제외
-32,2058139910,우현전기(주),,분석,500582963,87.158,88.571,0.5678 (100.5678),9 7,2021/04/28 16:03:43,심사제외
-33,1198165586,제이케이앤티텔레콤(주),,분석,500575497,87.157,88.569,0.5663 (100.5663),4 2,2021/04/29 07:01:35,심사제외
-34,2078129117,경우전기(주),,분석,500573820,87.157,88.569,0.5659 (100.5659),1 5,2021/04/29 09:22:06,심사제외
-35,1198192370,(주)신관산업,,분석,500572336,87.156,88.569,0.5656 (100.5656),6 13,2021/04/28 10:15:55,심사제외
-36,1198130210,(주)와이드넷엔지니어링,,분석,500567530,87.156,88.568,0.5646 (100.5646),3 9,2021/04/29 13:41:15,심사제외
-37,1268620622,(주)엑스코하이텍,,분석,500562550,87.155,88.567,0.5636 (100.5636),15 6,2021/04/30 09:03:49,심사제외
