순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,5538801044,주식회사문장전력,이주선,분석,185304700,87.745,88.202,-0.29983 (99.70017),,2021/11/12 10:06:25,
2,1068135107,주식회사동산텔레콤,송동조,분석,185306580,87.746,88.203,-0.29881 (99.70119),,2021/11/11 09:44:11,
3,2018190031,주식회사 태건씨앤씨,김복수,분석,185307146,87.746,88.204,-0.29850 (99.7015),,2021/11/16 08:55:04,
4,1138139080,(주)성강통신기술사사무소,안치영,분석,185308610,87.747,88.204,-0.29771 (99.70229),,2021/11/16 10:09:21,
5,1388190091,삼성전원공사 주식회사,서명수,분석,185312519,87.749,88.206,-0.29559 (99.70441),,2021/11/13 22:11:18,
6,1218183781,대일코리아 주식회사,장미화,분석,185315581,87.75,88.208,-0.29393 (99.70607),,2021/11/15 17:21:09,
7,1018116968,(주)넥슨정보통신,신양인,분석,185315990,87.75,88.208,-0.29371 (99.70629),,2021/11/09 10:58:18,
8,1218145093,(주)엘에스파워텍,이진권,분석,185316732,87.751,88.208,-0.29330 (99.7067),,2021/11/15 14:10:25,
9,2098134940,주식회사윤송이엔씨,정윤계,분석,185321150,87.753,88.21,-0.29091 (99.70909),,2021/11/12 15:48:59,
10,2121827567,광성전기,박종덕,분석,185322078,87.753,88.211,-0.29040 (99.7096),,2021/11/16 08:16:34,
11,1278197736,(주)신우전기엔지니어링,고전주,분석,185324620,87.755,88.212,-0.28903 (99.71097),,2021/11/16 09:04:56,
12,1278630481,서화이엔지(주),노동해,분석,185324890,87.755,88.212,-0.28888 (99.71112),,2021/11/15 09:04:22,
13,1258612056,주식회사 영현전력,박상돈,분석,185325570,87.755,88.212,-0.28851 (99.71149),,2021/11/15 09:54:17,
14,1058720087,아이팁스 주식회사,양용석,분석,185326130,87.755,88.213,-0.28821 (99.71179),,2021/11/16 09:24:06,
15,1278122443,주식회사 정우이엔씨,최명희,분석,185326318,87.756,88.213,-0.28810 (99.7119),,2021/11/12 16:26:22,
16,2118606665,주식회사 아라랏,오선환,분석,185331434,87.758,88.215,-0.28533 (99.71467),,2021/11/13 18:50:19,
17,1313638610,진우전력,박서희,분석,185332356,87.759,88.216,-0.28483 (99.71517),,2021/11/16 08:54:54,
18,1348171262,주식회사 신양,황규봉,분석,185334800,87.76,88.217,-0.28350 (99.7165),,2021/11/15 10:46:39,
