공고번호,010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
20240210785-00,0,4,42,169,289,297,157,29,9,4,0,0,0,4,8,34,56,113,136,153,143,154,97,60,20,9,7,2,2,2,0,0,0,0,0,0,0,2,0,2,0,6,10,11,15,24,20,31,52,42,54,52,64,58,61,62,55,55,57,68,45,31,37,26,18,8,10,5,4,2,4,2,2,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,3,3,2,8,4,7,7,8,12,12,12,8,12,19,26,26,17,25,28,26,18,34,30,34,28,30,27,34,26,36,21,34,26,29,29,28,38,30,17,28,13,18,21,16,15,11,9,9,4,4,5,5,2,3,2,2,1,1,1,3,1,1,1,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0
20240208694-00,0,3,29,91,173,220,144,35,10,1,0,0,0,3,9,20,38,53,92,81,104,116,93,51,18,17,8,2,1,0,0,0,0,0,0,0,0,0,1,2,2,5,6,12,4,11,16,17,23,24,36,43,31,30,33,40,45,42,51,42,46,32,27,24,15,12,5,5,5,8,3,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,2,4,7,5,2,2,5,6,9,7,11,6,10,13,10,14,17,19,24,19,13,18,18,12,19,14,27,13,15,30,19,23,26,25,24,18,32,14,19,13,15,12,13,11,13,2,8,4,3,2,1,4,1,4,4,4,2,1,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
20240211074-00,0,22,21,119,280,285,151,24,22,0,0,0,1,21,5,16,43,76,135,145,129,156,112,39,18,6,22,0,0,0,0,0,0,0,0,0,0,9,12,1,1,4,2,6,8,11,18,26,34,30,52,62,57,67,42,41,56,58,65,65,57,39,24,18,13,8,8,3,3,2,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,4,0,1,0,1,2,2,0,2,3,3,6,2,5,6,7,11,14,12,18,16,14,16,25,27,30,32,21,36,37,30,24,18,18,23,29,27,32,26,33,32,31,34,25,32,21,18,16,8,11,7,6,7,2,6,3,5,2,1,2,1,1,1,5,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240134686-00,0,2,55,146,294,366,199,59,8,3,0,0,0,2,13,42,66,80,130,164,176,190,130,69,40,19,5,3,3,0,0,0,0,0,0,0,0,0,1,1,4,6,10,16,19,18,29,41,28,30,48,51,66,65,64,56,77,90,74,69,66,42,36,33,22,23,13,7,7,9,2,1,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,1,5,3,7,13,3,9,10,7,11,12,17,19,22,15,13,16,14,24,24,20,31,31,35,36,29,20,44,32,24,34,43,43,47,48,26,41,28,31,35,19,23,22,14,17,16,12,10,13,10,3,10,4,3,4,3,6,3,2,0,0,1,2,0,1,0,1,1,0,0,1,0,2,0,0,0,0,0
20240121986-00,1,1,8,45,65,89,57,25,6,2,0,1,0,1,4,4,23,22,29,36,42,47,33,24,17,8,4,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,3,3,1,11,10,6,10,8,9,15,14,7,20,17,19,17,15,21,16,10,12,9,10,9,6,4,5,1,3,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,2,1,0,5,6,6,4,2,4,4,6,3,5,4,5,10,5,5,9,4,3,13,7,7,10,10,9,6,11,8,7,12,9,11,5,6,4,7,5,2,7,4,6,4,5,4,2,2,2,3,2,0,1,1,2,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
E012400482,0,1,14,83,146,147,80,15,1,0,0,0,0,1,3,11,29,54,71,75,59,88,57,23,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,5,3,12,10,24,17,20,23,35,35,23,30,22,23,34,32,36,31,20,11,11,7,7,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,3,1,4,2,1,5,7,5,5,7,17,9,8,11,9,7,16,20,15,13,22,13,10,21,9,11,11,14,9,14,20,20,12,21,15,15,16,13,7,6,5,7,4,4,3,3,4,2,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240119037-00,2,6,60,151,270,290,146,41,9,2,1,1,1,5,16,44,59,92,119,151,134,156,105,41,23,18,8,1,2,0,1,0,0,1,0,0,1,0,4,1,5,5,13,14,23,29,19,24,44,35,46,46,66,50,62,60,55,50,62,63,48,43,26,17,12,12,7,6,8,8,5,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,1,3,2,2,3,6,7,8,6,14,9,10,19,10,9,11,13,18,26,18,17,24,22,19,27,27,39,29,21,36,26,26,34,22,33,19,31,34,28,35,28,22,26,21,22,14,12,9,8,9,3,5,7,4,3,4,2,4,4,5,3,5,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20240108595-00,0,2,41,118,254,241,143,48,4,0,0,0,0,2,7,34,52,66,131,123,122,119,87,56,37,11,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,8,16,12,11,28,25,24,30,34,56,69,55,40,44,57,45,53,42,33,40,26,30,14,12,20,11,4,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,2,6,10,6,7,5,6,5,12,16,13,12,8,16,16,14,15,19,23,33,41,28,26,29,22,18,19,25,23,34,21,24,32,21,23,19,14,19,18,22,14,12,14,16,7,7,6,6,11,9,5,6,2,2,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20240103196-00,7,12,55,157,302,290,133,38,6,6,2,5,2,10,19,36,57,100,145,157,164,126,87,46,30,8,6,0,6,0,0,1,1,2,3,1,1,2,2,6,8,7,12,17,11,20,21,28,37,51,59,56,62,64,61,55,74,58,54,49,37,33,36,18,9,14,13,3,5,3,3,2,1,0,0,3,1,2,0,0,0,0,0,1,1,0,2,0,3,0,1,0,0,1,0,2,1,1,4,2,4,4,4,3,4,8,8,9,4,7,7,13,8,13,16,12,19,18,27,24,26,33,22,34,30,32,32,32,35,26,26,29,34,40,35,23,27,27,31,18,20,17,10,23,17,19,7,11,4,5,5,9,6,7,3,0,2,3,2,1,2,1,2,0,1,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0
20240101641-00,0,5,47,154,333,365,179,51,4,0,0,0,0,5,10,37,65,89,168,165,189,176,116,63,38,13,3,1,0,0,0,0,0,0,0,0,0,0,1,4,3,3,13,15,13,23,25,29,33,44,64,64,67,77,61,50,94,87,73,61,59,42,25,30,23,17,16,7,4,7,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,1,2,4,9,11,4,8,5,13,10,9,16,17,12,13,20,22,22,32,32,33,31,40,27,51,26,26,35,25,25,31,63,45,42,42,31,36,25,30,29,21,21,15,10,16,14,12,11,8,9,7,9,5,2,1,3,2,5,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20231245452-00,1,4,43,133,297,322,159,34,6,2,0,1,1,3,11,32,46,87,140,157,169,153,113,46,23,11,4,2,1,1,0,0,0,1,0,0,0,1,2,1,4,6,8,13,12,12,23,27,39,32,52,58,60,62,65,58,71,62,64,67,44,47,34,20,14,11,8,8,7,0,1,3,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,3,4,2,1,7,8,5,5,7,9,3,8,15,11,16,20,19,17,15,22,30,24,34,30,30,38,24,36,29,27,31,32,39,40,22,31,33,34,33,18,26,25,22,22,12,11,9,6,8,5,6,4,4,4,4,4,3,0,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
20231244916-00,1,7,45,182,349,293,127,36,6,3,0,1,1,6,11,34,71,111,180,169,157,136,79,48,24,12,6,0,3,0,0,0,1,0,0,1,0,0,2,4,4,6,6,16,13,24,27,41,46,44,51,86,71,77,64,65,63,64,45,56,36,32,23,17,19,10,13,4,4,5,0,5,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,2,2,2,4,1,5,10,6,7,6,14,10,12,15,20,21,24,22,29,15,22,29,43,43,43,28,53,24,32,32,36,29,32,31,29,35,28,17,30,26,19,17,15,17,11,12,8,9,10,9,6,4,5,8,1,3,2,2,0,5,0,0,2,3,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
20231243445-00,1,6,51,130,238,302,159,53,5,1,0,1,0,6,13,38,53,77,107,131,157,145,99,60,38,15,4,1,0,1,0,0,0,1,0,0,0,0,3,3,3,6,11,13,18,26,16,29,27,32,26,51,59,51,51,58,60,69,70,45,43,35,34,19,28,19,12,8,7,7,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,3,3,4,7,9,4,8,10,13,13,6,10,11,18,10,17,17,15,11,15,26,25,30,29,26,25,23,28,34,24,30,30,39,30,32,38,24,21,27,16,17,18,21,13,6,13,14,14,10,9,5,7,7,1,2,5,2,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
20231241878-00,2,3,47,156,292,299,157,38,8,0,1,1,1,2,9,38,64,92,119,173,155,144,88,69,28,10,7,1,0,0,1,0,0,0,1,0,1,0,1,1,2,6,11,15,13,24,25,37,32,38,48,44,63,63,74,52,64,77,60,46,39,36,35,25,22,13,14,3,5,3,2,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,4,2,1,10,9,6,6,7,14,10,9,16,15,22,15,17,17,21,22,26,24,20,27,36,31,32,40,34,25,27,33,31,39,38,35,25,26,20,19,20,19,17,13,22,12,13,8,14,9,4,6,8,1,2,3,2,2,1,2,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20241211533-00,0,4,48,171,267,301,141,34,5,0,0,0,0,4,6,42,73,98,128,139,140,161,104,37,28,6,2,3,0,0,0,0,0,0,0,0,0,0,2,2,2,1,9,18,18,20,37,34,48,32,55,51,47,63,51,49,53,62,74,63,56,35,19,15,16,10,15,3,4,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1,0,3,6,4,14,8,10,9,11,19,18,16,18,23,25,18,14,22,33,27,24,22,25,31,32,31,20,28,21,26,27,38,24,37,37,25,38,31,25,22,13,13,6,11,4,9,7,5,5,6,9,3,0,4,0,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
20241208445-00,0,4,71,211,389,263,105,23,5,0,0,0,1,3,22,49,110,101,195,194,155,108,56,49,15,8,4,1,0,0,0,0,0,0,0,0,0,1,1,2,5,11,10,25,20,44,43,44,36,44,79,83,76,84,67,57,60,60,46,40,22,22,24,19,18,9,4,5,2,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,2,4,7,6,4,8,17,14,6,19,25,22,21,23,21,14,22,22,22,46,33,54,29,33,43,41,43,32,35,29,28,32,28,38,22,21,25,25,15,11,11,13,9,12,12,10,9,11,7,4,5,1,3,2,3,2,0,3,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20241210319-00,1,5,52,187,239,283,156,37,4,1,1,0,0,5,21,31,84,103,124,115,150,133,100,56,25,12,2,2,1,0,0,1,0,0,0,0,0,1,0,4,5,12,7,13,15,29,34,44,38,42,49,45,52,57,36,54,66,61,61,41,40,34,44,25,13,15,7,5,6,4,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,2,4,8,4,3,5,8,7,8,13,16,17,17,21,23,16,22,24,18,25,24,21,24,30,22,27,30,19,17,25,29,35,31,30,31,29,32,19,22,22,18,15,19,26,18,15,10,7,6,11,4,3,4,3,2,3,3,3,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
20241206508-00,1,4,71,240,305,268,133,35,5,1,0,1,0,4,21,50,104,136,163,142,156,112,69,64,21,14,4,1,1,0,0,0,0,1,0,0,0,1,0,3,2,12,16,18,23,33,45,48,58,56,57,77,53,57,61,67,54,62,50,35,30,27,23,31,22,11,7,7,6,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,4,8,7,9,9,9,12,11,15,18,20,25,26,22,26,32,23,33,27,30,28,49,29,24,26,31,30,31,34,33,28,26,35,27,21,29,23,12,16,14,19,8,12,11,15,16,13,9,4,7,5,2,3,4,1,5,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20241207575-00,0,3,50,219,333,324,165,44,3,2,0,0,2,1,15,35,102,117,146,187,189,135,111,54,32,12,3,0,0,2,0,0,0,0,0,0,1,1,1,0,2,5,12,14,17,34,42,45,41,57,40,69,75,74,75,68,75,83,49,49,50,42,29,20,24,17,11,7,4,5,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2,3,8,4,6,8,9,8,14,20,22,20,26,19,21,20,30,27,22,18,40,29,37,38,42,32,38,37,28,40,36,39,46,37,26,23,29,20,28,22,26,16,19,10,10,10,16,8,7,10,5,6,4,3,2,2,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20241207521-00,0,2,48,187,292,306,134,37,3,1,0,0,1,1,15,33,79,108,137,155,139,167,82,52,31,6,1,2,1,0,0,0,0,0,0,0,0,1,1,0,2,8,9,9,20,28,34,40,44,41,52,60,46,82,52,59,49,61,93,44,37,31,24,22,20,18,8,6,2,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,4,4,5,4,4,5,9,11,14,14,14,20,17,23,28,16,23,18,27,25,27,33,25,21,45,37,27,25,31,28,22,27,31,30,45,48,26,18,17,20,15,16,14,10,12,10,13,7,7,11,5,3,5,1,1,1,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
20241135632-00,2,0,12,57,102,122,50,12,4,1,1,1,0,0,3,9,21,36,54,48,49,73,35,15,7,5,1,3,1,0,1,0,0,0,1,0,0,0,0,0,1,2,1,3,5,4,10,9,16,18,19,24,25,16,18,10,26,30,32,24,13,12,14,7,4,4,3,1,2,2,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,2,3,1,3,3,7,7,2,8,8,10,8,7,12,15,9,11,14,8,8,10,8,1,9,16,10,13,17,13,19,17,7,5,8,7,5,10,4,4,3,3,1,3,1,3,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
20241203726-00,1,4,60,221,329,281,137,22,6,1,0,1,1,3,11,49,86,135,148,181,153,128,83,54,15,7,4,2,1,0,0,0,0,1,0,0,0,1,1,2,3,5,12,19,21,38,30,38,51,64,53,57,71,78,70,49,76,56,61,39,38,23,40,21,15,8,4,5,2,3,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,2,2,3,3,9,9,10,10,11,14,24,14,16,18,20,28,23,31,33,28,25,26,31,38,33,50,28,29,41,22,27,41,35,28,28,29,32,22,17,19,19,11,12,22,18,10,11,9,6,6,2,2,2,3,2,2,0,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
20241134279-00,0,2,55,177,327,267,139,35,4,0,0,0,1,1,6,49,82,95,160,167,155,112,74,65,23,12,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,4,7,19,24,24,31,46,42,34,50,72,62,80,63,52,68,56,53,38,44,25,22,24,24,11,7,9,6,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,6,4,15,10,14,10,14,13,18,27,19,19,23,12,22,28,22,29,43,38,24,39,41,31,32,26,26,41,27,35,21,31,22,17,21,26,18,14,11,5,17,15,9,12,12,7,4,1,6,5,4,3,3,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20241139999-00,1,4,55,167,310,372,161,45,5,0,1,0,0,4,13,42,74,93,124,186,185,187,102,59,34,11,5,0,0,0,0,1,0,0,0,0,0,2,1,1,5,4,10,19,17,27,32,35,33,40,37,58,61,62,92,76,79,61,71,85,58,34,22,25,22,15,15,7,8,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,2,2,2,4,6,6,13,6,11,13,14,12,20,15,20,17,16,22,18,16,21,32,26,29,32,33,29,42,50,37,39,39,40,30,31,29,42,53,32,26,32,23,11,10,12,13,12,12,10,11,4,10,5,4,3,5,3,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241140821-00,0,7,52,213,316,308,162,31,6,0,0,0,2,5,13,39,87,126,158,158,141,167,103,59,21,10,3,3,0,0,0,0,0,0,0,0,0,2,2,3,2,5,14,13,18,25,37,51,49,51,55,62,74,65,60,53,58,67,70,60,43,40,34,27,18,11,10,6,4,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,1,1,3,2,6,8,5,8,9,9,13,12,19,18,25,26,25,24,25,26,24,31,27,35,41,33,34,31,31,29,27,26,29,29,30,37,34,36,31,29,20,23,22,18,20,14,11,16,8,10,4,7,8,2,0,6,2,2,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
20241134655-00,0,5,66,204,265,326,154,34,8,0,0,0,1,4,20,46,75,129,130,135,169,157,98,56,22,12,5,3,0,0,0,0,0,0,0,0,0,1,1,3,4,11,10,18,23,30,27,41,51,55,56,51,61,50,47,84,59,51,56,76,47,35,26,23,23,13,6,7,5,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,3,4,7,5,5,5,13,5,18,13,17,11,16,18,23,24,27,27,28,21,35,25,26,23,38,20,30,23,24,41,43,29,30,26,25,26,30,41,35,28,19,17,18,16,10,9,14,17,6,8,5,4,2,3,4,3,2,2,1,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241130459-00,0,7,69,196,328,307,150,41,5,2,0,0,2,5,21,48,72,124,142,186,165,142,114,36,31,10,2,3,2,0,0,0,0,0,0,0,0,2,2,3,5,10,12,18,24,27,29,32,49,59,41,59,72,59,97,69,61,70,58,49,51,49,20,15,15,15,10,8,4,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,2,3,6,4,6,6,11,7,12,12,14,13,14,15,16,16,18,31,24,35,14,27,26,33,42,30,29,30,38,59,25,44,39,22,35,35,30,28,21,28,29,22,22,27,14,6,9,6,8,7,8,7,6,4,6,2,2,2,4,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0
20241123763-02,0,0,1,6,42,38,13,7,1,1,0,0,0,0,0,1,1,5,25,17,19,19,7,6,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,11,11,7,6,7,7,7,12,7,5,1,5,1,2,4,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,3,8,5,6,3,4,3,3,3,4,2,5,6,1,5,7,5,2,4,1,1,0,2,3,1,0,1,1,1,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
20241129821-00,0,6,62,191,310,319,151,26,5,1,0,0,2,4,21,41,77,114,136,174,178,141,99,52,20,6,4,1,1,0,0,0,0,0,0,0,1,1,2,2,4,12,9,14,23,26,36,39,52,38,47,66,44,76,77,69,75,56,63,56,48,36,28,21,18,10,8,5,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,2,2,6,6,5,4,7,7,8,15,13,13,15,21,15,24,21,31,15,23,25,22,34,32,23,21,32,44,31,46,38,31,34,41,34,22,36,27,24,32,28,20,21,15,15,13,9,12,9,9,5,5,4,4,2,3,2,0,1,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20241125152-00,0,0,14,31,76,92,30,9,2,0,0,0,0,0,6,8,11,20,37,39,56,36,20,10,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,8,5,5,3,8,10,11,14,16,18,17,18,28,16,16,14,8,12,5,1,4,2,1,2,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,4,4,2,3,2,3,1,2,4,4,3,7,4,7,6,8,12,4,9,9,8,9,8,10,11,17,10,6,7,9,8,6,6,2,6,6,0,5,0,1,1,3,0,2,0,1,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20241123613-00,0,5,67,187,347,287,144,34,7,3,0,0,1,4,13,54,79,108,171,176,169,118,97,47,22,12,5,2,3,0,0,0,0,0,0,0,0,3,1,1,3,5,9,23,27,27,31,41,35,53,52,80,72,81,62,69,70,56,53,39,39,35,33,19,18,9,11,5,7,2,2,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,2,1,4,5,4,9,14,13,14,15,12,12,19,21,20,14,21,29,24,19,33,28,52,39,33,33,48,30,32,29,40,39,31,30,26,30,23,19,20,21,18,14,21,23,10,12,7,9,9,5,4,8,3,2,3,3,4,2,0,0,2,2,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0
20241124651-00,0,5,62,203,340,264,142,31,9,0,0,0,0,5,16,46,72,131,165,175,130,134,86,56,20,11,7,2,0,0,0,0,0,0,0,0,0,2,1,2,4,8,9,16,25,24,31,39,53,56,57,69,72,81,61,57,52,48,52,55,35,38,28,24,17,8,9,7,5,2,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,4,5,3,4,5,7,9,10,15,15,9,17,14,17,22,27,26,26,30,29,28,32,37,39,33,33,48,29,32,29,28,27,25,21,27,30,22,26,29,20,15,20,18,13,15,11,13,8,9,3,5,5,4,3,4,4,1,1,1,0,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20241124100-00,0,6,70,216,372,286,157,29,2,2,0,0,0,6,17,53,95,121,185,187,162,124,105,52,23,6,1,1,1,1,0,0,0,0,0,0,0,2,0,4,5,10,8,20,27,33,40,44,42,57,59,75,97,85,56,56,73,67,54,36,44,43,31,19,20,10,6,7,4,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,5,4,6,2,6,9,11,13,14,22,11,14,26,22,22,24,18,28,29,28,31,38,37,51,46,46,39,31,25,25,31,36,37,33,34,28,26,16,20,22,22,17,26,18,13,9,10,12,8,5,5,5,1,7,0,4,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
20241125257-00,0,4,40,192,382,270,142,28,3,0,0,0,0,4,10,30,75,117,172,210,142,128,99,43,22,6,1,2,0,0,0,0,0,0,0,0,0,2,1,1,3,6,5,12,14,23,31,39,51,48,59,67,95,91,70,55,63,45,52,55,48,36,22,16,20,10,4,9,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,1,2,4,1,4,7,5,6,8,10,13,14,17,21,18,29,22,27,21,29,30,29,38,46,49,47,44,38,32,30,25,31,32,24,21,29,23,26,29,30,18,20,16,15,7,8,8,12,8,5,5,2,2,8,1,3,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241124232-00,0,3,62,214,320,327,138,25,1,0,0,0,0,3,21,41,86,128,141,179,175,152,80,58,17,8,1,0,0,0,0,0,0,0,0,0,0,1,1,1,7,8,9,21,17,26,36,51,55,46,51,63,51,80,75,70,79,45,67,66,32,33,29,22,22,5,9,4,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,4,3,5,6,3,12,9,7,10,14,12,13,23,24,27,32,23,21,25,21,30,32,31,27,24,34,46,33,42,33,37,36,43,26,19,25,42,35,31,21,11,18,15,15,14,12,10,12,10,2,3,4,5,3,1,2,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241119568-00,0,3,75,151,290,320,170,34,2,0,0,0,0,3,23,52,67,84,126,164,147,173,126,44,26,8,1,1,0,0,0,0,0,0,0,0,0,1,1,1,6,13,8,27,21,20,27,44,29,31,42,59,49,62,78,47,72,62,68,71,71,46,24,12,17,13,10,7,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,4,5,8,4,4,8,19,10,11,12,8,20,7,20,24,19,10,15,16,12,30,26,33,25,24,25,37,37,41,28,19,40,32,28,34,38,30,35,36,45,26,28,18,9,15,7,5,8,9,7,6,7,3,3,4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
