공고번호,010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
E012403046,0,4,36,121,311,224,90,24,5,2,0,0,1,3,8,28,56,65,159,152,113,111,57,33,19,5,2,3,2,0,0,0,0,0,0,0,0,1,0,3,3,4,7,13,9,18,22,26,28,27,54,71,69,66,51,48,44,48,45,39,21,28,19,13,9,8,7,6,1,2,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,1,6,8,5,6,3,10,8,12,10,16,10,14,14,13,14,24,30,36,35,34,35,37,29,26,25,24,24,23,21,21,27,25,20,17,22,10,11,15,13,8,11,6,7,3,6,1,7,5,2,4,2,1,0,1,1,0,0,2,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0
202403443,4,43,153,502,633,521,319,73,19,7,1,3,13,30,47,106,206,296,336,297,290,231,206,113,49,24,14,5,5,2,1,0,0,1,2,3,7,5,9,19,18,16,29,36,54,80,72,98,95,157,128,145,134,128,98,92,140,113,87,89,101,78,57,47,36,20,22,12,8,11,9,4,3,2,1,5,0,0,2,0,0,1,0,0,0,0,1,0,0,2,1,2,2,5,3,2,2,7,10,9,7,11,6,10,13,16,15,21,28,26,34,46,34,38,54,44,47,48,68,89,62,66,73,72,63,71,62,66,57,41,41,51,70,70,58,55,49,38,50,39,49,52,50,28,27,30,28,19,22,14,9,11,9,13,7,5,6,2,9,2,6,3,2,2,1,2,0,2,1,0,2,3,0,0,0,0,1,1,0,0
20240333825-00,0,6,42,144,317,290,152,52,5,3,0,0,1,5,14,28,48,96,164,153,165,125,82,70,30,22,5,0,1,2,0,0,0,0,0,0,1,0,2,3,6,4,9,13,10,16,21,29,29,49,60,62,72,72,51,45,75,75,40,55,42,30,23,29,28,13,12,13,9,5,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,4,2,4,0,4,5,8,5,5,5,8,8,11,10,11,18,10,19,19,30,24,36,27,35,42,30,42,30,31,20,20,25,21,54,45,30,27,13,34,21,22,20,13,17,10,13,16,13,18,10,7,6,8,4,5,8,8,1,1,4,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
20240312799-00,1,6,43,175,345,291,166,41,3,5,0,1,0,6,14,29,49,126,182,163,141,150,102,64,22,19,3,0,5,0,0,0,0,0,1,0,0,0,2,4,7,4,7,9,16,17,20,41,47,50,64,76,76,74,55,50,60,56,65,60,48,35,34,28,21,11,8,10,5,7,0,3,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,4,3,3,1,3,4,6,3,9,7,8,9,8,12,12,29,21,26,26,24,27,37,35,41,42,34,44,30,20,35,28,22,21,39,31,25,35,30,44,16,22,26,17,18,19,15,17,11,12,9,5,6,5,3,3,7,3,2,2,5,0,0,3,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
20240345994-00,3,12,144,517,901,927,525,177,25,4,1,2,4,8,41,103,203,314,432,469,448,479,328,197,103,74,20,5,3,1,0,0,1,1,1,2,1,1,3,5,11,20,25,45,43,67,85,99,118,148,172,171,184,217,157,169,190,185,198,185,153,132,88,83,69,53,36,40,38,10,10,7,5,2,1,2,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,2,1,1,4,4,7,6,14,10,15,28,17,24,19,34,33,38,47,51,48,67,51,76,72,79,93,79,92,89,95,123,94,79,78,73,96,75,115,89,96,115,83,95,90,76,77,76,56,43,45,46,37,46,23,33,20,16,20,14,26,26,12,7,3,8,2,3,4,3,2,2,0,1,0,1,1,0,0,1,0,0,0,0,1
E012402689,1,4,36,116,296,242,104,22,7,3,0,1,1,3,10,26,43,73,157,139,124,118,65,39,16,6,5,2,3,0,0,0,0,1,0,0,1,1,1,1,3,5,6,7,15,14,17,27,29,29,46,72,72,57,49,45,60,40,51,46,27,29,19,17,12,8,7,3,2,2,3,2,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,2,4,1,2,4,4,3,7,8,7,7,7,10,12,15,14,15,16,13,16,30,24,48,39,33,35,22,26,23,23,22,23,37,19,21,28,23,35,11,14,13,14,15,9,10,9,8,9,3,5,3,4,3,1,2,0,2,0,2,1,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0
E012402541,0,20,105,403,779,768,433,102,37,5,0,0,5,15,31,74,150,253,380,399,390,378,311,122,70,32,35,2,5,0,0,0,0,0,0,1,0,5,5,9,16,7,24,22,35,46,65,84,120,89,152,153,170,170,134,131,187,148,152,150,161,111,71,50,40,37,28,14,16,7,26,6,3,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,3,3,6,7,9,3,4,8,16,10,12,17,18,26,20,27,38,40,44,70,50,42,47,76,76,78,75,75,95,104,66,71,63,70,61,85,102,72,76,76,76,83,67,82,79,64,47,39,32,35,15,24,16,21,16,15,13,5,9,11,5,2,5,10,16,5,1,3,0,0,0,1,1,3,0,1,0,1,0,0,0,0,0
E012402445,0,5,34,149,241,243,116,21,8,1,0,0,1,4,9,25,66,83,139,102,109,134,78,38,16,5,3,5,1,0,0,0,0,0,0,0,0,1,2,2,5,4,1,12,12,26,28,25,32,38,66,52,40,39,44,43,44,50,63,43,33,31,24,17,11,8,6,7,0,0,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,2,3,3,1,0,1,6,6,4,8,11,15,14,14,12,13,19,13,15,23,37,29,28,24,21,19,21,18,25,19,22,21,12,32,22,28,38,25,23,20,17,16,14,17,14,10,9,8,5,6,3,5,3,3,2,5,0,0,0,0,1,2,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
20240322225-01,0,4,43,158,321,334,154,61,10,2,0,0,0,4,10,33,65,93,161,160,156,178,98,56,46,15,7,3,2,0,0,0,0,0,0,0,0,1,0,3,3,5,9,12,14,20,25,34,42,37,75,59,71,62,54,67,60,61,79,67,46,33,27,28,20,12,23,15,6,5,4,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,4,1,2,7,7,5,8,6,7,13,13,12,20,14,24,18,19,18,35,40,27,32,27,44,41,21,27,27,30,37,29,31,29,32,41,38,39,28,24,22,15,18,19,8,15,13,7,13,6,6,14,9,11,4,6,0,2,3,2,2,0,1,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0
20240231778-00,2,10,151,441,812,731,489,136,18,5,1,1,1,9,46,105,178,263,440,372,343,388,335,154,109,27,14,4,5,0,1,0,1,0,0,0,0,2,2,6,15,21,18,35,62,71,70,80,95,125,167,170,174,151,150,125,144,163,163,136,139,135,107,65,43,53,46,15,14,8,7,6,3,0,2,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,4,11,4,10,11,10,8,13,22,23,39,32,39,31,39,37,43,47,48,46,79,81,86,68,102,103,71,82,69,86,64,67,58,75,69,74,89,87,76,76,60,70,69,54,81,61,46,29,36,26,17,25,28,23,23,10,5,6,8,5,3,5,2,3,3,1,2,0,0,2,0,2,2,0,1,0,0,0,0,0,0
E012401732,1,5,34,106,268,250,118,28,5,5,1,0,0,5,12,22,47,59,152,116,130,120,64,54,22,6,2,3,5,0,0,1,0,0,0,0,0,0,4,1,1,7,8,11,7,17,17,20,26,26,57,68,58,39,46,39,60,54,39,58,23,26,29,20,20,11,7,6,1,3,1,1,1,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,3,4,4,4,4,7,6,1,8,9,8,9,13,7,11,15,15,11,26,31,36,32,27,31,28,11,24,22,17,22,26,34,31,23,17,22,32,26,15,8,9,17,15,14,9,11,8,12,7,4,3,4,4,2,1,0,1,2,1,0,1,0,0,1,0,1,0,1,2,1,1,1,0,0,0,0,0,0
20240237654-00,0,8,42,139,302,363,195,55,6,1,0,0,1,7,9,33,47,92,157,145,198,165,129,66,36,19,6,0,1,0,0,0,0,0,0,0,1,1,2,4,1,5,10,7,19,18,15,31,40,35,48,78,57,56,63,73,77,81,74,58,55,48,43,29,20,16,18,10,8,3,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,1,0,5,3,7,4,3,9,10,7,11,7,8,14,17,20,20,13,22,24,24,35,43,31,26,26,30,32,31,40,33,36,41,48,33,35,39,36,22,29,26,20,28,26,17,18,11,11,9,9,7,10,8,2,8,3,5,1,2,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240230712-00,1,8,44,158,333,377,194,54,10,1,0,1,1,7,9,35,51,107,129,204,194,183,126,68,38,16,6,4,1,0,0,0,0,1,0,0,0,1,4,3,3,3,12,13,13,20,19,30,45,44,43,61,65,74,90,62,84,85,73,73,49,56,40,27,22,18,15,10,7,4,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,1,2,0,3,1,2,3,9,11,2,8,5,10,10,6,13,12,18,28,17,23,21,17,26,30,31,25,40,46,28,40,50,31,31,34,50,48,37,42,31,36,37,23,26,30,26,21,19,16,11,12,10,11,7,10,5,5,5,4,3,2,2,2,0,2,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
20240120690-00,0,8,44,150,301,290,174,44,11,2,0,0,1,7,11,33,43,107,136,165,143,147,117,57,32,12,7,4,1,1,0,0,0,0,0,0,0,3,2,3,4,5,7,17,11,22,15,22,34,57,50,52,60,65,74,46,59,69,66,50,40,50,40,25,19,15,12,9,6,2,4,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,2,1,3,3,2,2,5,11,6,4,7,10,12,6,9,6,16,22,12,31,26,26,24,27,25,34,26,33,32,35,39,28,18,22,37,38,31,31,35,28,22,22,18,21,29,27,13,17,8,9,10,8,7,7,5,5,4,4,2,2,0,3,1,0,2,1,1,0,1,2,0,0,1,0,0,0,1,0,0,0,0
