,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,7808602165,주식회사 에이원넷,임창민,분석,62569782.0,87.745,87.108,-0.72580 (99.2742),3 2,2024/12/09 16:53:35,
1,2,1088192652,(주)라인테크,한금순,분석,62570530.0,87.746,87.109,-0.72462 (99.27538),2 13,2024/12/10 08:53:43,
2,3,5061719868,아이엔씨에스,이춘우,분석,62570540.0,87.746,87.109,-0.72460 (99.2754),2 8,2024/12/09 17:32:55,
3,4,1248702630,온새미정보통신(주),우찬식,분석,62571400.0,87.747,87.11,-0.72324 (99.27676),1 11,2024/12/10 15:42:18,
4,5,3178139381,주식회사 삼미무선정보시스템,송준호,분석,62573520.0,87.75,87.113,-0.71987 (99.28013),6 2,2024/12/10 15:53:42,
5,6,1178107843,선명전자통신주식회사,김봉기,분석,62573753.0,87.75,87.113,-0.71950 (99.2805),4 11,2024/12/09 17:30:46,
6,7,5088119491,주식회사 북경,박순선,분석,62574770.0,87.752,87.115,-0.71789 (99.28211),11 7,2024/12/11 08:17:13,
7,8,2678700507,(주)성혜정보통신,김재승,분석,62575329.0,87.752,87.115,-0.71700 (99.283),6 11,2024/12/09 20:41:41,
8,9,1258124955,평송정보통신(주),천낙훈,분석,62575720.0,87.753,87.116,-0.71638 (99.28362),4 10,2024/12/10 12:29:02,
9,10,2118749225,주식회사 비트엔,한윤석,분석,62576590.0,87.754,87.117,-0.71500 (99.285),11 7,2024/12/11 09:29:42,
10,11,1098644842,주식회사 스마트넷,한동오,분석,62576840.0,87.755,87.117,-0.71461 (99.28539),4 7,2024/12/10 08:55:43,
11,11,1288123635,허브정보기술주식회사,김광성,분석,62576840.0,87.755,87.117,-0.71461 (99.28539),14 8,2024/12/10 10:51:31,
12,13,5078108875,주식회사 에이치제이,김협준,분석,62577390.0,87.755,87.118,-0.71373 (99.28627),10 14,2024/12/11 08:58:54,
13,14,6068184864,한국이미지시스템(주),한현정,분석,62578732.0,87.757,87.12,-0.71160 (99.2884),14 3,2024/12/09 22:58:13,
14,15,2188113522,(주)한세스,김선경,분석,62580240.0,87.759,87.122,-0.70921 (99.29079),5 6,2024/12/09 10:21:46,
15,16,2588801848,큐릭스주식회사,임유신,분석,62581690.0,87.761,87.124,-0.70691 (99.29309),5 14,2024/12/10 14:57:56,
16,17,5518600929,주식회사마글론이에프씨,김광석,분석,62581790.0,87.761,87.124,-0.70675 (99.29325),11 3,2024/12/10 15:55:05,
17,18,8118102504,성용테크 주식회사,김영희,분석,62581959.0,87.762,87.125,-0.70648 (99.29352),11 6,2024/12/09 10:06:59,
18,19,1238166376,원전기통신 주식회사,박다훈,분석,62583140.0,87.763,87.126,-0.70461 (99.29539),10 13,2024/12/10 15:03:06,
19,19,2118895916,주식회사 지오통신,김영송,분석,62583140.0,87.763,87.126,-0.70461 (99.29539),15 13,2024/12/09 16:43:58,
20,21,8338701206,주식회사 제이앤에이텔레콤,조경만,분석,62584090.0,87.765,87.128,-0.70310 (99.2969),6 7,2024/12/09 11:25:34,
21,22,2098132016,주식회사 건양전기신호,홍순양,분석,62584783.0,87.766,87.129,-0.70200 (99.298),13 14,2024/12/11 09:30:29,
22,23,5048184501,주식회사 우석이앤씨,최용원,분석,62584970.0,87.766,87.129,-0.70171 (99.29829),7 12,2024/12/09 16:37:37,
23,24,3108103086,충남전기(주),이병돈,분석,62585560.0,87.767,87.13,-0.70077 (99.29923),7 14,2024/12/09 16:11:54,
24,25,5258101564,주식회사승현시스템,안승조,분석,62586484.0,87.768,87.131,-0.69931 (99.30069),10 4,2024/12/10 08:36:28,
25,26,1208782160,에스엔에스이서비스주식회사,정경식,분석,62586540.0,87.768,87.131,-0.69922 (99.30078),8 11,2024/12/09 16:00:51,
26,27,1108130339,(주)기양상사,조효진,분석,62586980.0,87.769,87.132,-0.69852 (99.30148),11 13,2024/12/10 14:15:15,
27,28,2148620797,(주)세인씨앤씨,조정화,분석,62587990.0,87.77,87.133,-0.69692 (99.30308),11 7,2024/12/10 08:24:18,
28,28,1288127683,(주)하이테크,정상호,분석,62587990.0,87.77,87.133,-0.69692 (99.30308),1 4,2024/12/10 10:21:16,
29,30,1408129250,주식회사 포콤,유향숙,분석,62588879.0,87.771,87.134,-0.69551 (99.30449),13 14,2024/12/10 08:13:50,
30,31,6028136870,(주)부일아이티,변현석,분석,62589000.0,87.772,87.134,-0.69531 (99.30469),1 15,2024/12/09 16:00:21,
31,32,7468101628,주식회사 천호정보통신,백선현,분석,62589320.0,87.772,87.135,-0.69481 (99.30519),11 8,2024/12/10 18:00:25,
32,33,1238626044,주식회사 유비텍정보기술,정경애,분석,62589440.0,87.772,87.135,-0.69462 (99.30538),6 11,2024/12/10 17:49:07,
33,34,7618601224,주식회사 다온에프앤씨,김선욱,분석,62589888.0,87.773,87.136,-0.69390 (99.3061),4 12,2024/12/11 08:34:30,
34,35,1388113342,지에스 주식회사,김영미,분석,62590708.0,87.774,87.137,-0.69260 (99.3074),7 11,2024/12/10 22:01:56,
35,36,1298674374,주식회사 아이에스피테크,권오석,분석,62591501.0,87.775,87.138,-0.69135 (99.30865),1 15,2024/12/09 11:54:11,
36,37,1208149780,장학건설(주),정세학,분석,62592850.0,87.777,87.14,-0.68920 (99.3108),7 9,2024/12/10 17:06:36,
37,37,7558100297,주식회사 비즈메이드,서인덕,분석,62592850.0,87.777,87.14,-0.68920 (99.3108),14 2,2024/12/09 10:40:55,
38,39,2048632938,벧엘전력주식회사,이병열,분석,62594560.0,87.779,87.142,-0.68649 (99.31351),2 9,2024/12/11 09:45:07,
39,40,1298141752,에이플시스템즈(주),윤진경,분석,62595750.0,87.781,87.144,-0.68460 (99.3154),5 1,2024/12/09 13:59:01,
40,41,5024562857,대한정보통신,허만용,분석,62596350.0,87.782,87.145,-0.68365 (99.31635),8 11,2024/12/11 09:04:50,
41,42,1148197308,주식회사태강,김상민,분석,62596930.0,87.783,87.145,-0.68273 (99.31727),6 14,2024/12/10 04:04:46,
42,43,6078147799,비호시스템(주),이동열,분석,62599280.0,87.786,87.149,-0.67900 (99.321),6 12,2024/12/10 21:09:06,
43,44,3018606027,(주)엔씨미디어정보통신,최용호,분석,62600100.0,87.787,87.15,-0.67770 (99.3223),1 2,2024/12/10 17:33:05,
44,45,1488100811,주식회사 세명테크,박정필,분석,62601611.0,87.789,87.152,-0.67530 (99.3247),3 12,2024/12/09 13:06:38,
45,46,4748701220,(주)바른정보기술,최민영,분석,62601737.0,87.789,87.152,-0.67510 (99.3249),10 15,2024/12/09 15:37:57,
46,47,3078138916,(주)세종정보시스템,김홍렬,분석,62601801.0,87.79,87.152,-0.67500 (99.325),2 4,2024/12/10 23:46:17,
47,48,1848701818,주식회사 티온시스템,최옥선,분석,62602500.0,87.791,87.153,-0.67389 (99.32611),7 11,2024/12/10 09:34:28,
48,49,7048802317,주식회사 신일정보통신,김은수,분석,62602809.0,87.791,87.154,-0.67340 (99.3266),11 3,2024/12/09 14:23:02,
49,50,3038161773,주식회사 에스제이네트웍스,김지선,분석,62603690.0,87.792,87.155,-0.67201 (99.32799),14 5,2024/12/10 09:20:37,
0,51,3838600952,주식회사 원넷,김맹원,분석,62603943.0,87.793,87.155,-0.67160 (99.3284),6 9,2024/12/10 10:52:59,
1,52,6218184067,서광인포컴(주),임정숙,분석,62605014.0,87.794,87.157,-0.66991 (99.33009),3 7,2024/12/09 19:40:32,
2,53,1308674020,주식회사 와치캠,최지훈,분석,62605270.0,87.794,87.157,-0.66950 (99.3305),12 15,2024/12/11 09:20:19,
3,54,3018628147,주식회사 차세대정보통신,이한근,분석,62605925.0,87.795,87.158,-0.66846 (99.33154),15 7,2024/12/10 17:04:36,
4,55,4268800874,주식회사 캐스트코아,강일석,분석,62606520.0,87.796,87.159,-0.66752 (99.33248),4 15,2024/12/10 09:16:57,
5,55,5078601858,주식회사코맥스정보통신,송창민,분석,62606520.0,87.796,87.159,-0.66752 (99.33248),6 7,2024/12/09 10:41:35,
6,57,1328127891,(주)엔오에스,허도욱,분석,62608500.0,87.799,87.162,-0.66437 (99.33563),14 5,2024/12/10 17:23:51,
