,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
47,48,1178167894,(주)동우이에프씨,이동술,분석,50829592,87.842,87.427,-0.36230 (99.6377),,2024/11/27 09:44:01,
48,49,3728800295,주식회사 좋은통신,박창우,분석,50829950,87.843,87.427,-0.36160 (99.6384),,2024/11/26 17:35:00,
49,50,1198148947,주식회사 광성기전,김성원,분석,50830610,87.844,87.428,-0.36031 (99.63969),,2024/11/26 17:50:07,
0,51,1118126196,(주)광성통신,김성철,분석,50830799,87.844,87.429,-0.35994 (99.64006),,2024/11/27 16:59:23,
1,52,1120180788,대성미디어,김상봉,분석,50831785,87.846,87.43,-0.35800 (99.642),,2024/11/27 06:16:59,
2,53,1178161755,(주) 유강이엔씨,조천식,분석,50831944,87.846,87.431,-0.35769 (99.64231),,2024/11/27 12:49:57,
3,54,1188109728,득진통신(주),김진섭,분석,50832602,87.848,87.432,-0.35640 (99.6436),,2024/11/25 15:50:15,
4,55,3518703056,(주)다올정보통신,조민경,분석,50833368,87.849,87.433,-0.35490 (99.6451),,2024/11/26 11:55:01,
5,56,2128196942,동진이앤씨(주),민진식,분석,50834276,87.85,87.435,-0.35312 (99.64688),,2024/11/26 17:10:34,
6,57,2048187419,(주)디지털우민,문장석,분석,50834744,87.851,87.435,-0.35220 (99.6478),,2024/11/27 15:05:36,
7,58,1068632013,하나씨앤아이 주식회사,김용주,분석,50834790,87.851,87.436,-0.35211 (99.64789),,2024/11/26 13:53:36,
8,59,1078128574,(주)대진정보텔레콤,경완수,분석,50834990,87.852,87.436,-0.35172 (99.64828),,2024/11/26 13:56:19,
9,60,1058186995,부원동력(주),이병의,분석,50835102,87.852,87.436,-0.35150 (99.6485),,2024/11/27 16:00:33,
10,61,1101185132,메이폴정보통신,박용진,분석,50837142,87.855,87.44,-0.34750 (99.6525),,2024/11/25 21:31:09,
11,62,2048159043,이앤씨텔레콤(주),김진갑,분석,50839131,87.859,87.443,-0.34360 (99.6564),,2024/11/27 10:05:43,
12,63,3798700760,로안테크(주),장승현,분석,50839280,87.859,87.443,-0.34331 (99.65669),,2024/11/26 15:58:54,
13,64,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,50839335,87.859,87.443,-0.34321 (99.65679),,2024/11/26 11:18:22,
14,65,1118129252,광원전설(주),김영선,분석,50840970,87.862,87.446,-0.34000 (99.66),,2024/11/28 12:08:58,
