,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1428100754,(주) 원테크놀로지  [최종낙찰],김종달,분석,63517673,87.978,87.85,-0.28010 (99.7199),9 1,2024/05/27 10:19:32,
1,2,1308630454,주식회사 에스엠에이,김성태,분석,63536515,88.005,87.876,-0.25040 (99.7496),7 9,2024/05/26 22:20:16,
2,3,1328131639,(주)동보안전,장동엽,분석,63781996,88.357,88.216,0.13654 (100.13654),6 2,2024/05/27 09:01:24,
3,4,2148645634,한국전자금융주식회사,이현석,분석,63823547,88.416,88.273,0.20203 (100.20203),9 1,2024/05/27 16:34:43,
4,5,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,63975530,88.634,88.483,0.44160 (100.4416),1 9,2024/05/27 17:16:47,
5,6,1068681756,주식회사 융창,이재진,분석,63986900,88.65,88.499,0.45952 (100.45952),14 5,2024/05/24 15:15:39,
6,7,2148792435,주식회사케이이씨디바이스,이종수,분석,64129120,88.854,88.696,0.68369 (100.68369),10 11,2024/05/27 08:40:24,
7,8,2158185459,주식회사 한일에스티엠,한영기,분석,64141000,88.871,88.712,0.70242 (100.70242),7 6,2024/05/24 10:25:06,
8,9,2068111894,(주)아파트피아,곽복동,분석,64196300,88.95,88.789,0.78959 (100.78959),9 12,2024/05/28 11:37:28,
9,10,1608700166,주식회사 에이치와이이앤씨,서호연,분석,64279287,89.069,88.903,0.92040 (100.9204),1 11,2024/05/28 07:59:05,
10,11,2068197946,주식회사 가우테크닉스,나충용,분석,64328770,89.14,88.972,0.99839 (100.99839),10 3,2024/05/27 14:20:19,
11,12,1058153698,진우에이티에스 주식회사,정진태,분석,64365187,89.192,89.022,1.05580 (101.0558),3 8,2024/05/27 13:33:53,
12,13,1358127809,주식회사 삼보엔지니어링,심규일,분석,64373400,89.204,89.034,1.06874 (101.06874),14 7,2024/05/24 10:13:47,
13,14,5438100336,주식회사 해피로드,백혜진,분석,64421460,89.272,89.1,1.14450 (101.1445),10 9,2024/05/27 13:38:45,
14,15,1058173369,(주)신한개발,이종순,분석,65596267,90.954,90.725,2.99630 (102.9963),13 9,2024/05/21 16:39:31,
15,-1,1268154258,(주)영진전기,원정길,분석,63215987,87.546,87.433,-0.75564 (99.24436),9 1,2024/05/27 11:28:13,낙찰하한선 미달
16,-2,1062463371,금양산업,조병하,분석,63017257,87.262,87.158,-1.06889 (98.93111),3 12,2024/05/28 09:23:12,낙찰하한선 미달
