,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2108164712,주식회사 데스카  [최종낙찰],조혜연,분석,271435651.0,87.0,88.145,89.173,0.8145 (100.8145),7 8,2024/07/29 14:08:04,
1,2,2078149729,주식회사 지앤에스기술,문창수,분석,271438128.0,87.0,88.146,89.174,0.8154 (100.8154),3 12,2024/07/30 09:06:31,
2,3,1108175433,승림이앤씨(주),박기철,분석,271449280.0,87.0,88.15,89.177,0.8195 (100.8195),7 4,2024/07/26 14:10:48,
3,4,1398115682,백상건설 주식회사,김중권,분석,271450000.0,87.0,88.15,89.178,0.8198 (100.8198),13 3,2024/07/29 09:00:32,
4,5,4318600057,주식회사 엘제이텍,전용준,분석,271468230.0,86.8,88.156,89.184,0.8266 (100.8266),9 14,2024/07/26 14:45:14,
5,6,2118145912,영남스퀘어 주식회사,장재모,분석,271502222.0,86.6,88.168,89.195,0.8392 (100.8392),12 3,2024/07/26 10:16:35,
6,7,1138146387,(주)대산시스템,전재수,분석,271508038.0,86.6,88.17,89.197,0.8413 (100.8413),13 15,2024/07/29 14:44:02,
7,8,1068180878,주식회사 신보,정재문,분석,271521650.0,86.6,88.174,89.201,0.8464 (100.8464),15 10,2024/07/30 09:19:49,
8,9,1138629821,동문이엔티 주식회사,송요일,분석,271534000.0,86.4,88.178,89.205,0.8510 (100.851),9 5,2024/07/26 11:23:29,
9,10,1138628119,주식회사 아이티로그,김인희,분석,271590034.0,86.0,88.197,89.224,0.8718 (100.8718),9 1,2024/07/30 09:28:20,
10,11,1078805018,주식회사 지엔아이테크,박우정,분석,271602690.0,86.0,88.201,89.228,0.8765 (100.8765),10 13,2024/07/26 10:58:16,
11,12,1058192352,한아름정보통신(주),손경선,분석,271632220.0,85.8,88.211,89.237,0.8875 (100.8875),11 1,2024/07/29 13:49:24,
12,13,2198116973,건아정보기술 주식회사,심광호,분석,271642942.0,85.6,88.215,89.241,0.8914 (100.8914),6 2,2024/07/26 17:17:37,
13,14,1128148285,(주)백제이앤씨,손흥도,분석,271649061.0,85.6,88.217,89.243,0.8937 (100.8937),7 10,2024/07/26 09:08:19,
14,15,1068663404,주식회사 씨씨티비네오텍,최영근,분석,271753896.0,85.0,88.252,89.277,0.9327 (100.9327),4 2,2024/07/29 08:45:08,
15,16,1138163917,백두전기통신(주),장철,분석,271812053.0,85.0,88.271,89.297,0.9543 (100.9543),8 3,2024/07/28 20:07:08,
16,17,1058625329,주식회사 윈미디텍,강명환,분석,271812309.0,85.0,88.271,89.297,0.9543 (100.9543),12 2,2024/07/29 08:21:29,
17,18,1198658528,진솔이앤에스 주식회사,김정현,분석,271835477.0,85.0,88.279,89.304,0.9630 (100.963),6 12,2024/07/29 15:01:37,
18,19,2108108684,주식회사 대금이앤아이,김종우,분석,271841130.0,85.0,88.281,89.306,0.9651 (100.9651),14 13,2024/07/26 11:30:06,
19,20,2158691790,에이브이에스텍(주),박주영,분석,271855669.0,85.0,88.286,89.311,0.9705 (100.9705),2 13,2024/07/26 13:59:21,
20,21,1138151895,주식회사 온리정보통신,김서규,분석,271858900.0,85.0,88.287,89.312,0.9717 (100.9717),9 6,2024/07/29 14:51:22,
21,22,2188100686,주식회사 윈피앤에스,이문석,분석,271871016.0,85.0,88.291,89.316,0.9762 (100.9762),6 5,2024/07/29 13:12:12,
22,23,2108145170,주식회사 시울에너지,민애숙,분석,271911470.0,85.0,88.305,89.329,0.9912 (100.9912),13 10,2024/07/29 10:01:22,
23,24,1198682431,(주)대경시스텍,반기수,분석,271921700.0,85.0,88.308,89.333,0.9950 (100.995),14 15,2024/07/26 14:22:03,
24,25,2128140491,(주)벧엘정보통신,이효진,분석,271924871.0,85.0,88.309,89.334,0.9962 (100.9962),9 6,2024/07/30 07:19:38,
25,26,4088168391,금상디엔씨주식회사,박길중,분석,271941522.0,85.0,88.315,89.339,1.0023 (101.0023),3 15,2024/07/29 08:10:56,
26,27,2148107988,(주)서울정보시스템,이문현,분석,271966970.0,85.0,88.323,89.347,1.0118 (101.0118),7 2,2024/07/27 05:53:00,
27,28,1018154598,씨엔에스코리아(주),유호태,분석,271968565.0,85.0,88.324,89.348,1.0124 (101.0124),3 9,2024/07/26 16:30:12,
28,29,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,272021790.0,85.0,88.342,89.365,1.0321 (101.0321),12 2,2024/07/29 09:15:39,
29,30,5878600398,주식회사 엑사엔시스,나정환,분석,272052096.0,85.0,88.352,89.375,1.0434 (101.0434),3 8,2024/07/30 07:57:26,
