,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,3678101672,주식회사 테라시스  [최종낙찰],임미영,분석,21830000,87.6,88.123,88.665,-0.1390 (99.861),5 7,2024/09/09 09:33:59,
1,2,1058740405,(주)화성이엔지,김택환,분석,21850301,85.8,88.211,88.748,-0.0461 (99.9539),3 12,2024/09/11 09:27:10,
2,3,2338108902,주식회사 빛이라,임영기,분석,21869000,85.0,88.292,88.824,0.0394 (100.0394),15 4,2024/09/10 14:22:10,
3,4,1298184197,(주)대한이엔씨,이희숙,분석,21880000,85.0,88.339,88.868,0.0897 (100.0897),2 1,2024/09/11 06:09:54,
4,5,1228642172,주식회사 선경기전,양부석,분석,21900000,85.0,88.426,88.95,0.1812 (100.1812),15 11,2024/09/11 09:14:46,
5,6,2628802128,주식회사 성우일렉콤,최종국,분석,21920000,85.0,88.513,89.031,0.2727 (100.2727),10 9,2024/09/10 09:10:56,
6,7,1348145027,(주)신세기전력,최병구,분석,21953690,85.0,88.659,89.168,0.4268 (100.4268),12 2,2024/09/10 18:11:23,
7,8,1168194291,주식회사 제트로정보통신,김명희,분석,21964711,85.0,88.706,89.212,0.4772 (100.4772),7 12,2024/09/11 09:18:05,
8,9,1278650172,주식회사 이노씨앤정보통신,윤수형,분석,21990000,85.0,88.816,89.315,0.5929 (100.5929),15 3,2024/09/10 14:35:19,
9,10,1318160413,주식회사 세븐전자코리아,김규근,분석,22010000,85.0,88.903,89.396,0.6844 (100.6844),12 3,2024/09/11 09:45:59,
10,11,1358135916,태화정보통신 주식회사,김동현,분석,22110000,85.0,89.336,89.803,1.1418 (101.1418),10 1,2024/09/10 14:12:47,
11,12,3588803184,주식회사 인터포스트,김선옥,분석,22340000,85.0,90.333,90.737,2.1940 (102.194),9 1,2024/09/10 13:46:40,
12,13,1298139805,(주)금강전기,표익환,분석,22770000,85.0,92.196,92.483,4.1610 (104.161),4 13,2024/09/11 09:03:10,
13,14,2148759208,(주)로드반,김형준,분석,24650000,85.0,100.3437,100.119,12.7610 (112.761),3 8,2024/09/11 09:47:38,예가초과
14,15,1248669842,주식회사엔서브,남궁훈,분석,24660000,85.0,100.387,100.16,12.8068 (112.8068),3 9,2024/09/10 09:05:10,예가초과
15,-1,4078600433,주식회사 강성티이씨,이기양,분석,21790000,89.0,87.949,88.503,-0.3220 (99.678),2 3,2024/09/10 14:06:57,순공사원가98%미만
16,-2,1318613384,대신네트웍스(주),문방오,분석,21710000,82.0,87.603,88.178,-0.6880 (99.312),13 7,2024/09/10 16:00:13,낙찰하한선 미달
17,-3,2948601587,대영정보기술 주식회사,전혜철,분석,21630000,75.2,87.256,87.853,-1.0539 (98.9461),12 13,2024/09/10 14:37:46,낙찰하한선 미달
18,-4,1138137229,두복산전(주),이영두,분석,21500000,63.8,86.693,87.325,-1.6486 (98.3514),4 8,2024/09/10 09:30:48,낙찰하한선 미달
19,-5,1018139321,(주)세웅정보통신,장우진,분석,11110000,-836.6,41.667,45.124,-49.1775 (50.8225),3 6,2024/09/10 10:05:36,낙찰하한선 미달
