,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,1098145720,주식회사 영원텔레콤  [최종낙찰],김재성,분석,44918130,86.4,87.816,88.639,0.2526 (100.2526),6 13,2024/06/05 09:32:36,
1,2,2068184285,주식회사 진명파워택,이명규,분석,44918560,86.4,87.816,88.64,0.2535 (100.2535),15 5,2024/06/10 09:18:50,
2,3,1328105709,(주)왕선전설,조정현,분석,44918570,86.4,87.816,88.64,0.2536 (100.2536),14 5,2024/06/10 06:48:26,
3,4,2068184529,(주)네오티엔씨,조정현,분석,44919160,86.4,87.818,88.641,0.2549 (100.2549),8 1,2024/06/05 15:21:12,
4,5,2198114499,(주)이레에너지테크,강래원,분석,44919600,86.4,87.819,88.642,0.2559 (100.2559),5 11,2024/06/07 11:47:35,
5,6,2068170480,(주)금성전력기술,김일혁,분석,44919739,86.4,87.819,88.642,0.2562 (100.2562),9 8,2024/06/10 08:22:14,
6,7,2198116973,건아정보기술 주식회사,심광호,분석,44920305,86.4,87.82,88.643,0.2574 (100.2574),10 2,2024/06/10 09:01:01,
7,8,2068606585,(주)상지일렉스,정원상,분석,44920852,86.4,87.821,88.644,0.2586 (100.2586),13 1,2024/06/06 17:49:06,
8,9,5798700152,위더스컴퓨터 주식회사,박승갑,분석,44922154,86.4,87.824,88.647,0.2616 (100.2616),7 11,2024/06/10 08:52:37,
9,10,1168144224,제일정보건설 주식회사,김진철,분석,44923140,86.6,87.826,88.649,0.2638 (100.2638),14 1,2024/06/10 09:33:28,
10,11,2148734721,(주)다모아테크,장용일,분석,44924030,86.6,87.828,88.651,0.2657 (100.2657),9 1,2024/06/07 09:33:35,
11,12,1078163703,아이티에스엔지니어링 주식회사,김정구,분석,44924484,86.6,87.829,88.652,0.2668 (100.2668),7 6,2024/06/10 09:55:40,
