,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
44,45,1058192352,한아름정보통신(주),손경선,분석,73458830,87.837,88.755,0.71300 (100.713),5 6,2024/05/20 10:47:51,
45,46,1058606899,이화티티씨(주),이선정,분석,73459912,87.839,88.757,0.71449 (100.71449),13 15,2024/05/21 17:50:46,
46,47,2048626080,주식회사 엘제이이엔지,임성희,분석,73467170,87.848,88.765,0.72448 (100.72448),13 5,2024/05/20 17:37:50,
47,48,1068663404,주식회사 씨씨티비네오텍,최영근,분석,73467760,87.848,88.766,0.72530 (100.7253),13 6,2024/05/22 08:53:17,
48,49,1078805018,주식회사 지엔아이테크,박우정,분석,73468830,87.85,88.767,0.72677 (100.72677),3 10,2024/05/21 13:51:47,
49,50,2048124559,(주)대용와트스,남상태,분석,73473643,87.856,88.773,0.73340 (100.7334),7 5,2024/05/23 08:38:09,
0,51,1148190678,주식회사 에드원,김춘걸,분석,73479000,87.862,88.78,0.74077 (100.74077),3 8,2024/05/17 15:55:11,
1,52,1168175601,한빛인프라소닉(주),이한철,분석,73481490,87.865,88.783,0.74420 (100.7442),11 9,2024/05/24 08:13:13,
2,53,2108108684,주식회사 대금이앤아이,김종우,분석,73482290,87.866,88.784,0.74530 (100.7453),13 2,2024/05/17 13:19:56,
3,54,2208709343,유텔레콤주식회사,한상미,분석,73482612,87.867,88.784,0.74575 (100.74575),7 9,2024/05/22 09:57:02,
4,55,2078155629,씨티아이앤아이(주),김덕제,분석,73485030,87.87,88.787,0.74908 (100.74908),14 4,2024/05/20 11:12:17,
5,56,1065089370,성도전자,송무선,분석,73489763,87.876,88.793,0.75559 (100.75559),14 6,2024/05/17 17:13:18,
6,57,6078616291,케이시스 주식회사,김중섭,분석,73492000,87.879,88.795,0.75867 (100.75867),10 1,2024/05/22 09:59:00,
7,58,1048140865,다이아몬드전자(주),이건,분석,73492100,87.879,88.796,0.75881 (100.75881),7 4,2024/05/23 09:35:52,
8,59,1388113508,(주)이엔티파워,장정수,분석,73496480,87.884,88.801,0.76484 (100.76484),10 9,2024/05/22 22:15:42,
9,60,1068127039,진명이엔씨(주),박창호,분석,73498552,87.887,88.803,0.76770 (100.7677),9 15,2024/05/21 17:28:30,
10,61,8878700825,주식회사 수인정보통신,김옥환,분석,73506220,87.896,88.813,0.77825 (100.77825),7 13,2024/05/23 21:02:44,
11,62,1088604075,청목이앤아이 주식회사,김희경,분석,73507850,87.898,88.815,0.78050 (100.7805),12 5,2024/05/23 15:41:15,
12,63,2098134159,주식회사 피스코이엔씨,조기현,분석,73508573,87.899,88.816,0.78149 (100.78149),5 4,2024/05/23 09:31:49,
13,64,2068685955,주식회사 스마트웍스,정훈,분석,73514529,87.906,88.823,0.78970 (100.7897),11 4,2024/05/23 07:58:30,
14,65,2108145170,주식회사 시울에너지,민애숙,분석,73515980,87.908,88.824,0.79169 (100.79169),2 15,2024/05/23 10:10:11,
15,66,2148626637,(주)아이엔지시스템,김정화,분석,73523500,87.918,88.834,0.80205 (100.80205),7 15,2024/05/22 15:17:07,
16,67,5178101428,주식회사 율이앤씨,전형숙,분석,73527093,87.922,88.838,0.80700 (100.807),6 10,2024/05/24 09:30:24,
17,68,1138613391,주식회사 지에스씨앤씨,석덕림,분석,73527450,87.922,88.838,0.80749 (100.80749),7 12,2024/05/22 11:37:58,
18,69,2148823314,화인정보기술주식회사,이명우,분석,73533200,87.93,88.845,0.81541 (100.81541),7 13,2024/05/23 08:57:01,
19,70,1078735096,주식회사 등대씨엔씨,서철승,분석,73548290,87.948,88.864,0.83618 (100.83618),14 11,2024/05/22 16:21:08,
20,71,2118899396,주식회사 피에스콤,최정환,분석,73551166,87.952,88.867,0.84015 (100.84015),4 6,2024/05/22 17:38:41,
21,72,1188110211,(주)텔레텍코리아,윤광수,분석,73551494,87.952,88.867,0.84060 (100.8406),1 11,2024/05/23 22:31:17,
22,73,1138175669,(주)용상전기통신,권혁기,분석,73552147,87.953,88.868,0.84150 (100.8415),8 7,2024/05/23 08:36:45,
23,74,2088115241,한애전자(주),최용경,분석,73552400,87.953,88.868,0.84184 (100.84184),14 9,2024/05/21 09:08:45,
24,75,1138655784,주식회사 유씨큐넷,김경,분석,73553090,87.954,88.869,0.84279 (100.84279),7 5,2024/05/21 17:22:44,
25,76,1058694239,(주)진성전력,김용일,분석,73553190,87.954,88.869,0.84293 (100.84293),2 11,2024/05/21 10:09:03,
26,77,2068601047,왕건전기 주식회사,한미라,분석,73563549,87.967,88.882,0.85720 (100.8572),9 11,2024/05/23 14:37:15,
27,78,2158769714,주식회사 누리엔에스,박봉기,분석,73567320,87.972,88.886,0.86239 (100.86239),8 14,2024/05/22 16:39:30,
28,79,2208180951,엘지정보기술(주),엄태원,분석,73573690,87.98,88.894,0.87116 (100.87116),2 15,2024/05/21 11:49:17,
29,80,4048131290,주식회사 아이앤씨코리아,박규성,분석,73575820,87.982,88.897,0.87409 (100.87409),14 2,2024/05/17 17:22:29,
30,81,1238175875,주식회사 휴톤,김영상,분석,73576984,87.984,88.898,0.87570 (100.8757),1 3,2024/05/22 08:07:55,
31,82,1288610057,주식회사 청명씨앤아이,문현민,분석,73577818,87.985,88.899,0.87684 (100.87684),1 14,2024/05/23 09:17:08,
32,83,3738701418,주식회사 에스비넷,허훈,분석,73584820,87.994,88.908,0.88649 (100.88649),15 13,2024/05/21 15:24:59,
33,84,1128141680,주식회사엠케이씨티,장재철,분석,73585920,87.995,88.909,0.88800 (100.888),13 11,2024/05/23 16:49:01,
34,85,1198153493,(주)경성네트웍,편해용,분석,73588276,87.998,88.912,0.89125 (100.89125),2 3,2024/05/22 10:42:28,
35,86,1098178920,주식회사 보다컴,류시훈,분석,73588457,87.998,88.912,0.89149 (100.89149),15 11,2024/05/24 10:39:50,
36,87,2028138682,협진통신(주),이승훈,분석,73589620,88.0,88.913,0.89310 (100.8931),6 7,2024/05/22 10:31:03,
37,88,1138195817,(주)베스트일렉트로닉스,최경원,분석,73591210,88.001,88.915,0.89529 (100.89529),15 10,2024/05/22 08:40:02,
38,89,1348182624,(주)이앤에스알앤디,이봉희,분석,73593324,88.004,88.918,0.89820 (100.8982),3 10,2024/05/22 09:38:04,
39,90,1288138083,주식회사 유앤후레쉬,우재명,분석,73598190,88.01,88.924,0.90490 (100.9049),4 3,2024/05/23 20:47:36,
40,91,1108175622,동해아이앤티(주),이기봉,분석,73601400,88.014,88.928,0.90932 (100.90932),7 15,2024/05/22 11:56:22,
41,92,1108182195,주식회사 벨아이앤에스,한성욱,분석,73607490,88.022,88.935,0.91770 (100.9177),3 9,2024/05/23 10:03:46,
42,93,2078124989,청보음향(주),고인우,분석,73614378,88.03,88.943,0.92719 (100.92719),9 12,2024/05/23 08:46:13,
43,94,1108175433,승림이앤씨(주),박기철,분석,73614890,88.031,88.944,0.92789 (100.92789),6 14,2024/05/22 17:04:37,
44,95,1138163218,(주)신성하이텍,성성모,분석,73624079,88.042,88.955,0.94055 (100.94055),14 1,2024/05/22 15:59:30,
45,96,7128700690,주식회사 포바이포,윤준호,분석,73625713,88.044,88.957,0.94280 (100.9428),2 14,2024/05/22 10:58:33,
46,97,2108118504,보성전기산업(주),강명구,분석,73636200,88.057,88.97,0.95724 (100.95724),12 15,2024/05/17 09:43:08,
47,98,2208727337,주식회사주니파워네트웍스,노병준,분석,73646770,88.07,88.982,0.97179 (100.97179),5 7,2024/05/22 09:11:59,
48,99,2158191475,(주)디앤씨코퍼레이션,엄삼섭,분석,73667544,88.096,89.008,1.00040 (101.0004),1 3,2024/05/23 17:24:26,
49,100,1048198009,대신네트웍스주식회사,김태응,분석,73667900,88.097,89.008,1.00089 (101.00089),7 4,2024/05/22 12:17:27,
0,101,1138135425,(주)뉴넷팝,이경택,분석,73670956,88.1,89.012,1.00509 (101.00509),8 13,2024/05/22 10:55:52,
1,102,1088179663,주식회사 시큐뱅크,심재춘,분석,73673760,88.104,89.015,1.00896 (101.00896),14 12,2024/05/21 13:12:11,
2,103,1238154375,주식회사 씨케이테크피아,이동수,분석,73678436,88.11,89.021,1.01539 (101.01539),14 4,2024/05/23 15:25:18,
3,104,8338600103,주식회사 씨앤아이테크,서광수,분석,73687369,88.121,89.032,1.02770 (101.0277),4 14,2024/05/22 14:23:52,
4,105,2048131439,중앙텔콤(주),오충석,분석,73698153,88.134,89.045,1.04254 (101.04254),14 13,2024/05/22 16:27:25,
