,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,8758100854,주식회사피앤에스네트웍솔루션  [최종낙찰],정용선,분석,557668331,75.0,89.044,88.257,-1.1974 (98.8026),7 13,2024/06/13 10:07:24,
1,2,1018154491,엘케이테크넷(주),이만형,분석,557697270,75.0,89.049,88.262,-1.1923 (98.8077),8 11,2024/06/13 10:01:47,
2,3,1198181214,엔텍월드주식회사,안병립,분석,557758110,75.0,89.059,88.272,-1.1815 (98.8185),15 3,2024/06/17 09:25:19,
3,4,1148676763,유토피아정보기술(주),안종섭,분석,557763365,75.0,89.06,88.272,-1.1805 (98.8195),8 11,2024/06/14 10:17:51,
4,5,2018179526,중앙케이블네트워크(주),노상우,분석,557797513,75.0,89.065,88.278,-1.1745 (98.8255),6 12,2024/06/14 10:51:41,
5,6,1178155699,유림씨스템통신(주),권영성,분석,557798067,75.0,89.065,88.278,-1.1744 (98.8256),5 11,2024/06/17 09:28:33,
6,7,1078731896,(주)비시텍코리아,임헌욱,분석,557807380,75.0,89.067,88.279,-1.1728 (98.8272),12 9,2024/06/13 12:07:15,
7,8,1108124633,(주)디앤에스테크놀로지,이원우,분석,557831333,75.0,89.071,88.283,-1.1685 (98.8315),5 6,2024/06/14 09:30:46,
8,9,1058746506,(주)파워일렉,박웅,분석,557870980,75.0,89.077,88.289,-1.1615 (98.8385),2 3,2024/06/17 09:29:35,
9,10,2298121250,(주)동곡기정,이주언,분석,557923922,75.0,89.086,88.298,-1.1521 (98.8479),7 8,2024/06/14 16:32:01,
10,11,1098150316,(주)건우통신,노형환,분석,557925355,75.0,89.086,88.298,-1.1518 (98.8482),15 13,2024/06/17 09:26:41,
11,12,1078651497,모바일파킹 유한회사,김중근,분석,557933821,75.0,89.088,88.299,-1.1503 (98.8497),8 7,2024/06/14 17:34:18,
12,13,1288154026,(주)니트로시스템,정인교,분석,557944440,75.0,89.089,88.301,-1.1485 (98.8515),10 15,2024/06/13 14:03:01,
13,14,1078143707,(주)신창전기,홍성수,분석,557950077,75.0,89.09,88.302,-1.1475 (98.8525),8 13,2024/06/17 09:03:49,
14,15,2168701696,주식회사 투비콤,유수정,분석,557979021,75.0,89.095,88.306,-1.1423 (98.8577),6 5,2024/06/13 10:09:37,
15,16,2188101953,주식회사 비츠로시스,이기재,분석,558120000,75.0,89.118,88.329,-1.1174 (98.8826),4 2,2024/06/13 10:34:04,
16,17,2148862812,(주)위드컴,서민석,분석,558122339,75.0,89.119,88.329,-1.1169 (98.8831),14 8,2024/06/14 14:28:17,
17,18,1138183325,주식회사금강전력,오영선,분석,558145140,75.0,89.122,88.333,-1.1129 (98.8871),9 7,2024/06/13 13:15:21,
18,19,1138157962,(주)하이눈정보통신,이희경,분석,558168623,75.0,89.126,88.336,-1.1087 (98.8913),14 9,2024/06/13 13:56:56,
19,20,1358178502,주식회사 디알네트웍스,이기영,분석,558222243,75.0,89.135,88.345,-1.0992 (98.9008),14 1,2024/06/13 10:43:46,
