,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2098122745,새결정보통신(주)  [최종낙찰],고성진,분석,834951846.0,75.0,88.488,87.816,-1.0995 (98.9005),12 7,2024/06/13 10:16:40,
1,2,2208895263,주식회사 필립이엔씨,임혜란,분석,834983600.0,75.0,88.491,87.82,-1.0958 (98.9042),1 13,2024/06/17 11:37:37,
2,3,2148854189,(주)태원전기,김응식,분석,835045336.0,75.0,88.498,87.826,-1.0885 (98.9115),14 8,2024/06/14 17:59:09,
3,4,1068674463,주식회사 리번드,임성일,분석,835071222.0,75.0,88.501,87.829,-1.0854 (98.9146),3 12,2024/06/13 11:22:39,
4,5,1098647062,주식회사 조아정보통신,박민응,분석,835097536.0,75.0,88.503,87.832,-1.0823 (98.9177),1 3,2024/06/13 17:20:46,
5,6,1148611926,(주)동진이앤티,김미화,분석,835205117.0,75.0,88.515,87.843,-1.0695 (98.9305),9 1,2024/06/13 14:25:23,
6,7,2208725440,(주) 매그넷,김종민,분석,835276160.0,75.0,88.523,87.85,-1.0611 (98.9389),8 2,2024/06/13 14:12:52,
7,8,1338113707,(주)대보통신,염영숙,분석,835286000.0,75.0,88.524,87.851,-1.0600 (98.94),6 15,2024/06/14 14:54:20,
8,9,1418147931,주식회사 이리야시스템,허재혁,분석,835298120.0,75.0,88.525,87.853,-1.0585 (98.9415),6 2,2024/06/17 09:16:52,
9,10,1198609084,주식회사 유니씨엔에스,박경임,분석,835303048.0,75.0,88.526,87.853,-1.0579 (98.9421),7 1,2024/06/14 07:52:53,
10,11,2148766621,(주)포유네트웍스,이상오,분석,835467476.0,75.0,88.544,87.871,-1.0385 (98.9615),15 2,2024/06/14 09:37:46,
11,12,1078746443,(주)라인테크놀로지,유현식,분석,835486910.0,75.0,88.546,87.873,-1.0362 (98.9638),9 15,2024/06/14 14:02:23,
12,13,1198684157,(주)이제이정보시스템,정광열,분석,835502516.0,75.0,88.548,87.874,-1.0343 (98.9657),10 7,2024/06/14 09:40:52,
13,14,1058654519,주식회사유비라인,이병오,분석,835509504.0,75.0,88.549,87.875,-1.0335 (98.9665),10 9,2024/06/13 15:26:29,
14,15,1018116968,(주)넥슨정보통신,신양인,분석,835532550.0,75.0,88.551,87.877,-1.0308 (98.9692),12 11,2024/06/14 09:30:15,
15,16,1208164006,(주)청음미디어,박공서,분석,835541726.0,75.0,88.552,87.878,-1.0297 (98.9703),8 4,2024/06/13 10:35:33,
16,17,1138170266,(주)리빙콘트롤,김병진,분석,835548400.0,75.0,88.553,87.879,-1.0289 (98.9711),7 6,2024/06/17 09:09:21,
17,18,1128152663,한국아이디정보(주),송찬호,분석,835592620.0,75.0,88.558,87.884,-1.0236 (98.9764),12 2,2024/06/14 10:10:44,
18,19,1078763383,주식회사 아이티블럭,배경원,분석,835595997.0,75.0,88.558,87.884,-1.0232 (98.9768),3 4,2024/06/13 15:58:20,
19,20,1198141207,(주)텍센,권유찬,분석,835726100.0,75.0,88.572,87.898,-1.0078 (98.9922),3 8,2024/06/17 09:18:06,
20,21,4188155516,아이피119정보통신 주식회사,김영수,분석,835756968.0,75.0,88.576,87.901,-1.0042 (98.9958),8 9,2024/06/13 13:35:17,
21,22,2078149656,코리아데이타코퍼레이션(주),이기철,분석,835782200.0,75.0,88.578,87.904,-1.0012 (98.9988),1 3,2024/06/17 09:52:00,
22,23,1068178635,(주)지아이테크놀러지,홍영우,분석,835798613.0,75.0,88.58,87.905,-0.9992 (99.0008),4 1,2024/06/13 10:18:25,
