,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1058606899,이화티티씨(주)  [최종낙찰],이선정,분석,403752759,75.0,87.746,87.972,-0.62850 (99.3715),10 9,2024/05/24 15:37:07,
1,2,7858601711,주식회사 더씨테크,정진순,분석,403762500,75.0,87.748,87.974,-0.62609 (99.37391),3 13,2024/05/26 21:31:56,
2,3,2628802128,주식회사 성우일렉콤,최종국,분석,403763080,75.0,87.749,87.974,-0.62594 (99.37406),9 6,2024/05/21 09:03:36,
3,4,6068665713,주식회사 디비알,김왕섭,분석,403772893,75.0,87.751,87.976,-0.62351 (99.37649),3 7,2024/05/27 09:26:23,
4,5,1108155460,주식회사 자유전설,김상중,분석,403779740,75.0,87.752,87.978,-0.62180 (99.3782),8 12,2024/05/28 08:57:34,
5,6,7478702262,주식회사테크윤,구연희,분석,403792690,75.2,87.755,87.981,-0.61859 (99.38141),4 8,2024/05/22 23:14:56,
6,7,2188120741,케이씨티정보통신(주),백형은,분석,403795530,75.2,87.756,87.981,-0.61788 (99.38212),4 11,2024/05/28 08:58:00,
7,8,8128800740,주식회사 대일시스템,이승일,분석,403798268,75.2,87.757,87.982,-0.61720 (99.3828),6 13,2024/05/21 13:20:33,
8,9,1078606385,대선아이넷(주),신일자,분석,403819200,75.2,87.762,87.986,-0.61201 (99.38799),14 7,2024/05/27 16:45:36,
9,10,1198646212,주식회사 에프에스네트웍스,이화수,분석,403834510,75.4,87.765,87.99,-0.60820 (99.3918),5 9,2024/05/27 10:03:22,
10,11,2168701696,주식회사 투비콤,유수정,분석,403836121,75.4,87.766,87.99,-0.60780 (99.3922),7 1,2024/05/21 11:47:46,
11,12,1078636235,(주)대교이앤에스,이찬수,분석,403850215,75.4,87.769,87.993,-0.60430 (99.3957),2 4,2024/05/24 09:49:05,
12,13,2048641403,주식회사 에스디에스테크놀로지,임대성,분석,403856254,75.4,87.77,87.994,-0.60281 (99.39719),14 4,2024/05/24 08:37:48,
13,14,1068178635,(주)지아이테크놀러지,홍영우,분석,403869500,75.4,87.773,87.997,-0.59952 (99.40048),15 13,2024/05/23 11:11:41,
14,15,2158693084,주식회사 온파워아이앤티,송종희,분석,403873500,75.4,87.774,87.998,-0.59852 (99.40148),4 10,2024/05/21 12:01:58,
15,16,2088100603,(주)전우사,김한재,분석,403892500,75.6,87.779,88.002,-0.59380 (99.4062),3 9,2024/05/27 14:23:40,
16,17,1208799720,주식회사 틴들코리아,백성주,분석,403895710,75.6,87.78,88.003,-0.59301 (99.40699),3 5,2024/05/27 08:21:43,
17,18,2168107645,(주)한신기전통신,한아름,분석,403900480,75.6,87.781,88.004,-0.59182 (99.40818),14 13,2024/05/27 23:38:21,
18,19,2048187419,(주)디지털우민,문장석,분석,403908607,75.6,87.783,88.006,-0.58980 (99.4102),11 12,2024/05/27 15:50:02,
19,20,1018126108,(주)일능,심금자,분석,403910600,75.6,87.783,88.006,-0.58931 (99.41069),6 3,2024/05/28 08:54:58,
20,21,1198174315,주식회사 다솜이엔씨,송인주,분석,403913842,75.6,87.784,88.007,-0.58850 (99.4115),15 5,2024/05/27 08:57:39,
21,22,1188111452,동화전자산업(주),김종화,분석,403925900,75.8,87.787,88.01,-0.58551 (99.41449),12 4,2024/05/23 14:27:48,
22,23,2048174554,주식회사 창흥텔레콤,진경미,분석,403939500,75.8,87.79,88.013,-0.58213 (99.41787),4 13,2024/05/21 10:43:02,
23,24,1078662029,주식회사 아이티트레인,주영일,분석,403965792,76.0,87.796,88.018,-0.57560 (99.4244),15 1,2024/05/27 13:45:47,
24,25,2208680918,(주)엠디엠알,이재원,분석,403966194,76.0,87.796,88.018,-0.57551 (99.42449),12 14,2024/05/27 09:08:16,
25,26,2108150348,승호시스템(주),이계승,분석,403971430,76.0,87.797,88.02,-0.57420 (99.4258),5 8,2024/05/28 09:24:20,
26,27,1288141176,주식회사 와이씨스템,장영찬,분석,403973443,76.0,87.798,88.02,-0.57370 (99.4263),6 3,2024/05/22 09:22:26,
