,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2178143187,(주)미디어밸리렛  [최종낙찰],전필숙,분석,676990748,75.0,96.228,95.29,-1.2093 (98.7907),10 2,2024/07/02 15:29:52,
1,2,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,677016950,75.0,96.232,95.293,-1.2055 (98.7945),7 1,2024/07/02 10:53:32,
2,3,1018154491,엘케이테크넷(주),이만형,분석,677107860,75.0,96.246,95.306,-1.1923 (98.8077),14 13,2024/07/02 12:34:37,
3,4,2298134599,(주)시에나텔레콤,임종태,분석,677107968,75.0,96.246,95.306,-1.1922 (98.8078),13 8,2024/07/04 09:42:26,
4,5,6458700672,주식회사 비앤아이테크,김혜용,분석,677199000,75.0,96.259,95.319,-1.1790 (98.821),8 6,2024/07/02 15:57:48,
5,6,1178186611,주식회사 에프에이일렉콤,박인숙,분석,677311815,75.0,96.277,95.335,-1.1625 (98.8375),14 13,2024/07/04 09:01:02,
6,7,3628700817,씨큐리티 주식회사,공승길,분석,677336814,75.0,96.28,95.338,-1.1588 (98.8412),6 9,2024/07/04 08:27:19,
7,8,4028141375,주식회사 이레유비크,박임철,분석,677472025,75.0,96.301,95.358,-1.1391 (98.8609),11 5,2024/07/03 09:48:57,
8,9,3158800929,에이블이엔씨 주식회사,김주형,분석,677494429,75.0,96.304,95.361,-1.1358 (98.8642),5 3,2024/07/03 11:18:38,
9,10,2148134127,(주)대경텔레콤,오병도,분석,677553370,75.0,96.313,95.369,-1.1272 (98.8728),7 6,2024/07/03 10:42:30,
10,11,2208615417,마인드원 주식회사,차희원,분석,677676495,75.0,96.332,95.386,-1.1093 (98.8907),13 2,2024/07/02 10:11:10,
11,12,4188155516,아이피119정보통신 주식회사,김영수,분석,677809899,75.0,96.352,95.405,-1.0898 (98.9102),10 3,2024/07/02 11:07:57,
12,13,2148860959,(주)가온글로벌,최병억,분석,677810523,75.0,96.352,95.405,-1.0897 (98.9103),5 8,2024/07/02 10:02:33,
13,14,2148862812,(주)위드컴,서민석,분석,677839122,75.0,96.357,95.409,-1.0855 (98.9145),1 6,2024/07/03 14:17:27,
14,15,2048133679,(주)뉴콤,배상열,분석,677852555,75.0,96.359,95.411,-1.0836 (98.9164),8 12,2024/07/02 17:19:23,
15,16,1078197386,(주)아리네트웍스,성동식,분석,677854783,75.0,96.359,95.411,-1.0833 (98.9167),6 14,2024/07/04 09:08:31,
16,17,1138622662,퍼스트아이앤씨 주식회사,박상호,분석,677892810,75.0,96.365,95.417,-1.0777 (98.9223),5 8,2024/07/04 09:08:15,
