,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,7298600518,주식회사 킴스앤  [최종낙찰],김동선,분석,174256092,85.0,87.745,88.715,0.25029 (100.25029),12 11,2024/01/22 00:15:41,
1,2,1238640537,주식회사 위지온,우영진,분석,174258807,85.0,87.746,88.717,0.25187 (100.25187),5 11,2024/01/18 12:56:14,
2,3,2178121937,부광이앤씨 주식회사,정동국,분석,174259540,85.0,87.747,88.717,0.25230 (100.2523),9 2,2024/01/17 16:16:09,
3,4,2088115955,대건통신건설(주),양승범,분석,174263870,85.0,87.749,88.719,0.25481 (100.25481),1 2,2024/01/19 16:42:36,
4,5,2158119769,주식회사 남일기업,이범석,분석,174265100,85.0,87.75,88.72,0.25552 (100.25552),12 3,2024/01/19 12:54:35,
5,6,1180565240,성보전자통신,양행천,분석,174265320,85.0,87.75,88.72,0.25565 (100.25565),12 9,2024/01/21 18:54:43,
6,7,1078212647,사단법인 한국장애인미래정책포럼,배영환,분석,174267900,85.0,87.751,88.721,0.25715 (100.25715),9 6,2024/01/18 09:06:47,
7,8,2068179706,(주)씨엠유니버샬,전재용,분석,174268330,85.0,87.752,88.722,0.25740 (100.2574),8 9,2024/01/19 09:22:06,
8,9,1198601520,주식회사 에스에이치아이앤씨,장덕진,분석,174268846,85.0,87.752,88.722,0.25770 (100.2577),2 5,2024/01/19 08:56:08,
9,10,2068124123,(주)세양텔레콤,김한섭,분석,174270571,85.0,87.753,88.723,0.25870 (100.2587),10 7,2024/01/19 08:51:21,
10,11,1078162422,프라미스유 주식회사,박정은,분석,174275390,85.2,87.755,88.725,0.26149 (100.26149),6 11,2024/01/22 02:43:24,
11,12,2068196840,주식회사 혜성이티에스,이상영,분석,174278120,85.2,87.757,88.727,0.26308 (100.26308),4 13,2024/01/18 10:13:55,
12,13,2048162437,다남전기(주),이병근,분석,174282980,85.2,87.76,88.729,0.26590 (100.2659),2 12,2024/01/19 15:17:12,
13,14,1068642694,우림정보시스템(주),조원희,분석,174285730,85.2,87.761,88.731,0.26749 (100.26749),2 6,2024/01/18 09:18:18,
14,15,1198141207,(주)텍센,권유찬,분석,174288150,85.2,87.762,88.732,0.26890 (100.2689),9 2,2024/01/22 09:08:08,
15,16,2148823314,화인정보기술주식회사,이명우,분석,174289000,85.2,87.763,88.732,0.26939 (100.26939),11 2,2024/01/18 16:48:03,
16,17,1358145603,한라인포넷(주),장경민,분석,174289700,85.2,87.763,88.733,0.26979 (100.26979),2 5,2024/01/22 01:01:21,
17,18,1088182120,(주) 포스콤 에스아이,양병기,분석,174299698,85.4,87.769,88.738,0.27560 (100.2756),8 9,2024/01/19 09:12:51,
18,19,1198174315,주식회사 다솜이엔씨,송인주,분석,174308142,85.4,87.773,88.742,0.28050 (100.2805),15 8,2024/01/18 08:34:04,
19,20,1058163309,(주)한국에빅스,신승창,분석,174309177,85.4,87.774,88.743,0.28110 (100.2811),13 8,2024/01/19 12:32:15,
20,21,1188114764,(주)세빛전자통신,이상호,분석,174311141,85.6,87.775,88.744,0.28224 (100.28224),9 13,2024/01/18 09:31:32,
21,22,7968702264,주식회사 케이티엔에스티,정관숙,분석,174311416,85.6,87.775,88.744,0.28239 (100.28239),2 1,2024/01/19 13:58:34,
