,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2178143187,(주)미디어밸리렛,전필숙,분석,1032613973,65.0,89.249,89.419,-0.0861 (99.9139),1 9,2024/09/03 11:10:04,
1,2,7878600644,주식회사 성원이앤씨,박성원,분석,1032620071,65.0,89.25,89.42,-0.0856 (99.9144),12 8,2024/09/05 09:21:31,
2,3,1428100754,(주) 원테크놀로지,김종달,분석,1032622241,65.0,89.25,89.42,-0.0853 (99.9147),12 5,2024/09/04 09:17:07,
3,4,4098181403,주식회사 서포전기통신,김영강,분석,1032622700,65.0,89.25,89.42,-0.0853 (99.9147),7 2,2024/09/05 08:45:33,
4,5,1308663203,해광전기주식회사,김봉수,분석,1032623016,65.0,89.25,89.42,-0.0853 (99.9147),10 14,2024/09/03 11:04:23,
5,6,5148166515,(주)이튜,김체담,분석,1032633154,65.0,89.251,89.421,-0.0843 (99.9157),7 10,2024/09/04 15:20:50,
6,7,2068153782,주식회사 이노파크텍,홍정아,분석,1032634570,65.0,89.251,89.421,-0.0842 (99.9158),7 11,2024/09/03 13:49:08,
7,8,1388181122,주식회사우리시스템,박동환,분석,1032642100,65.0,89.252,89.422,-0.0834 (99.9166),1 10,2024/09/05 08:27:08,
8,9,5088116607,진흥씨앤씨주식회사,김중수,분석,1032642911,65.0,89.252,89.422,-0.0833 (99.9167),3 15,2024/09/04 10:21:30,
9,10,1428182474,주식회사 케이티비즈컴,김효석,분석,1032643950,65.0,89.252,89.422,-0.0832 (99.9168),9 11,2024/09/04 18:15:17,
10,11,2048644152,신해공영주식회사,이종범,분석,1032696900,65.0,89.256,89.426,-0.0781 (99.9219),11 14,2024/09/04 10:44:51,
11,12,1298198347,주식회사 다원아이엔씨,황오연,분석,1032704930,65.0,89.257,89.427,-0.0773 (99.9227),11 7,2024/09/05 09:49:12,
12,13,1348611522,(주)조은커뮤니케이션,최은실,분석,1032706990,65.0,89.257,89.427,-0.0771 (99.9229),6 10,2024/09/04 22:09:42,
13,14,1278602802,(주)하나넷,김기훈,분석,1032713190,65.0,89.258,89.428,-0.0765 (99.9235),6 12,2024/09/05 08:18:18,
14,15,1208100598,(주)삼지엔지니어링,김동명,분석,1032725000,65.0,89.259,89.429,-0.0754 (99.9246),12 14,2024/09/03 13:06:23,
15,16,1058161048,서울데이타통신(주),이희승,분석,1032744195,65.0,89.261,89.43,-0.0735 (99.9265),7 9,2024/09/03 10:11:31,
16,17,3508800150,주식회사 제이에스투,오정하,분석,1032744480,65.0,89.261,89.43,-0.0735 (99.9265),14 3,2024/09/03 18:08:46,
17,18,2248161844,신화에스앤씨 주식회사,김현우,분석,1032744608,65.0,89.261,89.43,-0.0735 (99.9265),3 10,2024/09/03 14:18:08,
18,19,2248121430,(주)이비엔,이향숙,분석,1032746262,65.0,89.261,89.431,-0.0733 (99.9267),15 11,2024/09/04 11:13:52,
19,20,1248156963,진흥전기통신(주),백귀현,분석,1032749193,65.0,89.261,89.431,-0.0731 (99.9269),13 3,2024/09/04 14:07:43,
20,21,1408127631,크리스탈이엔이 주식회사,민길전,분석,1032751430,65.0,89.261,89.431,-0.0728 (99.9272),11 13,2024/09/03 11:37:41,
21,22,2120549052,태성통신,최재석,분석,1032751770,65.0,89.261,89.431,-0.0728 (99.9272),10 15,2024/09/04 06:45:32,
22,23,2048162437,다남전기(주),이병근,분석,1032752490,65.0,89.261,89.431,-0.0727 (99.9273),1 10,2024/09/04 18:16:25,
23,24,1388119079,피앤씨테크 주식회사,조광식,분석,1032757630,65.0,89.262,89.432,-0.0722 (99.9278),14 8,2024/09/04 08:39:07,
24,25,3078123499,(주)두원전기소방,김동욱,분석,1032759770,65.0,89.262,89.432,-0.0720 (99.928),9 15,2024/09/05 09:33:47,
25,26,3118131154,주식회사 유어스시스템,장경익,분석,1032763830,65.0,89.262,89.432,-0.0717 (99.9283),14 8,2024/09/03 10:03:13,
26,27,4128119924,엔에이치네트웍스 주식회사,이근신,분석,1032766519,65.0,89.263,89.432,-0.0714 (99.9286),7 8,2024/09/03 21:02:04,
27,28,2068627654,주식회사 원캐스트,정광재,분석,1032769898,65.0,89.263,89.433,-0.0711 (99.9289),7 12,2024/09/03 17:26:36,
28,29,3848702187,주식회사 엘리커뮤니티,이혜진,분석,1032782772,65.0,89.264,89.434,-0.0698 (99.9302),7 3,2024/09/04 17:01:51,
29,30,2698800193,주식회사 신성정보통신,김은철,분석,1032798970,65.0,89.265,89.435,-0.0682 (99.9318),12 14,2024/09/03 15:37:06,
30,31,1298168896,(주)파스컴,이영수,분석,1032807960,65.0,89.266,89.436,-0.0674 (99.9326),8 5,2024/09/04 14:43:04,
31,32,1058191993,링크정보통신주식회사,이재호,분석,1032817057,65.0,89.267,89.437,-0.0665 (99.9335),1 13,2024/09/05 09:40:42,
32,33,1138635212,(주)아이제이일렉트론,김도형,분석,1032817500,65.0,89.267,89.437,-0.0665 (99.9335),7 8,2024/09/04 13:34:30,
33,34,2248114190,설악이앤씨(주),안종관,분석,1032818608,65.0,89.267,89.437,-0.0663 (99.9337),11 9,2024/09/05 09:23:07,
34,35,1298104500,주식회사 상지건설,김영신,분석,1032846510,65.0,89.27,89.439,-0.0637 (99.9363),12 4,2024/09/03 10:27:39,
35,36,3158105041,(주)화인시스템,연규일,분석,1032848490,65.0,89.27,89.439,-0.0635 (99.9365),8 3,2024/09/03 14:09:42,
36,37,2037666794,금성텔레콤,정용상,분석,1032851679,65.0,89.27,89.44,-0.0631 (99.9369),5 9,2024/09/04 09:32:36,
37,38,1198173261,주식회사 현대네트웍기술,조성익,분석,1032858920,65.0,89.271,89.44,-0.0624 (99.9376),13 15,2024/09/03 17:10:57,
