순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2148104884,두원이에프씨주식회사,,분석,2695212797,90.166,91.111,0.5122 (100.5122),15 5,2021/04/27 09:41:41,미심사
2,4538100144,주식회사 파란아이티,,분석,2695341510,90.171,91.115,0.5170 (100.517),7 10,2021/04/29 09:34:15,미심사
3,1278622185,(주)한올정보통신,,분석,2695357598,90.171,91.116,0.5176 (100.5176),5 6,2021/04/27 09:52:32,미심사
4,2208680918,(주)엠디엠알,,분석,2695456811,90.175,91.119,0.5213 (100.5213),9 5,2021/04/27 21:18:29,미심사
5,2048159043,이앤씨텔레콤(주),,분석,2695464850,90.175,91.12,0.5215 (100.5215),13 15,2021/04/28 10:12:10,미심사
6,1208802896,주식회사 라임에스엔씨,,분석,2695502397,90.176,91.121,0.5230 (100.523),4 11,2021/04/27 09:32:22,미심사
7,1068184554,(주)송화전기통신,,분석,2695550660,90.178,91.123,0.5247 (100.5247),11 15,2021/04/27 10:44:08,미심사
8,2148690274,주식회사 유니콤넷,,분석,2695581180,90.179,91.124,0.5259 (100.5259),1 6,2021/04/27 14:44:21,미심사
9,2208727337,주식회사주니파워네트웍스,,분석,2695660610,90.182,91.126,0.5289 (100.5289),1 11,2021/04/27 09:23:25,미심사
10,1328127945,부민통신 주식회사,,분석,2695730322,90.184,91.129,0.5315 (100.5315),9 12,2021/04/27 13:36:26,미심사
11,2168100638,원흥전설(주),,분석,2695755600,90.185,91.129,0.5324 (100.5324),9 13,2021/04/28 11:04:37,미심사
12,5148150594,주식회사하나에스아이,,분석,2695789314,90.186,91.131,0.5337 (100.5337),8 3,2021/04/27 10:45:57,미심사
13,1268670710,주식회사 에디넷,,분석,2695863860,90.189,91.133,0.5364 (100.5364),13 7,2021/04/28 17:26:19,미심사
14,4168121437,주식회사코리아넷,,분석,2695882193,90.19,91.134,0.5371 (100.5371),14 6,2021/04/28 17:31:19,미심사
15,1238603283,제이디미디어 주식회사,,분석,2695966500,90.193,91.137,0.5403 (100.5403),2 8,2021/04/29 10:01:46,미심사
16,3048104362,주식회사 건주,,분석,2696038690,90.195,91.139,0.5429 (100.5429),10 1,2021/04/29 07:42:37,미심사
17,2208191439,주식회사 디투에스,,분석,2696084500,90.197,91.141,0.5447 (100.5447),3 7,2021/04/27 16:36:17,미심사
18,3148609073,금성정보기술 주식회사,,분석,2696124500,90.198,91.142,0.5462 (100.5462),12 3,2021/04/27 14:22:34,미심사
19,2098121862,거우전설주식회사,,분석,2696131739,90.199,91.142,0.5464 (100.5464),8 10,2021/04/29 10:36:27,미심사
20,2068183592,(주)신광티앤이,,분석,2696188860,90.201,91.144,0.5486 (100.5486),8 14,2021/04/29 12:41:38,미심사
21,1180565240,성보전자통신,,분석,2696457010,90.21,91.153,0.5586 (100.5586),14 3,2021/04/28 11:34:23,미심사
22,1298157900,(주)에스오에이텔레콤,,분석,2696479679,90.211,91.154,0.5594 (100.5594),4 14,2021/04/28 15:04:56,미심사
23,1058622531,건웅신호산전(주),,분석,2696483810,90.211,91.154,0.5595 (100.5595),2 9,2021/04/28 11:55:57,미심사
24,1248152502,명진전력(주),,분석,2696502587,90.212,91.155,0.5603 (100.5603),10 14,2021/04/29 00:36:55,미심사
25,1308600867,샘정보산업주식회사,,분석,2696558898,90.214,91.157,0.5624 (100.5624),14 5,2021/04/28 16:56:32,미심사
