bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,78,한일개발(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,489,신원전설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1444,미래전기소방(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,491,창공정보통신 주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,80,홍성종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,493,삼진동력개발 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,722,(주)태창이엔씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,495,인성전력설비주식회사
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,82,영건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,497,범양전기(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1446,호근전기 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,499,제일일렉콤(주)
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,84,동명건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,501,주식회사 넥선
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,180,이수엔지니어링(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,503,주식회사 동부전기
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,86,동양건설산업(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,505,서일씨앤아이(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1448,리치건설전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,507,두성이엠
20091216486,안산시 사3동 주민센터 건립공사(건축),2010-01-05,88,예창종합건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,509,유한회사 일석
