bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,289,주식회사 성현전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1394,원곡전력(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,291,삼호전설(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,27,레메코씨엔이 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,293,동림전력 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,348,주식회사 조양전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,295,삼대전기(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,29,태광건업(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,297,(주)지티일렉콘
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1396,진보건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,299,주식회사 부광
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,31,주식회사 디앤아이제도
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,301,유유전기
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,698,남양전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,303,성화전력기술(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,33,주식회사 에이지건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,305,신영전자통신(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1398,동명전기공업(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,307,(주)미주전통
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,35,야긴건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,309,대양전기건설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,174,주식회사 동진
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,311,진한전설주식회사
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,37,(주)다산디엔씨그룹
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,313,주식회사 연훈
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1400,(주)범일종합전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,315,주)동운전기
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,39,주식회사 디에이치씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,317,주식회사 에이원이엔티
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,700,(주)동문이앤씨
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,319,삼보신호(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,41,주식회사 남강기업건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,321,부자전기건설공사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1402,태백전기건설(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,323,경일전력
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,43,(주)태성건축
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,325,경우전기(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,350,현대네트웍(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,327,(주)티이씨앤코
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,45,주식회사대경아이앤씨
