순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,2208865207,주식회사 소나텍  [최종낙찰],최성욱,분석,82025709,87.746,88.052,-0.30355 (99.69645),3 10,2023/10/27 17:13:57,
2,6178176364,(주)동양시스컴,정형보,분석,82026161,87.747,88.052,-0.30299 (99.69701),9 2,2023/10/27 11:49:13,
3,2058140076,(주)제일첨단테크,김성수,분석,82026642,87.747,88.053,-0.30240 (99.6976),15 1,2023/10/30 09:04:33,
4,7598100284,주식회사세현전기통신,하옥금,분석,82026798,87.747,88.053,-0.30221 (99.69779),15 4,2023/10/31 08:19:49,
5,1198600157,(주)제스엔지니어링,오인수,분석,82028340,87.749,88.054,-0.30033 (99.69967),2 5,2023/10/30 08:41:04,
6,3388801483,주식회사 에버그린티앤씨,최재완,분석,82029300,87.75,88.055,-0.29915 (99.70085),6 12,2023/10/27 09:16:04,
7,1288608814,주식회사 휴먼앤드,최영일,분석,82030238,87.751,88.056,-0.29801 (99.70199),3 5,2023/10/30 14:45:01,
8,6378801279,주식회사정암정보통신,조강수,분석,82030570,87.752,88.057,-0.29760 (99.7024),1 4,2023/10/30 07:53:33,
9,2068182837,경안이엔지(주),금동중,분석,82030640,87.752,88.057,-0.29751 (99.70249),1 15,2023/10/26 18:05:23,
10,6218197204,주식회사 아이씨티전기통신,고종훈,분석,82031100,87.752,88.057,-0.29695 (99.70305),11 15,2023/10/30 21:19:36,
11,1058645188,(주)삼구정보통신,강준재,분석,82032854,87.754,88.059,-0.29480 (99.7052),15 2,2023/10/30 09:49:40,
12,1408112986,코넷주식회사,김승구,분석,82032930,87.754,88.059,-0.29471 (99.70529),8 14,2023/10/30 09:46:08,
13,1178164451,(주)지엠디텔레콤,김창윤,분석,82033430,87.755,88.06,-0.29410 (99.7059),3 5,2023/10/30 16:27:21,
14,1338121231,한려정보통신 주식회사,고석필,분석,82033473,87.755,88.06,-0.29405 (99.70595),1 3,2023/10/27 10:21:08,
15,8528101184,(주)성진텔레콤,심선희,분석,82034686,87.756,88.061,-0.29256 (99.70744),14 10,2023/10/31 09:40:47,
16,5898702900,주식회사 이안정보통신,권민수,분석,82034817,87.757,88.061,-0.29240 (99.7076),5 6,2023/10/31 09:12:35,
17,6278801874,주식회사 포킨,김영민,분석,82035471,87.757,88.062,-0.29160 (99.7084),3 13,2023/10/26 14:20:27,
18,1198665219,주식회사 세진종합이엔씨,박근덕,분석,82035528,87.757,88.062,-0.29153 (99.70847),4 13,2023/10/26 17:37:47,
19,1298198347,주식회사 다원아이엔씨,황오연,분석,82035550,87.757,88.062,-0.29151 (99.70849),2 10,2023/10/30 09:22:24,
20,1068636509,청화하이테크 주식회사,서성열,분석,82036800,87.759,88.063,-0.28998 (99.71002),3 13,2023/10/30 16:56:07,
21,1388157317,주식회사 씨엘테크,윤지영,분석,82037023,87.759,88.064,-0.28970 (99.7103),14 3,2023/10/31 08:44:15,
22,1240367481,중앙통신,이대근,분석,82037048,87.759,88.064,-0.28967 (99.71033),13 11,2023/10/29 19:38:30,
23,2348110551,주식회사 네오미디어,김훈,분석,82037984,87.76,88.065,-0.28853 (99.71147),14 7,2023/10/30 17:28:25,
