순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
46,1078163703,아이티에스엔지니어링 주식회사,,분석,2756719372,88.721,88.865,-0.4832 (99.5168),7 3,2023/04/28 09:46:39,미심사
47,1198158412,애드넷정보통신(주),,분석,2756749302,88.722,88.866,-0.4822 (99.5178),6 10,2023/05/02 15:57:17,미심사
48,2118836479,(주)에스피엔이,,분석,2756755391,88.722,88.866,-0.4819 (99.5181),6 4,2023/05/03 09:37:04,미심사
49,3018613815,(주)에스엔케이미디어,,분석,2756801000,88.724,88.867,-0.4803 (99.5197),3 15,2023/05/02 11:09:48,미심사
50,1098156682,한국이엠에스(주),,분석,2756813550,88.724,88.868,-0.4799 (99.5201),4 7,2023/04/28 13:49:37,미심사
51,1018126108,(주)일능,,분석,2756849567,88.726,88.869,-0.4785 (99.5215),10 15,2023/04/28 10:31:52,미심사
52,1068616518,(주)애니씨앤에스,,분석,2756868190,88.726,88.87,-0.4779 (99.5221),15 14,2023/05/02 12:21:13,미심사
53,2148752525,(주)엘티네트워크,,분석,2756917180,88.728,88.871,-0.4761 (99.5239),15 7,2023/05/02 11:37:56,미심사
54,6158117317,주식회사 케이투,,분석,2756929901,88.728,88.872,-0.4756 (99.5244),7 15,2023/04/28 11:48:28,미심사
55,1068143494,합자회사 화인에스앤컴퍼니,,분석,2756993970,88.73,88.874,-0.4733 (99.5267),12 9,2023/04/28 16:01:10,미심사
56,2268138878,주식회사 한솔텔레콤,,분석,2756996654,88.731,88.874,-0.4732 (99.5268),6 14,2023/05/02 17:34:52,미심사
57,1208620056,(주)베이스인네트웍스,,분석,2757077000,88.733,88.876,-0.4703 (99.5297),5 7,2023/05/02 10:55:45,미심사
58,1328144454,주식회사 하이큐넷,,분석,2757115500,88.735,88.877,-0.4689 (99.5311),11 3,2023/05/03 13:43:31,미심사
59,1208635791,주식회사 피엔에이링크,,분석,2757129750,88.735,88.878,-0.4684 (99.5316),8 10,2023/05/03 09:04:09,미심사
60,2158190006,광명인터컴(주),,분석,2757221681,88.738,88.881,-0.4651 (99.5349),7 14,2023/04/28 12:13:11,미심사
61,1058161048,서울데이타통신(주),,분석,2757254003,88.739,88.882,-0.4639 (99.5361),6 4,2023/05/03 10:52:10,미심사
62,3168124357,주식회사 태인이엔지,,분석,2757270795,88.74,88.883,-0.4633 (99.5367),12 11,2023/05/02 19:52:57,미심사
63,2208725440,(주) 매그넷,,분석,2757323480,88.742,88.884,-0.4614 (99.5386),10 12,2023/04/28 14:01:59,미심사
64,1238135136,(주)청남통신,,분석,2757375500,88.744,88.886,-0.4596 (99.5404),8 9,2023/04/28 10:33:49,미심사
65,1228181471,하나이티에프 주식회사,,분석,2757411899,88.745,88.887,-0.4582 (99.5418),14 6,2023/05/02 14:13:41,미심사
65,1288630446,플라이넷 주식회사,,분석,2757411899,88.745,88.887,-0.4582 (99.5418),5 6,2023/05/02 08:38:06,미심사
67,1188121173,(주)부현전기,,분석,2757412780,88.745,88.887,-0.4582 (99.5418),6 12,2023/05/02 17:43:13,미심사
68,2128145574,콤시스(주),,분석,2757523510,88.749,88.891,-0.4542 (99.5458),14 3,2023/05/02 10:09:13,미심사
69,2148626637,(주)아이엔지시스템,,분석,2757544500,88.749,88.891,-0.4535 (99.5465),8 10,2023/05/02 12:39:15,미심사
70,1018178116,(주)오경컴텍,,분석,2757611346,88.752,88.893,-0.4510 (99.549),12 3,2023/05/03 09:33:18,미심사
71,1358141155,(주)이지텔레콤,,분석,2757634232,88.752,88.894,-0.4502 (99.5498),6 1,2023/05/02 13:00:55,미심사
72,1068656301,주식회사 티제이원,,분석,2757748492,88.756,88.898,-0.4461 (99.5539),9 7,2023/04/28 14:58:18,미심사
73,2068679088,(주)한맥아이티,,분석,2757749800,88.756,88.898,-0.4461 (99.5539),6 9,2023/05/02 10:38:50,미심사
74,6158113999,(주)동진정보통신,,분석,2757823839,88.759,88.9,-0.4434 (99.5566),5 12,2023/05/02 14:58:04,미심사
75,1088178984,(주)포소드,,분석,2757825327,88.759,88.9,-0.4433 (99.5567),12 10,2023/05/03 08:57:13,미심사
76,1078757203,주식회사 비에스파워,,분석,2757841000,88.76,88.901,-0.4428 (99.5572),3 2,2023/05/01 09:40:34,미심사
77,1228159794,주식회사 메가텔,,분석,2757961000,88.764,88.905,-0.4384 (99.5616),2 14,2023/05/02 16:44:41,미심사
78,1068602542,주식회사 유셀네트웍스,,분석,2757974390,88.764,88.905,-0.4379 (99.5621),15 8,2023/05/02 09:19:42,미심사
79,1018211295,사단법인 한국장애인이워크협회,,분석,2758036900,88.766,88.907,-0.4357 (99.5643),5 4,2023/04/28 09:41:22,미심사
80,1328634193,세진네오텍 주식회사,,분석,2758044120,88.767,88.907,-0.4354 (99.5646),13 9,2023/05/01 09:58:40,미심사
81,3508800150,주식회사 제이에스투,,분석,2758046780,88.767,88.908,-0.4353 (99.5647),14 2,2023/05/02 18:24:52,미심사
82,6058634352,주식회사 풍정정보통신,,분석,2758118275,88.769,88.91,-0.4327 (99.5673),10 9,2023/05/02 07:03:37,미심사
83,1238135228,(주)한미,,분석,2758160190,88.771,88.911,-0.4312 (99.5688),5 6,2023/04/28 10:56:04,미심사
84,4028141375,주식회사 이레유비크,,분석,2758290563,88.775,88.915,-0.4265 (99.5735),11 5,2023/05/02 13:14:16,미심사
85,8808700159,주식회사 하이패스텔,,분석,2758298332,88.775,88.916,-0.4262 (99.5738),14 15,2023/05/02 14:47:26,미심사
86,1058188805,(주)경성텔레콤,,분석,2758323260,88.776,88.916,-0.4254 (99.5746),6 1,2023/04/28 11:25:02,미심사
87,1298145909,하나텍플러스주식회사,,분석,2758324495,88.776,88.916,-0.4253 (99.5747),2 11,2023/04/28 10:35:20,미심사
88,1138195817,(주)베스트일렉트로닉스,,분석,2758328800,88.776,88.917,-0.4252 (99.5748),11 13,2023/05/02 15:12:11,미심사
89,1338121231,한려정보통신 주식회사,,분석,2758434330,88.78,88.92,-0.4213 (99.5787),1 9,2023/04/28 15:08:01,미심사
90,2298139274,(주)영풍전력설비,,분석,2758498630,88.782,88.922,-0.4190 (99.581),14 6,2023/05/02 13:00:56,미심사
91,6158122391,주식회사 우진이앤씨,,분석,2758506600,88.783,88.922,-0.4187 (99.5813),5 1,2023/05/02 17:45:16,미심사
92,4168128895,(주)비아이씨스템,,분석,2758533790,88.783,88.923,-0.4178 (99.5822),14 5,2023/05/02 09:28:05,미심사
93,4098174561,(주)세원씨앤에스,,분석,2758574000,88.785,88.925,-0.4163 (99.5837),4 8,2023/05/02 09:59:48,미심사
94,1308674020,주식회사 와치캠,,분석,2758600274,88.786,88.925,-0.4153 (99.5847),1 11,2023/05/03 09:12:32,미심사
95,1288170424,(주)스카이뱅크,,분석,2758645071,88.787,88.927,-0.4137 (99.5863),3 6,2023/05/02 09:13:45,미심사
96,2038143228,백영전자 주식회사(白榮電子 株式會社),,분석,2758671550,88.788,88.928,-0.4128 (99.5872),10 8,2023/05/03 08:31:42,미심사
97,2078149729,주식회사 지앤에스기술,,분석,2758714722,88.79,88.929,-0.4112 (99.5888),2 10,2023/05/03 09:08:29,미심사
