순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,6038136311,(주)동아티엔씨,,분석,1086252794,89.828,89.745,-0.5091 (99.4909),8 1,2020/10/30 11:48:45,미심사
2,6108600214,(주)철탑,,분석,1086277907,89.83,89.747,-0.5068 (99.4932),8 1,2020/11/03 08:24:45,미심사
3,1058625329,주식회사 윈미디텍,,분석,1086292490,89.831,89.748,-0.5055 (99.4945),3 12,2020/11/02 13:19:16,미심사
4,1272107695,에스엠컴,,분석,1086331405,89.835,89.751,-0.5019 (99.4981),15 6,2020/11/02 11:23:12,미심사
5,2128140491,(주)벧엘정보통신,,분석,1086340140,89.836,89.752,-0.5011 (99.4989),3 7,2020/11/03 07:57:59,미심사
6,1198174839,(주)선진솔루션,,분석,1086344507,89.836,89.752,-0.5007 (99.4993),13 11,2020/10/30 10:58:44,미심사
7,1048142465,엘에스빌드윈 주식회사,,분석,1086383812,89.839,89.756,-0.4971 (99.5029),9 12,2020/11/02 14:30:03,미심사
8,5088110559,지오종합건설 주식회사,,분석,1086390000,89.84,89.756,-0.4966 (99.5034),2 4,2020/11/02 14:13:54,미심사
9,1388179418,주식회사 스완아나리티칼코리아,,분석,1086390370,89.84,89.756,-0.4965 (99.5035),3 4,2020/10/30 10:43:17,미심사
10,1098154781,(주)공항엔지니어링,,분석,1086393640,89.84,89.756,-0.4962 (99.5038),6 7,2020/11/02 18:34:31,미심사
11,6218601891,(주)온누리텔레콤,,분석,1086414700,89.842,89.758,-0.4943 (99.5057),2 10,2020/10/30 14:18:33,미심사
12,1198616251,주식회사 누리인프라,,분석,1086418750,89.842,89.758,-0.4939 (99.5061),8 15,2020/10/30 15:03:40,미심사
13,3118128299,(주)로뎀산전,,분석,1086420410,89.843,89.759,-0.4938 (99.5062),5 6,2020/11/03 05:58:56,미심사
14,1078104475,(주)성신전업,,분석,1086434035,89.844,89.76,-0.4925 (99.5075),8 14,2020/11/03 09:49:48,미심사
15,6098129268,대형웍스 주식회사,,분석,1086455700,89.846,89.761,-0.4906 (99.5094),4 6,2020/11/02 10:42:27,미심사
16,3170305850,오뚜기전자통신,,분석,1086478800,89.848,89.763,-0.4884 (99.5116),2 5,2020/10/30 10:47:20,미심사
17,8418801179,주식회사 태경정보통신,,분석,1086482075,89.848,89.764,-0.4881 (99.5119),14 12,2020/11/03 09:03:10,미심사
18,1198623392,(주)한양정보,,분석,1086484400,89.848,89.764,-0.4879 (99.5121),7 2,2020/11/02 09:54:23,미심사
19,1298627304,(주)진네트웍스,,분석,1086498017,89.849,89.765,-0.4867 (99.5133),15 2,2020/11/02 10:29:34,미심사
20,2058132839,(주)에이앤피코리아,,분석,1086511554,89.85,89.766,-0.4854 (99.5146),2 10,2020/11/03 10:26:21,미심사
21,6988700036,주식회사 디원이엔지,,분석,1086513766,89.851,89.766,-0.4852 (99.5148),13 4,2020/11/02 09:29:07,미심사
22,6158158185,(주)강남텔레콤,,분석,1086522700,89.851,89.767,-0.4844 (99.5156),14 4,2020/10/31 14:23:53,미심사
23,1258630001,엘에스케이전자통신 주식회사,,분석,1086527025,89.852,89.767,-0.4840 (99.516),3 6,2020/11/02 17:05:04,미심사
24,1208745904,(주)엘엔케이네트웍스,,분석,1086530012,89.852,89.768,-0.4838 (99.5162),1 3,2020/10/30 18:32:50,미심사
25,1218623930,주식회사 도빈,,분석,1086536666,89.853,89.768,-0.4831 (99.5169),10 7,2020/10/30 10:12:30,미심사
26,1258114063,주식회사 금강뉴이앤씨,,분석,1086551955,89.854,89.769,-0.4817 (99.5183),4 9,2020/11/02 10:23:29,미심사
27,5028129666,주식회사 범일정보,,분석,1086554700,89.854,89.77,-0.4815 (99.5185),6 2,2020/10/30 14:41:01,미심사
28,2208716640,주식회사 아이텍파워,,분석,1086563970,89.855,89.77,-0.4806 (99.5194),13 11,2020/10/30 10:28:53,미심사
29,3088142164,(주)덕분이엔씨,,분석,1086564770,89.855,89.77,-0.4806 (99.5194),5 3,2020/10/30 12:39:46,미심사
30,6078172605,(주)원텍시스템,,분석,1086580339,89.856,89.772,-0.4791 (99.5209),3 7,2020/11/03 09:50:48,미심사
31,5288600574,주식회사 씨디에프,,분석,1086583000,89.857,89.772,-0.4789 (99.5211),7 10,2020/10/30 10:04:43,미심사
32,1068633138,포에스미디어(주),,분석,1086592879,89.857,89.773,-0.4780 (99.522),4 14,2020/11/02 16:58:00,미심사
33,2168115295,(주)로보티어,,분석,1086599700,89.858,89.773,-0.4774 (99.5226),4 7,2020/10/30 18:54:24,미심사
34,2068706603,주식회사 온품,,분석,1086604360,89.858,89.774,-0.4769 (99.5231),11 5,2020/11/02 10:55:03,미심사
35,1268162461,(주)진영이엔씨,,분석,1086614000,89.859,89.775,-0.4761 (99.5239),2 10,2020/11/02 14:10:50,미심사
36,1280541959,두합정보통신,,분석,1086623683,89.86,89.775,-0.4752 (99.5248),7 14,2020/11/03 09:38:45,미심사
37,6212145959,에스디(SD)정보통신,,분석,1086633700,89.861,89.776,-0.4743 (99.5257),11 6,2020/10/30 14:35:28,미심사
38,1238160810,(주)비전정보통신,,분석,1086646890,89.862,89.777,-0.4731 (99.5269),7 14,2020/10/30 10:08:03,미심사
39,3148193654,한일통신 주식회사,,분석,1086649122,89.862,89.777,-0.4728 (99.5272),5 1,2020/11/02 15:52:07,미심사
40,5278600284,주식회사 수앤씨,,분석,1086649208,89.862,89.777,-0.4728 (99.5272),10 15,2020/11/02 10:39:13,미심사
41,1308611501,주식회사 성호넷,,분석,1086656760,89.863,89.778,-0.4722 (99.5278),11 4,2020/11/02 18:01:29,미심사
42,1288100516,재성전기(주),,분석,1086665498,89.864,89.779,-0.4714 (99.5286),14 2,2020/10/30 14:48:03,미심사
43,1098603050,(주)이루기술,,분석,1086668775,89.864,89.779,-0.4710 (99.529),2 14,2020/10/30 09:59:29,미심사
44,1278185676,주식회사 삼화종합건설,,분석,1086669866,89.864,89.779,-0.4709 (99.5291),2 3,2020/10/30 17:59:03,미심사
45,1048606106,(주)넥스코,,분석,1086677900,89.865,89.78,-0.4702 (99.5298),14 15,2020/11/02 09:55:14,미심사
46,1358188621,(주)플러스원정보통신,,분석,1086701000,89.867,89.782,-0.4681 (99.5319),6 3,2020/11/02 16:45:19,미심사
47,1378614004,주식회사지오엔지스,,분석,1086705624,89.867,89.782,-0.4677 (99.5323),14 1,2020/11/02 09:58:18,미심사
48,2188109765,(주)웨이브컴,,분석,1086708081,89.867,89.782,-0.4674 (99.5326),2 7,2020/11/02 13:28:44,미심사
49,6208154935,아이에스정보기술(주),,분석,1086737500,89.87,89.785,-0.4648 (99.5352),4 8,2020/11/01 23:48:07,미심사
50,1228181544,주식회사 윌테크,,분석,1086740813,89.87,89.785,-0.4645 (99.5355),6 13,2020/11/02 11:27:48,미심사
51,1358145603,한라인포넷(주),,분석,1086750661,89.871,89.786,-0.4635 (99.5365),12 6,2020/11/03 01:22:40,미심사
52,1198116692,주식회사 서우건설산업,,분석,1086757000,89.872,89.786,-0.4630 (99.537),3 13,2020/11/03 13:13:15,미심사
53,1068609792,(주)아이티로그인,,분석,1086758402,89.872,89.786,-0.4628 (99.5372),1 6,2020/11/02 12:34:15,미심사
54,1068184554,(주)송화전기통신,,분석,1086759400,89.872,89.787,-0.4627 (99.5373),10 7,2020/11/02 10:16:38,미심사
55,2188108562,합자회사 부원전기,,분석,1086761580,89.872,89.787,-0.4625 (99.5375),8 12,2020/11/02 13:57:42,미심사
56,4168167016,씨엠파워(주),,분석,1086764000,89.872,89.787,-0.4623 (99.5377),12 13,2020/11/03 09:08:03,미심사
57,2078136393,삼언전공 주식회사,,분석,1086764850,89.872,89.787,-0.4623 (99.5377),12 11,2020/11/03 09:17:46,미심사
58,1308634130,주식회사 유앤테크,,분석,1086772497,89.873,89.788,-0.4615 (99.5385),3 13,2020/11/03 09:15:58,미심사
59,2998100593,주식회사 인투시스템,,분석,1086774900,89.873,89.788,-0.4613 (99.5387),5 11,2020/10/30 19:10:35,미심사
60,1298639853,주식회사 하나디앤에스,,분석,1086777670,89.873,89.788,-0.4611 (99.5389),12 13,2020/11/01 11:43:40,미심사
61,1078637082,루컴즈서비스 주식회사,,분석,1086788800,89.874,89.789,-0.4601 (99.5399),12 2,2020/11/02 17:28:24,미심사
62,1328178712,(주)진솔이앤지,,분석,1086803060,89.876,89.79,-0.4588 (99.5412),11 10,2020/11/02 10:57:42,미심사
63,1208662454,(주)위엠비,,분석,1086803830,89.876,89.79,-0.4587 (99.5413),10 11,2020/11/03 10:32:08,미심사
64,7438600246,(주)우재이엔시,,분석,1086805260,89.876,89.79,-0.4585 (99.5415),7 6,2020/10/30 09:52:35,미심사
65,1248605945,주식회사 새롬정보통신,,분석,1086811366,89.876,89.791,-0.4580 (99.542),8 3,2020/11/03 13:17:55,미심사
66,6068643965,(주)무진산업기술,,분석,1086833700,89.878,89.793,-0.4559 (99.5441),7 6,2020/11/02 11:49:53,미심사
67,5022858598,아이엔티정보통신,,분석,1086841347,89.879,89.793,-0.4552 (99.5448),3 4,2020/11/02 12:57:21,미심사
68,1308197047,드림네트웍스 주식회사,,분석,1086845640,89.879,89.794,-0.4549 (99.5451),5 7,2020/11/03 09:08:22,미심사
69,3108113681,에이엠테크주식회사,,분석,1086850016,89.88,89.794,-0.4544 (99.5456),3 2,2020/11/03 00:05:02,미심사
70,5158116677,주식회사 한텔,,분석,1086863396,89.881,89.795,-0.4532 (99.5468),9 8,2020/11/02 15:00:22,미심사
