순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1108175530,주식회사창조씨엔에스  [최종낙찰],정혜경,분석,91947730,87.746,87.671,-0.78130 (99.2187),7 15,2020/05/02 22:58:10,
2,2158706984,도드람정보기술 주식회사,이명석,분석,91948926,87.747,87.672,-0.78000 (99.22),5 10,2020/05/03 16:56:32,
3,1298163829,(주)시원코리아,임희득,분석,91964840,87.763,87.688,-0.76271 (99.23729),1 12,2020/05/02 19:39:47,
4,1068690366,(주)윈투스시스템,신경익,분석,91969815,87.768,87.692,-0.75730 (99.2427),11 6,2020/05/06 09:36:41,
5,1078154150,(주)케이원정보통신,김승일,분석,91970000,87.769,87.693,-0.75710 (99.2429),11 13,2020/04/29 13:54:04,
6,2158770996,엠코어넷 주식회사,김명경,분석,91974140,87.773,87.696,-0.75260 (99.2474),7 1,2020/05/04 11:22:25,
7,1098603593,주식회사 완일이씨에스,김경창,분석,91978650,87.777,87.701,-0.74770 (99.2523),4 10,2020/05/04 13:12:57,
8,1138189770,인콤아이에스(주),강점식,분석,91979150,87.778,87.701,-0.74716 (99.25284),11 8,2020/05/04 09:03:10,
9,1078756640,주식회사 링크씨앤아이,김대훈,분석,91979753,87.778,87.702,-0.74651 (99.25349),7 10,2020/05/05 13:44:04,
10,2158138510,신신이앤씨주식회사,하대청,분석,91981411,87.78,87.703,-0.74470 (99.2553),2 3,2020/05/02 10:35:32,
11,1138640850,주식회사 우솔네트웍스,유상열,분석,91988900,87.788,87.711,-0.73657 (99.26343),8 10,2020/05/04 13:13:24,
12,1068683638,주식회사 엔씨씨디지탈,이상호,분석,91989323,87.788,87.711,-0.73611 (99.26389),8 4,2020/05/06 09:10:03,
13,1098185343,주식회사 오티에스씨,이승환,분석,91995765,87.795,87.717,-0.72911 (99.27089),2 14,2020/05/06 09:20:26,
14,1078763383,주식회사 아이티블럭,배경원,분석,91999000,87.798,87.72,-0.72559 (99.27441),3 13,2020/04/29 10:39:03,
15,1198650754,비젼전자통신 주식회사,홍성수,분석,91999548,87.798,87.721,-0.72499 (99.27501),15 4,2020/05/04 10:26:10,
16,6078616291,케이시스 주식회사,김중섭,분석,92000000,87.799,87.721,-0.72450 (99.2755),13 4,2020/05/05 14:02:48,
17,2148626132,(주)오버넷,신창호,분석,92001380,87.8,87.722,-0.72300 (99.277),2 11,2020/05/04 17:32:20,
18,2118850165,해음전기(주),김년봉,분석,92002300,87.801,87.723,-0.72200 (99.278),7 3,2020/05/05 19:28:30,
19,2141167760,세기정보통신,송재홍,분석,92002940,87.802,87.724,-0.72131 (99.27869),14 15,2020/05/04 13:07:56,
20,2058125376,주식회사 명성라이픽스,황석고,분석,92006624,87.806,87.727,-0.71731 (99.28269),9 4,2020/04/29 17:35:05,
21,1058622531,건웅신호산전(주),박정현,분석,92007620,87.807,87.728,-0.71622 (99.28378),2 4,2020/05/04 11:46:24,
22,1198647905,주식회사 리안시스템,원미리,분석,92011100,87.81,87.732,-0.71244 (99.28756),14 13,2020/05/05 13:20:13,
23,1198606485,주식회사 에이치엠솔루션,이상진,분석,92011700,87.811,87.732,-0.71179 (99.28821),1 4,2020/04/29 11:35:37,
24,2128608050,(주)엔큐컨설팅,유관우,분석,92012150,87.811,87.733,-0.71130 (99.2887),6 14,2020/05/01 08:51:42,
25,1218610885,주식회사 씨에스포유앤이,김승섭,분석,92012331,87.811,87.733,-0.71110 (99.2889),9 3,2020/05/04 10:32:31,
26,1168161465,(주)솔루텍시스템,이인명,분석,92012538,87.812,87.733,-0.71088 (99.28912),12 5,2020/04/29 11:53:42,
27,2068601047,왕건전기 주식회사,한미라,분석,92018843,87.818,87.739,-0.70403 (99.29597),9 1,2020/05/06 07:56:13,
28,2118101156,(주)인스틴솔루션,박세준,분석,92019300,87.818,87.74,-0.70353 (99.29647),3 8,2020/04/29 10:50:48,
29,2101252831,유비아이티,김창갑,분석,92020313,87.819,87.741,-0.70243 (99.29757),13 15,2020/05/06 09:00:41,
30,1138640864,주식회사 지앤씨씨,정연진,분석,92021350,87.821,87.741,-0.70130 (99.2987),8 9,2020/05/06 09:18:21,
31,1018195473,건영정보통신(주),이병옥,분석,92024640,87.824,87.745,-0.69773 (99.30227),4 6,2020/05/03 18:24:01,
