순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2138800230,주식회사 성민전기통신,,분석,4542914035,86.942,87.626,-0.2188 (99.7812),6 7,2020/08/05 11:49:58,미심사
2,1148190678,(주)에드원텔레콤,,분석,4542973230,86.943,87.627,-0.2175 (99.7825),2 15,2020/08/06 15:41:24,미심사
3,1018154491,엘케이테크넷(주),,분석,4543005092,86.944,87.628,-0.2168 (99.7832),7 8,2020/08/07 08:17:25,미심사
4,1358168741,주식회사 엠제이케이,,분석,4543250950,86.949,87.633,-0.2114 (99.7886),3 7,2020/08/05 19:32:34,미심사
5,1288160023,지앤티테크주식회사,,분석,4543369400,86.951,87.635,-0.2088 (99.7912),5 12,2020/08/05 10:50:07,미심사
6,2058126341,종합전기 주식회사,,분석,4543403469,86.952,87.636,-0.2081 (99.7919),8 10,2020/08/07 07:57:33,미심사
7,3148124287,미래정보산업(주),,분석,4543463120,86.953,87.637,-0.2068 (99.7932),8 11,2020/08/07 08:46:16,미심사
8,1078763383,주식회사 아이티블럭,,분석,4543483061,86.954,87.637,-0.2064 (99.7936),8 4,2020/08/05 14:24:34,미심사
9,1308634130,주식회사 유앤테크,,분석,4543642495,86.957,87.64,-0.2028 (99.7972),4 14,2020/08/07 09:16:00,미심사
10,1138609204,케이티텔레캅 주식회사,,분석,4543806400,86.96,87.643,-0.1992 (99.8008),8 1,2020/08/05 10:32:21,미심사
11,1108124633,(주)디앤에스테크놀로지,,분석,4543820050,86.961,87.644,-0.1990 (99.801),15 5,2020/08/05 09:12:57,미심사
12,6108128221,갑을통신(주),,분석,4544078000,86.966,87.649,-0.1933 (99.8067),7 5,2020/08/06 16:43:13,미심사
13,2208782247,(주)안국정보통신,,분석,4544111441,86.967,87.649,-0.1925 (99.8075),10 5,2020/08/05 15:31:03,미심사
14,2068632045,주식회사 티볼리씨앤씨,,분석,4544174300,86.968,87.65,-0.1912 (99.8088),6 13,2020/08/06 11:01:00,미심사
15,5038179932,주식회사 더여일,,분석,4544370955,86.972,87.654,-0.1868 (99.8132),5 2,2020/08/06 16:51:33,미심사
16,1138137229,두복산전(주),,분석,4544393720,86.973,87.655,-0.1863 (99.8137),7 5,2020/08/07 09:44:13,미심사
17,2128606988,원강정보통신 주식회사,,분석,4544498795,86.975,87.657,-0.1840 (99.816),5 11,2020/08/06 18:52:03,미심사
18,1098102376,동양텔레콤주식회사,,분석,4544507020,86.975,87.657,-0.1839 (99.8161),3 10,2020/08/06 09:18:50,미심사
19,1248177589,해피콤(주),,분석,4544521200,86.975,87.657,-0.1835 (99.8165),7 10,2020/08/07 09:04:09,미심사
20,4028141375,주식회사 이레유비크,,분석,4544521200,86.975,87.657,-0.1835 (99.8165),9 12,2020/08/06 16:22:44,미심사
21,2088100603,(주)전우사,,분석,4544625900,86.977,87.659,-0.1813 (99.8187),3 5,2020/08/06 14:25:50,미심사
22,5158108411,동일통신 주식회사,,분석,4544738000,86.98,87.661,-0.1788 (99.8212),9 4,2020/08/05 09:09:47,미심사
23,6068191273,주식회사 성찬정보통신,,분석,4544798930,86.981,87.662,-0.1774 (99.8226),10 7,2020/08/06 10:05:48,미심사
24,2198111833,주식회사 대영아이오티,,분석,4544809103,86.981,87.663,-0.1772 (99.8228),8 2,2020/08/06 09:09:08,미심사
25,2068184529,(주)네오티엔씨,,분석,4544890000,86.983,87.664,-0.1754 (99.8246),14 13,2020/08/06 14:54:35,미심사
26,2248114190,설악이앤씨(주),,분석,4544899000,86.983,87.664,-0.1753 (99.8247),6 13,2020/08/06 10:16:48,미심사
27,1088193869,(주)동명텔레콤,,분석,4544899087,86.983,87.664,-0.1753 (99.8247),3 5,2020/08/06 09:55:54,미심사
28,1138163218,(주)신성하이텍,,분석,4544940063,86.984,87.665,-0.1744 (99.8256),7 2,2020/08/05 11:49:41,미심사
29,3108130526,주식회사에스마루,,분석,4544994200,86.985,87.666,-0.1732 (99.8268),6 3,2020/08/06 08:34:28,미심사
30,2078129117,경우전기(주),,분석,4545026570,86.986,87.667,-0.1724 (99.8276),15 2,2020/08/07 08:38:57,미심사
31,1348168919,엠에스텔레콤(주),,분석,4545207588,86.989,87.67,-0.1685 (99.8315),13 10,2020/08/06 15:53:14,미심사
32,2068184285,주식회사 진명파워택,,분석,4545258686,86.991,87.671,-0.1674 (99.8326),5 7,2020/08/07 09:12:54,미심사
33,2068690079,주식회사 제이넷시스템즈,,분석,4545437260,86.994,87.675,-0.1634 (99.8366),11 1,2020/08/05 11:44:19,미심사
34,1378131255,주식회사 머큐리,,분석,4545468198,86.995,87.675,-0.1627 (99.8373),11 13,2020/08/06 10:06:15,미심사
35,1198195493,주식회사 인텍하우징,,분석,4545499015,86.995,87.676,-0.1621 (99.8379),6 11,2020/08/06 13:09:33,미심사
36,1058106123,주식회사 나우스넷,,분석,4545513727,86.996,87.676,-0.1617 (99.8383),7 8,2020/08/07 08:50:40,미심사
37,1298187909,하나정보기술(주),,분석,4545518280,86.996,87.676,-0.1616 (99.8384),4 1,2020/08/05 17:08:30,미심사
38,1058130768,세원전설 주식회사,,분석,4545531936,86.996,87.677,-0.1614 (99.8386),10 2,2020/08/06 18:10:14,미심사
39,5048177295,(주)신라이앤씨,,분석,4545556880,86.997,87.677,-0.1608 (99.8392),6 7,2020/08/05 09:43:53,미심사
40,1058766161,주식회사 케이에스이엔씨,,분석,4545577470,86.997,87.678,-0.1603 (99.8397),8 15,2020/08/07 04:18:29,미심사
41,5028115764,(합)삼우전자통신,,분석,4545583900,86.997,87.678,-0.1602 (99.8398),14 9,2020/08/07 09:12:55,미심사
42,1098610416,(주)네시비스,,분석,4545741370,87.001,87.681,-0.1567 (99.8433),10 11,2020/08/06 09:57:03,미심사
43,1318152849,(주)성창시스템,,분석,4545884160,87.003,87.683,-0.1536 (99.8464),9 5,2020/08/07 08:42:48,미심사
44,1198178757,주식회사우신아이앤씨,,분석,4546009990,87.006,87.686,-0.1508 (99.8492),1 15,2020/08/06 16:54:43,미심사
45,2148824685,육일정보통신 주식회사,,분석,4546089748,87.008,87.687,-0.1491 (99.8509),12 15,2020/08/06 12:04:04,미심사
46,2148645634,한국전자금융주식회사,,분석,4546246740,87.011,87.69,-0.1456 (99.8544),8 1,2020/08/06 10:47:46,미심사
47,6018124987,한신전자(주),,분석,4546296822,87.012,87.691,-0.1445 (99.8555),14 13,2020/08/05 10:08:57,미심사
48,1068136902,대일전기산업(주),,분석,4546424310,87.015,87.694,-0.1417 (99.8583),3 15,2020/08/07 09:25:29,미심사
49,1098603050,(주)이루기술,,분석,4546441590,87.015,87.694,-0.1414 (99.8586),15 13,2020/08/05 10:16:01,미심사
