Unnamed: 0,id,공고번호,공고제목,발주처(수요기관),지역제한,기초금액,예정가격,예가범위,A값,투찰률(%),참여업체수,공고구분표시,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
,512.0,20180532439-00,행복한백화점 종합서비스데스크 공사(정보통신),(주)중소기업유통센터,서울,34406295.0,34715925.0,+2% ~ -2%,0.0,87.745,791.0,,0.89992,0,4,23,119,233,215,146,46,1,2,0,0,1,3,7,16,46,73,113,120,94,121,81,65,33,13,0,1,1,1,0,0,0,0,0,1,0,0,3,0,2,3,2,5,11,18,16,27,32,26,45,44,50,37,57,35,43,36,50,51,47,24,26,32,17,18,13,7,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,1,2,2,0,1,4,4,7,8,10,7,9,12,15,20,12,12,14,19,26,25,19,24,26,19,18,30,27,17,18,20,23,16,20,24,26,29,22,28,19,15,9,10,16,23,9,7,10,12,6,9,4,2,5,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
,517.0,20180509697-00,한국체육대학교 도서관(학생회관) 개축 통신공사,서울지방조달청/한국체육대학교,전국/서울,943710000.0,947697225.0,+2% ~ -2%,0.0,86.745,1044.0,기/의무,0.4225,1,9,46,162,279,289,181,59,15,0,0,1,2,7,13,33,75,87,129,150,134,155,125,56,47,12,7,8,0,0,0,0,0,0,1,0,2,1,2,4,2,6,8,14,16,20,33,35,25,49,47,55,51,64,62,40,72,63,62,52,58,43,40,18,22,21,19,9,5,5,1,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,2,2,1,1,2,4,5,3,11,3,7,9,7,13,15,18,22,13,14,11,24,25,25,22,22,33,27,24,29,35,32,30,17,23,27,45,22,41,33,29,33,19,27,31,21,22,24,16,9,9,12,10,13,8,11,8,7,2,5,0,1,4,1,0,2,1,3,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0
,519.0,20180529737-00,디지털서울문화예술대학교 행정실 리모델링 공사(통신),디지털서울문화예술대학교,서울,27639440.0,27711425.0,+2% ~ -2%,0.0,87.745,933.0,기,0.26044,4,4,30,135,251,243,162,40,6,2,1,3,2,2,8,22,62,73,119,132,141,102,94,68,28,12,3,3,0,2,0,1,0,1,2,1,1,0,2,0,2,5,4,9,10,15,28,31,28,33,48,47,59,59,38,45,73,48,42,35,51,34,29,33,15,15,10,4,7,4,3,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,2,2,3,1,3,4,5,5,5,9,6,14,14,19,12,12,16,12,21,25,23,16,31,24,35,40,19,18,20,20,25,34,39,23,25,20,22,21,14,23,28,19,15,9,20,20,13,11,4,8,7,8,2,3,1,3,4,1,3,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
,520.0,20180531401-00,2018년 초등교육관 지붕설치 및 시설설비 보수공사(통신),서울지방조달청/교육부,서울,67707000.0,68210600.0,+2% ~ -2%,0.0,87.745,1003.0,기/협정,0.74379,4,6,48,147,296,271,158,63,3,1,1,3,4,2,14,34,56,91,125,171,128,143,98,60,47,16,2,1,1,0,0,1,0,1,2,1,3,0,2,0,5,5,9,14,15,15,29,25,42,36,44,50,63,71,68,46,57,61,49,58,51,31,28,25,23,15,22,14,10,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,2,0,0,1,1,0,0,4,1,2,3,4,5,5,9,8,7,6,9,11,18,12,13,20,22,18,18,22,22,29,21,31,32,44,27,43,25,18,28,28,29,25,36,28,21,27,31,27,24,10,21,16,12,13,12,16,7,5,10,14,8,10,4,5,5,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,524.0,20180522841-00,GKL 강북 힐튼점 리모델링에 따른 정보통신 공사,그랜드코리아레저(주),서울,78067000.0,78432000.0,+2% ~ -2%,0.0,87.745,1007.0,기,0.46754,2,6,53,170,320,284,114,44,4,0,2,0,3,3,9,44,74,96,140,180,137,147,75,39,33,11,3,1,0,0,2,0,0,0,0,1,1,2,2,0,4,3,11,21,14,23,27,36,37,47,56,54,70,73,67,42,62,71,56,53,35,30,22,13,14,15,10,10,7,2,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,3,0,3,2,9,12,9,6,8,9,14,11,16,24,12,16,21,18,29,27,29,24,30,30,40,42,31,35,32,14,28,23,39,33,38,21,35,34,19,16,19,17,13,10,12,8,5,9,5,7,8,4,6,8,2,4,3,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,528.0,20180522923-00,CCTV 시스템 개선 공사,국민건강보험공단,서울/인천/경기,66100000.0,66069800.0,+2% ~ -2%,0.0,87.745,2434.0,기,-0.04569,2,14,95,380,773,717,307,98,16,4,0,2,4,10,24,71,147,233,338,435,383,334,176,131,83,15,10,6,3,1,0,0,1,0,1,3,1,2,2,6,5,12,17,29,32,41,63,92,83,101,132,132,164,172,173,124,177,167,128,121,82,60,60,53,52,42,24,19,8,5,5,2,5,2,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,2,0,2,2,4,2,3,4,8,7,10,11,18,12,20,21,20,22,41,43,49,42,41,59,42,59,73,50,82,74,90,103,69,91,82,55,69,81,96,82,85,65,63,58,63,52,30,33,27,34,26,32,21,25,27,21,21,14,10,17,2,5,3,4,1,2,3,0,2,3,2,2,0,2,0,0,0,2,0,1,0,0,1,0,0
,537.0,20180511924-00,김포공항 외곽지역 보안용카메라(CCTV) 개량 정보통신공사,한국공항공사,서울,511917411.0,510980650.0,+2% ~ -2%,0.0,86.745,923.0,,-0.183,3,4,29,135,282,292,127,39,4,3,1,2,2,2,9,20,56,79,116,166,146,146,63,64,26,13,1,3,2,1,1,0,0,0,2,1,1,1,1,0,4,3,5,7,10,16,28,24,28,39,38,50,56,67,71,61,62,53,69,47,24,29,23,25,26,14,9,9,4,3,0,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,3,1,0,3,2,3,4,3,6,4,6,10,14,14,12,12,12,16,16,23,12,26,24,26,28,28,31,36,37,34,26,35,20,42,23,30,35,34,26,21,16,8,9,20,10,13,11,14,13,13,10,4,7,2,3,6,4,0,2,1,0,0,1,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0
,539.0,20180512204-00,한국국방연구원-한국과학술원 아파트 CCTV 설치공사,국방부,서울,135204000.0,135606325.0,+2% ~ -2%,0.0,87.745,960.0,기,0.29756,1,5,36,155,311,306,113,29,0,0,1,0,2,3,12,24,55,100,137,174,169,137,60,53,19,10,0,0,0,0,0,1,0,0,0,1,1,0,1,2,3,6,6,9,12,21,26,23,42,43,60,43,74,79,55,61,82,60,56,47,29,22,14,24,24,10,6,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,3,0,1,5,3,3,5,4,7,5,10,11,9,17,8,15,20,22,22,21,26,34,21,22,34,40,36,43,36,19,26,35,34,48,26,34,32,24,25,22,19,10,11,11,9,5,12,12,13,11,6,4,1,5,3,5,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,550.0,20180506809-00,국회 청사 CCTV 카메라 추가 설치공사,국회,서울,94000000.0,93697600.0,+2% ~ -2%,0.0,87.745,895.0,협정,-0.32171,1,5,43,146,290,267,103,33,3,1,1,0,1,4,8,35,58,88,132,158,140,127,73,30,24,9,3,0,1,0,0,1,0,0,0,1,0,0,2,2,3,4,5,8,23,15,27,28,40,36,41,57,63,74,55,34,75,59,55,44,32,27,19,14,11,16,6,5,4,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,1,3,1,4,5,3,11,12,6,9,11,16,16,12,20,20,15,21,22,19,25,32,34,29,38,36,31,24,18,16,36,39,31,28,25,30,17,27,15,17,7,20,14,5,10,4,4,7,8,8,3,3,2,3,2,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
,567.0,20180438118-01,김포공항 급유시설 누유감지시스템 구축 공사 (정정공고),한국공항공사,전국/서울,981734000.0,976447425.0,+2% ~ -2%,0.0,86.745,980.0,정/의무,-0.5385,1,4,33,139,271,327,140,48,10,1,1,0,1,3,5,28,57,82,129,142,171,156,93,47,36,12,5,5,1,0,0,0,1,0,0,0,0,1,3,0,2,3,4,9,15,22,20,27,37,33,43,61,44,69,54,52,81,75,78,41,43,32,27,22,16,14,14,12,5,3,3,1,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,1,2,0,4,2,7,6,9,10,12,10,10,15,12,21,16,17,16,15,28,22,39,25,19,38,31,32,22,28,24,45,36,38,37,40,38,24,17,27,16,13,19,18,9,11,11,8,8,9,5,3,11,8,4,1,4,2,1,3,0,1,0,1,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0
