,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
0,1,2298139274,(주)영풍전력설비  [최종낙찰],심문수,분석,73994050,85.0,89.673,89.762,-0.1976 (99.8024),2 4,2024/09/30 08:57:02,
1,2,2178601498,주식회사 엔키텍,원영춘,분석,73994520,85.0,89.674,89.763,-0.1969 (99.8031),14 12,2024/09/26 15:23:52,
2,3,2118606665,주식회사 아라랏,황지홍,분석,73994742,85.0,89.674,89.763,-0.1966 (99.8034),6 13,2024/10/01 10:56:05,
3,4,2028138682,협진통신(주),이승훈,분석,73995854,85.0,89.676,89.764,-0.1951 (99.8049),15 11,2024/09/27 10:24:43,
4,5,1108176581,주식회사 비에스텍,윤희주,분석,73995954,85.0,89.676,89.764,-0.1950 (99.805),1 15,2024/10/02 09:10:58,
5,6,1078749469,주식회사 에이엠네트웍스,서정희,분석,73996520,85.0,89.676,89.765,-0.1943 (99.8057),10 4,2024/09/30 11:51:24,
6,7,2108164712,주식회사 데스카,조혜연,분석,73997263,85.0,89.677,89.766,-0.1932 (99.8068),7 8,2024/09/30 19:28:42,
7,8,1198164229,(주) 이준시스템,한상훈,분석,73997850,85.0,89.678,89.767,-0.1925 (99.8075),1 6,2024/09/30 15:05:44,
8,9,1068656301,주식회사 티제이원,최정국,분석,73997860,85.0,89.678,89.767,-0.1924 (99.8076),6 9,2024/09/26 14:06:37,
9,10,3548802349,(주)템피스트정보통신,강신원,분석,73998750,85.0,89.679,89.768,-0.1912 (99.8088),6 14,2024/09/30 16:06:03,
10,11,1048120291,청음통신 주식회사,임광희,분석,73999100,85.0,89.68,89.768,-0.1908 (99.8092),1 5,2024/10/02 09:20:41,
11,12,5868701163,주식회사 하이텍에이브이,김라영,분석,74000759,85.0,89.682,89.77,-0.1885 (99.8115),12 1,2024/09/30 09:14:56,
12,13,2308103607,주식회사 디케이앤트,양동국,분석,74000807,85.0,89.682,89.77,-0.1885 (99.8115),14 6,2024/09/26 17:18:37,
13,14,1108190583,주식회사 키코,조근도,분석,74001120,85.0,89.682,89.771,-0.1880 (99.812),10 5,2024/09/27 09:34:43,
14,15,1188111452,동화전자산업(주),김종화,분석,74001710,85.0,89.683,89.771,-0.1873 (99.8127),11 4,2024/09/30 11:47:59,
15,16,1060268388,현대통신기술,김성환,분석,74001820,85.0,89.683,89.772,-0.1871 (99.8129),12 10,2024/09/25 16:59:33,
16,17,1078757203,주식회사 비에스파워,정병섭,분석,74002950,85.0,89.684,89.773,-0.1856 (99.8144),3 11,2024/09/30 01:21:05,
17,18,1068638093,(주)엘케이시스코,이기일,분석,74005290,85.0,89.687,89.776,-0.1824 (99.8176),14 8,2024/09/27 16:51:09,
18,19,2148840477,주식회사 알비에스테크,김동헌,분석,74008571,85.0,89.691,89.78,-0.1780 (99.822),4 6,2024/10/02 08:45:51,
19,20,7128701175,주식회사 미미엔지니어링,김진희,분석,74010385,85.0,89.694,89.782,-0.1755 (99.8245),9 15,2024/09/27 09:17:43,
20,21,4108607408,주식회사 천운정보통신,김복중,분석,74012400,85.0,89.696,89.784,-0.1728 (99.8272),6 3,2024/09/30 08:51:24,
21,22,1074870357,영진정보통신,김종규,분석,74012540,85.0,89.696,89.785,-0.1726 (99.8274),7 5,2024/09/27 14:52:31,
22,23,1148137386,(주)유일엔지니어링,송수길,분석,74013203,85.0,89.697,89.785,-0.1717 (99.8283),14 4,2024/10/02 09:43:06,
23,24,1988101775,주식회사 사운드허브,김민정,분석,74013260,85.0,89.697,89.785,-0.1717 (99.8283),5 4,2024/09/25 10:38:03,
24,25,2158768879,주식회사 에이치씨인포,김경운,분석,74014039,85.0,89.698,89.786,-0.1706 (99.8294),11 3,2024/09/30 03:13:02,
25,26,1178186611,주식회사 에프에이일렉콤,박인숙,분석,74015575,85.0,89.7,89.788,-0.1685 (99.8315),2 10,2024/10/01 10:05:33,
26,27,1068602542,주식회사 유셀네트웍스,김구동,분석,74015730,85.0,89.7,89.788,-0.1683 (99.8317),6 1,2024/09/30 07:49:07,
27,28,1058727284,(주)조은네트웍스,김장열,분석,74015798,85.0,89.7,89.789,-0.1682 (99.8318),5 9,2024/09/26 08:00:48,
28,29,1018151121,주식회사 경원전력,최경택,분석,74017825,85.0,89.703,89.791,-0.1655 (99.8345),14 10,2024/09/30 14:53:13,
29,30,1108131570,(주)조은시스템,김창윤,분석,74027520,85.0,89.715,89.803,-0.1524 (99.8476),10 5,2024/09/26 13:59:26,
