,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,6558701528,(주)스마트정보기술  [최종낙찰],박성애,분석,396016553,75.0,87.745,87.861,-0.80251 (99.19749),6 5,2024/12/10 10:34:08,
1,2,2118716350,(주)비엔인더스트리,이재혁,분석,396049770,75.0,87.753,87.869,-0.79411 (99.20589),3 6,2024/12/09 09:59:35,
2,3,1198195493,주식회사 인텍하우징,심인석,분석,396069550,75.2,87.758,87.873,-0.78910 (99.2109),7 13,2024/12/11 09:19:48,
3,4,1328105709,(주)왕선전설,조정현,분석,396082996,75.2,87.761,87.876,-0.78570 (99.2143),7 10,2024/12/11 07:09:44,
4,5,1180565240,성보전자통신,양행천,분석,396128080,75.4,87.772,87.886,-0.77431 (99.22569),3 6,2024/12/11 11:56:10,
5,6,1018144159,주식회사 넥선,박민호,분석,396143110,75.6,87.776,87.89,-0.77050 (99.2295),2 15,2024/12/09 15:28:39,
6,7,1138170266,(주)리빙콘트롤,김병진,분석,396145483,75.6,87.776,87.89,-0.76990 (99.2301),4 12,2024/12/10 14:35:26,
7,8,1148711262,주식회사 제이제이에스티,김형중,분석,396168810,75.6,87.782,87.895,-0.76401 (99.23599),4 2,2024/12/10 11:36:50,
8,9,1108604272,소리콤 주식회사,정재홍,분석,396177130,75.6,87.784,87.897,-0.76190 (99.2381),11 5,2024/12/11 00:35:12,
9,10,2018182230,주식회사 본네트시큐,최수기,분석,396177716,75.6,87.784,87.897,-0.76175 (99.23825),15 2,2024/12/06 16:12:04,
10,11,1018178116,(주)오경컴텍,김종근,분석,396187010,75.8,87.786,87.899,-0.75940 (99.2406),7 5,2024/12/10 11:33:59,
11,12,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,396188910,75.8,87.787,87.9,-0.75892 (99.24108),6 12,2024/12/09 11:00:09,
12,13,1108143208,한국통신인터넷기술(주),이민수,분석,396202900,75.8,87.79,87.903,-0.75539 (99.24461),6 14,2024/12/11 10:04:32,
13,14,1298155066,일조텔레콤(주),김문섭,분석,396206390,75.8,87.791,87.904,-0.75450 (99.2455),3 12,2024/12/10 13:24:29,
14,15,2198125754,알티엘산업 주식회사,이근태,분석,396218750,75.8,87.794,87.906,-0.75138 (99.24862),5 10,2024/12/10 18:42:14,
15,16,2158686415,(주)새빛엔에스,양채원,분석,396222200,76.0,87.795,87.907,-0.75051 (99.24949),6 9,2024/12/09 15:00:45,
16,17,1062873386,이행정보통신공사,오흥식,분석,396230720,76.0,87.797,87.909,-0.74835 (99.25165),9 4,2024/12/09 10:17:31,
17,18,1198609177,이유솔루션주식회사,장지호,분석,396265460,76.2,87.805,87.917,-0.73957 (99.26043),10 6,2024/12/10 23:02:24,
