,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1198625390,주식회사 유윈정보통신,오윤주,분석,38958283,88.121,88.541,0.61540 (100.6154),10 8,2024/01/02 10:12:53,
1,2,1138163445,주식회사 삼도통신,이정경,분석,38967100,88.141,88.561,0.63817 (100.63817),10 6,2023/12/29 15:31:26,
2,3,1328144454,주식회사 하이큐넷,공엄용,분석,38989300,88.191,88.612,0.69550 (100.6955),2 15,2024/01/03 09:04:35,
3,4,1288666624,주식회사 동우이앤지,김찬제,분석,38992800,88.199,88.62,0.70454 (100.70454),10 9,2023/12/29 14:28:11,
4,5,1288138083,주식회사 유앤후레쉬,우재명,분석,39034860,88.294,88.715,0.81317 (100.81317),13 11,2024/01/02 19:37:53,
5,6,1258140479,주식회사 코럽시스템,조만희,분석,39052560,88.334,88.755,0.85888 (100.85888),13 2,2023/12/30 10:36:45,
6,7,1638601702,아룸테크 주식회사,임주아,분석,39060190,88.352,88.773,0.87858 (100.87858),4 11,2024/01/02 13:47:01,
7,8,2638801097,(주)어웨이프롬,최원종,분석,39067930,88.369,88.79,0.89857 (100.89857),12 6,2024/01/02 15:23:04,
8,9,1288602824,주식회사 우성텔레콤,송상의,분석,39070400,88.375,88.796,0.90495 (100.90495),3 12,2023/12/29 10:44:57,
9,10,1168135502,(주)비엠더코리아,구자혁,분석,39072352,88.379,88.8,0.91000 (100.91),14 11,2024/01/01 22:38:18,
10,11,1188114949,이주씨스템(주),이복균,분석,39073780,88.382,88.804,0.91368 (100.91368),14 2,2024/01/02 17:16:04,
11,12,5498100727,주식회사 뉴엣지,이현아,분석,39079550,88.395,88.817,0.92858 (100.92858),2 8,2024/01/03 06:24:55,
12,13,1308177809,(주)디알에스,엄주태,분석,39098910,88.439,88.861,0.97858 (100.97858),10 6,2024/01/01 05:25:47,
13,14,1268150951,주식회사 오아이티,이필웅,분석,39118270,88.483,88.905,1.02858 (101.02858),2 6,2024/01/02 09:53:35,
14,15,1238628019,에이치디에스주식회사,박종흥,분석,39132980,88.516,88.938,1.06658 (101.06658),11 4,2023/12/31 10:05:22,
15,16,1248801768,(주)에스디,채수경,분석,39179400,88.621,89.044,1.18646 (101.18646),1 15,2023/12/29 15:59:00,
16,17,1054180243,태우산전,강정자,분석,39241900,88.763,89.186,1.34788 (101.34788),9 11,2024/01/02 11:48:09,
17,18,1258162319,씨티에스정보기술 주식회사,김재일,분석,39257240,88.797,89.221,1.38750 (101.3875),11 14,2024/01/03 02:43:18,
18,19,2208819213,주식회사 이너시스템즈,김영찬,분석,40000000,90.477,90.909,3.30578 (103.30578),7 3,2024/01/02 17:25:10,
19,20,2148647194,투앤원정보통신주식회사,서승호,분석,42504000,96.141,96.6,9.77272 (109.77272),5 11,2023/12/29 16:37:06,
20,21,3918601817,다알시스 주식회사,최윤호,분석,42999000,97.261,97.725,11.05113 (111.05113),9 7,2024/01/02 15:20:51,
21,22,6768601611,주식회사 루트웰,노덕권,분석,43867000,99.224,99.697,13.29287 (113.29287),6 13,2024/01/01 22:04:03,
22,-1,1048159651,(주)성우음향정보통신,송민자,분석,38902759,87.995,88.415,0.47200 (100.472),15 11,2024/01/03 07:59:38,낙찰하한선 미달
23,-2,3078143613,주식회사 조양테크,송윤서,분석,38890000,87.967,88.386,0.43904 (100.43904),3 1,2023/12/29 11:04:11,낙찰하한선 미달
24,-3,5728702483,주식회사 케이제이에스랩,나봉채,분석,38882540,87.95,88.369,0.41978 (100.41978),1 3,2023/12/29 10:29:02,낙찰하한선 미달
25,-4,1328615798,주식회사 에스앤케이,김두환,분석,38873177,87.929,88.348,0.39560 (100.3956),1 12,2024/01/01 10:24:22,낙찰하한선 미달
26,-5,1058173369,(주)신한개발,이종순,분석,38867136,87.915,88.334,0.38000 (100.38),10 7,2023/12/29 17:17:43,낙찰하한선 미달
27,-6,2108170529,주식회사 세이브인시스템,이동섭,분석,38863460,87.907,88.326,0.37050 (100.3705),7 13,2023/12/29 10:09:35,낙찰하한선 미달
28,-7,1278175858,주식회사 서윤네트워크,장서윤,분석,38779800,87.717,88.135,0.15444 (100.15444),8 14,2024/01/02 21:12:21,낙찰하한선 미달
29,-8,1298690715,주식회사 대정아이씨티,김홍기,분석,38749427,87.649,88.066,0.07599 (100.07599),9 5,2023/12/31 16:29:53,낙찰하한선 미달
