,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
43,44,4048131290,주식회사 아이앤씨코리아,박규성,분석,100965860.0,87.876,87.807,-0.76221 (99.23779),10 8,2024/08/16 14:21:45,
44,45,2048160050,(주)신화데이타,최용준,분석,100966780.0,87.877,87.808,-0.76130 (99.2387),3 2,2024/08/16 12:11:30,
45,46,1108131570,(주)조은시스템,김창윤,분석,100967580.0,87.878,87.809,-0.76051 (99.23949),10 5,2024/08/16 10:02:33,
46,47,2158769714,주식회사 누리엔에스,박봉기,분석,100968392.0,87.879,87.809,-0.75970 (99.2403),6 11,2024/08/16 16:32:53,
47,48,2108165652,키코아이비에스주식회사,공재근,분석,100969602.0,87.88,87.81,-0.75851 (99.24149),7 9,2024/08/19 16:58:51,
48,49,1188111452,동화전자산업(주),김종화,분석,100969800.0,87.88,87.811,-0.75831 (99.24169),12 15,2024/08/19 08:53:55,
49,50,2158727392,매컴정보통신(주),장병호,분석,100976870.0,87.886,87.817,-0.75130 (99.2487),13 12,2024/08/19 09:28:53,
0,51,1208612783,주식회사 나오디지탈,안병우,분석,100978070.0,87.888,87.818,-0.75011 (99.24989),3 7,2024/08/20 09:45:15,
1,52,1098178920,주식회사 보다컴,류시훈,분석,100979692.0,87.889,87.819,-0.74850 (99.2515),13 2,2024/08/20 09:49:06,
2,53,1198682955,주식회사 메이커스테크놀로지,조태연,분석,100979800.0,87.889,87.819,-0.74840 (99.2516),1 8,2024/08/19 14:25:02,
3,54,1068615367,대성아이넷(주),이충은,분석,100981000.0,87.89,87.82,-0.74721 (99.25279),3 7,2024/08/19 11:51:42,
4,55,1988101775,주식회사 사운드허브,김민정,분석,100982190.0,87.891,87.821,-0.74603 (99.25397),14 6,2024/08/19 10:35:18,
5,56,2158669639,(주)한정원,이수환,분석,100982720.0,87.892,87.822,-0.74550 (99.2545),15 11,2024/08/20 11:38:22,
6,57,2148847295,티에스퓨처 주식회사,김명성,분석,100985544.0,87.895,87.824,-0.74270 (99.2573),15 1,2024/08/16 18:07:13,
7,58,6458800418,청명이엔지 주식회사,김형준,분석,100986048.0,87.895,87.825,-0.74220 (99.2578),6 2,2024/08/19 15:45:23,
8,59,2158735193,주식회사 시너젠,윤금란,분석,100986800.0,87.896,87.825,-0.74146 (99.25854),12 8,2024/08/16 11:56:20,
9,60,2148768992,주식회사 앤샵,장진화,분석,100989580.0,87.898,87.828,-0.73870 (99.2613),9 2,2024/08/19 09:03:27,
10,61,2200459632,하나정보통신,현광섭,분석,100995028.0,87.903,87.833,-0.73330 (99.2667),6 5,2024/08/19 09:45:26,
11,62,1068146133,(주)케이씨이,조정휘,분석,100995129.0,87.904,87.833,-0.73320 (99.2668),15 7,2024/08/16 11:10:31,
12,63,1378143275,한창이웨이 주식회사,이옥희,분석,100997050.0,87.905,87.834,-0.73130 (99.2687),12 9,2024/08/19 09:07:17,
13,64,1858801633,삼보종합이앤씨주식회사,공갑배,분석,101000375.0,87.908,87.837,-0.72800 (99.272),7 15,2024/08/19 11:21:42,
14,65,1138607924,두성건설주식회사,안성병,분석,101006330.0,87.914,87.842,-0.72210 (99.2779),12 1,2024/08/16 14:56:54,
15,66,1058630797,주식회사 이디엔텍,김기영,분석,101007130.0,87.915,87.843,-0.72131 (99.27869),6 10,2024/08/19 14:54:24,
16,67,1428168147,주식회사 다옴건설,이창석,분석,101011100.0,87.918,87.847,-0.71737 (99.28263),4 13,2024/08/19 11:47:12,
17,68,7188100420,주식회사 오투정보통신,양성윤,분석,101011900.0,87.919,87.847,-0.71658 (99.28342),15 14,2024/08/19 11:25:38,
18,69,1098655451,주식회사 투비,차인성,분석,101012500.0,87.92,87.848,-0.71599 (99.28401),2 1,2024/08/19 08:44:47,
19,70,1148600716,유티모스트아이엔에스(주),박흥태,분석,101017220.0,87.924,87.852,-0.71131 (99.28869),2 1,2024/08/20 08:51:40,
20,71,2208798467,주식회사 태산이에이지,최홍석,분석,101023884.0,87.93,87.858,-0.70470 (99.2953),7 3,2024/08/19 10:38:43,
21,72,2068632744,주식회사 서원엠이씨,최지호,분석,101024600.0,87.931,87.858,-0.70399 (99.29601),3 2,2024/08/19 14:48:02,
22,73,2208742003,신영에스아이 (주),박형근,분석,101027310.0,87.934,87.861,-0.70131 (99.29869),14 1,2024/08/19 12:44:18,
23,74,2118716291,(주)유토닉스,박찬호,분석,101029100.0,87.935,87.862,-0.69953 (99.30047),7 5,2024/08/16 10:35:37,
24,75,5298100062,주식회사 알에프코리아,신현성,분석,101030440.0,87.936,87.863,-0.69821 (99.30179),14 7,2024/08/19 09:40:21,
25,76,5258602705,(주)세화 텔링크,이옥임,분석,101032526.0,87.938,87.865,-0.69614 (99.30386),2 6,2024/08/19 22:06:51,
26,77,2148768177,(주)프라임엔시스템,윤재중,분석,101034700.0,87.94,87.867,-0.69398 (99.30602),1 11,2024/08/20 09:26:49,
27,78,1380715369,영인 아이티 기술사 사무소,함영만,분석,101040228.0,87.946,87.872,-0.68850 (99.3115),1 4,2024/08/16 15:02:52,
28,79,2098121862,거우전설주식회사,김영훈,분석,101040274.0,87.946,87.872,-0.68846 (99.31154),9 2,2024/08/16 11:23:52,
29,80,1058693453,주식회사태융정보통신,문성준,분석,101042499.0,87.948,87.874,-0.68625 (99.31375),3 13,2024/08/20 02:48:23,
30,81,5598700333,주식회사 제이투디앤티,김세환,분석,101043692.0,87.949,87.875,-0.68507 (99.31493),9 10,2024/08/19 09:30:49,
31,82,1198637557,주식회사제이케이데이터시스템즈,윤재근,분석,101045000.0,87.95,87.876,-0.68378 (99.31622),10 1,2024/08/19 09:10:24,
32,83,2148619102,유석산업(주),최현호,분석,101049970.0,87.955,87.88,-0.67885 (99.32115),11 14,2024/08/20 13:05:27,
33,84,1138604679,(주) 투데이게이트,김익훈,분석,101050066.0,87.955,87.88,-0.67875 (99.32125),12 8,2024/08/20 04:22:40,
34,85,2148811443,(주)우신지엘에스,문경종,분석,101051220.0,87.956,87.881,-0.67761 (99.32239),13 14,2024/08/19 09:07:06,
35,86,1138635212,(주)아이제이일렉트론,김도형,분석,101053200.0,87.958,87.883,-0.67565 (99.32435),8 7,2024/08/19 15:57:51,
36,87,1078104441,진화전기(주),문충모,분석,101054550.0,87.959,87.884,-0.67431 (99.32569),4 14,2024/08/20 08:54:51,
37,88,1138672575,주식회사 시스메이트,정종균,분석,101055660.0,87.96,87.885,-0.67321 (99.32679),9 7,2024/08/20 10:11:04,
38,89,1068687634,(주)엠폴,송승찬,분석,101056380.0,87.961,87.886,-0.67250 (99.3275),10 6,2024/08/16 13:42:44,
39,90,4778800659,더파트주식회사,강현준,분석,101056400.0,87.961,87.886,-0.67248 (99.32752),9 12,2024/08/16 16:47:25,
