,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
0,1,1128139637,(주)씨엘에이에스,윤호중,분석,967309644,65.0,87.746,88.789,0.62150 (100.6215),4 12,2024/06/17 14:16:52,
1,2,1058641085,(주)에스엠전력,김동율,분석,967341670,65.0,87.749,88.791,0.62485 (100.62485),4 6,2024/06/18 13:27:04,
2,3,2148768177,(주)프라임엔시스템,윤재중,분석,967381340,65.0,87.752,88.795,0.62900 (100.629),2 5,2024/06/19 09:16:17,
3,4,1138148861,선진인포텍(주),김인구,분석,967394720,65.0,87.754,88.796,0.63039 (100.63039),15 2,2024/06/19 09:02:12,
4,5,2018147460,태성전기통신(주),이덕우,분석,967396157,65.0,87.754,88.796,0.63055 (100.63055),1 3,2024/06/18 10:49:43,
5,6,2148891087,세경네트웍스 주식회사,장중석,분석,967405237,65.2,87.755,88.797,0.63149 (100.63149),1 9,2024/06/18 09:02:52,
6,7,2068629138,(주)하나윈정보기술,도수현,분석,967419577,65.2,87.756,88.799,0.63300 (100.633),12 14,2024/06/18 11:02:32,
7,8,2108150348,승호시스템(주),이계승,분석,967446340,65.2,87.759,88.801,0.63579 (100.63579),5 4,2024/06/18 16:42:28,
8,9,3128196859,주식회사 가델,김정민,분석,967463910,65.2,87.76,88.803,0.63763 (100.63763),5 15,2024/06/17 19:45:12,
9,10,2208735083,주식회사 강남전기공사,나중안,분석,967500831,65.2,87.764,88.806,0.64150 (100.6415),14 9,2024/06/17 10:07:15,
10,11,1208105711,주식회사 삼진일렉스,김성관,분석,967502700,65.2,87.764,88.806,0.64169 (100.64169),4 9,2024/06/19 09:38:19,
11,12,1068604157,주식회사 넥시스정보,오세후,분석,967541460,65.4,87.768,88.81,0.64575 (100.64575),7 2,2024/06/18 09:14:15,
12,13,2118620935,주식회사 한양티이씨,조형국,분석,967544805,65.4,87.768,88.81,0.64610 (100.6461),1 10,2024/06/18 14:46:54,
13,14,1108175433,승림이앤씨(주),박기철,분석,967554360,65.4,87.769,88.811,0.64709 (100.64709),7 12,2024/06/17 13:21:46,
14,15,2148107988,(주)서울정보시스템,이문현,분석,967554400,65.4,87.769,88.811,0.64710 (100.6471),13 9,2024/06/17 18:00:59,
15,16,1078197386,(주)아리네트웍스,성동식,분석,967571570,65.4,87.771,88.813,0.64889 (100.64889),5 15,2024/06/19 09:27:12,
16,17,1048142446,주식회사 디에스 이앤티,양종만,분석,967575380,65.4,87.771,88.813,0.64929 (100.64929),14 2,2024/06/18 09:23:54,
17,18,2148766621,(주)포유네트웍스,이상오,분석,967596424,65.4,87.773,88.815,0.65149 (100.65149),12 1,2024/06/17 17:38:00,
18,19,1068180183,보람정보통신서비스(주),정승원,분석,967668200,65.6,87.78,88.821,0.65900 (100.659),7 3,2024/06/17 22:36:17,
19,20,5868701163,주식회사 하이텍에이브이,김라영,분석,967692018,65.6,87.782,88.824,0.66150 (100.6615),10 11,2024/06/17 23:22:39,
20,21,4098163161,(주)동우커뮤니케이션,송준성,분석,967739620,65.8,87.787,88.828,0.66647 (100.66647),7 3,2024/06/17 12:19:07,
21,22,1138139080,(주)성강통신기술사사무소,안치영,분석,967751287,65.8,87.788,88.829,0.66770 (100.6677),1 2,2024/06/19 09:11:10,
22,23,1018154598,씨엔에스코리아(주),유호태,분석,967764264,65.8,87.789,88.83,0.66905 (100.66905),6 10,2024/06/18 07:15:05,
23,24,1088186937,(주)네오텔링크,박귀남,분석,967787611,65.8,87.791,88.832,0.67149 (100.67149),12 3,2024/06/19 09:06:33,
24,25,3158800929,에이블이엔씨 주식회사,김주형,분석,967813422,65.8,87.794,88.835,0.67420 (100.6742),8 14,2024/06/18 11:39:21,
25,26,1138636870,주식회사 나우시스템,이종한,분석,967886070,66.0,87.8,88.841,0.68179 (100.68179),6 7,2024/06/18 09:22:49,
26,27,1138645971,주식회사 포딕스시스템,정재호,분석,967975263,66.2,87.809,88.85,0.69113 (100.69113),1 4,2024/06/17 15:03:43,
27,28,2108165652,키코아이비에스주식회사,공재근,분석,967978799,66.2,87.809,88.85,0.69150 (100.6915),8 2,2024/06/18 18:08:47,
28,29,1198141207,(주)텍센,권유찬,분석,967995050,66.2,87.811,88.851,0.69320 (100.6932),3 5,2024/06/19 08:58:42,
29,30,1138640864,주식회사 지앤씨씨,정연진,분석,968077270,66.4,87.819,88.859,0.70180 (100.7018),12 2,2024/06/18 15:01:11,
30,31,1208753234,디스플레이허브 주식회사,김동협,분석,968121230,66.4,87.823,88.863,0.70639 (100.70639),4 9,2024/06/19 00:09:24,
31,32,1178128886,(주)미라클산업,김영철,분석,968126970,66.4,87.823,88.864,0.70700 (100.707),4 12,2024/06/19 09:14:07,
32,33,2068694508,주식회사 웰정보기술,강희춘,분석,968137400,66.4,87.824,88.865,0.70809 (100.70809),6 1,2024/06/17 10:29:05,
33,34,1178124861,케이이피엔지니어링(주),박성진,분석,968142560,66.6,87.825,88.865,0.70863 (100.70863),2 12,2024/06/17 10:18:46,
34,35,2108157604,주식회사 유니원이엔지,장소영,분석,968164260,66.6,87.827,88.867,0.71090 (100.7109),1 12,2024/06/18 09:46:53,
35,36,1098162433,광명정보통신 주식회사,김형준,분석,968281800,66.8,87.838,88.878,0.72319 (100.72319),1 5,2024/06/18 09:41:47,
36,37,4088168391,금상디엔씨주식회사,박길중,분석,968284698,66.8,87.838,88.878,0.72350 (100.7235),10 1,2024/06/19 08:39:49,
37,38,1238135136,(주)청남통신,최재언,분석,968311550,66.8,87.841,88.881,0.72630 (100.7263),15 13,2024/06/17 12:29:56,
