,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
45,46,1068638093,(주)엘케이시스코,이기일,분석,864619440,88.367,89.001,0.55898 (100.55898),13 14,2024/01/22 09:49:21,
46,47,6158117317,주식회사 케이투,박성환,분석,864622231,88.367,89.002,0.55931 (100.55931),1 6,2024/01/18 17:57:53,
47,48,4088128332,주식회사 로그인 서광,장지원,분석,864652000,88.37,89.005,0.56280 (100.5628),5 8,2024/01/19 15:42:18,
48,49,1218623930,주식회사 도빈,정오성,분석,864681916,88.373,89.008,0.56631 (100.56631),15 4,2024/01/19 17:21:18,
49,50,1308665841,(주)스페이스인터,고창식,분석,864779143,88.384,89.018,0.57772 (100.57772),11 13,2024/01/18 11:51:58,
0,51,1308197047,드림네트웍스 주식회사,조정하,분석,864800000,88.386,89.02,0.58017 (100.58017),1 3,2024/01/22 11:48:25,
1,52,1198157669,주식회사 유진네트웍스,박종길,분석,864807755,88.387,89.021,0.58108 (100.58108),1 6,2024/01/22 16:58:19,
2,53,2078149729,주식회사 지앤에스기술,문창수,분석,864810367,88.388,89.021,0.58138 (100.58138),6 9,2024/01/23 09:10:11,
3,54,2148668087,주식회사 네오티스,이운학,분석,864830085,88.39,89.023,0.58370 (100.5837),2 5,2024/01/19 09:48:11,
4,55,1268150951,주식회사 오아이티,이필웅,분석,864916630,88.399,89.032,0.59385 (100.59385),1 12,2024/01/23 09:13:25,
5,56,7258801178,(주)다올테크,김정화,분석,864927500,88.4,89.033,0.59512 (100.59512),10 5,2024/01/22 17:33:24,
6,57,2148194561,주식회사 해오름이엔씨,김길수,분석,865056599,88.415,89.046,0.61027 (100.61027),1 3,2024/01/19 16:51:55,
7,58,3018194619,주식회사 에스웨이,윤태옥,분석,865060210,88.415,89.047,0.61069 (100.61069),15 5,2024/01/22 13:59:39,
8,59,4098173432,주식회사 영대정보통신,최경수,분석,865062000,88.415,89.047,0.61090 (100.6109),13 15,2024/01/22 10:35:35,
9,60,1348169825,주식회사 포스텍,이수영,분석,865109020,88.42,89.052,0.61642 (100.61642),15 5,2024/01/22 09:34:16,
