,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
0,1,1058735746,(주)아울시스템즈,강병승,분석,19733700,88.152,88.026,0.03538 (100.03538),,2024/07/16 08:44:53,1순위
1,2,1138137229,두복산전(주),이영두,분석,19746900,88.211,88.085,0.10230 (100.1023),,2024/07/18 08:54:16,2순위
2,3,1188117437,탑인더스트리(주),최정현,분석,19749800,88.224,88.097,0.11700 (100.117),,2024/07/15 10:22:51,3순위
3,4,2308103607,주식회사 디케이앤트,양동국,분석,19766545,88.299,88.172,0.20188 (100.20188),,2024/07/16 16:55:45,4순위
4,5,2158687767,(주)에스앤디비즈,정성호,분석,19777000,88.346,88.219,0.25488 (100.25488),,2024/07/12 08:43:37,5순위
5,6,5298103040,주식회사 명성이앤티,박명훈,분석,19795052,88.426,88.299,0.34639 (100.34639),,2024/07/17 08:41:41,6순위
6,7,2130230588,태극정보통신,이상호,분석,19800469,88.45,88.323,0.37385 (100.37385),,2024/07/18 20:13:35,7순위
7,8,1638101139,주식회사 이한엔에스,이영주,분석,19810230,88.494,88.367,0.42333 (100.42333),,2024/07/18 09:30:22,8순위
8,9,2148752525,(주)엘티네트워크,조완식,분석,19834169,88.601,88.474,0.54469 (100.54469),,2024/07/17 10:40:28,9순위
9,10,1078211162,사회복지법인한국노인생활지원재단,최종운,분석,19834289,88.602,88.474,0.54530 (100.5453),,2024/07/17 14:55:30,10순위
10,11,1148190678,주식회사 에드원,김춘걸,분석,19859000,88.712,88.585,0.67056 (100.67056),,2024/07/15 10:56:14,11순위
11,12,1078161011,(주)장수커뮤니케이션즈,김현수,분석,19866700,88.746,88.619,0.70960 (100.7096),,2024/07/18 09:18:57,12순위
12,13,1058649262,주식회사 노하우전기통신,임창배,분석,19878950,88.801,88.674,0.77169 (100.77169),,2024/07/17 10:09:08,13순위
13,14,1188114949,이주씨스템(주),이복균,분석,20118110,89.869,89.74,1.98406 (101.98406),,2024/07/18 15:55:04,14순위
14,15,3828700771,주식회사 우진지앤에스,김화경,분석,20726720,92.588,92.455,5.06927 (105.06927),,2024/07/17 08:52:35,15순위
15,16,2148647194,투앤원정보통신주식회사,서승호,분석,22000000,98.276,98.135,11.52386 (111.52386),,2024/07/16 11:45:46,16순위
16,17,6768601611,주식회사 루트웰,노덕권,분석,22169000,99.031,98.889,12.38057 (112.38057),,2024/07/14 23:54:06,17순위
17,-1,4178802112,주식회사 팬택씨앤아이엔지니어링,신광식,분석,19676460,87.896,87.77,-0.25478 (99.74522),,2024/07/17 14:56:38,낙찰하한가미만
18,-2,1098651964,셀코정보기술 주식회사,임윤정,분석,19631760,87.697,87.571,-0.48138 (99.51862),,2024/07/19 01:02:45,낙찰하한가미만
19,-3,1088149704,썬시큐원(주),백석환,분석,19628420,87.682,87.556,-0.49831 (99.50169),,2024/07/18 06:05:27,낙찰하한가미만
20,-4,2138802766,153오디오랩 주식회사,유경석,분석,19553933,87.349,87.224,-0.87590 (99.1241),,2024/07/18 13:41:50,낙찰하한가미만
