공고번호,기초금액,A값,투찰률(%),참여업체수,예가범위,공고구분표시,공고제목,발주처(수요기관),지역제한,정답사정률(%),010_001,010_002,010_003,010_004,010_005,010_006,010_007,010_008,010_009,010_010,020_001,020_002,020_003,020_004,020_005,020_006,020_007,020_008,020_009,020_010,020_011,020_012,020_013,020_014,020_015,020_016,020_017,020_018,020_019,020_020,050_001,050_002,050_003,050_004,050_005,050_006,050_007,050_008,050_009,050_010,050_011,050_012,050_013,050_014,050_015,050_016,050_017,050_018,050_019,050_020,050_021,050_022,050_023,050_024,050_025,050_026,050_027,050_028,050_029,050_030,050_031,050_032,050_033,050_034,050_035,050_036,050_037,050_038,050_039,050_040,050_041,050_042,050_043,050_044,050_045,050_046,050_047,050_048,050_049,050_050,100_001,100_002,100_003,100_004,100_005,100_006,100_007,100_008,100_009,100_010,100_011,100_012,100_013,100_014,100_015,100_016,100_017,100_018,100_019,100_020,100_021,100_022,100_023,100_024,100_025,100_026,100_027,100_028,100_029,100_030,100_031,100_032,100_033,100_034,100_035,100_036,100_037,100_038,100_039,100_040,100_041,100_042,100_043,100_044,100_045,100_046,100_047,100_048,100_049,100_050,100_051,100_052,100_053,100_054,100_055,100_056,100_057,100_058,100_059,100_060,100_061,100_062,100_063,100_064,100_065,100_066,100_067,100_068,100_069,100_070,100_071,100_072,100_073,100_074,100_075,100_076,100_077,100_078,100_079,100_080,100_081,100_082,100_083,100_084,100_085,100_086,100_087,100_088,100_089,100_090,100_091,100_092,100_093,100_094,100_095,100_096,100_097,100_098,100_099,100_100
E012403046,180540800,9941163,87.745,828,+2% ~ -2%,기/A값/순,지하전력구 PS-LTE 비상통신망 2차 구축공사,한국전력공사,서울,-0.34151,1,15,19,69,183,93,63,15,7,1,0,1,7,8,2,17,24,45,132,51,55,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,32,21,22,21,20,24,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,21,11,13,8,10,12,13,8,13,7,8,16,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20240333825-00,452204000,25977558,87.745,1014,+2% ~ -2%,기/A값/순/협정,00검색센터 통신설비공사,서울지방조달청/대통령경호처,서울,0.255,1,15,19,69,369,93,63,15,7,1,0,1,7,8,2,17,24,45,209,160,55,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,78,81,77,46,20,24,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,32,46,44,37,39,38,30,16,13,7,8,16,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20240312799-00,183224000,11350815,87.745,1080,+2% ~ -2%,기/A값/순,개방형 양자연구소 증축공사(통신),한국과학기술연구원,서울,0.00402,1,15,19,69,382,146,63,15,7,1,0,1,7,8,2,17,24,45,209,173,108,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,78,81,77,59,53,44,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,32,46,44,37,39,38,30,29,30,23,20,24,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20240345994-00,84370000,4133869,87.745,3247,+2% ~ -2%,기/A값/순,13층 음압격리병실 설치공사(통신),국민건강보험공단,서울/인천/경기,0.59479,18,80,150,415,847,703,437,145,55,16,3,15,30,50,60,90,152,263,420,427,340,363,261,176,79,66,36,19,6,10,1,1,6,5,5,6,8,24,19,23,18,23,31,37,41,50,71,67,89,138,169,159,181,178,160,121,143,160,145,134,109,114,84,76,54,31,31,29,30,24,16,13,10,13,3,3,2,3,6,2,0,1,0,1,1,5,4,1,3,2,1,5,6,2,16,8,12,7,9,14,8,10,11,12,19,12,12,25,18,23,23,27,37,34,31,36,43,46,57,81,81,88,72,87,92,89,88,90,83,77,64,57,66,77,76,84,78,67,67,67,57,52,50,64,38,46,41,35,25,29,18,13,10,21,17,12,18,12,15,9,11,5,5,8,7,3,8,5,1,2,1,2,1,1,1,2,3,3,1,1
E012402689,235722300,14607927,87.745,835,+2% ~ -2%,기/A값/순,방학사거리 배전자가망 지중화공사,한국전력공사,서울,-0.45603,1,15,19,69,190,93,63,15,7,1,0,1,7,8,2,17,24,45,139,51,55,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,39,21,22,21,20,24,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,28,11,13,8,10,12,13,8,13,7,8,16,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
E012402541,295023300,19558442,87.745,2663,+2% ~ -2%,기/A값/순,시흥장현C/T 외 3개소 지하전력구 재난안전통신망 시설공사,한국전력공사,서울/인천/경기,0.03274,18,80,150,403,555,423,437,145,55,16,3,15,30,50,60,90,152,251,301,254,185,238,261,176,79,66,36,19,6,10,1,1,6,5,5,6,8,24,19,23,18,23,31,37,41,50,71,67,89,126,121,115,118,115,86,69,79,83,85,107,109,114,84,76,54,31,31,29,30,24,16,13,10,13,3,3,2,3,6,2,0,1,0,1,1,5,4,1,3,2,1,5,6,2,16,8,12,7,9,14,8,10,11,12,19,12,12,25,18,23,23,27,37,34,31,36,43,46,57,69,59,62,48,67,65,53,57,58,43,43,39,30,33,46,37,46,43,42,41,66,57,52,50,64,38,46,41,35,25,29,18,13,10,21,17,12,18,12,15,9,11,5,5,8,7,3,8,5,1,2,1,2,1,1,1,2,3,3,1,1
E012402445,77592273,904077,87.745,822,+2% ~ -2%,기/A값/순,탄천-선릉 전력구 통신케이블 지장 이설공사(전자제어부),한국전력공사,서울,-0.76064,1,15,19,69,177,93,63,15,7,1,0,1,7,8,2,17,24,45,126,51,55,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,26,21,22,21,20,24,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,15,11,13,8,10,12,13,8,13,7,8,16,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20240322225-01,66701660,0,87.745,1099,+2% ~ -2%,기/정/수의,서울관악경찰서 청사 리모델링 통신공사 (정정공고),경찰청,서울,-0.45046,1,2,6,37,65,116,89,32,5,0,1,0,0,2,3,3,14,23,30,35,64,52,58,31,20,12,5,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,3,6,4,8,10,9,9,13,14,16,13,22,28,21,19,26,14,34,19,10,12,8,10,5,6,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,2,2,4,4,0,4,4,5,5,6,3,5,4,6,7,8,6,10,6,9,4,4,18,13,15,14,7,14,5,11,15,8,6,16,18,10,9,5,5,6,6,6,2,4,6,2,3,2,4,1,2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240231778-00,1962797000,114698265,86.745,2801,+2% ~ -2%,기/A값/순/의무,2024년 서울청 국도ITS 연간 유지보수공사 (긴급공고),서울지방조달청/국토교통부,전국/서울/인천/경기,-0.25975,18,80,150,403,555,561,437,145,55,16,3,15,30,50,60,90,152,251,301,254,198,363,261,176,79,66,36,19,6,10,1,1,6,5,5,6,8,24,19,23,18,23,31,37,41,50,71,67,89,126,121,115,118,115,86,69,79,134,145,134,109,114,84,76,54,31,31,29,30,24,16,13,10,13,3,3,2,3,6,2,0,1,0,1,1,5,4,1,3,2,1,5,6,2,16,8,12,7,9,14,8,10,11,12,19,12,12,25,18,23,23,27,37,34,31,36,43,46,57,69,59,62,48,67,65,53,57,58,43,43,39,30,33,46,50,84,78,67,67,67,57,52,50,64,38,46,41,35,25,29,18,13,10,21,17,12,18,12,15,9,11,5,5,8,7,3,8,5,1,2,1,2,1,1,1,2,3,3,1,1
E012401732,211493700,13971380,87.745,821,+2% ~ -2%,기/A값/순,사당로 배전자동화 자가 광케이블 이설공사(ICT운영부),한국전력공사,서울,-0.2319,1,15,19,69,176,93,63,15,7,1,0,1,7,8,2,17,24,45,125,51,55,38,35,28,7,8,6,1,0,1,0,0,1,0,0,1,2,5,3,4,1,0,2,4,12,8,11,11,10,29,87,25,21,22,21,20,24,20,11,18,16,14,11,13,9,2,1,7,5,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,1,2,1,1,3,1,0,0,0,1,1,1,3,4,8,4,4,7,4,5,6,4,6,13,16,38,49,14,11,13,8,10,12,13,8,13,7,8,16,11,9,7,4,6,12,8,8,6,8,5,6,5,8,4,5,2,0,0,1,4,3,1,4,0,0,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
