순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
47,1418147931,주식회사 이리야시스템,허재혁,분석,65292174,88.076,89.631,1.29149 (101.29149),6 7,2023/11/17 09:30:59,
48,5278600284,주식회사 수앤씨,이종수,분석,65319851,88.116,89.669,1.33480 (101.3348),6 5,2023/11/16 10:04:58,
49,6218602134,(주)플러스전력,이하일,분석,65330710,88.131,89.684,1.35178 (101.35178),3 7,2023/11/16 12:42:00,
50,3238801633,동부엔텍 주식회사,류광성,분석,65330718,88.131,89.684,1.35180 (101.3518),7 2,2023/11/20 09:00:11,
51,2018634956,주식회사 신성전자통신,전용한,분석,65331036,88.132,89.684,1.35229 (101.35229),14 5,2023/11/16 18:54:38,
52,6848600291,주식회사 제너시스템,이영진,분석,65338000,88.142,89.694,1.36319 (101.36319),12 10,2023/11/17 09:12:42,
53,2208151999,현대에이치티 주식회사,이건구,분석,65347200,88.155,89.707,1.37758 (101.37758),2 5,2023/11/16 10:52:56,
54,2268153113,주식회사 이앤디비즈,이상집,분석,65368684,88.186,89.736,1.41119 (101.41119),3 11,2023/11/20 12:12:21,
55,2018162836,(주)선전력시스템,임철학,분석,65369068,88.187,89.737,1.41180 (101.4118),4 1,2023/11/18 17:20:27,
56,1058153698,진우에이티에스 주식회사,정진태,분석,65376099,88.197,89.746,1.42280 (101.4228),5 4,2023/11/17 17:33:27,
57,1054180243,태우산전,강정자,분석,65379360,88.202,89.751,1.42790 (101.4279),9 12,2023/11/16 11:17:11,
58,5948701238,주식회사 웨이텍,송치봉,분석,65391822,88.22,89.768,1.44739 (101.44739),6 7,2023/11/20 09:34:29,
59,1098178920,주식회사 보다컴,류시훈,분석,65400835,88.233,89.78,1.46150 (101.4615),6 8,2023/11/17 11:12:43,
60,1098166803,(주)아이앤씨파트너스,곽준철,분석,65418029,88.258,89.804,1.48840 (101.4884),11 7,2023/11/17 09:00:08,
61,7418801210,주식회사 한국에이브이산업,이재숙,분석,65425900,88.269,89.815,1.50071 (101.50071),11 12,2023/11/16 06:17:39,
62,6758102266,주식회사 정현이엔지,김종현,분석,65438120,88.287,89.831,1.51983 (101.51983),3 8,2023/11/20 06:27:24,
63,7748102302,주식회사 그린도트,이화진,분석,65444107,88.296,89.84,1.52919 (101.52919),13 10,2023/11/18 20:23:15,
64,7848600209,주식회사 아이알디통신,곽이현,분석,65446664,88.299,89.843,1.53320 (101.5332),15 2,2023/11/17 09:40:40,
65,1088155278,금하개발(주),김명준,분석,65452469,88.308,89.851,1.54228 (101.54228),2 5,2023/11/17 16:40:53,
66,3058701977,주식회사 다옴아이티,문정희,분석,65462771,88.323,89.865,1.55839 (101.55839),9 2,2023/11/20 08:57:00,
67,1018139321,(주)세웅정보통신,장우진,분석,65464200,88.325,89.867,1.56063 (101.56063),15 5,2023/11/16 08:55:12,
68,2098139213,(주)뉴타운전력,박형우,분석,65470058,88.333,89.875,1.56980 (101.5698),8 10,2023/11/19 11:38:35,
69,2118899396,주식회사 피에스콤,최정환,분석,65481307,88.35,89.891,1.58739 (101.58739),4 8,2023/11/17 17:16:54,
70,2078153558,(주)동광지에스,이덕하,분석,65496904,88.372,89.912,1.61180 (101.6118),7 3,2023/11/17 11:07:58,
71,3628700817,씨큐리티 주식회사,공승길,분석,65546760,88.444,89.981,1.68980 (101.6898),5 8,2023/11/17 09:08:56,
72,2148619102,유석산업(주),최현호,분석,65576290,88.487,90.021,1.73600 (101.736),1 10,2023/11/16 16:22:25,
73,1198632979,성민전기 주식회사,김미영,분석,65617190,88.546,90.077,1.79998 (101.79998),6 3,2023/11/19 21:48:09,
74,2148673033,대일전기통신(주),김종엽,분석,65626899,88.56,90.091,1.81517 (101.81517),5 3,2023/11/20 06:50:47,
75,1058676906,(주)디엠씨정보,윤성인,분석,65687900,88.649,90.174,1.91061 (101.91061),8 7,2023/11/15 15:56:27,
76,1198174839,(주)선진솔루션,송성재,분석,65819950,88.84,90.356,2.11720 (102.1172),13 12,2023/11/20 09:17:17,
77,1078763383,주식회사 아이티블럭,배경원,분석,69652992,94.391,95.618,8.11403 (108.11403),2 5,2023/11/16 15:57:06,
78,8738800217,주식회사 무한정보기술,이명화,분석,69863241,94.696,95.906,8.44297 (108.44297),4 8,2023/11/16 18:25:54,
-1,4278601362,주식회사 케이엔테크,고범철,분석,65058200,87.737,89.31,0.92544 (100.92544),15 3,2023/11/16 20:44:31,낙찰하한선 미달
-2,8418601383,주식회사 미리내통신,김정훈,분석,65055175,87.732,89.306,0.92071 (100.92071),5 11,2023/11/16 09:57:58,낙찰하한선 미달
-3,1388113508,(주)이엔티파워,장정수,분석,65049280,87.724,89.298,0.91148 (100.91148),6 2,2023/11/17 19:14:43,낙찰하한선 미달
-4,2158615337,(주)아이링크시스템,오치성,분석,65048775,87.723,89.297,0.91069 (100.91069),8 4,2023/11/16 09:14:58,낙찰하한선 미달
-5,1328127945,부민통신 주식회사,박창욱,분석,65040352,87.711,89.285,0.89752 (100.89752),5 1,2023/11/16 11:28:09,낙찰하한선 미달
-6,1208137120,(주)지티일렉콘,고광열,분석,65038100,87.708,89.282,0.89399 (100.89399),1 5,2023/11/20 06:33:52,낙찰하한선 미달
-7,1101185132,메이폴정보통신,박용진,분석,65037782,87.707,89.282,0.89350 (100.8935),3 12,2023/11/15 18:38:22,낙찰하한선 미달
-8,2068601047,왕건전기 주식회사,한미라,분석,65035987,87.705,89.279,0.89069 (100.89069),12 15,2023/11/20 08:29:57,낙찰하한선 미달
-9,2148105563,(주)인성이엔씨,김규만,분석,65035034,87.703,89.278,0.88920 (100.8892),13 11,2023/11/16 12:32:48,낙찰하한선 미달
-10,1298141752,에이플시스템즈(주),윤진경,분석,65031580,87.698,89.273,0.88379 (100.88379),5 10,2023/11/17 13:13:11,낙찰하한선 미달
-11,2138800230,주식회사 성민전기통신,홍종애,분석,65031262,87.698,89.273,0.88330 (100.8833),5 13,2023/11/16 23:36:48,낙찰하한선 미달
-12,2158690656,금성통신건설(주),윤영신,분석,65029070,87.695,89.27,0.87987 (100.87987),10 5,2023/11/20 09:00:20,낙찰하한선 미달
-13,1138132447,태진정보통신(주),정태수,분석,65018926,87.68,89.256,0.86400 (100.864),2 7,2023/11/16 17:47:12,낙찰하한선 미달
-14,3128196859,주식회사 가델,김정민,분석,65015300,87.675,89.251,0.85832 (100.85832),13 11,2023/11/16 18:57:05,낙찰하한선 미달
-15,2158704216,아임스통신주식회사,김종길,분석,65013680,87.672,89.249,0.85579 (100.85579),14 8,2023/11/20 09:49:18,낙찰하한선 미달
-16,3358601928,주식회사 제이아이앤티,박현철,분석,65011000,87.668,89.245,0.85160 (100.8516),13 8,2023/11/20 10:32:40,낙찰하한선 미달
-17,2048190516,주식회사동훈전설,정준모,분석,65009275,87.666,89.243,0.84890 (100.8489),13 9,2023/11/17 15:53:49,낙찰하한선 미달
-18,2158735193,주식회사 시너젠,윤금란,분석,65007870,87.664,89.241,0.84670 (100.8467),2 12,2023/11/15 16:55:59,낙찰하한선 미달
-19,2068601178,주식회사 해인이티에프,오재근,분석,65005829,87.661,89.238,0.84351 (100.84351),11 9,2023/11/18 08:42:52,낙찰하한선 미달
-20,6618702691,(주)대창일렉스,송효양,분석,65000000,87.652,89.23,0.83439 (100.83439),11 14,2023/11/20 08:24:26,낙찰하한선 미달
-21,2128145574,콤시스(주),서경환,분석,64994830,87.645,89.223,0.82630 (100.8263),1 9,2023/11/17 11:29:39,낙찰하한선 미달
-22,1088154468,(주)이젠정보통신,이동필,분석,64991630,87.64,89.219,0.82129 (100.82129),8 4,2023/11/19 16:13:42,낙찰하한선 미달
-23,5608800209,(주)베가프로젝트코리아,이승준,분석,64990150,87.638,89.217,0.81898 (100.81898),7 1,2023/11/17 15:49:43,낙찰하한선 미달
-24,2108108684,주식회사 대금이앤아이,김종우,분석,64986080,87.632,89.211,0.81261 (100.81261),4 15,2023/11/15 15:53:50,낙찰하한선 미달
-25,1088124659,(주)비젼텔레콤,김진수,분석,64984539,87.63,89.209,0.81020 (100.8102),6 4,2023/11/15 17:03:49,낙찰하한선 미달
-26,8978600790,로봇앤컴 주식회사,이경일,분석,64982180,87.627,89.206,0.80651 (100.80651),6 9,2023/11/15 16:54:48,낙찰하한선 미달
-27,1088178984,(주)포소드,마명철,분석,64979438,87.623,89.202,0.80222 (100.80222),8 11,2023/11/20 09:23:41,낙찰하한선 미달
-28,1198647905,주식회사 리안시스템,원미리,분석,64974690,87.616,89.195,0.79479 (100.79479),14 3,2023/11/16 13:47:48,낙찰하한선 미달
-29,1198606485,주식회사 에이치엠솔루션,이상진,분석,64974300,87.615,89.195,0.79418 (100.79418),11 10,2023/11/17 10:05:42,낙찰하한선 미달
-30,2098122745,새결정보통신(주),고성진,분석,64972000,87.612,89.192,0.79058 (100.79058),11 7,2023/11/15 14:08:47,낙찰하한선 미달
-31,2148619081,주식회사 유신테크,김용근,분석,64971900,87.612,89.191,0.79042 (100.79042),12 3,2023/11/17 16:22:07,낙찰하한선 미달
-32,1178124861,케이이피엔지니어링(주),박성진,분석,64970796,87.61,89.19,0.78870 (100.7887),6 3,2023/11/17 15:06:03,낙찰하한선 미달
-33,1058179892,(주)지에스컴,김형호,분석,64970731,87.61,89.19,0.78859 (100.78859),1 9,2023/11/16 09:20:49,낙찰하한선 미달
-34,1178164451,(주)지엠디텔레콤,김창윤,분석,64969390,87.608,89.188,0.78650 (100.7865),10 6,2023/11/19 12:46:16,낙찰하한선 미달
-35,1078805018,주식회사 지엔아이테크,박우정,분석,64962980,87.599,89.179,0.77647 (100.77647),11 2,2023/11/16 15:35:38,낙찰하한선 미달
-36,2128604113,주식회사 아리아,장시진,분석,64962420,87.598,89.178,0.77559 (100.77559),11 14,2023/11/16 09:05:42,낙찰하한선 미달
-37,6988700230,주식회사 스마트이엔씨,전유선,분석,64959600,87.594,89.175,0.77118 (100.77118),7 13,2023/11/18 12:54:46,낙찰하한선 미달
-38,2128142956,(주)한빛파워,선봉수,분석,64958840,87.593,89.174,0.76999 (100.76999),8 14,2023/11/17 09:10:44,낙찰하한선 미달
-39,1138649133,빅썬시스템즈 주식회사,권태일,분석,64957694,87.591,89.172,0.76820 (100.7682),13 8,2023/11/16 08:46:38,낙찰하한선 미달
-40,1318174028,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,64953550,87.585,89.166,0.76171 (100.76171),7 9,2023/11/17 14:22:34,낙찰하한선 미달
-41,1178186611,주식회사 에프에이일렉콤,박인숙,분석,64952772,87.584,89.165,0.76050 (100.7605),5 2,2023/11/17 09:02:34,낙찰하한선 미달
-42,1358145603,한라인포넷(주),장경민,분석,64952707,87.584,89.165,0.76040 (100.7604),6 14,2023/11/20 00:26:29,낙찰하한선 미달
-43,8838102324,주식회사 엘씨네트웍스,임동준,분석,64952293,87.583,89.165,0.75975 (100.75975),11 8,2023/11/16 17:08:55,낙찰하한선 미달
-44,2048197877,주식회사 그린주의,김현미,분석,64950522,87.581,89.162,0.75698 (100.75698),12 10,2023/11/20 08:01:33,낙찰하한선 미달
-45,2141167760,세기정보통신,송재홍,분석,64948490,87.578,89.159,0.75380 (100.7538),13 6,2023/11/17 12:44:34,낙찰하한선 미달
-46,1098185343,주식회사 오티에스씨,이승환,분석,64948296,87.578,89.159,0.75349 (100.75349),11 2,2023/11/20 09:00:03,낙찰하한선 미달
-47,4568800195,주식회사 동부코리아통신,윤미옥,분석,64947565,87.577,89.158,0.75235 (100.75235),2 3,2023/11/16 14:29:20,낙찰하한선 미달
-48,2148752224,(주)아이젠시스템즈,안상용,분석,64947500,87.576,89.158,0.75225 (100.75225),9 5,2023/11/17 16:57:58,낙찰하한선 미달
-49,6188134896,주식회사 동신정보통신,임춘섭,분석,64947360,87.576,89.158,0.75203 (100.75203),4 7,2023/11/20 09:25:11,낙찰하한선 미달
-50,1138622662,퍼스트아이앤씨 주식회사,박상호,분석,64942420,87.569,89.151,0.74430 (100.7443),10 14,2023/11/16 17:02:38,낙찰하한선 미달
-51,1068180183,보람정보통신서비스(주),정승원,분석,64941100,87.567,89.149,0.74224 (100.74224),1 13,2023/11/17 00:48:50,낙찰하한선 미달
-52,7048701285,주식회사 하랑에스아이,김호중,분석,64936980,87.561,89.144,0.73579 (100.73579),8 15,2023/11/17 09:21:59,낙찰하한선 미달
-53,1078757203,주식회사 비에스파워,정병섭,분석,64929600,87.551,89.133,0.72424 (100.72424),14 13,2023/11/16 16:50:25,낙찰하한선 미달
-54,2158133077,오티씨 주식회사,김희언,분석,64925926,87.545,89.128,0.71850 (100.7185),8 4,2023/11/17 09:51:34,낙찰하한선 미달
-54,2048105154,우일정보기술 주식회사,이오,분석,64925926,87.545,89.128,0.71850 (100.7185),7 9,2023/11/17 17:17:01,낙찰하한선 미달
-56,2208673912,(주)에스제이이에프씨,장인순,분석,64925542,87.545,89.128,0.71790 (100.7179),6 4,2023/11/17 10:02:44,낙찰하한선 미달
-57,1378143275,한창이웨이 주식회사,이옥희,분석,64922790,87.541,89.124,0.71359 (100.71359),11 8,2023/11/17 15:19:03,낙찰하한선 미달
-58,2108118504,보성전기산업(주),강명구,분석,64910400,87.523,89.107,0.69421 (100.69421),2 9,2023/11/16 09:08:41,낙찰하한선 미달
-59,1058191993,링크정보통신주식회사,이재호,분석,64905217,87.515,89.1,0.68610 (100.6861),5 1,2023/11/17 09:40:21,낙찰하한선 미달
-60,2058140076,(주)제일첨단테크,김성수,분석,64904896,87.515,89.1,0.68559 (100.68559),2 10,2023/11/20 10:01:44,낙찰하한선 미달
-61,1198623733,주식회사 케이비티정보통신,유후군,분석,64904510,87.514,89.099,0.68499 (100.68499),11 3,2023/11/17 14:11:22,낙찰하한선 미달
-62,7508600152,육일전기공사주식회사,공삼례,분석,64904200,87.514,89.099,0.68451 (100.68451),5 7,2023/11/20 10:02:12,낙찰하한선 미달
-63,2038101742,株式會社 革新電工社,오세화,분석,64902940,87.512,89.097,0.68253 (100.68253),9 5,2023/11/17 10:51:48,낙찰하한선 미달
-64,1100668347,민성정보통신,김영익,분석,64899400,87.507,89.092,0.67700 (100.677),6 9,2023/11/20 12:42:31,낙찰하한선 미달
-65,1148676763,유토피아정보기술(주),안종섭,분석,64895800,87.502,89.087,0.67136 (100.67136),6 1,2023/11/16 08:56:19,낙찰하한선 미달
-66,1328105709,(주)왕선전설,조정현,분석,64894287,87.499,89.085,0.66900 (100.669),12 2,2023/11/20 09:37:21,낙찰하한선 미달
-67,1408169475,주식회사 제이앤제이파워스,박재옥,분석,64893900,87.499,89.084,0.66839 (100.66839),11 6,2023/11/17 14:57:30,낙찰하한선 미달
-68,1098153822,서울텔엔지니어링(주),정영철,분석,64892300,87.496,89.082,0.66589 (100.66589),4 15,2023/11/17 16:56:47,낙찰하한선 미달
-69,1068638093,(주)엘케이시스코,이기일,분석,64891260,87.495,89.081,0.66426 (100.66426),8 3,2023/11/17 09:20:26,낙찰하한선 미달
-70,1108130339,(주)기양상사,조효진,분석,64889940,87.493,89.079,0.66220 (100.6622),2 5,2023/11/16 10:52:57,낙찰하한선 미달
-71,2068694508,주식회사 웰정보기술,강희춘,분석,64888660,87.491,89.077,0.66019 (100.66019),10 6,2023/11/20 09:05:43,낙찰하한선 미달
-72,1062873386,이행정보통신공사,오흥식,분석,64887570,87.49,89.076,0.65849 (100.65849),14 1,2023/11/20 07:43:38,낙찰하한선 미달
-73,2098141039,(주)벨에어테크,최트로이,분석,64884635,87.485,89.072,0.65390 (100.6539),6 5,2023/11/15 17:06:29,낙찰하한선 미달
-74,4168128895,(주)비아이씨스템,방인식,분석,64883960,87.484,89.071,0.65284 (100.65284),9 4,2023/11/18 09:59:05,낙찰하한선 미달
-75,2208131391,호진산업기연(주),안형근,분석,64883740,87.484,89.07,0.65250 (100.6525),1 4,2023/11/17 09:06:26,낙찰하한선 미달
-76,1078723926,한빛디엔에스(주),이현화,분석,64881300,87.481,89.067,0.64868 (100.64868),15 12,2023/11/20 09:22:21,낙찰하한선 미달
-77,2158601380,세계정보시스템(주),한인창,분석,64878013,87.476,89.063,0.64354 (100.64354),4 6,2023/11/17 08:51:04,낙찰하한선 미달
-78,1108190166,(주)페타네트워크,강인희,분석,64876325,87.473,89.06,0.64090 (100.6409),10 8,2023/11/15 17:26:36,낙찰하한선 미달
-79,1078606385,대선아이넷(주),신일자,분석,64874850,87.471,89.058,0.63859 (100.63859),8 2,2023/11/17 17:22:49,낙찰하한선 미달
-80,1078211162,사회복지법인한국노인생활지원재단,이주희,분석,64874599,87.471,89.058,0.63819 (100.63819),8 9,2023/11/17 09:23:48,낙찰하한선 미달
-81,1078735096,주식회사 등대씨엔씨,서철승,분석,64873650,87.469,89.057,0.63671 (100.63671),13 3,2023/11/17 09:45:59,낙찰하한선 미달
-82,2178121937,부광이앤씨 주식회사,정동국,분석,64871532,87.466,89.054,0.63340 (100.6334),10 1,2023/11/15 15:12:13,낙찰하한선 미달
-83,2118168569,삼익정보통신(주),김진섭,분석,64866163,87.459,89.046,0.62500 (100.625),12 1,2023/11/19 12:05:43,낙찰하한선 미달
-84,1188109728,득진통신(주),김진섭,분석,64862542,87.453,89.041,0.61933 (100.61933),10 12,2023/11/20 09:14:44,낙찰하한선 미달
-85,1058192352,한아름정보통신(주),손경선,분석,64855760,87.444,89.032,0.60872 (100.60872),4 14,2023/11/16 11:54:29,낙찰하한선 미달
-86,1148199927,주식회사 인텔리빅스,최은수,분석,64849610,87.435,89.024,0.59910 (100.5991),5 6,2023/11/17 09:16:38,낙찰하한선 미달
-87,1138193726,(주)성진에스에스,강신범,분석,64849479,87.434,89.023,0.59889 (100.59889),15 13,2023/11/20 08:27:08,낙찰하한선 미달
-88,2208604531,주식회사 월드린시스템즈,류준열,분석,64848850,87.434,89.023,0.59791 (100.59791),7 15,2023/11/17 09:26:29,낙찰하한선 미달
-89,1168166913,주식회사케이엠데이타,이강섭,분석,64846480,87.43,89.019,0.59420 (100.5942),6 7,2023/11/17 10:02:40,낙찰하한선 미달
-90,7098602638,주식회사 시그널아이씨티,강민희,분석,64844880,87.428,89.017,0.59170 (100.5917),10 6,2023/11/19 23:06:08,낙찰하한선 미달
-91,1288154026,(주)니트로시스템,정인교,분석,64844820,87.428,89.017,0.59161 (100.59161),4 1,2023/11/16 15:04:36,낙찰하한선 미달
-92,1098133637,주식회사 화인컴,김창만,분석,64843080,87.425,89.015,0.58888 (100.58888),3 10,2023/11/17 09:34:15,낙찰하한선 미달
-93,5088137937,(주)벨류데이터,이선미,분석,64842385,87.424,89.014,0.58780 (100.5878),12 6,2023/11/19 16:33:52,낙찰하한선 미달
-94,1060268388,현대통신기술,김성환,분석,64842270,87.424,89.014,0.58762 (100.58762),14 10,2023/11/17 10:27:58,낙찰하한선 미달
-95,2068120414,(주)일광기업,오도진,분석,64841215,87.423,89.012,0.58597 (100.58597),8 10,2023/11/17 08:47:02,낙찰하한선 미달
-96,2058125376,주식회사 명성라이픽스,박명훈,분석,64841170,87.422,89.012,0.58589 (100.58589),3 14,2023/11/16 09:22:51,낙찰하한선 미달
-97,2128196942,동진이앤씨(주),민진식,분석,64839500,87.42,89.01,0.58328 (100.58328),9 1,2023/11/17 16:19:17,낙찰하한선 미달
-98,2948601665,누리종합전기 주식회사,천금진,분석,64839189,87.42,89.009,0.58280 (100.5828),12 2,2023/11/16 13:23:37,낙찰하한선 미달
